,A,ACT,ADP,AGN,AIG,AIV,ALEX,ALX,APD,BEAM,BGP,BHC,BKS,BKW,BRK,BX,C,CBY,CEN,CMG,CP,CSG,CXW,DPS,EMC,FBHS,FDO,FO,GGP,GLRE,GM,H,HHC,HLT,HME,JCP,LDG,LNY,LOW,MA,MATX,MCD,MDLZ,NKE,NOMD,PAH,PG,PK,QSR,RTX,SBUX,SHLDQ,SKS,SPLS,TGT,V,WB,WEN,YUM,ZTS
2020 Q1,13.76,,,,,,,,,,,,,,15.17,0.38,,,,11.56,,,,,,,,,,,,,9.37,14.32,,,,,16.04,,,,,,,,,0.08,9.19,,10.13,,,,,,,,,
2019 Q4,4.23,,,,,,,,,,,,,,13.88,,,,,22.03,,,,,,,,,,,,,4.25,17.87,,,,,15.74,,,,,,,,,,14.68,,7.32,,,,,,,,,
2019 Q3,3.44,,,,,,,,,,,,,,12.87,,,,,22.33,,,,,,,,,,,,,2.39,15.15,,,,,14.59,,,,,,,,,,16.54,,12.69,,,,,,,,,
2019 Q2,,,9.93,,,,,,,,,,,,11.16,,,,,19.48,,,,,,,,,,,,,2.21,15.98,,,,,13.39,,,,,,,,,,16.21,,11.64,,,,,,,,,
2019 Q1,,,9.58,,,,,,,,,,,,,,,,,19.7,,,,,,,,,,,,,1.96,13.57,,,,,15.18,,,,,,,,,,17.78,11.17,11.06,,,,,,,,,
2018 Q4,,,8.96,,,,,,,,,,,,,,,,,14.07,,,,,,,,,,,,,2.02,13.19,,,,,14.79,,,,,,,7.01,,,17.28,9.97,12.71,,,,,,,,,
2018 Q3,,,11.65,,,,,,,,,,,,,,,,,17.97,,,,,,,,,,,,,5.09,,,,,,18.6,,,,,,,9.68,,,23.72,13.28,,,,,,,,,,
2018 Q2,,,9.76,,,,,,,,,,,,,,,,,21.42,,,,,,,,,,,,,5.03,,,,,,12.7,,,,11.56,,,8.08,,,21.65,9.78,,,,,,,,,,
2018 Q1,,,18.65,,,,,,,,,,,,,,,,,19.27,,,,,,,,,,,,,6.35,,,,,,,,,,13.95,,,8.06,,,28.65,5.06,,,,,,,,,,
2017 Q4,,,17.56,,,,,,,,,,,,,,,,,14.19,,,,,,,,,,,,,10.52,,,,,,,,,,16.95,6.22,,6.83,,,27.74,,,,,,,,,,,
2017 Q3,,,18.81,,,,,,,,,,,,,,,,,17.35,,,,,,,,,,,,,10.85,,,,,,,,,,11.07,,,8.82,,,33.1,,,,,,,,,,,
2017 Q2,,,2.98,,,,,,,,,,,,,,,,,19.94,,,,,,,,,,,,,9.61,,,,,,,,,,10.41,,7.82,8.53,,,40.71,,,,,,,,,,,
2017 Q1,,,,,,,,,5.18,,,,,,,,,,,21.54,,,,,,,,,,,,,7.02,,,,,,,,,,14.41,,6.4,8.84,,,36.61,,,,,,,,,,,
2016 Q4,,,,,,,,,9.41,,,4.45,,,,,,,,18.39,,,,,,,,,,,,,6.88,,,,,,,,,,17.2,,5.39,6.71,,,31.56,,,,,,,,,,,
2016 Q3,,,,,,,,,11.18,,,9.79,,,,,,,,4.34,,,,,,,,,,,,,7.55,,,,,,,,,,18.61,,7.28,6.4,,,32.24,,,,,,,,,,,2.61
