"Date","ACGL","ADBE","ADS","AMX","ANTM","AON","AR","AXP","AXTA","BAC","BAM","BBU","BHC","BHI","BIP","BPY","BR","BRK","C","CMCSA","CMPR","COL","DELL","DHI","DLTR","EQIX","ESRX","ETN","FB","FISV","FMCC","FTDR","GD","GOOG","GOOGL","GSM","HAL","HCA","HPQ","IQV","IR","JPM","KMI","LBTYA","LBTYK","LH","LILA","LILAK","LMT","MA","MCO","MSFT","MSI","NICK","NLSN","ONE","ORCL","PCP","PGR","PRI","RJF","RNR","RRC","RYAAY","SCHW","SERV","SGU","ST","T","TDW","UNH","USB","V","VAR","WAT","WFC"
2008-01-01,0,0,0,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.68,0,0,0,0,10.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61,0,0,0,0,0,0,12.41,0,0,0,0,0
2008-02-01,0,0,0,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.68,0,0,0,0,10.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61,0,0,0,0,0,0,12.41,0,0,0,0,0
2008-03-01,0,0,0,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.68,0,0,0,0,10.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61,0,0,0,0,0,0,12.41,0,0,0,0,0
2008-04-01,0,0,0,6.12,0,0,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,14.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83,0,0,0,0,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.93,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,6.12,0,0,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,14.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83,0,0,0,0,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.93,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,6.12,0,0,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,14.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83,0,0,0,0,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.93,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,10.84,0,0,0,0,9.91,0,0,0,0,0,0,0,0,0,0,0,0,9.79,0,0,0,0,15.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,10.84,0,0,0,0,9.91,0,0,0,0,0,0,0,0,0,0,0,0,9.79,0,0,0,0,15.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,10.84,0,0,0,0,9.91,0,0,0,0,0,0,0,0,0,0,0,0,9.79,0,0,0,0,15.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,4.86,0,0,0,5.82,0,0,0,0,0,0,0,0,0,0,0,0.22,0,2.4,7.64,0,0,0,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,6.89,0,0,0,0,15.71,0,0,0,0,0,0,0,0,0,0,0,4.68,0,0,0,0,0,14.78,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,4.86,0,0,0,5.82,0,0,0,0,0,0,0,0,0,0,0,0.22,0,2.4,7.64,0,0,0,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,6.89,0,0,0,0,15.71,0,0,0,0,0,0,0,0,0,0,0,4.68,0,0,0,0,0,14.78,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,4.86,0,0,0,5.82,0,0,0,0,0,0,0,0,0,0,0,0.22,0,2.4,7.64,0,0,0,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,6.89,0,0,0,0,15.71,0,0,0,0,0,0,0,0,0,0,0,4.68,0,0,0,0,0,14.78,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,8.62,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,9.26,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,15.88,0,0,0,0,0,0,0,0,0,0,0,6.12,0,0,0,0,0,14.64,0,0,0,0,0,0,0,10.11,0,0,6.71,0
2009-02-01,0,0,0,0,0,0,0,8.62,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,9.26,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,15.88,0,0,0,0,0,0,0,0,0,0,0,6.12,0,0,0,0,0,14.64,0,0,0,0,0,0,0,10.11,0,0,6.71,0
2009-03-01,0,0,0,0,0,0,0,8.62,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,9.26,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,15.88,0,0,0,0,0,0,0,0,0,0,0,6.12,0,0,0,0,0,14.64,0,0,0,0,0,0,0,10.11,0,0,6.71,0
2009-04-01,0,0,0,0,0,0,0,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,12.71,0,0,0,0,0,0,0,0,5.15,0,0,0,0,0,12.58,0,0,0,0,0,0,0,10.93,0,8.05,5.61,0
2009-05-01,0,0,0,0,0,0,0,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,12.71,0,0,0,0,0,0,0,0,5.15,0,0,0,0,0,12.58,0,0,0,0,0,0,0,10.93,0,8.05,5.61,0
2009-06-01,0,0,0,0,0,0,0,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,12.71,0,0,0,0,0,0,0,0,5.15,0,0,0,0,0,12.58,0,0,0,0,0,0,0,10.93,0,8.05,5.61,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.91,0,0,16.17,0,0,0,0,0,0,0,0,8.62,0,0,0,0,0,13.28,0,0,0,0,0,0,0,12.44,0,10.52,5.13,0
