"Date","ABT","AGN","AMG","ANK","AON","BEN","BK","BRK","CEIX","CHK","CHKGF","CKHUY","CMCSA","CNHI","CNX","CPB","CTL","CX","DD","DELL","DIS","EBAY","FDX","FFH","FWONA","GE","GM","GOOG","H","HCMLF","IHG","L","MAR","MAT","MCD","MDLZ","MUR","NLOK","NWSA","PHG","PK","PXD","QRTEA","RL","RTX","S","SNI","TDS","TROW","TRV","UBS","VIVEF","VMC","WBA","WLTW","WMB","WYNN","YUM"
2006-10-01,0,0,0,0,5.23,0,0,0,0,4.21,0,0,4.26,0,0,0,0,5.28,0,10.38,5.37,1.5,4.4,0,4,0,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,4.93,0,0,5.13,0,0,0,0,0,4.96,0,0,0,0,0,5.58
2006-11-01,0,0,0,0,5.23,0,0,0,0,4.21,0,0,4.26,0,0,0,0,5.28,0,10.38,5.37,1.5,4.4,0,4,0,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,4.93,0,0,5.13,0,0,0,0,0,4.96,0,0,0,0,0,5.58
2006-12-01,0,0,0,0,5.23,0,0,0,0,4.21,0,0,4.26,0,0,0,0,5.28,0,10.38,5.37,1.5,4.4,0,4,0,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,4.93,0,0,5.13,0,0,0,0,0,4.96,0,0,0,0,0,5.58
2007-01-01,0,0,0,0,5.33,0,0,0,0,5.29,0,0,2.37,0,0,0,0,4.85,0,9.54,5.12,1.56,4.13,0,4.48,0,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,5.17,0,0,4.88,0,0,0,0,0,4.21,0,0,0,0,0,5.2
2007-02-01,0,0,0,0,5.33,0,0,0,0,5.29,0,0,2.37,0,0,0,0,4.85,0,9.54,5.12,1.56,4.13,0,4.48,0,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,5.17,0,0,4.88,0,0,0,0,0,4.21,0,0,0,0,0,5.2
2007-03-01,0,0,0,0,5.33,0,0,0,0,5.29,0,0,2.37,0,0,0,0,4.85,0,9.54,5.12,1.56,4.13,0,4.48,0,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,5.17,0,0,4.88,0,0,0,0,0,4.21,0,0,0,0,0,5.2
2007-04-01,0,0,0,0,5.45,0,0,0,0,5.4,0,0,2.37,0,0,0,0,5.1,0,10.68,4.62,2.58,3.88,0,4.78,0,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,4.41,0,0,4.86,0,0,0,0,0,3.83,0,0,0,0,0,5.36
2007-05-01,0,0,0,0,5.45,0,0,0,0,5.4,0,0,2.37,0,0,0,0,5.1,0,10.68,4.62,2.58,3.88,0,4.78,0,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,4.41,0,0,4.86,0,0,0,0,0,3.83,0,0,0,0,0,5.36
2007-06-01,0,0,0,0,5.45,0,0,0,0,5.4,0,0,2.37,0,0,0,0,5.1,0,10.68,4.62,2.58,3.88,0,4.78,0,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,4.41,0,0,4.86,0,0,0,0,0,3.83,0,0,0,0,0,5.36
2007-07-01,0,0,0,0,5.57,0,0,0,0,5.35,0,0,1.97,0,0,0,0,4.73,0,10.03,4.53,5.6,3.56,0,6.62,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,4.44,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,5.08
