"Date","ALK","AVX","AXP","BRK","CKH","CMI","COST","DG","DIS","EQNR","HXL","KGC","MCY","MRK","NEM","NKE","NXPI","OLN","SBUX","SNY","SWKS","TRV","XOM","Y"
2018-07-01,0,0,0,38.6,4.29,2.53,2.68,3.63,0,1.79,2.56,1.72,4.47,1.75,3.06,1.94,1.5,0,5.79,3.18,0,1.5,5.59,0
2018-08-01,0,0,0,38.6,4.29,2.53,2.68,3.63,0,1.79,2.56,1.72,4.47,1.75,3.06,1.94,1.5,0,5.79,3.18,0,1.5,5.59,0
2018-09-01,0,0,0,38.6,4.29,2.53,2.68,3.63,0,1.79,2.56,1.72,4.47,1.75,3.06,1.94,1.5,0,5.79,3.18,0,1.5,5.59,0
2018-10-01,0,0,0,40.45,2.43,2.51,2.55,3.89,1.51,1.47,2.39,2.26,5.02,2.1,3.88,1.85,2.48,0,7.15,0,0,1.54,4.91,0
2018-11-01,0,0,0,40.45,2.43,2.51,2.55,3.89,1.51,1.47,2.39,2.26,5.02,2.1,3.88,1.85,2.48,0,7.15,0,0,1.54,4.91,0
2018-12-01,0,0,0,40.45,2.43,2.51,2.55,3.89,1.51,1.47,2.39,2.26,5.02,2.1,3.88,1.85,2.48,0,7.15,0,0,1.54,4.91,0
2019-01-01,0,1.56,0,38.1,2.63,2.84,2.9,4.04,1.46,1.46,2.75,2.29,4.71,2.18,3.84,0,2.86,0,7.89,0,2.99,1.69,5.45,0
2019-02-01,0,1.56,0,38.1,2.63,2.84,2.9,4.04,1.46,1.46,2.75,2.29,4.71,2.18,3.84,0,2.86,0,7.89,0,2.99,1.69,5.45,0
2019-03-01,0,1.56,0,38.1,2.63,2.84,2.9,4.04,1.46,1.46,2.75,2.29,4.71,2.18,3.84,0,2.86,0,7.89,0,2.99,1.69,5.45,0
2019-04-01,0,2.01,1.49,38.74,2.85,2.98,3.06,4.36,1.78,1.35,2.95,2.5,4,2.12,6.57,0,3.05,0,5.66,0,2.77,1.77,4.99,0
2019-05-01,0,2.01,1.49,38.74,2.85,2.98,3.06,4.36,1.78,1.35,2.95,2.5,4,2.12,6.57,0,3.05,0,5.66,0,2.77,1.77,4.99,0
2019-06-01,0,2.01,1.49,38.74,2.85,2.98,3.06,4.36,1.78,1.35,2.95,2.5,4,2.12,6.57,0,3.05,0,5.66,0,2.77,1.77,4.99,0
2019-07-01,0,1.84,1.4,37.38,2.39,2.76,3.24,4.9,1.63,0,2.91,2.87,3.45,2.05,6.31,0,3.32,2.33,5.79,0,2.77,1.7,4.58,0
2019-08-01,0,1.84,1.4,37.38,2.39,2.76,3.24,4.9,1.63,0,2.91,2.87,3.45,2.05,6.31,0,3.32,2.33,5.79,0,2.77,1.7,4.58,0
2019-09-01,0,1.84,1.4,37.38,2.39,2.76,3.24,4.9,1.63,0,2.91,2.87,3.45,2.05,6.31,0,3.32,2.33,5.79,0,2.77,1.7,4.58,0
2019-10-01,0,2.27,1.38,38.17,2.45,2.84,3.05,4.45,1.69,0,2.43,2.78,2.82,2.08,6.77,0,3.57,2.01,5.41,0,3.86,1.47,4.28,0
2019-11-01,0,2.27,1.38,38.17,2.45,2.84,3.05,4.45,1.69,0,2.43,2.78,2.82,2.08,6.77,0,3.57,2.01,5.41,0,3.86,1.47,4.28,0
2019-12-01,0,2.27,1.38,38.17,2.45,2.84,3.05,4.45,1.69,0,2.43,2.78,2.82,2.08,6.77,0,3.57,2.01,5.41,0,3.86,1.47,4.28,0
2020-01-01,1.67,0,1.26,37.95,0,2.66,3.47,2.34,4.64,0,1.7,3.01,4.89,2.14,8.91,0,2.75,5.07,5.07,0,0,1.25,3.45,1.3
2020-02-01,1.67,0,1.26,37.95,0,2.66,3.47,2.34,4.64,0,1.7,3.01,4.89,2.14,8.91,0,2.75,5.07,5.07,0,0,1.25,3.45,1.3
2020-03-01,1.67,0,1.26,37.95,0,2.66,3.47,2.34,4.64,0,1.7,3.01,4.89,2.14,8.91,0,2.75,5.07,5.07,0,0,1.25,3.45,1.3
