"Date","A","ABT","ADI","AER","AES","AET","AGN","AIG","ALXN","AMAT","ANTM","AON","AR","BAC","BAX","BG","BHI","BP","BRK","BRL","BSX","C","CAH","CB","CBS","CFG","CI","CIT","CMCSA","COF","COP","CPN","CS","CSCO","CTXS","CVS","CVX","DAL","DD","DIS","DUK","DVN","EBAY","ELAN","EP","EQT","ETN","EXC","FLEX","FLR","FWONA","GE","GHC","GM","GNW","GOLD","GOOGL","GT","HES","HMC","HPE","IGT","INTU","IP","IPG","IVZ","KEYS","KMB","KO","LBTYK","LIFE","LOW","LUV","LYB","MDLZ","MET","MMC","MRK","MRO","MS","MSFT","NEM","NLOK","NVS","NXPI","OI","ORCL","OXY","PFE","PG","PGR","PNR","PRGO","PXD","QCOM","RDS","RLGY","RS","RSG","SABR","SCHW","SE","SIVB","SLB","SNY","ST","STT","SUN","SYY","TDC","TMO","TOT","TWX","TXN","UN","UNH","UNM","USB","V","VLO","VOD","VZ","WBA","WM","WMT"
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,3.06,0,2.94,2.6,0,0,0,0,0,0,0,0,2.83,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,2.87,0,3.35,2.57,0,0,2.71,0,0,0,0,3.12,0,0,0,0,3.12,0,0,0,0,0,0,0,2.96,0,0,0,0,0,0,0,0,0,2.96,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,0,3.29,0,0,3.12,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,3.06,0,2.94,2.6,0,0,0,0,0,0,0,0,2.83,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,2.87,0,3.35,2.57,0,0,2.71,0,0,0,0,3.12,0,0,0,0,3.12,0,0,0,0,0,0,0,2.96,0,0,0,0,0,0,0,0,0,2.96,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,0,3.29,0,0,3.12,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,3.06,0,2.94,2.6,0,0,0,0,0,0,0,0,2.83,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,2.87,0,3.35,2.57,0,0,2.71,0,0,0,0,3.12,0,0,0,0,3.12,0,0,0,0,0,0,0,2.96,0,0,0,0,0,0,0,0,0,2.96,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,0,3.29,0,0,3.12,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,2.68,0,0,0,0,0,0,2.62,0,3.37,0,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0,0,0,0,3.2,0,2.91,3.64,2.62,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0,0,0,3.07,0,0,0,2.61,0,0,0,0,0,2.54,0,0,0,0,0,3.08,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,3.43,0,0,3.07,0,0,0,0,0,2.65,0
2007-02-01,0,0,0,0,2.68,0,0,0,0,0,0,2.62,0,3.37,0,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0,0,0,0,3.2,0,2.91,3.64,2.62,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0,0,0,3.07,0,0,0,2.61,0,0,0,0,0,2.54,0,0,0,0,0,3.08,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,3.43,0,0,3.07,0,0,0,0,0,2.65,0
2007-03-01,0,0,0,0,2.68,0,0,0,0,0,0,2.62,0,3.37,0,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0,0,0,0,3.2,0,2.91,3.64,2.62,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0,0,0,3.07,0,0,0,2.61,0,0,0,0,0,2.54,0,0,0,0,0,3.08,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,3.43,0,0,3.07,0,0,0,0,0,2.65,0
2007-04-01,0,0,0,0,3.31,0,0,2.98,0,0,0,2.56,0,2.8,0,0,0,0,0,2.96,2.77,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62,0,0,0,0,3.21,0,0,0,3.24,0,0,3.8,3.12,0,0,2.91,0,0,0,0,0,0,0,0,2.79,0,0,0,0,0,0,0,3.01,0,0,0,2.65,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69,0,2.65,0,0,0,0,0,0,0,0,3.01,0
2007-05-01,0,0,0,0,3.31,0,0,2.98,0,0,0,2.56,0,2.8,0,0,0,0,0,2.96,2.77,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62,0,0,0,0,3.21,0,0,0,3.24,0,0,3.8,3.12,0,0,2.91,0,0,0,0,0,0,0,0,2.79,0,0,0,0,0,0,0,3.01,0,0,0,2.65,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69,0,2.65,0,0,0,0,0,0,0,0,3.01,0
2007-06-01,0,0,0,0,3.31,0,0,2.98,0,0,0,2.56,0,2.8,0,0,0,0,0,2.96,2.77,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62,0,0,0,0,3.21,0,0,0,3.24,0,0,3.8,3.12,0,0,2.91,0,0,0,0,0,0,0,0,2.79,0,0,0,0,0,0,0,3.01,0,0,0,2.65,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69,0,2.65,0,0,0,0,0,0,0,0,3.01,0
2007-07-01,0,0,0,0,3.57,0,0,0,0,0,0,2.91,0,3.46,0,0,0,0,0,3.38,3.88,0,0,0,0,0,2.62,0,3.17,0,0,0,0,0,0,0,0,0,0,3.04,0,0,0,0,2.89,0,0,0,2.95,0,0,4.15,2.9,0,0,3.33,0,0,0,0,0,0,0,0,2.89,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,0,2.65,0,2.61,0,0,0,0,0,0,2.94,0
