"Date","AAPL","ALC","AXP","BKNG","BMY","BRK","CDW","CHRW","CLB","CMI","CPRT","CTSH","EA","EMC","ESRX","EW","EXPD","FAST","FB","FLT","GILD","GOOG","GOOGL","ISRG","KEYS","KHC","LKQ","MSFT","MSI","MTB","NOV","NVDA","ODFL","PRGO","PYPL","QCOM","ROST","SBUX","SCHW","SLB","SPGI","SRCL","TEVA","THS","TJX","TPR","TSCO","ULTA","USB","V","VAR","VRSK"
2011-10-01,10.11,0,5.35,0,0,6.79,0,0,0,4.22,0,4.05,0,3.5,7.01,0,2.1,0,0,0,6.06,0,6.88,4.35,0,0,0,0,0,0,2.6,0,0,5.14,0,5.64,0,0,0,3.52,0,2.69,4.23,0,0,0,0,0,0,7.01,4.02,4.73
2011-11-01,10.11,0,5.35,0,0,6.79,0,0,0,4.22,0,4.05,0,3.5,7.01,0,2.1,0,0,0,6.06,0,6.88,4.35,0,0,0,0,0,0,2.6,0,0,5.14,0,5.64,0,0,0,3.52,0,2.69,4.23,0,0,0,0,0,0,7.01,4.02,4.73
2011-12-01,10.11,0,5.35,0,0,6.79,0,0,0,4.22,0,4.05,0,3.5,7.01,0,2.1,0,0,0,6.06,0,6.88,4.35,0,0,0,0,0,0,2.6,0,0,5.14,0,5.64,0,0,0,3.52,0,2.69,4.23,0,0,0,0,0,0,7.01,4.02,4.73
2012-01-01,10.01,0,5.64,0,0,8.08,0,0,0,4.89,0,4.2,0,4.2,5.89,0,2.34,0,0,0,4.73,0,7.86,0,0,0,0,0,0,0,2.71,0,0,3.78,0,6.02,0,0,4.68,3.17,0,2.68,4.29,0,0,0,0,0,0,5.69,3.64,4.81
2012-02-01,10.01,0,5.64,0,0,8.08,0,0,0,4.89,0,4.2,0,4.2,5.89,0,2.34,0,0,0,4.73,0,7.86,0,0,0,0,0,0,0,2.71,0,0,3.78,0,6.02,0,0,4.68,3.17,0,2.68,4.29,0,0,0,0,0,0,5.69,3.64,4.81
2012-03-01,10.01,0,5.64,0,0,8.08,0,0,0,4.89,0,4.2,0,4.2,5.89,0,2.34,0,0,0,4.73,0,7.86,0,0,0,0,0,0,0,2.71,0,0,3.78,0,6.02,0,0,4.68,3.17,0,2.68,4.29,0,0,0,0,0,0,5.69,3.64,4.81
2012-04-01,9.97,0,5.8,0,0,8.72,0,0,0,5.15,0,4.94,0,3.78,6.27,0,4.14,0,0,0,5.03,0,7.43,0,0,0,0,0,0,0,3.35,0,0,3.44,0,6.21,0,0,4.54,3.7,0,3.14,0,0,0,0,0,0,0,4.54,4.7,5.15
2012-05-01,9.97,0,5.8,0,0,8.72,0,0,0,5.15,0,4.94,0,3.78,6.27,0,4.14,0,0,0,5.03,0,7.43,0,0,0,0,0,0,0,3.35,0,0,3.44,0,6.21,0,0,4.54,3.7,0,3.14,0,0,0,0,0,0,0,4.54,4.7,5.15
2012-06-01,9.97,0,5.8,0,0,8.72,0,0,0,5.15,0,4.94,0,3.78,6.27,0,4.14,0,0,0,5.03,0,7.43,0,0,0,0,0,0,0,3.35,0,0,3.44,0,6.21,0,0,4.54,3.7,0,3.14,0,0,0,0,0,0,0,4.54,4.7,5.15
2012-07-01,10.33,0,4.22,0,0,8.58,0,0,0,5.53,0,5.35,0,3.77,6.49,0,3.69,0,0,0,3.8,0,7.78,0,0,0,0,0,0,0,2.94,0,0,3.2,0,6.59,0,0,4.26,3.84,0,3,0,0,0,4.37,0,0,0,4.5,4.46,3.28
2012-08-01,10.33,0,4.22,0,0,8.58,0,0,0,5.53,0,5.35,0,3.77,6.49,0,3.69,0,0,0,3.8,0,7.78,0,0,0,0,0,0,0,2.94,0,0,3.2,0,6.59,0,0,4.26,3.84,0,3,0,0,0,4.37,0,0,0,4.5,4.46,3.28
2012-09-01,10.33,0,4.22,0,0,8.58,0,0,0,5.53,0,5.35,0,3.77,6.49,0,3.69,0,0,0,3.8,0,7.78,0,0,0,0,0,0,0,2.94,0,0,3.2,0,6.59,0,0,4.26,3.84,0,3,0,0,0,4.37,0,0,0,4.5,4.46,3.28
