"Date","ACT","ALGT","AZN","BAC","BB","BHC","BP","BRK","C","CBI","CHT","CYD","DELL","DVA","ENDP","FCAU","GS","GSK","JPM","LE","MBI","MGA","NOK","OSTK","PKX","RFP","RSH","RYAAY","S","SAVE","SD","SHLDQ","SNY","TEVA","UTSI","VOD","VZ","WFC"
2013-04-01,7.29,0,0,0,0.6,0,0.13,15.75,6.12,0,1.32,0.14,10.39,0,0,0,3.53,0,0,0,4.48,0,5.82,9.54,0,15.36,0.78,0.43,0.92,0,0,8.96,6.57,0,0,0.09,0,0
2013-05-01,7.29,0,0,0,0.6,0,0.13,15.75,6.12,0,1.32,0.14,10.39,0,0,0,3.53,0,0,0,4.48,0,5.82,9.54,0,15.36,0.78,0.43,0.92,0,0,8.96,6.57,0,0,0.09,0,0
2013-06-01,7.29,0,0,0,0.6,0,0.13,15.75,6.12,0,1.32,0.14,10.39,0,0,0,3.53,0,0,0,4.48,0,5.82,9.54,0,15.36,0.78,0.43,0.92,0,0,8.96,6.57,0,0,0.09,0,0
2013-07-01,3.36,0,0,0,0.44,0,0.13,15.54,6.05,0,1.27,0.18,10.47,0,0,0,3.61,0,0,0,3.36,0,9.9,6.26,0,16.59,0.82,0.26,0.21,0,0,14.57,6.31,0,0,0.11,0,0
2013-08-01,3.36,0,0,0,0.44,0,0.13,15.54,6.05,0,1.27,0.18,10.47,0,0,0,3.61,0,0,0,3.36,0,9.9,6.26,0,16.59,0.82,0.26,0.21,0,0,14.57,6.31,0,0,0.11,0,0
2013-09-01,3.36,0,0,0,0.44,0,0.13,15.54,6.05,0,1.27,0.18,10.47,0,0,0,3.61,0,0,0,3.36,0,9.9,6.26,0,16.59,0.82,0.26,0.21,0,0,14.57,6.31,0,0,0.11,0,0
2013-10-01,1.94,0,0.25,0,1.36,0,0.16,17.41,6.97,0,1.33,0.17,0,0,0,0,4.34,0.16,0,0,4.21,0,13.23,5.85,0,22.09,0,0.26,0,0,0,12.86,7.17,0,0.1,0.13,0,0
2013-11-01,1.94,0,0.25,0,1.36,0,0.16,17.41,6.97,0,1.33,0.17,0,0,0,0,4.34,0.16,0,0,4.21,0,13.23,5.85,0,22.09,0,0.26,0,0,0,12.86,7.17,0,0.1,0.13,0,0
2013-12-01,1.94,0,0.25,0,1.36,0,0.16,17.41,6.97,0,1.33,0.17,0,0,0,0,4.34,0.16,0,0,4.21,0,13.23,5.85,0,22.09,0,0.26,0,0,0,12.86,7.17,0,0.1,0.13,0,0
2014-01-01,2.32,0,0.27,0,1.37,0,0.15,17.93,6.23,0,1.29,0.17,0,0,0,0,3.92,0.15,0,0,4.82,0,11.71,3.66,0,26.39,0,0.32,0,0,0,12.24,6.84,0,0.1,0.06,0.04,0
