"Date","AAPL","AFSI","AGN","AIG","ARII","CHK","CI","CLDR","CNDT","CVI","CVRR","CZR","DELL","DVMT","EBAY","EGN","ENZN","FANG","FCX","GCI","HAIN","HLF","HOLX","HPQ","HRI","HTZ","IEP","LNG","MTW","NAV","NFLX","NUAN","NWL","OXY","PYPL","RIG","SD","TEN","TGNA","TLM","TTWO","VMW","WBT","XRX"
2013-04-01,0,0,0,0,1.85,5.65,0,0,0,15.69,0.84,0,0,0,0,0,0.05,0,0,0,2.19,3.56,0,0,0,0,33.56,0,0,1.53,5.44,2.69,0,0,0,4.79,0,0,0,0,0.84,0,0,0
2013-05-01,0,0,0,0,1.85,5.65,0,0,0,15.69,0.84,0,0,0,0,0,0.05,0,0,0,2.19,3.56,0,0,0,0,33.56,0,0,1.53,5.44,2.69,0,0,0,4.79,0,0,0,0,0.84,0,0,0
2013-06-01,0,0,0,0,1.85,5.65,0,0,0,15.69,0.84,0,0,0,0,0,0.05,0,0,0,2.19,3.56,0,0,0,0,33.56,0,0,1.53,5.44,2.69,0,0,0,4.79,0,0,0,0,0.84,0,0,0
2013-07-01,7.5,0,0,0,1.89,6.98,0,0,0,11.13,0.61,0,0,0,0,0,0.04,0,0,0,0,4.81,0,0,0,0,33.95,0,0,1.97,6.95,3.98,0,0,0,3.88,0,0,0,0.3,0.89,0,0,0
2013-08-01,7.5,0,0,0,1.89,6.98,0,0,0,11.13,0.61,0,0,0,0,0,0.04,0,0,0,0,4.81,0,0,0,0,33.95,0,0,1.97,6.95,3.98,0,0,0,3.88,0,0,0,0.3,0.89,0,0,0
2013-09-01,7.5,0,0,0,1.89,6.98,0,0,0,11.13,0.61,0,0,0,0,0,0.04,0,0,0,0,4.81,0,0,0,0,33.95,0,0,1.97,6.95,3.98,0,0,0,3.88,0,0,0,0.3,0.89,0,0,0
2013-10-01,8.72,0,0,0,1.78,5.92,0,0,0,10.15,0.45,0,0,0,0,0,0.02,0,0,0,0,4.38,2.51,0,0,0,36.6,0,0,1.67,3.22,3.03,0,0,0,3.49,0,0,0,2.91,0,0,0,0
2013-11-01,8.72,0,0,0,1.78,5.92,0,0,0,10.15,0.45,0,0,0,0,0,0.02,0,0,0,0,4.38,2.51,0,0,0,36.6,0,0,1.67,3.22,3.03,0,0,0,3.49,0,0,0,2.91,0,0,0,0
2013-12-01,8.72,0,0,0,1.78,5.92,0,0,0,10.15,0.45,0,0,0,0,0,0.02,0,0,0,0,4.38,2.51,0,0,0,36.6,0,0,1.67,3.22,3.03,0,0,0,3.49,0,0,0,2.91,0,0,0,0
2014-01-01,12.29,0,0,0,2.52,5.17,0,0,0,9.14,0.42,0,0,0,4.66,0,0.02,0,0,0,0,2.96,2.23,0,0,0,32.09,0,0,1.37,2.4,3.17,0,0,0,2.7,0,0,0,2.31,0,0,0,0
2014-02-01,12.29,0,0,0,2.52,5.17,0,0,0,9.14,0.42,0,0,0,4.66,0,0.02,0,0,0,0,2.96,2.23,0,0,0,32.09,0,0,1.37,2.4,3.17,0,0,0,2.7,0,0,0,2.31,0,0,0,0
2014-03-01,12.29,0,0,0,2.52,5.17,0,0,0,9.14,0.42,0,0,0,4.66,0,0.02,0,0,0,0,2.96,2.23,0,0,0,32.09,0,0,1.37,2.4,3.17,0,0,0,2.7,0,0,0,2.31,0,0,0,0
2014-04-01,12.72,0,0,0,2.09,5.36,0,0,0,8.9,0.39,0,0,0,4,0,0.02,0,0,0.22,0,2.85,17.82,0,0,0,27.39,0,0,1.39,2.02,2.96,0,0,0,2.51,0,0,0,2.09,0,0,0,0
2014-05-01,12.72,0,0,0,2.09,5.36,0,0,0,8.9,0.39,0,0,0,4,0,0.02,0,0,0.22,0,2.85,17.82,0,0,0,27.39,0,0,1.39,2.02,2.96,0,0,0,2.51,0,0,0,2.09,0,0,0,0
2014-06-01,12.72,0,0,0,2.09,5.36,0,0,0,8.9,0.39,0,0,0,4,0,0.02,0,0,0.22,0,2.85,17.82,0,0,0,27.39,0,0,1.39,2.02,2.96,0,0,0,2.51,0,0,0,2.09,0,0,0,0
2014-07-01,15.8,0,0,0,2.61,4.54,0,0,0,9.47,0.42,0,0,0,7.72,0,0.02,0,0,1.32,0,2.21,2.47,0,0,2.93,33.74,0,0,1.4,1.89,2.79,0,0,0,2.04,0,0,0,1.96,0,0,0,0
2014-08-01,15.8,0,0,0,2.61,4.54,0,0,0,9.47,0.42,0,0,0,7.72,0,0.02,0,0,1.32,0,2.21,2.47,0,0,2.93,33.74,0,0,1.4,1.89,2.79,0,0,0,2.04,0,0,0,1.96,0,0,0,0
2014-09-01,15.8,0,0,0,2.61,4.54,0,0,0,9.47,0.42,0,0,0,7.72,0,0.02,0,0,1.32,0,2.21,2.47,0,0,2.93,33.74,0,0,1.4,1.89,2.79,0,0,0,2.04,0,0,0,1.96,0,0,0,0
2014-10-01,18.26,0,0,0,1.92,4.08,0,0,0,8.64,0.32,0,0,0,8.14,0,0,0,0,1.5,0,2.01,2.86,0,0,4.06,31.55,0,0.31,1.71,1.51,2.72,0,0,0,1.23,0,0,0,1.87,0,0,0,0
2014-11-01,18.26,0,0,0,1.92,4.08,0,0,0,8.64,0.32,0,0,0,8.14,0,0,0,0,1.5,0,2.01,2.86,0,0,4.06,31.55,0,0.31,1.71,1.51,2.72,0,0,0,1.23,0,0,0,1.87,0,0,0,0
2014-12-01,18.26,0,0,0,1.92,4.08,0,0,0,8.64,0.32,0,0,0,8.14,0,0,0,0,1.5,0,2.01,2.86,0,0,4.06,31.55,0,0.31,1.71,1.51,2.72,0,0,0,1.23,0,0,0,1.87,0,0,0,0
