"Date","AABA","ABEV","AIG","AIQ","ALLY","AMX","APO","AU","AZUL","BABA","BANR","BBD","BCEI","BIDU","BRFS","BRY","CCS","CEO","CHTR","CIT","CMLS","CX","CXPO","CZR","DLPH","DOOR","DYN","EGC","EGLE","ETFC","EURN","FBP","FCNCA","GNRT","GTY","IBN","INFN","INFY","ITUB","JD","LBTYA","LNCE","MCF","MTG","MX","NMIH","NRG","NSM","NTAP","ORIG","PBR","PCG","PULS","SBLK","SMCI","STKL","STOR","TMHC","TMS","TPCO","TRMD","TSM","TV","VALE","VICI","VIV","VRS","VSH","VST"
2012-10-01,0,0,0.81,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,40.66,6.41,0.47,0,1.87,0.77,10.75,0,6.07,0,0,0,0,10.19,0.42,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0.52,0,0,0,0,0,0.6,0,0,0,0,0.42,0,0,0,1.28,0
2012-11-01,0,0,0.81,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,40.66,6.41,0.47,0,1.87,0.77,10.75,0,6.07,0,0,0,0,10.19,0.42,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0.52,0,0,0,0,0,0.6,0,0,0,0,0.42,0,0,0,1.28,0
2012-12-01,0,0,0.81,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,40.66,6.41,0.47,0,1.87,0.77,10.75,0,6.07,0,0,0,0,10.19,0.42,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0.52,0,0,0,0,0,0.6,0,0,0,0,0.42,0,0,0,1.28,0
2013-01-01,0,0,1.23,2.24,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,12.61,1.07,0,0,2.69,2.44,10.75,0,10.49,0,0,0,0,19.11,0,0,1.74,0,0,0,0,0,0,0,0,1.35,0,0,1.46,0,0,0,0,0,0.94,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,2.27,0
2013-02-01,0,0,1.23,2.24,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,12.61,1.07,0,0,2.69,2.44,10.75,0,10.49,0,0,0,0,19.11,0,0,1.74,0,0,0,0,0,0,0,0,1.35,0,0,1.46,0,0,0,0,0,0.94,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,2.27,0
2013-03-01,0,0,1.23,2.24,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,12.61,1.07,0,0,2.69,2.44,10.75,0,10.49,0,0,0,0,19.11,0,0,1.74,0,0,0,0,0,0,0,0,1.35,0,0,1.46,0,0,0,0,0,0.94,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,2.27,0
2013-04-01,0,0,1.62,4.19,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,13.77,0,0.76,0,2.47,1.6,8.57,0,9.91,0,0,0.62,0,20.22,0,0,1.65,0,0,0,0,0,0,0,0,4.1,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,2.15,0
2013-05-01,0,0,1.62,4.19,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,13.77,0,0.76,0,2.47,1.6,8.57,0,9.91,0,0,0.62,0,20.22,0,0,1.65,0,0,0,0,0,0,0,0,4.1,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,2.15,0
2013-06-01,0,0,1.62,4.19,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,13.77,0,0.76,0,2.47,1.6,8.57,0,9.91,0,0,0.62,0,20.22,0,0,1.65,0,0,0,0,0,0,0,0,4.1,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,2.15,0
2013-07-01,0,0,2.37,6.9,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,6.43,0,0.91,0,2.45,0,9.19,12.25,8.35,0,0,1.61,0,12.46,0,0,1.45,0,0,0,0,0,0,0,0,4.58,0,0,1.9,0,0.83,0,0,0,0,2.05,0,0,0,0,1.26,0,0,0,0,0,0,0,0,1.86,0
