Date,SWKS
1984-09-07,6.0416669999999995
1984-09-10,5.8333330000000005
1984-09-11,5.875
1984-09-12,5.6666669999999995
1984-09-13,5.6666669999999995
1984-09-14,5.7916669999999995
1984-09-17,5.6666669999999995
1984-09-18,5.5416669999999995
1984-09-19,5.5416669999999995
1984-09-20,5.5833330000000005
1984-09-21,5.5416669999999995
1984-09-24,5.3333330000000005
1984-09-25,5.1666669999999995
1984-09-26,5.0
1984-09-27,4.9583330000000005
1984-09-28,5.0416669999999995
1984-10-01,5.0416669999999995
1984-10-02,5.0
1984-10-03,5.0
1984-10-04,4.0
1984-10-05,4.0416669999999995
1984-10-08,4.0
1984-10-09,4.125
1984-10-10,4.1666669999999995
1984-10-11,4.1666669999999995
1984-10-12,4.1666669999999995
1984-10-15,4.25
1984-10-16,4.1666669999999995
1984-10-17,4.0833330000000005
1984-10-18,4.0833330000000005
1984-10-19,4.1666669999999995
1984-10-22,4.25
1984-10-23,4.1666669999999995
1984-10-24,4.1666669999999995
1984-10-25,4.0833330000000005
1984-10-26,4.125
1984-10-29,4.125
1984-10-30,4.0833330000000005
1984-10-31,4.0416669999999995
1984-11-01,4.0416669999999995
1984-11-02,4.125
1984-11-05,4.1666669999999995
1984-11-06,4.375
1984-11-07,4.5
1984-11-08,4.4583330000000005
1984-11-09,4.5416669999999995
1984-11-12,4.5416669999999995
1984-11-13,4.4166669999999995
1984-11-14,4.4166669999999995
1984-11-15,4.4166669999999995
1984-11-16,4.4583330000000005
1984-11-19,4.2916669999999995
1984-11-20,4.125
1984-11-21,4.0416669999999995
1984-11-23,4.0
1984-11-26,3.958333
1984-11-27,3.583333
1984-11-28,3.375
1984-11-29,3.208333
1984-11-30,3.333333
1984-12-03,3.583333
1984-12-04,3.375
1984-12-05,3.333333
1984-12-06,3.375
1984-12-07,3.333333
1984-12-10,3.333333
1984-12-11,3.375
1984-12-12,3.375
1984-12-13,3.333333
1984-12-14,3.333333
1984-12-17,3.375
1984-12-18,3.5
1984-12-19,3.666667
1984-12-20,3.541667
1984-12-21,3.416667
1984-12-24,3.5
1984-12-26,3.625
1984-12-27,3.458333
1984-12-28,3.541667
1984-12-31,3.791667
1985-01-02,3.875
1985-01-03,3.666667
1985-01-04,3.583333
1985-01-07,3.583333
1985-01-08,3.375
1985-01-09,3.333333
1985-01-10,3.416667
1985-01-11,3.458333
1985-01-14,3.666667
1985-01-15,3.958333
1985-01-16,3.958333
1985-01-17,3.875
1985-01-18,3.958333
1985-01-21,3.791667
1985-01-22,3.458333
1985-01-23,3.625
1985-01-24,3.875
1985-01-25,3.833333
1985-01-28,3.958333
1985-01-29,3.875
1985-01-30,4.0
1985-01-31,3.916667
1985-02-01,3.791667
1985-02-04,3.666667
1985-02-05,3.875
1985-02-06,4.25
1985-02-07,4.5833330000000005
1985-02-08,4.5833330000000005
1985-02-11,4.5
1985-02-12,4.375
1985-02-13,4.4583330000000005
1985-02-14,4.375
1985-02-15,4.5
1985-02-19,4.5416669999999995
1985-02-20,4.4583330000000005
1985-02-21,4.4583330000000005
1985-02-22,4.5
1985-02-25,4.5416669999999995
1985-02-26,4.6666669999999995
1985-02-27,4.625
1985-02-28,4.5833330000000005
1985-03-01,4.625
1985-03-04,4.5833330000000005
1985-03-05,4.5833330000000005
1985-03-06,4.7083330000000005
1985-03-07,4.7083330000000005
1985-03-08,4.625
1985-03-11,4.5833330000000005
1985-03-12,4.5416669999999995
1985-03-13,4.2916669999999995
1985-03-14,4.2916669999999995
1985-03-15,4.0833330000000005
1985-03-18,4.0
1985-03-19,3.958333
1985-03-20,3.791667
1985-03-21,3.75
1985-03-22,3.833333
1985-03-25,3.833333
1985-03-26,3.833333
1985-03-27,3.875
1985-03-28,4.125
1985-03-29,4.25
1985-04-01,4.125
1985-04-02,4.0833330000000005
1985-04-03,4.0
1985-04-04,3.916667
1985-04-08,3.791667
1985-04-09,3.666667
1985-04-10,3.5
1985-04-11,3.625
1985-04-12,3.666667
1985-04-15,3.875
1985-04-16,3.875
1985-04-17,3.875
1985-04-18,3.833333
1985-04-19,3.791667
1985-04-22,3.791667
1985-04-23,3.625
1985-04-24,3.5
1985-04-25,3.583333
1985-04-26,3.666667
1985-04-29,3.666667
1985-04-30,3.666667
1985-05-01,3.666667
1985-05-02,3.708333
1985-05-03,3.916667
1985-05-06,3.875
1985-05-07,3.916667
1985-05-08,3.791667
1985-05-09,3.916667
1985-05-10,4.0
1985-05-13,3.916667
1985-05-14,3.875
1985-05-15,3.875
1985-05-16,3.666667
1985-05-17,3.75
1985-05-20,3.708333
1985-05-21,3.583333
1985-05-22,3.541667
1985-05-23,3.541667
1985-05-24,3.583333
1985-05-28,3.958333
1985-05-29,4.125
1985-05-30,4.3333330000000005
1985-05-31,4.375
1985-06-03,4.375
1985-06-04,4.3333330000000005
1985-06-05,4.3333330000000005
1985-06-06,4.25
1985-06-07,4.1666669999999995
1985-06-10,4.0833330000000005
1985-06-11,4.1666669999999995
1985-06-12,4.1666669999999995
1985-06-13,4.1666669999999995
1985-06-14,4.125
1985-06-17,4.0833330000000005
1985-06-18,4.0416669999999995
1985-06-19,4.0833330000000005
1985-06-20,3.916667
1985-06-21,4.25
1985-06-24,4.375
1985-06-25,4.3333330000000005
1985-06-26,4.3333330000000005
1985-06-27,4.375
1985-06-28,4.3333330000000005
1985-07-01,4.3333330000000005
1985-07-02,4.3333330000000005
1985-07-03,4.3333330000000005
1985-07-05,4.3333330000000005
1985-07-08,4.3333330000000005
1985-07-09,4.4166669999999995
1985-07-10,4.375
1985-07-11,4.3333330000000005
1985-07-12,4.3333330000000005
1985-07-15,4.375
1985-07-16,4.3333330000000005
1985-07-17,4.2916669999999995
1985-07-18,4.3333330000000005
1985-07-19,4.2916669999999995
1985-07-22,4.3333330000000005
1985-07-23,4.3333330000000005
1985-07-24,4.2916669999999995
1985-07-25,4.3333330000000005
1985-07-26,4.3333330000000005
1985-07-29,4.2916669999999995
1985-07-30,4.1666669999999995
1985-07-31,4.0833330000000005
1985-08-01,4.0833330000000005
1985-08-02,4.0833330000000005
1985-08-05,4.0833330000000005
1985-08-06,4.0833330000000005
1985-08-07,4.0833330000000005
1985-08-08,4.0833330000000005
1985-08-09,4.125
1985-08-12,4.0416669999999995
1985-08-13,4.1666669999999995
1985-08-14,4.0416669999999995
1985-08-15,4.0416669999999995
1985-08-16,4.0833330000000005
1985-08-19,4.0
1985-08-20,3.958333
1985-08-21,3.916667
1985-08-22,3.916667
1985-08-23,3.875
1985-08-26,3.875
1985-08-27,3.875
1985-08-28,3.875
1985-08-29,4.0
1985-08-30,3.916667
1985-09-03,3.916667
1985-09-04,3.875
1985-09-05,3.791667
1985-09-06,3.75
1985-09-09,3.75
1985-09-10,3.708333
1985-09-11,3.708333
1985-09-12,3.666667
1985-09-13,3.666667
1985-09-16,3.5
1985-09-17,3.541667
1985-09-18,3.583333
1985-09-19,3.916667
1985-09-20,3.875
1985-09-23,3.708333
1985-09-24,3.541667
1985-09-25,3.625
1985-09-26,3.625
1985-09-30,3.625
1985-10-01,3.666667
1985-10-02,3.666667
1985-10-03,3.666667
1985-10-04,3.666667
1985-10-07,3.541667
1985-10-08,3.5
1985-10-09,3.375
1985-10-10,3.333333
1985-10-11,3.25
1985-10-14,3.291667
1985-10-15,3.375
1985-10-16,3.333333
1985-10-17,3.291667
1985-10-18,3.333333
1985-10-21,3.333333
1985-10-22,3.291667
1985-10-23,3.333333
1985-10-24,3.291667
1985-10-25,3.25
1985-10-28,3.25
1985-10-29,3.208333
1985-10-30,3.208333
1985-10-31,3.208333
1985-11-01,3.166667
1985-11-04,3.166667
1985-11-05,3.0
1985-11-06,3.0
1985-11-07,2.958333
1985-11-08,2.791667
1985-11-11,2.791667
1985-11-12,2.75
1985-11-13,2.708333
1985-11-14,2.75
1985-11-15,2.791667
1985-11-18,3.166667
1985-11-19,3.25
1985-11-20,3.25
1985-11-21,3.166667
1985-11-22,3.25
1985-11-25,3.083333
1985-11-26,3.166667
1985-11-27,3.208333
