Date,XLNX
1990-06-12,1.166667
1990-06-13,1.291667
1990-06-14,1.333333
1990-06-15,1.291667
1990-06-18,1.239583
1990-06-19,1.28125
1990-06-20,1.270833
1990-06-21,1.270833
1990-06-22,1.260417
1990-06-25,1.25
1990-06-26,1.229167
1990-06-27,1.28125
1990-06-28,1.270833
1990-06-29,1.25
1990-07-02,1.239583
1990-07-03,1.25
1990-07-05,1.229167
1990-07-06,1.25
1990-07-09,1.229167
1990-07-10,1.291667
1990-07-11,1.270833
1990-07-12,1.270833
1990-07-13,1.333333
1990-07-16,1.333333
1990-07-17,1.333333
1990-07-18,1.375
1990-07-19,1.364583
1990-07-20,1.354167
1990-07-23,1.270833
1990-07-24,1.239583
1990-07-25,1.291667
1990-07-26,1.270833
1990-07-27,1.270833
1990-07-30,1.229167
1990-07-31,1.208333
1990-08-01,1.229167
1990-08-02,1.145833
1990-08-03,1.111979
1990-08-06,1.041667
1990-08-07,1.104167
1990-08-08,1.1875
1990-08-09,1.166667
1990-08-10,1.166667
1990-08-13,1.114583
1990-08-14,1.135417
1990-08-15,1.1875
1990-08-16,1.083333
1990-08-17,1.125
1990-08-20,1.104167
1990-08-21,1.104167
1990-08-22,1.104167
1990-08-23,1.0625
1990-08-24,1.104167
1990-08-27,1.208333
1990-08-28,1.229167
1990-08-29,1.1875
1990-08-30,1.1875
1990-08-31,1.25
1990-09-04,1.291667
1990-09-05,1.270833
1990-09-06,1.229167
1990-09-07,1.125
1990-09-10,1.166667
1990-09-11,1.145833
1990-09-12,1.208333
1990-09-13,1.1875
1990-09-14,1.1875
1990-09-17,1.229167
1990-09-18,1.208333
1990-09-19,1.229167
1990-09-20,1.208333
1990-09-21,1.197917
1990-09-24,1.104167
1990-09-25,1.145833
1990-09-26,1.104167
1990-09-27,1.0625
1990-09-28,1.0625
1990-10-01,1.104167
1990-10-02,1.020833
1990-10-03,0.916667
1990-10-04,0.916667
1990-10-05,0.895833
1990-10-08,0.854167
1990-10-09,0.854167
1990-10-10,0.854167
1990-10-11,0.8125
1990-10-12,0.854167
1990-10-15,0.875
1990-10-16,0.885417
1990-10-17,0.916667
1990-10-18,0.916667
1990-10-19,0.927083
1990-10-22,0.979167
1990-10-23,0.96875
1990-10-24,0.927083
1990-10-25,0.916667
1990-10-26,0.9375
1990-10-29,0.9375
1990-10-30,0.9375
1990-10-31,0.9375
1990-11-01,0.947917
1990-11-02,1.020833
1990-11-05,1.020833
1990-11-06,1.020833
1990-11-07,1.010417
1990-11-08,1.020833
1990-11-09,1.020833
1990-11-12,1.083333
1990-11-13,1.104167
1990-11-14,1.145833
1990-11-15,1.145833
1990-11-16,1.125
1990-11-19,1.125
1990-11-20,1.114583
1990-11-21,1.104167
1990-11-23,1.020833
1990-11-26,1.020833
1990-11-27,1.0625
1990-11-28,1.0625
1990-11-29,1.0625
1990-11-30,1.0625
1990-12-03,1.104167
1990-12-04,1.125
1990-12-05,1.145833
1990-12-06,1.1875
1990-12-07,1.083333
1990-12-10,1.020833
1990-12-11,1.041667
1990-12-12,1.125
1990-12-13,1.104167
1990-12-14,1.09375
1990-12-17,1.083333
1990-12-18,1.104167
1990-12-19,1.125
1990-12-20,1.104167
1990-12-21,1.09375
1990-12-24,1.083333
1990-12-26,1.145833
1990-12-27,1.114583
1990-12-28,1.125
1990-12-31,1.145833
1991-01-02,1.125
1991-01-03,1.125
1991-01-04,1.104167
1991-01-07,1.052083
1991-01-08,1.104167
1991-01-09,1.125
1991-01-10,1.208333
1991-01-11,1.1875
1991-01-14,1.166667
1991-01-15,1.125
1991-01-16,1.229167
1991-01-17,1.333333
1991-01-18,1.322917
1991-01-21,1.333333
1991-01-22,1.427083
1991-01-23,1.427083
1991-01-24,1.458333
1991-01-25,1.416667
1991-01-28,1.479167
1991-01-29,1.520833
1991-01-30,1.604167
1991-01-31,1.604167
1991-02-01,1.5625
1991-02-04,1.604167
1991-02-05,1.666667
1991-02-06,1.6875
1991-02-07,1.5625
1991-02-08,1.5625
1991-02-11,1.520833
1991-02-12,1.479167
1991-02-13,1.520833
1991-02-14,1.479167
1991-02-15,1.520833
1991-02-19,1.5
1991-02-20,1.479167
1991-02-21,1.520833
1991-02-22,1.520833
1991-02-25,1.520833
1991-02-26,1.458333
1991-02-27,1.479167
1991-02-28,1.5
1991-03-01,1.604167
1991-03-04,1.708333
1991-03-05,1.791667
1991-03-06,1.875
1991-03-07,1.854167
1991-03-08,1.895833
1991-03-11,1.854167
1991-03-12,1.75
1991-03-13,1.802083
1991-03-14,1.8125
1991-03-15,1.708333
1991-03-18,1.625
1991-03-19,1.6875
1991-03-20,1.6875
1991-03-21,1.6875
1991-03-22,1.645833
1991-03-25,1.65625
1991-03-26,1.75
1991-03-27,1.770833
1991-03-28,1.791667
1991-04-01,1.770833
1991-04-02,1.875
1991-04-03,1.958333
1991-04-04,1.9375
1991-04-05,1.895833
1991-04-08,1.895833
1991-04-09,1.833333
1991-04-10,1.791667
1991-04-11,1.833333
1991-04-12,1.979167
1991-04-15,2.020833
1991-04-16,2.020833
1991-04-17,2.166667
1991-04-18,2.125
1991-04-19,2.020833
1991-04-22,1.916667
1991-04-23,1.9375
1991-04-24,2.0
1991-04-25,1.979167
1991-04-26,1.958333
1991-04-29,1.854167
1991-04-30,1.791667
1991-05-01,1.8125
1991-05-02,1.854167
1991-05-03,1.833333
1991-05-06,1.833333
1991-05-07,1.8125
1991-05-08,1.8125
1991-05-09,1.833333
1991-05-10,1.875
1991-05-13,1.916667
1991-05-14,1.895833
1991-05-15,1.791667
1991-05-16,1.833333
1991-05-17,1.833333
1991-05-20,1.833333
1991-05-21,1.833333
1991-05-22,1.833333
1991-05-23,1.833333
1991-05-24,1.8125
1991-05-28,1.854167
1991-05-29,1.854167
1991-05-30,1.9375
1991-05-31,1.979167
1991-06-03,1.9375
1991-06-04,1.9375
1991-06-05,1.958333
1991-06-06,1.958333
1991-06-07,1.875
1991-06-10,1.875
1991-06-11,1.895833
1991-06-12,1.875
1991-06-13,1.9375
1991-06-14,1.9375
1991-06-17,2.0
1991-06-18,1.916667
1991-06-19,1.833333
1991-06-20,1.833333
1991-06-21,1.854167
1991-06-24,1.8125
1991-06-25,1.770833
1991-06-26,1.729167
1991-06-27,1.666667
1991-06-28,1.75
1991-07-01,1.729167
1991-07-02,1.729167
1991-07-03,1.729167
1991-07-05,1.708333
1991-07-08,1.8125
1991-07-09,1.916667
1991-07-10,1.947917
1991-07-11,2.020833
1991-07-12,2.041667
1991-07-15,2.0625
1991-07-16,2.0625
1991-07-17,2.0625
1991-07-18,2.041667
1991-07-19,2.125
1991-07-22,2.145833
1991-07-23,2.166667
1991-07-24,2.104167
1991-07-25,2.125
1991-07-26,2.125
1991-07-29,2.145833
1991-07-30,2.125
1991-07-31,2.104167
1991-08-01,2.104167
1991-08-02,2.166667
1991-08-05,2.208333
1991-08-06,2.322917
1991-08-07,2.333333
1991-08-08,2.333333
1991-08-09,2.375
1991-08-12,2.333333
1991-08-13,2.354167
1991-08-14,2.375
1991-08-15,2.354167
1991-08-16,2.333333
1991-08-19,2.166667
1991-08-20,2.15625
1991-08-21,2.333333
1991-08-22,2.34375
1991-08-23,2.34375
1991-08-26,2.354167
1991-08-27,2.354167
1991-08-28,2.354167
1991-08-29,2.479167
1991-08-30,2.520833
1991-09-03,2.5625
1991-09-04,2.5
1991-09-05,2.520833
1991-09-06,2.489583
1991-09-09,2.458333
1991-09-10,2.479167
1991-09-11,2.395833
1991-09-12,2.333333
1991-09-13,2.260417
1991-09-16,2.354167
