,,,,正確,Train: 200801-2018012,,,,,,Train:197001-2018012,,,,
,日期,個人支出,PMI(類別),157015(y),svm(sigmoid),svm(poly),svm(rbf),DecisionTree,RandomForest,,svm(sigmoid),svm(poly),svm(rbf),DecisionTree,RandomForest
0,2020-05-01,-13.6,0,1,0,-1,-1,-1,-1,,0,0,-1,-1,-1
1,2020-04-01,-7.5,0,-1,0,0,0,0,-1,,0,0,0,0,0
2,2020-03-01,0.2,0,-1,0,0,0,0,0,,0,0,0,0,0
3,2020-02-01,0.2,1,0,0,0,0,0,0,,0,0,0,0,0
4,2020-01-01,0.3,1,0,0,0,0,0,0,,0,0,0,0,0
5,2019-12-01,0.4,0,0,0,0,0,0,0,,0,0,0,0,0
6,2019-11-01,0.3,0,0,0,0,0,0,0,,0,0,0,0,0
7,2019-10-01,0.2,0,0,0,0,0,0,0,,0,0,0,0,0
8,2019-09-01,0.1,0,0,0,0,0,0,0,,0,0,0,0,0
9,2019-08-01,0.6,0,0,0,0,0,0,0,,0,0,0,0,0
10,2019-07-01,0.3,1,1,0,0,0,0,0,,0,0,0,0,0
11,2019-06-01,0.4,1,-1,0,0,0,0,0,,0,0,0,0,0
12,2019-05-01,0.3,1,0,0,0,0,0,0,,0,0,0,0,0
13,2019-04-01,0.9,1,0,0,0,0,0,0,,0,0,0,0,0
14,2019-03-01,0.9,1,0,0,0,0,0,0,,0,0,0,0,0
15,2019-02-01,0.1,1,1,0,0,0,0,0,,0,0,0,0,0
16,2019-01-01,-0.5,1,-1,0,0,0,0,0,,0,0,0,0,0
