Date,AGO
2004-04-23,18.0
2004-04-26,17.799999
2004-04-27,18.0
2004-04-28,17.85
2004-04-29,17.620001000000002
2004-04-30,17.700001
2004-05-03,17.85
2004-05-04,17.799999
2004-05-05,17.76
2004-05-06,17.700001
2004-05-07,17.52
2004-05-10,17.26
2004-05-11,17.309998999999998
2004-05-12,17.17
2004-05-13,17.049999
2004-05-14,16.809998999999998
2004-05-17,16.52
2004-05-18,16.4
2004-05-19,16.5
2004-05-20,16.620001000000002
2004-05-21,16.57
2004-05-24,16.530001000000002
2004-05-25,16.85
2004-05-26,16.74
2004-05-27,17.0
2004-05-28,17.0
2004-06-01,16.92
2004-06-02,17.0
2004-06-03,17.18
2004-06-04,17.4
2004-06-07,17.540001
2004-06-08,17.65
2004-06-09,17.6
2004-06-10,17.51
2004-06-14,17.469998999999998
2004-06-15,17.309998999999998
2004-06-16,17.389999
2004-06-17,17.25
2004-06-18,17.25
2004-06-21,17.129998999999998
2004-06-22,17.0
2004-06-23,16.6
2004-06-24,16.959999
2004-06-25,16.84
2004-06-28,16.65
2004-06-29,16.790001
2004-06-30,16.950001
2004-07-01,16.75
2004-07-02,17.049999
2004-07-06,17.0
2004-07-07,17.0
2004-07-08,17.129998999999998
2004-07-09,17.25
2004-07-12,17.280001000000002
2004-07-13,17.26
2004-07-14,17.4
2004-07-15,17.459999
2004-07-16,17.24
2004-07-19,17.25
2004-07-20,17.049999
2004-07-21,17.120001000000002
2004-07-22,17.09
2004-07-23,17.0
2004-07-26,16.98
2004-07-27,17.01
2004-07-28,16.99
2004-07-29,17.1
2004-07-30,17.25
2004-08-02,17.200001
2004-08-03,17.139999
2004-08-04,16.200001
2004-08-05,15.79
2004-08-06,15.77
2004-08-09,15.61
2004-08-10,15.83
2004-08-11,15.94
2004-08-12,15.64
2004-08-13,15.5
2004-08-16,15.5
2004-08-17,15.2
2004-08-18,14.96
2004-08-19,15.37
2004-08-20,15.8
2004-08-23,15.75
2004-08-24,15.78
2004-08-25,15.77
2004-08-26,15.9
2004-08-27,15.92
2004-08-30,15.92
2004-08-31,16.030001000000002
2004-09-01,16.15
2004-09-02,16.1
2004-09-03,16.09
2004-09-07,15.95
2004-09-08,15.81
2004-09-09,15.79
2004-09-10,15.93
2004-09-13,16.040001
2004-09-14,16.049999
2004-09-15,16.0
2004-09-16,16.5
2004-09-17,16.75
2004-09-20,16.690001000000002
2004-09-21,16.860001
2004-09-22,16.85
2004-09-23,16.76
2004-09-24,16.700001
2004-09-27,16.129998999999998
2004-09-28,16.23
2004-09-29,16.200001
2004-09-30,16.66
2004-10-01,16.67
2004-10-04,16.6
2004-10-05,16.49
2004-10-06,16.76
2004-10-07,16.360001
2004-10-08,16.440001000000002
2004-10-11,16.51
2004-10-12,16.24
2004-10-13,16.559998999999998
2004-10-14,16.32
2004-10-15,16.33
2004-10-18,16.360001
2004-10-19,16.139999
2004-10-20,16.73
2004-10-21,16.85
2004-10-22,16.77
2004-10-25,16.719998999999998
2004-10-26,16.48
2004-10-27,16.299999
2004-10-28,16.5
2004-10-29,16.42
2004-11-01,16.690001000000002
2004-11-02,16.870001000000002
2004-11-03,16.629998999999998
2004-11-04,17.25
2004-11-05,17.5
2004-11-08,18.110001
2004-11-09,17.950001
2004-11-10,17.639999
2004-11-11,17.5
2004-11-12,17.77
2004-11-15,17.950001
2004-11-16,18.139999
2004-11-17,17.780001000000002
2004-11-18,17.34
2004-11-19,17.16
2004-11-22,17.65
2004-11-23,17.98
2004-11-24,17.93
2004-11-26,17.93
2004-11-29,18.25
2004-11-30,18.42
2004-12-01,18.4
2004-12-02,18.450001
2004-12-03,18.1
2004-12-06,18.34
2004-12-07,18.549999
2004-12-08,18.4
2004-12-09,18.540001
2004-12-10,18.530001000000002
2004-12-13,18.41
2004-12-14,18.49
2004-12-15,18.67
2004-12-16,18.52
2004-12-17,17.870001000000002
2004-12-20,18.190001000000002
2004-12-21,18.65
2004-12-22,19.1
2004-12-23,19.139999
2004-12-27,19.48
2004-12-28,19.6
2004-12-29,19.5
2004-12-30,19.549999
2004-12-31,19.67
2005-01-03,19.610001
2005-01-04,19.549999
2005-01-05,19.450001
2005-01-06,19.299999
2005-01-07,18.9
2005-01-10,19.129998999999998
2005-01-11,18.91
2005-01-12,18.780001000000002
2005-01-13,18.870001000000002
2005-01-14,18.5
2005-01-18,18.719998999999998
2005-01-19,18.530001000000002
2005-01-20,18.700001
2005-01-21,18.6
2005-01-24,18.370001000000002
2005-01-25,18.379998999999998
2005-01-26,18.07
2005-01-27,17.700001
2005-01-28,17.709999
2005-01-31,17.6
2005-02-01,17.969998999999998
2005-02-02,18.0
2005-02-03,17.950001
2005-02-04,18.25
2005-02-07,18.35
2005-02-08,18.309998999999998
2005-02-09,18.26
2005-02-10,18.030001000000002
2005-02-11,19.02
2005-02-14,19.129998999999998
2005-02-15,19.1
2005-02-16,19.16
2005-02-17,19.23
2005-02-18,19.09
2005-02-22,19.01
2005-02-23,18.82
2005-02-24,18.799999
2005-02-25,18.950001
2005-02-28,18.940001000000002
2005-03-01,18.99
2005-03-02,18.99
2005-03-03,18.85
2005-03-04,18.959999
2005-03-07,18.950001
2005-03-08,18.92
2005-03-09,18.889999
2005-03-10,18.9
2005-03-11,18.9
2005-03-14,18.799999
2005-03-15,18.82
2005-03-16,18.450001
2005-03-17,18.549999
2005-03-18,18.549999
2005-03-21,18.59
2005-03-22,18.6
2005-03-23,18.48
2005-03-24,18.27
2005-03-28,18.299999
2005-03-29,18.200001
2005-03-30,18.299999
2005-03-31,17.950001
2005-04-01,17.99
2005-04-04,18.030001000000002
2005-04-05,18.049999
2005-04-06,18.01
2005-04-07,17.98
2005-04-08,18.09
2005-04-11,18.1
2005-04-12,18.15
2005-04-13,18.030001000000002
2005-04-14,17.75
2005-04-15,17.469998999999998
2005-04-18,17.360001
2005-04-19,18.200001
2005-04-20,17.860001
2005-04-21,18.450001
2005-04-22,18.68
2005-04-25,19.15
2005-04-26,19.200001
2005-04-27,18.42
2005-04-28,18.620001000000002
2005-04-29,19.059998999999998
2005-05-02,19.26
2005-05-03,19.120001000000002
2005-05-04,19.18
2005-05-05,19.290001
2005-05-06,19.75
2005-05-09,19.620001000000002
2005-05-10,19.75
2005-05-11,19.459999
2005-05-12,19.58
2005-05-13,19.52
2005-05-16,19.549999
2005-05-17,19.809998999999998
2005-05-18,20.01
2005-05-19,20.309998999999998
2005-05-20,20.26
2005-05-23,20.51
2005-05-24,20.59
2005-05-25,20.5
2005-05-26,20.5
2005-05-27,20.57
2005-05-31,20.549999
2005-06-01,20.299999
2005-06-02,20.360001
2005-06-03,20.42
2005-06-06,20.77
2005-06-07,21.26
2005-06-08,21.620001000000002
2005-06-09,21.77
2005-06-10,21.75
2005-06-13,22.049999
2005-06-14,22.25
2005-06-15,23.07
2005-06-16,23.01
2005-06-17,23.23
2005-06-20,22.700001
2005-06-21,22.5
2005-06-22,22.25
2005-06-23,22.59
2005-06-24,22.950001
2005-06-27,22.559998999999998
2005-06-28,22.75
2005-06-29,22.9
2005-06-30,23.360001
2005-07-01,23.33
2005-07-05,23.4
2005-07-06,23.35
2005-07-07,23.25
2005-07-08,23.030001000000002
2005-07-11,23.219998999999998
2005-07-12,23.18
2005-07-13,23.129998999999998
2005-07-14,23.139999
2005-07-15,23.379998999999998
2005-07-18,23.209999
2005-07-19,23.450001
2005-07-20,23.219998999999998
2005-07-21,23.01
2005-07-22,23.280001000000002
2005-07-25,23.48
2005-07-26,23.49
2005-07-27,23.6
2005-07-28,23.629998999999998
2005-07-29,23.85
2005-08-01,23.74
2005-08-02,23.68
2005-08-03,23.91
2005-08-04,23.57
2005-08-05,22.73
2005-08-08,23.030001000000002
2005-08-09,22.459999
2005-08-10,22.15
2005-08-11,22.27
2005-08-12,22.35
2005-08-15,22.23
2005-08-16,22.17
2005-08-17,22.15
2005-08-18,22.360001
2005-08-19,22.16
2005-08-22,22.280001000000002
2005-08-23,22.15
2005-08-24,21.870001000000002
2005-08-25,22.07
2005-08-26,22.02
2005-08-29,22.32
2005-08-30,22.549999
2005-08-31,22.4
2005-09-01,22.219998999999998
2005-09-02,21.99
2005-09-06,22.0
2005-09-07,21.950001
2005-09-08,21.82
2005-09-09,21.719998999999998
2005-09-12,21.85
2005-09-13,21.620001000000002
2005-09-14,21.48
2005-09-15,21.34
2005-09-16,22.0
2005-09-19,22.5
2005-09-20,22.65
2005-09-21,22.379998999999998
2005-09-22,22.18
2005-09-23,22.129998999999998
2005-09-26,22.700001
2005-09-27,23.219998999999998
2005-09-28,23.26
2005-09-29,23.59
2005-09-30,23.93
2005-10-03,23.82
2005-10-04,23.49
2005-10-05,22.700001
2005-10-06,22.59
2005-10-07,22.780001000000002
2005-10-10,22.629998999999998
2005-10-11,22.5
2005-10-12,21.82
2005-10-13,21.9
2005-10-14,21.620001000000002
2005-10-17,21.959999
2005-10-18,21.809998999999998
2005-10-19,21.889999
2005-10-20,22.049999
2005-10-21,22.34
2005-10-24,22.67
2005-10-25,22.35
2005-10-26,22.0
2005-10-27,21.879998999999998
2005-10-28,22.0
2005-10-31,22.379998999999998
2005-11-01,22.959999
2005-11-02,22.74
2005-11-03,23.370001000000002
2005-11-04,24.5
2005-11-07,24.98
2005-11-08,24.9
2005-11-09,25.219998999999998
2005-11-10,25.120001000000002
2005-11-11,25.18
2005-11-14,25.5
2005-11-15,25.65
2005-11-16,25.65
2005-11-17,25.950001
2005-11-18,26.139999
2005-11-21,25.879998999999998
2005-11-22,25.75
2005-11-23,25.92
2005-11-25,25.92
2005-11-28,25.780001000000002
2005-11-29,25.92
2005-11-30,26.32
2005-12-01,26.469998999999998
2005-12-02,26.49
2005-12-05,26.549999
2005-12-06,26.379998999999998
2005-12-07,26.15
2005-12-08,26.200001
2005-12-09,26.25
2005-12-12,25.98
2005-12-13,25.84
2005-12-14,26.18
2005-12-15,25.959999
2005-12-16,25.719998999999998
2005-12-19,24.91
2005-12-20,25.35
2005-12-21,25.24
2005-12-22,25.15
2005-12-23,25.1
2005-12-27,25.440001000000002
2005-12-28,25.51
2005-12-29,25.559998999999998
2005-12-30,25.389999
2006-01-03,25.299999
2006-01-04,24.9
2006-01-05,24.889999
2006-01-06,24.85
2006-01-09,25.17
2006-01-10,25.5
2006-01-11,25.450001
2006-01-12,25.5
2006-01-13,25.5
2006-01-17,25.49
2006-01-18,25.450001
2006-01-19,25.360001
2006-01-20,24.780001000000002
2006-01-23,24.76
2006-01-24,24.84
2006-01-25,24.9
2006-01-26,25.299999
2006-01-27,25.540001
2006-01-30,25.75
2006-01-31,25.469998999999998
2006-02-01,25.549999
2006-02-02,25.5
2006-02-03,25.360001
2006-02-06,25.42
2006-02-07,25.58
2006-02-08,25.790001
2006-02-09,25.83
2006-02-10,25.75
2006-02-13,25.65
2006-02-14,26.389999
2006-02-15,26.6
2006-02-16,26.43
2006-02-17,26.4
2006-02-21,26.040001
2006-02-22,27.280001000000002
2006-02-23,26.799999
2006-02-24,26.440001000000002
2006-02-27,26.34
2006-02-28,26.4
2006-03-01,26.1
2006-03-02,27.049999
2006-03-03,26.969998999999998
2006-03-06,26.969998999999998
2006-03-07,26.66
2006-03-08,26.35
2006-03-09,26.0
2006-03-10,26.24
2006-03-13,26.01
2006-03-14,26.17
2006-03-15,25.99
2006-03-16,26.09
2006-03-17,25.99
2006-03-20,25.33
2006-03-21,25.299999
2006-03-22,24.98
2006-03-23,24.93
2006-03-24,24.799999
2006-03-27,25.0
2006-03-28,24.76
2006-03-29,24.92
2006-03-30,24.98
2006-03-31,25.0
2006-04-03,24.93
2006-04-04,24.879998999999998
2006-04-05,24.950001
2006-04-06,24.889999
2006-04-07,24.6
2006-04-10,25.0
2006-04-11,24.940001000000002
2006-04-12,24.93
2006-04-13,24.9
2006-04-17,24.940001000000002
2006-04-18,24.91
2006-04-19,25.0
2006-04-20,25.0
2006-04-21,25.0
2006-04-24,24.99
2006-04-25,24.98
2006-04-26,24.84
2006-04-27,24.85
2006-04-28,24.85
2006-05-01,24.98
2006-05-02,24.99
