Date,APO
2011-03-30,18.200001
2011-03-31,18.0
2011-04-01,18.0
2011-04-04,17.879998999999998
2011-04-05,17.98
2011-04-06,18.1
2011-04-07,18.01
2011-04-08,18.0
2011-04-11,18.059998999999998
2011-04-12,18.190001000000002
2011-04-13,18.1
2011-04-14,18.25
2011-04-15,18.5
2011-04-18,18.18
2011-04-19,18.200001
2011-04-20,18.23
2011-04-21,18.110001
2011-04-25,18.059998999999998
2011-04-26,18.18
2011-04-27,18.18
2011-04-28,18.110001
2011-04-29,18.08
2011-05-02,18.190001000000002
2011-05-03,18.27
2011-05-04,17.98
2011-05-05,17.940001000000002
2011-05-06,17.969998999999998
2011-05-09,18.5
2011-05-10,18.709999
2011-05-11,18.48
2011-05-12,18.42
2011-05-13,18.27
2011-05-16,17.83
2011-05-17,17.18
2011-05-18,17.85
2011-05-19,17.77
2011-05-20,17.85
2011-05-23,17.6
2011-05-24,17.57
2011-05-25,17.370001000000002
2011-05-26,17.75
2011-05-27,18.190001000000002
2011-05-31,18.02
2011-06-01,17.93
2011-06-02,17.860001
2011-06-03,17.85
2011-06-06,17.4
2011-06-07,16.92
2011-06-08,16.75
2011-06-09,16.290001
2011-06-10,15.64
2011-06-13,15.51
2011-06-14,16.0
2011-06-15,15.97
2011-06-16,15.87
2011-06-17,15.95
2011-06-20,15.7
2011-06-21,16.0
2011-06-22,16.32
2011-06-23,16.1
2011-06-24,16.0
2011-06-27,16.120001000000002
2011-06-28,16.59
2011-06-29,17.129998999999998
2011-06-30,17.200001
2011-07-01,17.139999
2011-07-05,16.99
2011-07-06,16.879998999999998
2011-07-07,16.870001000000002
2011-07-08,17.0
2011-07-11,16.540001
2011-07-12,16.65
2011-07-13,16.389999
2011-07-14,16.26
2011-07-15,16.5
2011-07-18,15.9
2011-07-19,16.0
2011-07-20,16.34
2011-07-21,16.75
2011-07-22,16.940001000000002
2011-07-25,17.200001
2011-07-26,17.280001000000002
2011-07-27,16.809998999999998
2011-07-28,16.870001000000002
2011-07-29,17.309998999999998
2011-08-01,17.5
2011-08-02,16.82
2011-08-03,16.73
2011-08-04,14.93
2011-08-05,14.05
2011-08-08,13.24
2011-08-09,14.14
2011-08-10,13.61
2011-08-11,13.61
2011-08-12,13.28
2011-08-15,13.33
2011-08-16,14.17
2011-08-17,14.44
2011-08-18,13.98
2011-08-19,13.85
2011-08-22,13.22
2011-08-23,13.35
2011-08-24,13.18
2011-08-25,13.0
2011-08-26,12.51
2011-08-29,12.61
2011-08-30,12.8
2011-08-31,12.97
2011-09-01,12.91
2011-09-02,12.12
2011-09-06,12.19
2011-09-07,11.92
2011-09-08,11.22
2011-09-09,11.5
2011-09-12,10.85
2011-09-13,11.33
2011-09-14,11.83
2011-09-15,11.84
2011-09-16,12.0
2011-09-19,11.86
2011-09-20,11.61
2011-09-21,11.11
2011-09-22,10.35
2011-09-23,10.05
2011-09-26,10.0
2011-09-27,10.15
2011-09-28,9.97
2011-09-29,10.25
2011-09-30,10.24
2011-10-03,9.61
2011-10-04,9.9
2011-10-05,10.3
2011-10-06,10.34
2011-10-07,10.25
2011-10-10,10.45
2011-10-11,10.52
2011-10-12,10.84
2011-10-13,10.73
2011-10-14,10.77
2011-10-17,10.77
2011-10-18,10.73
2011-10-19,10.54
2011-10-20,10.9
2011-10-21,11.27
2011-10-24,11.77
2011-10-25,11.69
2011-10-26,12.14
2011-10-27,13.29
2011-10-28,13.28
2011-10-31,13.25
2011-11-01,12.82
2011-11-02,13.09
2011-11-03,13.04
2011-11-04,13.22
2011-11-07,13.91
2011-11-08,13.81
2011-11-09,13.81
2011-11-10,13.22
2011-11-11,13.14
2011-11-14,12.97
2011-11-15,12.74
2011-11-16,12.97
2011-11-17,12.1
2011-11-18,12.3
2011-11-21,11.72
2011-11-22,11.58
2011-11-23,11.33
2011-11-25,11.12
2011-11-28,11.6
2011-11-29,12.08
2011-11-30,12.52
2011-12-01,12.65
2011-12-02,13.0
2011-12-05,13.82
2011-12-06,13.97
2011-12-07,13.59
2011-12-08,13.17
2011-12-09,13.56
2011-12-12,13.19
2011-12-13,13.25
2011-12-14,12.7
