Date,BPOP
1980-03-17,2.916667
1980-03-18,2.916667
1980-03-19,2.916667
1980-03-20,2.916667
1980-03-21,2.916667
1980-03-24,2.916667
1980-03-25,2.916667
1980-03-26,2.916667
1980-03-27,2.916667
1980-03-28,2.833333
1980-03-31,2.833333
1980-04-01,2.833333
1980-04-02,2.833333
1980-04-03,2.833333
1980-04-07,2.833333
1980-04-08,2.75
1980-04-09,2.75
1980-04-10,2.75
1980-04-11,2.666667
1980-04-14,2.666667
1980-04-15,2.666667
1980-04-16,2.666667
1980-04-17,2.5
1980-04-18,2.583333
1980-04-21,2.583333
1980-04-22,2.583333
1980-04-23,2.583333
1980-04-24,2.583333
1980-04-25,2.583333
1980-04-28,2.583333
1980-04-29,2.583333
1980-04-30,2.583333
1980-05-01,2.583333
1980-05-02,2.583333
1980-05-05,2.666667
1980-05-06,2.666667
1980-05-07,2.666667
1980-05-08,2.666667
1980-05-09,2.666667
1980-05-12,2.666667
1980-05-13,2.666667
1980-05-14,2.666667
1980-05-15,2.666667
1980-05-16,2.666667
1980-05-19,2.666667
1980-05-20,2.666667
1980-05-21,2.666667
1980-05-22,2.75
1980-05-23,2.75
1980-05-27,2.75
1980-05-28,2.75
1980-05-29,2.75
1980-05-30,2.75
1980-06-02,2.75
1980-06-03,2.75
1980-06-04,2.75
1980-06-05,2.75
1980-06-06,2.75
1980-06-09,2.75
1980-06-10,2.75
1980-06-11,2.666667
1980-06-12,2.666667
1980-06-13,2.666667
1980-06-16,2.666667
1980-06-17,2.666667
1980-06-18,2.666667
1980-06-19,2.666667
1980-06-20,2.666667
1980-06-23,2.666667
1980-06-24,2.666667
1980-06-25,2.666667
1980-06-26,2.666667
1980-06-27,2.666667
1980-06-30,2.666667
1980-07-01,2.666667
1980-07-02,2.666667
1980-07-03,2.583333
1980-07-07,2.583333
1980-07-08,2.583333
1980-07-09,2.583333
1980-07-10,2.583333
1980-07-11,2.583333
1980-07-14,2.583333
1980-07-15,2.583333
1980-07-16,2.583333
1980-07-17,2.666667
1980-07-18,2.666667
1980-07-21,2.666667
1980-07-22,2.666667
1980-07-23,2.833333
1980-07-24,2.833333
1980-07-25,2.833333
1980-07-28,2.833333
1980-07-29,2.833333
1980-07-30,2.833333
1980-07-31,2.833333
1980-08-01,2.833333
1980-08-04,2.833333
1980-08-05,2.833333
1980-08-06,2.833333
1980-08-07,2.833333
1980-08-08,2.75
1980-08-11,2.833333
1980-08-12,2.75
1980-08-13,2.75
1980-08-14,2.75
1980-08-15,2.75
1980-08-18,2.75
1980-08-19,2.75
1980-08-20,2.75
1980-08-21,2.75
1980-08-22,2.583333
1980-08-25,2.583333
1980-08-26,2.583333
1980-08-27,2.583333
1980-08-28,2.583333
1980-08-29,2.583333
1980-09-02,2.583333
1980-09-03,2.583333
1980-09-04,2.583333
1980-09-05,2.583333
1980-09-08,2.583333
1980-09-09,2.583333
1980-09-10,2.583333
1980-09-11,2.583333
1980-09-12,2.583333
1980-09-15,2.666667
1980-09-16,2.666667
1980-09-17,2.666667
1980-09-18,2.666667
1980-09-19,2.666667
1980-09-22,2.666667
1980-09-23,2.666667
1980-09-24,2.666667
1980-09-25,2.666667
1980-09-26,2.666667
1980-09-29,2.666667
1980-09-30,2.666667
1980-10-01,2.666667
1980-10-02,2.666667
1980-10-03,2.666667
1980-10-06,2.666667
1980-10-07,2.666667
1980-10-08,2.666667
1980-10-09,2.666667
1980-10-10,2.666667
1980-10-13,2.666667
1980-10-14,2.666667
1980-10-15,2.666667
1980-10-16,2.666667
1980-10-17,2.666667
1980-10-20,2.666667
1980-10-21,2.75
1980-10-22,2.75
1980-10-23,2.75
1980-10-24,2.75
1980-10-27,2.791667
1980-10-28,2.916667
1980-10-29,3.0
1980-10-30,3.0
1980-10-31,3.0
1980-11-03,3.0
1980-11-05,3.0
1980-11-06,3.041667
1980-11-07,3.041667
1980-11-10,3.041667
1980-11-11,3.041667
1980-11-12,3.041667
1980-11-13,3.083333
1980-11-14,3.125
1980-11-17,3.166667
1980-11-18,3.166667
1980-11-19,3.166667
1980-11-20,3.166667
1980-11-21,3.25
1980-11-24,3.25
1980-11-25,3.25
1980-11-26,3.25
1980-11-28,3.25
1980-12-01,3.25
1980-12-02,3.166667
1980-12-03,3.166667
1980-12-04,3.166667
1980-12-05,3.166667
1980-12-08,3.166667
1980-12-09,3.166667
1980-12-10,3.166667
1980-12-11,3.166667
1980-12-12,3.166667
1980-12-15,3.125
1980-12-16,3.083333
1980-12-17,3.083333
1980-12-18,3.083333
1980-12-19,2.916667
1980-12-22,2.916667
1980-12-23,2.916667
1980-12-24,2.916667
1980-12-26,2.916667
1980-12-29,2.916667
1980-12-30,2.833333
1980-12-31,2.833333
1981-01-02,2.833333
1981-01-05,2.833333
1981-01-06,2.875
1981-01-07,2.875
1981-01-08,2.916667
1981-01-09,2.916667
1981-01-12,2.916667
1981-01-13,2.916667
1981-01-14,2.916667
1981-01-15,3.0
1981-01-16,3.0
1981-01-19,3.041667
1981-01-20,3.083333
1981-01-21,3.083333
1981-01-22,3.083333
1981-01-23,3.083333
1981-01-26,3.083333
1981-01-27,3.083333
1981-01-28,3.083333
1981-01-29,3.083333
1981-01-30,3.083333
1981-02-02,3.083333
1981-02-03,3.083333
1981-02-04,3.083333
1981-02-05,3.083333
1981-02-06,3.083333
1981-02-09,3.083333
1981-02-10,3.083333
1981-02-11,3.083333
1981-02-12,3.083333
1981-02-13,3.083333
1981-02-17,3.083333
1981-02-18,3.083333
1981-02-19,3.083333
1981-02-20,3.083333
1981-02-23,3.083333
1981-02-24,3.083333
1981-02-25,3.083333
1981-02-26,3.083333
1981-02-27,3.083333
1981-03-02,3.083333
1981-03-03,3.083333
1981-03-04,3.083333
1981-03-05,3.083333
1981-03-06,3.083333
1981-03-09,3.041667
1981-03-10,3.0
1981-03-11,3.0
1981-03-12,3.0
1981-03-13,3.0
1981-03-16,3.0
1981-03-17,3.0
1981-03-18,3.0
1981-03-19,3.0
1981-03-20,3.0
1981-03-23,3.0
1981-03-24,3.0
1981-03-25,3.0
1981-03-26,3.083333
1981-03-27,3.083333
1981-03-30,3.083333
1981-03-31,3.083333
1981-04-01,3.083333
1981-04-02,3.083333
1981-04-03,3.083333
1981-04-06,3.291667
1981-04-07,3.291667
1981-04-08,3.291667
1981-04-09,3.291667
1981-04-10,3.291667
1981-04-13,3.166667
1981-04-14,3.166667
1981-04-15,3.166667
1981-04-16,3.166667
1981-04-20,3.166667
1981-04-21,3.166667
1981-04-22,3.166667
1981-04-23,3.166667
1981-04-24,3.166667
1981-04-27,3.166667
1981-04-28,3.166667
1981-04-29,3.083333
1981-04-30,3.083333
1981-05-01,3.083333
1981-05-04,3.083333
1981-05-05,3.083333
1981-05-06,3.083333
1981-05-07,3.0
1981-05-08,3.0
1981-05-11,3.0
1981-05-12,3.0
1981-05-13,3.0
1981-05-14,3.0
1981-05-15,2.916667
1981-05-18,2.916667
1981-05-19,2.916667
1981-05-20,2.916667
1981-05-21,2.916667
1981-05-22,2.916667
1981-05-26,2.916667
1981-05-27,2.916667
1981-05-28,2.916667
1981-05-29,2.916667
1981-06-01,3.0
1981-06-02,3.0
1981-06-03,3.0
1981-06-04,3.0
1981-06-05,3.083333
1981-06-08,3.083333
1981-06-09,3.083333
1981-06-10,3.083333
1981-06-11,3.083333
1981-06-12,3.083333
1981-06-15,3.083333
1981-06-16,3.083333
1981-06-17,3.083333
1981-06-18,3.083333
1981-06-19,3.083333
1981-06-22,3.083333
1981-06-23,3.083333
1981-06-24,3.125
1981-06-25,3.083333
1981-06-26,3.083333
1981-06-29,3.083333
1981-06-30,3.083333
1981-07-01,3.083333
1981-07-02,3.083333
1981-07-06,3.083333
1981-07-07,3.083333
1981-07-08,3.083333
1981-07-09,3.083333
1981-07-10,3.083333
1981-07-13,3.083333
1981-07-14,3.083333
1981-07-15,3.083333
1981-07-16,3.083333
1981-07-17,3.083333
1981-07-20,3.083333
1981-07-21,3.083333
1981-07-22,3.083333
1981-07-23,3.083333
1981-07-24,3.083333
1981-07-27,3.083333
1981-07-28,3.083333
1981-07-29,3.083333
1981-07-30,3.083333
1981-07-31,3.083333
1981-08-03,3.083333
1981-08-04,3.083333
1981-08-05,3.083333
1981-08-06,3.083333
1981-08-07,3.083333
1981-08-10,3.083333
1981-08-11,3.083333
1981-08-12,3.083333
1981-08-13,3.083333
1981-08-14,3.083333
1981-08-17,3.083333
1981-08-18,3.0
1981-08-19,3.0
1981-08-20,3.0
1981-08-21,3.0
1981-08-24,3.0
1981-08-25,2.916667
1981-08-26,2.916667
1981-08-27,2.916667
1981-08-28,2.916667
1981-08-31,2.916667
1981-09-01,2.833333
1981-09-02,2.833333
1981-09-03,2.833333
1981-09-04,2.833333
1981-09-08,2.833333
1981-09-09,2.833333
1981-09-10,2.833333
1981-09-11,2.833333
1981-09-14,2.833333
1981-09-15,2.833333
1981-09-16,2.833333
1981-09-17,2.833333
1981-09-18,2.833333
1981-09-21,2.833333
1981-09-22,2.833333
1981-09-23,2.75
1981-09-24,2.75
1981-09-25,2.666667
1981-09-28,2.666667
1981-09-29,2.666667
1981-09-30,2.666667
1981-10-01,2.666667
1981-10-02,2.75
1981-10-05,2.75
1981-10-06,2.75
1981-10-07,2.75
1981-10-08,2.75
1981-10-09,2.75
1981-10-12,2.75
1981-10-13,2.75
1981-10-14,2.666667
1981-10-15,2.666667
1981-10-16,2.666667
1981-10-19,2.666667
1981-10-20,2.416667
1981-10-21,2.416667
1981-10-22,2.416667
1981-10-23,2.416667
1981-10-26,2.416667
1981-10-27,2.416667
1981-10-28,2.416667
1981-10-29,2.5
1981-10-30,2.5
1981-11-02,2.5
1981-11-03,2.5
1981-11-04,2.5
1981-11-05,2.5
1981-11-06,2.5
1981-11-09,2.5
1981-11-10,2.5
1981-11-11,2.5
1981-11-12,2.583333
1981-11-13,2.583333
1981-11-16,2.583333
1981-11-17,2.583333
1981-11-18,2.583333
1981-11-19,2.583333
1981-11-20,2.583333
1981-11-23,2.583333
1981-11-24,2.583333
1981-11-25,2.75
1981-11-27,2.75
1981-11-30,2.75
1981-12-01,2.75
1981-12-02,2.75
1981-12-03,2.75
1981-12-04,2.75
1981-12-07,2.75
1981-12-08,2.75
1981-12-09,2.75
1981-12-10,2.75
1981-12-11,2.75
1981-12-14,2.75
1981-12-15,2.75
1981-12-16,2.75
1981-12-17,2.75
1981-12-18,2.833333
1981-12-21,2.833333
1981-12-22,2.833333
1981-12-23,2.833333
1981-12-24,2.833333
1981-12-28,2.833333
1981-12-29,2.833333
1981-12-30,2.833333
1981-12-31,2.833333
1982-01-04,2.833333
1982-01-05,2.833333
1982-01-06,2.833333
1982-01-07,2.833333
1982-01-08,2.833333
1982-01-11,2.833333
1982-01-12,2.833333
1982-01-13,2.833333
1982-01-14,2.833333
1982-01-15,2.833333
1982-01-18,2.833333
1982-01-19,2.5
1982-01-20,2.583333
1982-01-21,2.583333
1982-01-22,2.583333
1982-01-25,2.583333
1982-01-26,2.583333
1982-01-27,2.583333
1982-01-28,2.583333
1982-01-29,2.583333
1982-02-01,2.583333
1982-02-02,2.583333
1982-02-03,2.5
1982-02-04,2.5
1982-02-05,2.5
1982-02-08,2.5
1982-02-09,2.416667
1982-02-10,2.416667
1982-02-11,2.416667
1982-02-12,2.416667
1982-02-16,2.416667
1982-02-17,2.416667
1982-02-18,2.416667
1982-02-19,2.416667
1982-02-22,2.416667
1982-02-23,2.416667
1982-02-24,2.416667
1982-02-25,2.416667
1982-02-26,2.416667
1982-03-01,2.416667
1982-03-02,2.416667
1982-03-03,2.416667
1982-03-04,2.416667
