Date,CHGG
2013-11-13,9.68
2013-11-14,8.88
2013-11-15,9.13
2013-11-18,9.0
2013-11-19,8.72
2013-11-20,7.97
2013-11-21,7.86
2013-11-22,7.49
2013-11-25,7.72
2013-11-26,8.15
2013-11-27,8.39
2013-11-29,8.21
2013-12-02,8.83
2013-12-03,9.2
2013-12-04,9.44
2013-12-05,9.49
2013-12-06,9.57
2013-12-09,8.89
2013-12-10,9.0
2013-12-11,8.58
2013-12-12,8.2
2013-12-13,8.01
2013-12-16,8.28
2013-12-17,8.29
2013-12-18,8.28
2013-12-19,8.59
2013-12-20,8.41
2013-12-23,8.36
2013-12-24,8.31
2013-12-26,8.33
2013-12-27,8.35
2013-12-30,8.64
2013-12-31,8.51
2014-01-02,8.31
2014-01-03,8.21
2014-01-06,8.26
2014-01-07,8.22
2014-01-08,7.78
2014-01-09,7.8
2014-01-10,7.61
2014-01-13,7.18
2014-01-14,7.21
2014-01-15,7.18
2014-01-16,7.23
2014-01-17,7.25
2014-01-21,7.25
2014-01-22,7.25
2014-01-23,7.23
2014-01-24,7.21
2014-01-27,6.9
2014-01-28,6.98
2014-01-29,6.74
2014-01-30,6.75
2014-01-31,6.67
2014-02-03,6.9
2014-02-04,6.87
2014-02-05,6.86
2014-02-06,6.92
2014-02-07,7.12
2014-02-10,7.22
2014-02-11,7.38
2014-02-12,7.47
2014-02-13,7.94
2014-02-14,6.17
2014-02-18,6.45
2014-02-19,6.47
2014-02-20,6.56
2014-02-21,6.4
2014-02-24,6.56
2014-02-25,6.43
2014-02-26,6.36
2014-02-27,6.37
2014-02-28,6.3
2014-03-03,6.35
2014-03-04,6.39
2014-03-05,6.35
2014-03-06,6.29
2014-03-07,6.38
2014-03-10,6.37
2014-03-11,6.37
2014-03-12,6.42
2014-03-13,6.56
2014-03-14,6.53
2014-03-17,6.88
2014-03-18,6.92
2014-03-19,7.04
2014-03-20,7.08
2014-03-21,7.19
2014-03-24,7.16
2014-03-25,7.24
2014-03-26,7.11
2014-03-27,6.94
2014-03-28,6.93
2014-03-31,7.0
2014-04-01,7.27
2014-04-02,7.25
2014-04-03,7.09
2014-04-04,6.81
2014-04-07,6.52
2014-04-08,6.54
2014-04-09,6.54
2014-04-10,6.15
2014-04-11,5.72
2014-04-14,5.63
2014-04-15,5.22
2014-04-16,5.36
2014-04-17,5.5
2014-04-21,5.25
2014-04-22,5.27
2014-04-23,5.23
2014-04-24,5.24
2014-04-25,5.31
2014-04-28,5.25
2014-04-29,5.4
2014-04-30,5.27
2014-05-01,5.47
2014-05-02,5.82
2014-05-05,5.86
2014-05-06,5.9
2014-05-07,5.47
2014-05-08,5.4
2014-05-09,5.21
2014-05-12,5.31
2014-05-13,5.44
2014-05-14,5.34
2014-05-15,5.24
2014-05-16,5.27
2014-05-19,5.27
2014-05-20,5.34
2014-05-21,5.48
2014-05-22,5.49
2014-05-23,5.51
2014-05-27,5.68
2014-05-28,5.58
2014-05-29,5.61
2014-05-30,5.57
2014-06-02,5.41
2014-06-03,5.81
2014-06-04,5.89
2014-06-05,6.0
2014-06-06,6.28
2014-06-09,6.77
2014-06-10,6.63
2014-06-11,6.85
2014-06-12,6.38
2014-06-13,6.37
2014-06-16,7.3
2014-06-17,7.38
2014-06-18,7.62
2014-06-19,7.6
2014-06-20,7.72
2014-06-23,7.72
2014-06-24,7.81
2014-06-25,7.81
2014-06-26,7.26
2014-06-27,7.29
2014-06-30,7.04
2014-07-01,6.77
2014-07-02,6.82
2014-07-03,6.84
2014-07-07,6.76
2014-07-08,6.55
2014-07-09,6.56
2014-07-10,6.5
2014-07-11,6.5
2014-07-14,6.52
2014-07-15,6.35
2014-07-16,6.13
2014-07-17,5.82
2014-07-18,6.02
2014-07-21,6.08
2014-07-22,6.06
2014-07-23,5.92
2014-07-24,5.98
2014-07-25,6.05
2014-07-28,6.31
2014-07-29,6.34
2014-07-30,6.37
2014-07-31,6.43
2014-08-01,6.44
2014-08-04,5.89
2014-08-05,7.1
2014-08-06,7.35
2014-08-07,7.15
2014-08-08,7.03
2014-08-11,7.12
2014-08-12,6.84
2014-08-13,7.03
2014-08-14,6.93
2014-08-15,7.18
2014-08-18,7.33
2014-08-19,7.36
2014-08-20,6.98
2014-08-21,6.97
2014-08-22,6.85
2014-08-25,6.98
2014-08-26,6.87
2014-08-27,6.84
2014-08-28,6.8
2014-08-29,6.91
2014-09-02,6.74
2014-09-03,6.49
2014-09-04,6.65
2014-09-05,6.78
2014-09-08,6.87
2014-09-09,6.61
2014-09-10,6.62
2014-09-11,6.76
2014-09-12,6.58
2014-09-15,6.4
2014-09-16,6.49
2014-09-17,6.58
2014-09-18,6.58
2014-09-19,6.48
2014-09-22,6.15
2014-09-23,6.09
2014-09-24,6.25
2014-09-25,6.14
2014-09-26,6.15
