Date,COOP
2012-03-28,12.0
2012-03-29,10.8
2012-03-30,10.8
2012-04-02,9.0
2012-04-03,8.04
2012-04-04,8.16
2012-04-05,9.0
2012-04-09,9.24
2012-04-10,9.0
2012-04-11,8.4
2012-04-12,7.92
2012-04-13,8.04
2012-04-16,7.8
2012-04-17,8.16
2012-04-18,7.8
2012-04-19,7.8
2012-04-20,7.8
2012-04-23,7.68
2012-04-24,7.2
2012-04-25,7.2
2012-04-26,7.2
2012-04-27,7.2
2012-04-30,7.08
2012-05-01,7.08
2012-05-02,7.08
2012-05-03,7.08
2012-05-04,6.84
2012-05-07,6.72
2012-05-08,6.36
2012-05-09,6.48
2012-05-10,6.48
2012-05-11,6.48
2012-05-14,6.48
2012-05-15,6.6
2012-05-16,6.6
2012-05-17,6.48
2012-05-18,6.48
2012-05-21,6.36
2012-05-22,6.36
2012-05-23,6.0
2012-05-24,6.0
2012-05-25,5.4
2012-05-29,5.16
2012-05-30,5.16
2012-05-31,5.16
2012-06-01,6.0
2012-06-04,5.88
2012-06-05,6.0
2012-06-06,6.84
2012-06-07,6.48
2012-06-08,6.84
2012-06-11,6.84
2012-06-12,6.84
2012-06-13,6.84
2012-06-14,6.36
2012-06-15,6.6
2012-06-18,6.24
2012-06-19,6.6
2012-06-20,6.48
2012-06-21,6.12
2012-06-22,6.24
2012-06-25,5.88
2012-06-26,6.0
2012-06-27,6.36
2012-06-28,5.88
2012-06-29,6.0
2012-07-02,6.0
2012-07-03,6.0
2012-07-05,6.0
2012-07-06,6.0
2012-07-09,6.0
2012-07-10,5.64
2012-07-11,5.76
2012-07-12,6.0
2012-07-13,5.76
2012-07-16,6.0
2012-07-17,5.64
2012-07-18,5.52
2012-07-19,5.52
2012-07-20,6.24
2012-07-23,6.0
2012-07-24,6.0
2012-07-25,5.88
2012-07-26,5.88
2012-07-27,6.6
2012-07-30,6.96
2012-07-31,6.84
2012-08-01,6.84
2012-08-02,6.12
2012-08-03,6.48
2012-08-06,6.24
2012-08-07,6.0
2012-08-08,6.0
