Date,CSCO
1990-02-16,0.077257
1990-02-20,0.079861
1990-02-21,0.078125
1990-02-22,0.078993
1990-02-23,0.078559
1990-02-26,0.076389
1990-02-27,0.078125
1990-02-28,0.080729
1990-03-01,0.079861
1990-03-02,0.080729
1990-03-05,0.079861
1990-03-06,0.079861
1990-03-07,0.078125
1990-03-08,0.077257
1990-03-09,0.077257
1990-03-12,0.078993
1990-03-13,0.081597
1990-03-14,0.090278
1990-03-15,0.085938
1990-03-16,0.087674
1990-03-19,0.090278
1990-03-20,0.082465
1990-03-21,0.083333
1990-03-22,0.078125
1990-03-23,0.080729
1990-03-26,0.084201
1990-03-27,0.085938
1990-03-28,0.085069
1990-03-29,0.085069
1990-03-30,0.081597
1990-04-02,0.079861
1990-04-03,0.080729
1990-04-04,0.080729
1990-04-05,0.080295
1990-04-06,0.078993
1990-04-09,0.078125
1990-04-10,0.076389
1990-04-11,0.076389
1990-04-12,0.077257
1990-04-16,0.077257
1990-04-17,0.078125
1990-04-18,0.078993
1990-04-19,0.079861
1990-04-20,0.077257
1990-04-23,0.078125
1990-04-24,0.079427
1990-04-25,0.079861
1990-04-26,0.079861
1990-04-27,0.078993
1990-04-30,0.082465
1990-05-01,0.083767
1990-05-02,0.082465
1990-05-03,0.085069
1990-05-04,0.085938
1990-05-07,0.086806
1990-05-08,0.087674
1990-05-09,0.085938
1990-05-10,0.085069
1990-05-11,0.085938
1990-05-14,0.085938
1990-05-15,0.086372
1990-05-16,0.085938
1990-05-17,0.086806
1990-05-18,0.085069
1990-05-21,0.085069
1990-05-22,0.085069
1990-05-23,0.084201
1990-05-24,0.085938
1990-05-25,0.083333
1990-05-29,0.082465
1990-05-30,0.081597
1990-05-31,0.085938
1990-06-01,0.086806
1990-06-04,0.08941
1990-06-05,0.092882
1990-06-06,0.092014
1990-06-07,0.08941
1990-06-08,0.087674
1990-06-11,0.08724
1990-06-12,0.095486
1990-06-13,0.096354
1990-06-14,0.097222
1990-06-15,0.095486
1990-06-18,0.09375
1990-06-19,0.092882
1990-06-20,0.09375
1990-06-21,0.094618
1990-06-22,0.094618
1990-06-25,0.093316
1990-06-26,0.092014
1990-06-27,0.092014
1990-06-28,0.091146
1990-06-29,0.092014
1990-07-02,0.092882
1990-07-03,0.092882
1990-07-05,0.09158
1990-07-06,0.09158
1990-07-09,0.091146
1990-07-10,0.09375
1990-07-11,0.095486
1990-07-12,0.099826
1990-07-13,0.10503499999999999
1990-07-16,0.102431
1990-07-17,0.097222
1990-07-18,0.098958
1990-07-19,0.097222
1990-07-20,0.097222
1990-07-23,0.091146
1990-07-24,0.085938
1990-07-25,0.088542
1990-07-26,0.090278
1990-07-27,0.08941
1990-07-30,0.090278
1990-07-31,0.088542
1990-08-01,0.088542
1990-08-02,0.086806
1990-08-03,0.084201
1990-08-06,0.083333
1990-08-07,0.084635
1990-08-08,0.083333
1990-08-09,0.087674
1990-08-10,0.083333
1990-08-13,0.08203099999999999
1990-08-14,0.080729
1990-08-15,0.082465
1990-08-16,0.080729
1990-08-17,0.085938
1990-08-20,0.085938
1990-08-21,0.081597
1990-08-22,0.084201
1990-08-23,0.078125
1990-08-24,0.082465
1990-08-27,0.087674
1990-08-28,0.086806
1990-08-29,0.085938
1990-08-30,0.085938
1990-08-31,0.085938
1990-09-04,0.085938
1990-09-05,0.086806
1990-09-06,0.084201
1990-09-07,0.086806
1990-09-10,0.085938
1990-09-11,0.085938
1990-09-12,0.086806
1990-09-13,0.085938
1990-09-14,0.085938
1990-09-17,0.090278
1990-09-18,0.092882
1990-09-19,0.088542
1990-09-20,0.088542
1990-09-21,0.085938
1990-09-24,0.084201
1990-09-25,0.085069
1990-09-26,0.082465
1990-09-27,0.078559
1990-09-28,0.078125
1990-10-01,0.084201
1990-10-02,0.083333
1990-10-03,0.080729
1990-10-04,0.083333
1990-10-05,0.081597
1990-10-08,0.082899
1990-10-09,0.077257
1990-10-10,0.071181
1990-10-11,0.071181
1990-10-12,0.075521
1990-10-15,0.075087
1990-10-16,0.079861
1990-10-17,0.084201
1990-10-18,0.092014
1990-10-19,0.099826
1990-10-22,0.103299
1990-10-23,0.10546900000000001
1990-10-24,0.10850699999999999
1990-10-25,0.10850699999999999
1990-10-26,0.100694
1990-10-29,0.097222
1990-10-30,0.098958
1990-10-31,0.102431
1990-11-01,0.102431
1990-11-02,0.10503499999999999
1990-11-05,0.10850699999999999
1990-11-06,0.11024300000000001
1990-11-07,0.10416700000000001
1990-11-08,0.117622
1990-11-09,0.122396
1990-11-12,0.121528
1990-11-13,0.12326400000000001
1990-11-14,0.12456600000000001
1990-11-15,0.126736
1990-11-16,0.126736
1990-11-19,0.12934
1990-11-20,0.127604
1990-11-21,0.126736
1990-11-23,0.127604
1990-11-26,0.12717
1990-11-27,0.137153
1990-11-28,0.136285
1990-11-29,0.13281300000000001
1990-11-30,0.137153
1990-12-03,0.141493
1990-12-04,0.143663
1990-12-05,0.144097
1990-12-06,0.144965
1990-12-07,0.143229
1990-12-10,0.142361
1990-12-11,0.140191
1990-12-12,0.144097
1990-12-13,0.150174
1990-12-14,0.15625
1990-12-17,0.154514
1990-12-18,0.151042
1990-12-19,0.155382
1990-12-20,0.152778
1990-12-21,0.152778
1990-12-24,0.151042
1990-12-26,0.145833
1990-12-27,0.149306
1990-12-28,0.153212
1990-12-31,0.155816
1991-01-02,0.15191
1991-01-03,0.145833
1991-01-04,0.141493
1991-01-07,0.138021
1991-01-08,0.143229
1991-01-09,0.142361
1991-01-10,0.144097
1991-01-11,0.142361
1991-01-14,0.144097
1991-01-15,0.154948
1991-01-16,0.162326
1991-01-17,0.170139
1991-01-18,0.172743
1991-01-21,0.18316
1991-01-22,0.179253
1991-01-23,0.177083
1991-01-24,0.176215
1991-01-25,0.186632
1991-01-28,0.192708
1991-01-29,0.190972
1991-01-30,0.198785
1991-01-31,0.203125
1991-02-01,0.202257
1991-02-04,0.200521
1991-02-05,0.202257
1991-02-06,0.203993
1991-02-07,0.197483
1991-02-08,0.20486100000000002
1991-02-11,0.200087
1991-02-12,0.205729
1991-02-13,0.20920100000000003
1991-02-14,0.203125
1991-02-15,0.203125
1991-02-19,0.201389
1991-02-20,0.200521
1991-02-21,0.197917
1991-02-22,0.197049
1991-02-25,0.197049
1991-02-26,0.192708
1991-02-27,0.187066
1991-02-28,0.194444
1991-03-01,0.197917
1991-03-04,0.200521
1991-03-05,0.207465
1991-03-06,0.197917
1991-03-07,0.190104
1991-03-08,0.192708
1991-03-11,0.184028
1991-03-12,0.171875
1991-03-13,0.181424
1991-03-14,0.171875
