Date,D
1980-03-17,3.166667
1980-03-18,3.25
1980-03-19,3.25
1980-03-20,3.291667
1980-03-21,3.291667
1980-03-24,3.208333
1980-03-25,3.208333
1980-03-26,3.25
1980-03-27,3.125
1980-03-28,3.166667
1980-03-31,3.25
1980-04-01,3.416667
1980-04-02,3.416667
1980-04-03,3.5
1980-04-07,3.416667
1980-04-08,3.375
1980-04-09,3.5
1980-04-10,3.625
1980-04-11,3.666667
1980-04-14,3.625
1980-04-15,3.541667
1980-04-16,3.625
1980-04-17,3.666667
1980-04-18,3.666667
1980-04-21,3.708333
1980-04-22,3.666667
1980-04-23,3.708333
1980-04-24,3.75
1980-04-25,3.75
1980-04-28,3.708333
1980-04-29,3.75
1980-04-30,3.75
1980-05-01,3.791667
1980-05-02,3.833333
1980-05-05,3.875
1980-05-06,3.833333
1980-05-07,3.958333
1980-05-08,3.875
1980-05-09,3.833333
1980-05-12,3.833333
1980-05-13,3.875
1980-05-14,4.0
1980-05-15,4.0
1980-05-16,3.958333
1980-05-19,3.916667
1980-05-20,3.833333
1980-05-21,3.916667
1980-05-22,3.916667
1980-05-23,3.75
1980-05-27,3.708333
1980-05-28,3.708333
1980-05-29,3.75
1980-05-30,3.791667
1980-06-02,3.75
1980-06-03,3.75
1980-06-04,3.75
1980-06-05,3.791667
1980-06-06,3.875
1980-06-09,3.875
1980-06-10,3.875
1980-06-11,3.833333
1980-06-12,3.833333
1980-06-13,3.958333
1980-06-16,4.0
1980-06-17,4.0833330000000005
1980-06-18,4.0416669999999995
1980-06-19,4.0
1980-06-20,4.0416669999999995
1980-06-23,4.0
1980-06-24,4.0416669999999995
1980-06-25,4.0
1980-06-26,4.0
1980-06-27,4.0
1980-06-30,3.958333
1980-07-01,3.958333
1980-07-02,3.916667
1980-07-03,3.958333
1980-07-07,3.916667
1980-07-08,3.958333
1980-07-09,3.916667
1980-07-10,3.958333
1980-07-11,3.875
1980-07-14,3.875
1980-07-15,3.833333
1980-07-16,3.833333
1980-07-17,3.75
1980-07-18,3.75
1980-07-21,3.708333
1980-07-22,3.708333
1980-07-23,3.791667
1980-07-24,3.791667
1980-07-25,3.791667
1980-07-28,3.791667
1980-07-29,3.75
1980-07-30,3.791667
1980-07-31,3.791667
1980-08-01,3.75
1980-08-04,3.75
1980-08-05,3.75
1980-08-06,3.75
1980-08-07,3.75
1980-08-08,3.791667
1980-08-11,3.75
1980-08-12,3.75
1980-08-13,3.875
1980-08-14,3.833333
1980-08-15,3.833333
1980-08-18,3.791667
1980-08-19,3.791667
1980-08-20,3.833333
1980-08-21,3.875
1980-08-22,3.833333
