Date,EW
2000-03-27,4.125
2000-03-28,4.015625
2000-03-29,4.0
2000-03-30,3.84375
2000-03-31,3.390625
2000-04-03,3.4375
2000-04-04,3.5
2000-04-05,3.484375
2000-04-06,3.578125
2000-04-07,3.609375
2000-04-10,3.640625
2000-04-11,3.578125
2000-04-12,3.578125
2000-04-13,3.6132809999999997
2000-04-14,3.609375
2000-04-17,3.5625
2000-04-18,3.515625
2000-04-19,3.59375
2000-04-20,3.65625
2000-04-24,3.5625
2000-04-25,3.765625
2000-04-26,3.828125
2000-04-27,3.703125
2000-04-28,3.75
2000-05-01,3.6875
2000-05-02,3.640625
2000-05-03,3.5625
2000-05-04,3.6875
2000-05-05,3.78125
2000-05-08,3.8125
2000-05-09,3.75
2000-05-10,3.796875
2000-05-11,3.734375
2000-05-12,3.921875
2000-05-15,4.09375
2000-05-16,4.125
2000-05-17,4.0
2000-05-18,3.890625
2000-05-19,3.828125
2000-05-22,3.890625
2000-05-23,3.90625
2000-05-24,4.109375
2000-05-25,4.328125
2000-05-26,4.5
2000-05-30,4.9375
2000-05-31,5.078125
2000-06-01,4.96875
2000-06-02,4.796875
2000-06-05,4.53125
2000-06-06,4.28125
2000-06-07,4.625
2000-06-08,4.625
2000-06-09,4.625
2000-06-12,4.65625
2000-06-13,4.59375
2000-06-14,4.609375
2000-06-15,4.578125
2000-06-16,4.5
2000-06-19,4.53125
2000-06-20,4.453125
2000-06-21,4.75
2000-06-22,4.859375
2000-06-23,4.96875
2000-06-26,4.96875
2000-06-27,4.78125
2000-06-28,5.109375
2000-06-29,5.0625
2000-06-30,4.628906
2000-07-03,5.140625
2000-07-05,4.921875
2000-07-06,5.0625
2000-07-07,5.125
2000-07-10,5.3125
2000-07-11,5.5
2000-07-12,5.53125
2000-07-13,5.8125
2000-07-14,5.734375
2000-07-17,5.703125
2000-07-18,5.96875
2000-07-19,6.046875
2000-07-20,6.015625
2000-07-21,6.21875
2000-07-24,6.1875
2000-07-25,6.125
2000-07-26,5.984375
2000-07-27,5.875
2000-07-28,5.765625
2000-07-31,5.453125
2000-08-01,5.65625
2000-08-02,5.703125
2000-08-03,5.78125
2000-08-04,5.75
2000-08-07,5.65625
2000-08-08,5.625
2000-08-09,5.53125
2000-08-10,5.421875
2000-08-11,5.609375
2000-08-14,5.640625
2000-08-15,5.703125
2000-08-16,5.71875
2000-08-17,5.6875
2000-08-18,5.625
2000-08-21,5.796875
2000-08-22,5.71875
2000-08-23,5.71875
2000-08-24,5.6875
2000-08-25,5.671875
2000-08-28,5.734375
2000-08-29,5.984375
2000-08-30,6.09375
2000-08-31,6.5625
2000-09-01,5.65625
2000-09-05,5.65625
2000-09-06,5.609375
2000-09-07,5.65625
2000-09-08,5.5625
2000-09-11,5.578125
2000-09-12,5.5625
2000-09-13,5.25
2000-09-14,5.34375
2000-09-15,5.21875
2000-09-18,4.9375
2000-09-19,4.96875
2000-09-20,5.046875
2000-09-21,4.96875
2000-09-22,5.0625
2000-09-25,5.109375
2000-09-26,5.15625
2000-09-27,5.125
2000-09-28,5.25
2000-09-29,5.453125
2000-10-02,5.046875
2000-10-03,5.03125
2000-10-04,4.984375
2000-10-05,5.140625
2000-10-06,5.28125
2000-10-09,5.171875
2000-10-10,5.15625
2000-10-11,5.203125
2000-10-12,5.265625
2000-10-13,5.59375
2000-10-16,5.515625
2000-10-17,5.6875
2000-10-18,5.734375
2000-10-19,5.859375
2000-10-20,5.8125
2000-10-23,5.921875
2000-10-24,6.046875
2000-10-25,5.96875
2000-10-26,5.828125
2000-10-27,5.75
2000-10-30,5.734375
2000-10-31,3.359375
2000-11-01,3.25
2000-11-02,3.546875
2000-11-03,3.796875
2000-11-06,3.75
2000-11-07,3.8125
2000-11-08,3.859375
2000-11-09,3.796875
2000-11-10,3.671875
2000-11-13,3.578125
2000-11-14,3.484375
2000-11-15,3.546875
2000-11-16,3.5625
2000-11-17,3.546875
2000-11-20,3.4375
2000-11-21,3.734375
2000-11-22,3.90625
2000-11-24,4.0
2000-11-27,3.984375
2000-11-28,4.015625
2000-11-29,4.03125
2000-11-30,4.015625
2000-12-01,4.109375
2000-12-04,3.96875
2000-12-05,4.078125
2000-12-06,3.96875
2000-12-07,4.015625
2000-12-08,4.21875
2000-12-11,4.140625
2000-12-12,4.0
2000-12-13,3.953125
2000-12-14,3.765625
2000-12-15,3.953125
2000-12-18,3.9375
2000-12-19,4.203125
2000-12-20,4.125
2000-12-21,4.140625
2000-12-22,4.1875
2000-12-26,4.15625
2000-12-27,4.203125
2000-12-28,4.34375
2000-12-29,4.4375
2001-01-02,4.34375
2001-01-03,4.578125
2001-01-04,4.5625
2001-01-05,4.21875
2001-01-08,4.25
2001-01-09,4.359375
2001-01-10,4.5
2001-01-11,4.453125
2001-01-12,4.484375
2001-01-16,4.5
2001-01-17,4.484375
2001-01-18,4.5625
2001-01-19,4.390625
2001-01-22,4.46875
2001-01-23,4.4375
2001-01-24,4.5
2001-01-25,4.46875
2001-01-26,4.34375
2001-01-29,4.5675
2001-01-30,4.6
2001-01-31,4.5625
2001-02-01,4.6125
2001-02-02,4.625
2001-02-05,4.485
2001-02-06,4.3175
2001-02-07,4.625
2001-02-08,4.735
2001-02-09,4.8625
2001-02-12,5.375
2001-02-13,5.035
2001-02-14,5.05
2001-02-15,5.25
2001-02-16,5.1575
2001-02-20,5.19
2001-02-21,5.2
2001-02-22,5.32
2001-02-23,5.15
2001-02-26,5.25
2001-02-27,5.4375
2001-02-28,5.2375
