Date,FFH
2013-12-16,14.725
2013-12-17,
2013-12-18,
2013-12-19,
2013-12-20,
2013-12-23,
2013-12-24,
2013-12-26,
2013-12-27,
2013-12-30,
2013-12-31,
2014-01-02,
2014-01-03,
2014-01-06,
2014-01-07,
2014-01-08,
2014-01-09,
2014-01-10,
2014-01-13,
2014-01-14,
2014-01-15,
2014-01-16,
2014-01-17,
2014-01-21,
2014-01-22,
2014-01-23,
2014-01-24,
2014-01-27,
2014-01-28,
2014-01-29,
2014-01-30,
2014-01-31,
2014-02-03,
2014-02-04,
2014-02-05,
2014-02-06,
2014-02-07,
2014-02-10,
2014-02-11,
2014-02-12,
2014-02-13,
2014-02-14,
2014-02-18,
2014-02-19,
2014-02-20,
2014-02-21,
2014-02-24,
2014-02-25,
2014-02-26,
2014-02-27,
2014-02-28,
2014-03-03,
2014-03-04,
2014-03-05,
2014-03-06,
2014-03-07,
2014-03-10,
2014-03-11,
2014-03-12,
2014-03-13,
2014-03-14,
2014-03-17,
2014-03-18,
2014-03-19,
2014-03-20,
2014-03-21,
2014-03-24,
2014-03-25,
2014-03-26,
2014-03-27,
2014-03-28,
2014-03-31,
2014-04-01,
2014-04-02,
2014-04-03,
2014-04-04,
2014-04-07,
2014-04-08,
2014-04-09,
2014-04-10,
2014-04-11,
2014-04-14,
2014-04-15,
2014-04-16,
2014-04-17,
2014-04-21,
2014-04-22,
2014-04-23,
2014-04-24,
2014-04-25,
2014-04-28,
2014-04-29,
2014-04-30,
2014-05-01,
2014-05-02,
2014-05-05,
2014-05-06,
2014-05-07,
2014-05-08,
2014-05-09,
2014-05-12,
2014-05-13,
2014-05-14,
2014-05-15,
2014-05-16,
2014-05-19,
2014-05-20,
2014-05-21,
2014-05-22,
2014-05-23,
2014-05-27,
2014-05-28,
2014-05-29,
2014-05-30,
2014-06-02,
2014-06-03,
2014-06-04,
2014-06-05,
2014-06-06,
2014-06-09,
2014-06-10,
2014-06-11,
2014-06-12,
2014-06-13,
2014-06-16,
2014-06-17,
2014-06-18,
2014-06-19,
2014-06-20,
2014-06-23,
2014-06-24,
2014-06-25,
2014-06-26,
2014-06-27,
2014-06-30,
2014-07-01,
2014-07-02,
2014-07-03,
2014-07-07,
2014-07-08,
2014-07-09,
2014-07-10,
2014-07-11,
2014-07-14,15.735
2014-07-15,15.67
2014-07-16,15.99
2014-07-17,15.85
2014-07-18,14.94
2014-07-21,15.15
2014-07-22,15.155
2014-07-23,15.32
2014-07-24,15.35
2014-07-25,15.6
2014-07-28,15.7
2014-07-29,15.495
2014-07-30,15.444
2014-07-31,15.495
2014-08-01,15.285
2014-08-04,14.91
2014-08-05,14.895
2014-08-06,14.68
2014-08-07,14.685
2014-08-08,14.48
2014-08-11,14.67
2014-08-12,14.635
2014-08-13,14.645
2014-08-14,14.665
2014-08-15,14.765
2014-08-18,14.75
2014-08-19,14.965
2014-08-20,14.955
2014-08-21,15.13
2014-08-22,15.195
2014-08-25,15.43
2014-08-26,15.415
2014-08-27,15.475
2014-08-28,15.31
2014-08-29,15.36
2014-09-02,15.515
2014-09-03,15.595
2014-09-04,15.475
2014-09-05,15.715
2014-09-08,15.68
2014-09-09,15.72
2014-09-10,15.56
2014-09-11,15.775
2014-09-12,15.815
2014-09-15,15.84
2014-09-16,15.82
2014-09-17,15.83
2014-09-18,16.08
2014-09-19,16.035
2014-09-22,16.129998999999998
2014-09-23,16.139999
2014-09-24,15.965
2014-09-25,16.075001
2014-09-26,15.91
2014-09-29,15.904
2014-09-30,15.84
2014-10-01,15.812
2014-10-02,15.625
2014-10-03,15.665
2014-10-06,16.030001000000002
2014-10-07,15.735
2014-10-08,15.55
2014-10-09,15.725
2014-10-10,15.38
2014-10-13,15.198
2014-10-14,15.17
2014-10-15,15.185
2014-10-16,14.453
2014-10-17,13.85
2014-10-20,14.25
2014-10-21,14.21
2014-10-22,14.785
2014-10-23,14.855
2014-10-24,14.89
2014-10-27,15.04
2014-10-28,15.065
2014-10-29,15.27
2014-10-30,15.61
2014-10-31,15.885
2014-11-03,15.964
2014-11-04,15.824
2014-11-05,16.150999
2014-11-06,16.358
2014-11-07,16.201
2014-11-10,16.197001
2014-11-11,16.208
2014-11-12,16.15
2014-11-13,16.365
2014-11-14,16.309998999999998
2014-11-17,
2014-11-18,
2014-11-19,
2014-11-20,
2014-11-21,
2014-11-24,
2014-11-25,
2014-11-26,
2014-11-28,16.156
2014-12-01,16.035999
2014-12-02,15.82
2014-12-03,16.049999
2014-12-04,16.280001000000002
2014-12-05,16.739
2014-12-08,16.690001000000002
2014-12-09,16.65
2014-12-10,16.67
2014-12-11,16.055
2014-12-12,15.903
2014-12-15,15.624
2014-12-16,15.629
2014-12-17,15.48
2014-12-18,16.218
2014-12-19,16.419001
2014-12-22,16.357
2014-12-23,16.919001
2014-12-24,16.434998999999998
2014-12-26,16.919001
2014-12-29,16.899
2014-12-30,16.85
2014-12-31,16.85
2015-01-02,16.916
2015-01-05,16.945
2015-01-06,15.988
2015-01-07,15.835
2015-01-08,16.16
2015-01-09,16.033001000000002
2015-01-12,15.646
2015-01-13,15.683
2015-01-14,15.535
2015-01-15,15.512
2015-01-16,15.365
2015-01-20,15.624
2015-01-21,15.194
2015-01-22,15.736
2015-01-23,15.78
2015-01-26,15.925
2015-01-27,15.89
2015-01-28,15.238
2015-01-29,15.235
2015-01-30,15.349
2015-02-02,15.541
2015-02-03,15.685
2015-02-04,16.021
2015-02-05,16.191
2015-02-06,16.66
2015-02-09,16.535999
2015-02-10,16.621
2015-02-11,16.599001
2015-02-12,16.691999
2015-02-13,16.794001
2015-02-17,16.812
2015-02-18,17.045
2015-02-19,16.896
2015-02-20,16.917
2015-02-23,16.896
2015-02-24,17.059998999999998
2015-02-25,16.99
2015-02-26,17.051001
2015-02-27,17.327
2015-03-02,17.400999
2015-03-03,17.355
2015-03-04,17.377001
2015-03-05,17.440001000000002
2015-03-06,17.926001
2015-03-09,17.902
2015-03-10,17.820999
2015-03-11,17.955
2015-03-12,17.900999
2015-03-13,18.122
2015-03-16,17.868999
2015-03-17,18.080999
2015-03-18,17.853001000000003
2015-03-19,17.860001
2015-03-20,17.870001000000002
2015-03-23,18.004998999999998
2015-03-24,17.566999
2015-03-25,
2015-03-26,
2015-03-27,
2015-03-30,
2015-03-31,
2015-04-01,
2015-04-02,
2015-04-06,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-13,
2015-04-14,
2015-04-15,3296.179932
2015-04-16,3296.179932
2015-04-17,3296.179932
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-01,
2015-05-04,3296.179932
2015-05-05,3296.179932
2015-05-06,
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-18,
2015-05-19,
2015-05-20,18.395
2015-05-21,
2015-05-22,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-06-01,18.49
2015-06-02,18.405001000000002
2015-06-03,18.240999
2015-06-04,3296.179932
2015-06-05,18.677999
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-15,
2015-06-16,
2015-06-17,
2015-06-18,
2015-06-19,
2015-06-22,
2015-06-23,
2015-06-24,
2015-06-25,
2015-06-26,
2015-06-29,
2015-06-30,
2015-07-01,
2015-07-02,
2015-07-06,18.827999
2015-07-07,19.084999
2015-07-08,18.568001000000002
2015-07-09,18.535999
2015-07-10,18.635
2015-07-13,
2015-07-14,
2015-07-15,
2015-07-16,
2015-07-17,
2015-07-20,
2015-07-21,
2015-07-22,
2015-07-23,
2015-07-24,
2015-07-27,3296.179932
2015-07-28,3296.179932
2015-07-29,
2015-07-30,
2015-07-31,
2015-08-03,
2015-08-04,
2015-08-05,
2015-08-06,
2015-08-07,
2015-08-10,
2015-08-11,
2015-08-12,
2015-08-13,
2015-08-14,
2015-08-17,
2015-08-18,
2015-08-19,
2015-08-20,
2015-08-21,
2015-08-24,
2015-08-25,
2015-08-26,
2015-08-27,
2015-08-28,
2015-08-31,
2015-09-01,
2015-09-02,
2015-09-03,
2015-09-04,
2015-09-08,
2015-09-09,
2015-09-10,
2015-09-11,
2015-09-14,3296.179932
2015-09-15,3296.179932
2015-09-16,3296.179932
2015-09-17,3296.179932
2015-09-18,3296.179932
2015-09-21,3296.179932
2015-09-22,17.075001
2015-09-23,
2015-09-24,
2015-09-25,
2015-09-28,
2015-09-29,
2015-09-30,
2015-10-01,
2015-10-02,
2015-10-05,
2015-10-06,
2015-10-07,
2015-10-08,
2015-10-09,
2015-10-12,
2015-10-13,
2015-10-14,
2015-10-15,
2015-10-16,3296.179932
2015-10-19,3296.179932
2015-10-20,16.691999
2015-10-21,3296.179932
2015-10-22,3296.179932
2015-10-23,17.306998999999998
2015-10-26,3296.179932
2015-10-27,3296.179932
2015-10-28,17.965
2015-10-29,
2015-10-30,
2015-11-02,
2015-11-03,
2015-11-04,
2015-11-05,
2015-11-06,
2015-11-09,18.975
2015-11-10,3296.179932
2015-11-11,3296.179932
2015-11-12,3296.179932
2015-11-13,18.256001
2015-11-16,3296.179932
2015-11-17,3296.179932
2015-11-18,3296.179932
2015-11-19,3296.179932
2015-11-20,3296.179932
2015-11-23,
2015-11-24,
2015-11-25,
2015-11-27,
2015-11-30,
2015-12-01,
2015-12-02,
2015-12-03,18.655001000000002
2015-12-04,3296.179932
2015-12-07,3296.179932
2015-12-08,3296.179932
2015-12-09,3296.179932
2015-12-10,3296.179932
2015-12-11,3296.179932
2015-12-14,3296.179932
2015-12-15,3296.179932
2015-12-16,19.152
2015-12-17,18.795
2015-12-18,3296.179932
2015-12-21,3296.179932
2015-12-22,3296.179932
2015-12-23,3296.179932
2015-12-24,3296.179932
2015-12-28,3296.179932
2015-12-29,18.565001000000002
2015-12-30,
2015-12-31,
2016-01-04,
2016-01-05,
2016-01-06,
2016-01-07,17.465
2016-01-08,
2016-01-11,3296.179932
2016-01-12,16.584999
2016-01-13,16.959999
2016-01-14,3296.179932
2016-01-15,16.004998999999998
2016-01-19,3296.179932
2016-01-20,3296.179932
2016-01-21,3296.179932
2016-01-22,3296.179932
2016-01-25,14.705
2016-01-26,13.705
2016-01-27,3296.179932
2016-01-28,14.165
2016-01-29,3296.179932
2016-02-01,14.51
2016-02-02,14.056
2016-02-03,13.98
2016-02-04,13.915
2016-02-05,13.8
2016-02-08,13.227
2016-02-09,13.05
2016-02-10,13.095
2016-02-11,12.885
2016-02-12,12.29
2016-02-16,3296.179932
2016-02-17,13.62
2016-02-18,13.8
2016-02-19,13.625
2016-02-22,13.78
2016-02-23,14.105
2016-02-24,13.67
2016-02-25,13.54
2016-02-26,13.82
2016-02-29,14.185
2016-03-01,13.97
2016-03-02,14.885
2016-03-03,15.145
2016-03-04,15.345
2016-03-07,15.525
2016-03-08,15.34
2016-03-09,15.117
2016-03-10,15.094
2016-03-11,15.429
2016-03-14,
2016-03-15,
2016-03-16,
2016-03-17,
2016-03-18,
2016-03-21,
2016-03-22,15.36
2016-03-23,15.357
2016-03-24,
2016-03-28,
2016-03-29,
2016-03-30,
2016-03-31,
2016-04-01,
2016-04-04,3296.179932
2016-04-05,3296.179932
2016-04-06,3296.179932
2016-04-07,3296.179932
2016-04-08,3296.179932
2016-04-11,3296.179932
2016-04-12,14.594
2016-04-13,3296.179932
2016-04-14,3296.179932
2016-04-15,3296.179932
2016-04-18,3296.179932
2016-04-19,3296.179932
2016-04-20,3296.179932
2016-04-21,3296.179932
2016-04-22,16.52
2016-04-25,3296.179932
2016-04-26,16.531
2016-04-27,16.540001
2016-04-28,3296.179932
2016-04-29,3296.179932
2016-05-02,3296.179932
2016-05-03,15.579
2016-05-04,3296.179932
2016-05-05,3296.179932
2016-05-06,15.234
2016-05-09,3296.179932
2016-05-10,3296.179932
2016-05-11,3296.179932
2016-05-12,15.428
