Date,FIT
2015-06-17,20.0
2015-06-18,29.68
2015-06-19,32.5
2015-06-22,37.060001
2015-06-23,37.880001
2015-06-24,36.009997999999996
2015-06-25,36.59
2015-06-26,34.75
2015-06-29,33.279999
2015-06-30,38.23
2015-07-01,42.380001
2015-07-02,42.240002000000004
2015-07-06,40.189999
2015-07-07,42.150002
2015-07-08,41.740002000000004
2015-07-09,42.25
2015-07-10,42.099998
2015-07-13,43.48
2015-07-14,46.0
2015-07-15,47.290001000000004
2015-07-16,47.779999
2015-07-17,47.169998
2015-07-20,44.470001
2015-07-21,46.869999
2015-07-22,45.529999
2015-07-23,46.200001
2015-07-24,45.540001000000004
2015-07-27,43.93
2015-07-28,45.470001
2015-07-29,44.07
2015-07-30,45.189999
2015-07-31,47.599998
2015-08-03,48.959998999999996
2015-08-04,49.689999
2015-08-05,51.639998999999996
2015-08-06,44.599998
2015-08-07,42.68
2015-08-10,43.150002
2015-08-11,42.93
2015-08-12,41.18
2015-08-13,42.25
2015-08-14,44.650002
2015-08-17,44.93
2015-08-18,43.77
2015-08-19,43.099998
2015-08-20,41.41
2015-08-21,38.650002
2015-08-24,37.360001000000004
2015-08-25,36.77
2015-08-26,38.400002
2015-08-27,34.970001
2015-08-28,33.799999
2015-08-31,34.490002000000004
2015-09-01,32.889998999999996
2015-09-02,33.57
2015-09-03,33.049999
2015-09-04,31.879998999999998
2015-09-08,35.459998999999996
2015-09-09,35.950001
2015-09-10,34.23
2015-09-11,32.400002
2015-09-14,32.0
2015-09-15,33.040001000000004
2015-09-16,37.099998
2015-09-17,39.880001
2015-09-18,40.720001
2015-09-21,38.09
2015-09-22,39.490002000000004
2015-09-23,39.110001000000004
2015-09-24,38.790001000000004
2015-09-25,37.599998
2015-09-28,36.049999
2015-09-29,35.299999
2015-09-30,37.689999
2015-10-01,38.049999
2015-10-02,37.299999
2015-10-05,38.099998
2015-10-06,36.400002
2015-10-07,35.25
2015-10-08,34.669998
2015-10-09,35.360001000000004
2015-10-12,36.099998
2015-10-13,36.169998
2015-10-14,35.599998
2015-10-15,37.099998
2015-10-16,36.900002
2015-10-19,37.41
2015-10-20,38.5
2015-10-21,36.82
2015-10-22,37.09
2015-10-23,38.470001
2015-10-26,37.369999
2015-10-27,37.669998
2015-10-28,39.09
2015-10-29,37.57
2015-10-30,40.540001000000004
2015-11-02,40.799999
2015-11-03,37.310001
2015-11-04,37.82
2015-11-05,36.860001000000004
2015-11-06,37.919998
2015-11-09,37.459998999999996
2015-11-10,35.919998
2015-11-11,34.310001
2015-11-12,31.68
2015-11-13,27.860001
2015-11-16,28.76
2015-11-17,28.73
2015-11-18,28.67
2015-11-19,29.01
2015-11-20,27.59
2015-11-23,27.030001000000002
2015-11-24,26.870001000000002
2015-11-25,27.99
2015-11-27,27.84
2015-11-30,28.719998999999998
2015-12-01,29.219998999999998
2015-12-02,29.370001000000002
2015-12-03,30.139999
2015-12-04,33.369999
2015-12-07,34.099998
2015-12-08,32.34
2015-12-09,31.25
2015-12-10,30.77
2015-12-11,29.5
2015-12-14,29.15
2015-12-15,29.84
2015-12-16,29.469998999999998
2015-12-17,27.809998999999998
2015-12-18,27.73
2015-12-21,29.1
2015-12-22,28.66
2015-12-23,28.629998999999998
2015-12-24,28.91
2015-12-28,29.860001
2015-12-29,29.35
2015-12-30,29.629998999999998
2015-12-31,29.59
2016-01-04,29.76
2016-01-05,24.299999
2016-01-06,22.9
2016-01-07,21.5
2016-01-08,21.52
2016-01-11,18.85
2016-01-12,19.629998999999998
2016-01-13,19.85
2016-01-14,18.870001000000002
2016-01-15,17.969998999999998
2016-01-19,17.66
2016-01-20,17.790001
2016-01-21,18.190001000000002
2016-01-22,18.809998999999998
2016-01-25,17.290001
2016-01-26,16.77
2016-01-27,16.049999
2016-01-28,15.69
2016-01-29,16.6
2016-02-01,16.709999
2016-02-02,16.09
2016-02-03,16.040001
2016-02-04,16.93
2016-02-05,15.73
2016-02-08,14.38
2016-02-09,14.3
2016-02-10,14.68
2016-02-11,13.78
2016-02-12,13.94
2016-02-16,14.9
2016-02-17,15.89
2016-02-18,16.0
2016-02-19,15.6
2016-02-22,16.52
2016-02-23,13.08
2016-02-24,12.33
2016-02-25,12.26
2016-02-26,12.15
2016-02-29,12.23
2016-03-01,12.41
2016-03-02,12.87
2016-03-03,12.47
2016-03-04,12.86
2016-03-07,13.03
2016-03-08,13.05
2016-03-09,13.22
2016-03-10,13.53
2016-03-11,14.51
2016-03-14,14.47
2016-03-15,13.93
2016-03-16,14.32
2016-03-17,14.47
2016-03-18,14.38
2016-03-21,14.9
2016-03-22,15.28
2016-03-23,14.55
2016-03-24,14.58
2016-03-28,13.55
2016-03-29,14.01
2016-03-30,13.4
2016-03-31,15.15
2016-04-01,14.92
2016-04-04,15.51
2016-04-05,15.1
2016-04-06,15.48
2016-04-07,14.86
2016-04-08,14.5
2016-04-11,14.84
2016-04-12,15.15
2016-04-13,17.01
2016-04-14,16.33
2016-04-15,17.200001
2016-04-18,17.040001
2016-04-19,17.34
2016-04-20,17.690001000000002
2016-04-21,17.459999
2016-04-22,17.58
2016-04-25,17.41
2016-04-26,17.389999
2016-04-27,17.879998999999998
2016-04-28,18.1
2016-04-29,18.25
2016-05-02,18.370001000000002
2016-05-03,17.18
2016-05-04,17.1
2016-05-05,13.88
2016-05-06,13.62
2016-05-09,13.9
2016-05-10,14.02
2016-05-11,13.92
2016-05-12,13.52
2016-05-13,13.77
2016-05-16,14.05
2016-05-17,14.17
2016-05-18,14.13
2016-05-19,13.99
2016-05-20,14.6
2016-05-23,14.57
2016-05-24,13.9
2016-05-25,14.06
2016-05-26,14.16
2016-05-27,14.32
2016-05-31,14.18
2016-06-01,14.51
2016-06-02,14.76
2016-06-03,14.63
2016-06-06,14.36
2016-06-07,14.31
2016-06-08,14.1
2016-06-09,14.55
2016-06-10,14.1
2016-06-13,13.82
2016-06-14,13.01
2016-06-15,13.24
2016-06-16,12.71
2016-06-17,12.83
2016-06-20,13.18
2016-06-21,13.5
2016-06-22,12.79
2016-06-23,13.29
2016-06-24,12.71
2016-06-27,11.89
2016-06-28,12.0
2016-06-29,12.13
2016-06-30,12.22
2016-07-01,12.48
2016-07-05,12.31
2016-07-06,12.51
2016-07-07,13.07
2016-07-08,13.43
2016-07-11,13.68
2016-07-12,13.51
2016-07-13,13.56
2016-07-14,13.77
2016-07-15,13.15
2016-07-18,13.38
2016-07-19,12.86
2016-07-20,12.98
2016-07-21,12.8
2016-07-22,12.82
2016-07-25,13.02
2016-07-26,13.23
2016-07-27,13.32
2016-07-28,13.58
2016-07-29,13.66
2016-08-01,13.69
2016-08-02,13.16
2016-08-03,14.93
2016-08-04,15.43
2016-08-05,15.4
2016-08-08,15.69
2016-08-09,15.65
2016-08-10,15.04
2016-08-11,14.9
2016-08-12,14.97
2016-08-15,15.65
2016-08-16,15.41
2016-08-17,14.78
2016-08-18,14.57
2016-08-19,14.53
2016-08-22,14.44
2016-08-23,14.88
2016-08-24,14.81
2016-08-25,14.79
2016-08-26,14.67
2016-08-29,14.94
2016-08-30,15.37
2016-08-31,15.48
2016-09-01,14.95
2016-09-02,14.96
2016-09-06,15.11
2016-09-07,14.8
2016-09-08,14.72
2016-09-09,14.57
2016-09-12,14.85
2016-09-13,14.7
2016-09-14,14.76
2016-09-15,16.030001000000002
2016-09-16,15.95
2016-09-19,16.309998999999998
2016-09-20,15.94
2016-09-21,16.27
2016-09-22,16.76
2016-09-23,16.98
2016-09-26,16.48
2016-09-27,16.530001000000002
2016-09-28,16.700001
2016-09-29,14.82
2016-09-30,14.84
2016-10-03,14.78
2016-10-04,14.72
2016-10-05,14.77
2016-10-06,14.61
2016-10-07,14.04
2016-10-10,13.9
2016-10-11,13.49
2016-10-12,13.42
2016-10-13,13.34
2016-10-14,13.1
2016-10-17,13.1
2016-10-18,13.54
2016-10-19,14.06
2016-10-20,14.15
2016-10-21,14.2
2016-10-24,13.85
2016-10-25,13.78
2016-10-26,14.1
2016-10-27,13.78
2016-10-28,13.49
2016-10-31,13.26
2016-11-01,13.06
2016-11-02,12.81
2016-11-03,8.51
2016-11-04,8.71
2016-11-07,8.69
2016-11-08,8.7
2016-11-09,8.55
2016-11-10,8.86
2016-11-11,9.22
2016-11-14,9.42
2016-11-15,9.56
2016-11-16,9.46
2016-11-17,8.82
2016-11-18,8.75
2016-11-21,8.69
2016-11-22,8.58
2016-11-23,8.68
2016-11-25,8.51
2016-11-28,8.4
2016-11-29,8.28
2016-11-30,8.36
2016-12-01,8.42
2016-12-02,8.14
2016-12-05,8.03
2016-12-06,7.98
2016-12-07,7.97
2016-12-08,7.92
2016-12-09,7.82
2016-12-12,7.73
2016-12-13,7.65
2016-12-14,7.5
2016-12-15,7.59
2016-12-16,7.48
2016-12-19,7.49
2016-12-20,7.44
2016-12-21,7.36
2016-12-22,7.35
2016-12-23,7.29
2016-12-27,7.83
2016-12-28,7.43
2016-12-29,7.4
2016-12-30,7.32
2017-01-03,7.94
2017-01-04,8.12
2017-01-05,7.86
2017-01-06,7.9
2017-01-09,7.79
2017-01-10,7.33
2017-01-11,7.46
2017-01-12,7.46
2017-01-13,7.44
2017-01-17,7.37
2017-01-18,7.24
2017-01-19,7.05
2017-01-20,7.13
2017-01-23,7.1
2017-01-24,7.24
2017-01-25,7.3
2017-01-26,7.41
2017-01-27,7.21
2017-01-30,6.06
2017-01-31,6.01
2017-02-01,5.94
2017-02-02,6.13
2017-02-03,6.09
2017-02-06,5.95
2017-02-07,5.78
2017-02-08,5.81
2017-02-09,5.77
2017-02-10,5.86
2017-02-13,5.73
2017-02-14,5.86
2017-02-15,5.93
2017-02-16,6.06
2017-02-17,5.96
2017-02-21,6.04
2017-02-22,5.88
2017-02-23,6.07
2017-02-24,6.15
2017-02-27,6.38
2017-02-28,6.21
2017-03-01,6.25
2017-03-02,6.14
2017-03-03,6.07
2017-03-06,6.0
2017-03-07,5.89
2017-03-08,5.86
2017-03-09,5.85
2017-03-10,5.86
2017-03-13,5.64
2017-03-14,5.54
2017-03-15,5.7
2017-03-16,6.1
2017-03-17,5.68
2017-03-20,5.74
2017-03-21,5.6
2017-03-22,5.47
2017-03-23,5.39
2017-03-24,5.4
2017-03-27,5.69
2017-03-28,5.75
2017-03-29,5.87
2017-03-30,5.84
2017-03-31,5.92
2017-04-03,5.82
2017-04-04,5.66
2017-04-05,5.71
2017-04-06,5.66
2017-04-07,5.51
2017-04-10,5.77
2017-04-11,5.58
2017-04-12,5.48
2017-04-13,5.37
2017-04-17,5.48
2017-04-18,5.57
2017-04-19,5.7
2017-04-20,5.72
2017-04-21,5.61
2017-04-24,5.66
2017-04-25,5.79
2017-04-26,5.9
2017-04-27,5.93
2017-04-28,5.72
2017-05-01,5.69
2017-05-02,5.81
2017-05-03,5.68
2017-05-04,6.37
2017-05-05,6.15
2017-05-08,6.34
2017-05-09,6.24
2017-05-10,6.13
2017-05-11,5.98
2017-05-12,5.75
2017-05-15,5.9
2017-05-16,5.74
2017-05-17,5.56
2017-05-18,5.41
2017-05-19,5.5
2017-05-22,5.61
2017-05-23,5.56
2017-05-24,5.49
2017-05-25,5.39
2017-05-26,5.31
2017-05-30,5.32
2017-05-31,5.23
2017-06-01,5.57
2017-06-02,5.51
2017-06-05,5.42
2017-06-06,5.34
2017-06-07,5.26
2017-06-08,5.32
2017-06-09,5.15
2017-06-12,5.24
2017-06-13,5.22
2017-06-14,5.14
2017-06-15,5.11
2017-06-16,5.06
2017-06-19,5.15
2017-06-20,5.02
2017-06-21,4.99
2017-06-22,5.09
2017-06-23,5.16
2017-06-26,5.44
2017-06-27,5.31
2017-06-28,5.3
2017-06-29,5.4
2017-06-30,5.31
2017-07-03,5.32
2017-07-05,5.32
2017-07-06,5.22
2017-07-07,5.24
2017-07-10,5.23
2017-07-11,5.24
2017-07-12,5.36
2017-07-13,5.69
2017-07-14,5.77
2017-07-17,5.72
2017-07-18,5.67
2017-07-19,5.77
2017-07-20,5.76
2017-07-21,5.61
2017-07-24,5.63
2017-07-25,5.77
2017-07-26,5.4
2017-07-27,5.27
2017-07-28,5.22
2017-07-31,5.16
2017-08-01,5.08
2017-08-02,5.07
2017-08-03,5.84
2017-08-04,5.63
2017-08-07,5.73
2017-08-08,5.89
2017-08-09,5.93
2017-08-10,5.64
2017-08-11,5.57
2017-08-14,5.69
2017-08-15,5.52
2017-08-16,5.48
2017-08-17,5.26
2017-08-18,5.23
2017-08-21,5.06
2017-08-22,5.32
2017-08-23,5.49
2017-08-24,5.66
2017-08-25,5.73
2017-08-28,5.94
2017-08-29,5.93
2017-08-30,5.97
2017-08-31,6.03
2017-09-01,5.89
2017-09-05,5.87
2017-09-06,5.91
2017-09-07,6.49
2017-09-08,6.29
2017-09-11,6.26
2017-09-12,6.26
2017-09-13,6.65
2017-09-14,6.88
2017-09-15,6.59
2017-09-18,6.56
2017-09-19,6.24
2017-09-20,6.27
2017-09-21,6.29
2017-09-22,6.31
2017-09-25,6.44
2017-09-26,6.57
2017-09-27,6.98
2017-09-28,6.91
2017-09-29,6.96
2017-10-02,6.9
2017-10-03,6.66
2017-10-04,6.52
2017-10-05,6.46
2017-10-06,6.51
2017-10-09,6.59
2017-10-10,6.61
2017-10-11,6.56
2017-10-12,6.69
2017-10-13,6.62
2017-10-16,6.52
2017-10-17,6.42
2017-10-18,6.35
2017-10-19,6.11
2017-10-20,6.12
2017-10-23,6.07
2017-10-24,6.06
2017-10-25,6.11
2017-10-26,6.03
2017-10-27,6.06
2017-10-30,6.1
2017-10-31,6.14
2017-11-01,6.25
2017-11-02,5.97
2017-11-03,6.02
2017-11-06,6.06
2017-11-07,6.07
2017-11-08,5.88
2017-11-09,5.81
2017-11-10,5.93
2017-11-13,5.98
2017-11-14,6.0
2017-11-15,6.13
2017-11-16,6.03
2017-11-17,6.23
2017-11-20,6.37
2017-11-21,6.48
2017-11-22,6.65
2017-11-24,6.71
2017-11-27,6.62
2017-11-28,6.74
2017-11-29,6.74
2017-11-30,6.86
2017-12-01,6.77
2017-12-04,6.69
2017-12-05,6.66
2017-12-06,6.78
2017-12-07,6.78
2017-12-08,6.97
2017-12-11,7.14
2017-12-12,6.99
2017-12-13,7.02
2017-12-14,6.82
2017-12-15,6.3
2017-12-18,6.39
2017-12-19,6.18
2017-12-20,6.19
2017-12-21,6.06
2017-12-22,6.01
2017-12-26,5.97
2017-12-27,5.89
2017-12-28,5.91
2017-12-29,5.71
2018-01-02,6.01
2018-01-03,6.13
2018-01-04,5.98
2018-01-05,5.9
2018-01-08,5.65
2018-01-09,5.66
2018-01-10,5.59
2018-01-11,5.72
2018-01-12,5.64
