Date,FUL
1973-02-21,0.833333
1973-02-22,0.8125
1973-02-23,0.802083
1973-02-26,0.791667
1973-02-27,0.791667
1973-02-28,0.791667
1973-03-01,0.791667
1973-03-02,0.791667
1973-03-05,0.791667
1973-03-06,0.78125
1973-03-07,0.770833
1973-03-08,0.770833
1973-03-09,0.770833
1973-03-12,0.770833
1973-03-13,0.760417
1973-03-14,0.75
1973-03-15,0.75
1973-03-16,0.677083
1973-03-19,0.666667
1973-03-20,0.65625
1973-03-21,0.65625
1973-03-22,0.677083
1973-03-23,0.6875
1973-03-26,0.6875
1973-03-27,0.697917
1973-03-28,0.697917
1973-03-29,0.6875
1973-03-30,0.6875
1973-04-02,0.677083
1973-04-03,0.65625
1973-04-04,0.65625
1973-04-05,0.645833
1973-04-06,0.645833
1973-04-09,0.625
1973-04-10,0.625
1973-04-11,0.604167
1973-04-12,0.604167
1973-04-13,0.604167
1973-04-16,0.604167
1973-04-17,0.59375
1973-04-18,0.614583
1973-04-19,0.614583
1973-04-23,0.614583
1973-04-24,0.614583
1973-04-25,0.604167
1973-04-26,0.614583
1973-04-27,0.614583
1973-04-30,0.604167
1973-05-01,0.598958
1973-05-02,0.59375
1973-05-03,0.59375
1973-05-04,0.588542
1973-05-07,0.583333
1973-05-08,0.583333
1973-05-09,0.59375
1973-05-10,0.583333
1973-05-11,0.583333
1973-05-14,0.583333
1973-05-15,0.572917
1973-05-16,0.572917
1973-05-17,0.572917
1973-05-18,0.5625
1973-05-21,0.541667
1973-05-22,0.541667
1973-05-23,0.541667
1973-05-24,0.489583
1973-05-25,0.505208
1973-05-29,0.510417
1973-05-30,0.510417
1973-05-31,0.510417
1973-06-01,0.5
1973-06-04,0.5
1973-06-05,0.5
1973-06-06,0.505208
1973-06-07,0.505208
1973-06-08,0.5
1973-06-11,0.479167
1973-06-12,0.479167
1973-06-13,0.479167
1973-06-14,0.473958
1973-06-15,0.473958
1973-06-18,0.453125
1973-06-19,0.447917
1973-06-20,0.432292
1973-06-21,0.401042
1973-06-22,0.401042
1973-06-25,0.40625
1973-06-26,0.432292
1973-06-27,0.453125
1973-06-28,0.447917
1973-06-29,0.453125
1973-07-02,0.479167
1973-07-03,0.46875
1973-07-05,0.46875
1973-07-06,0.46875
1973-07-09,0.484375
1973-07-10,0.552083
1973-07-11,0.5625
1973-07-12,0.552083
1973-07-13,0.552083
1973-07-16,0.552083
1973-07-17,0.552083
1973-07-18,0.552083
1973-07-19,0.552083
1973-07-20,0.552083
1973-07-23,0.552083
1973-07-24,0.510417
1973-07-25,0.510417
1973-07-26,0.520833
1973-07-27,0.53125
1973-07-30,0.53125
1973-07-31,0.5
1973-08-01,0.479167
1973-08-02,0.479167
1973-08-03,0.46875
1973-08-06,0.479167
1973-08-07,0.479167
1973-08-08,0.46875
1973-08-09,0.46875
1973-08-10,0.46875
1973-08-13,0.46875
1973-08-14,0.447917
1973-08-15,0.458333
1973-08-16,0.458333
1973-08-17,0.510417
1973-08-20,0.510417
1973-08-21,0.5625
1973-08-22,0.53125
1973-08-23,0.53125
1973-08-24,0.520833
1973-08-27,0.520833
1973-08-28,0.520833
1973-08-29,0.520833
1973-08-30,0.510417
1973-08-31,0.510417
1973-09-04,0.510417
1973-09-05,0.510417
1973-09-06,0.510417
1973-09-07,0.510417
1973-09-10,0.520833
1973-09-11,0.520833
1973-09-12,0.520833
1973-09-13,0.520833
1973-09-14,0.520833
1973-09-17,0.520833
1973-09-18,0.520833
1973-09-19,0.541667
1973-09-20,0.541667
1973-09-21,0.541667
1973-09-24,0.53125
1973-09-25,0.520833
1973-09-26,0.520833
1973-09-27,0.520833
1973-09-28,0.5
1973-10-01,0.5
1973-10-02,0.489583
1973-10-03,0.458333
1973-10-04,0.458333
1973-10-05,0.46875
1973-10-08,0.46875
1973-10-09,0.447917
1973-10-10,0.4375
1973-10-11,0.4375
1973-10-12,0.4375
1973-10-15,0.427083
1973-10-16,0.395833
1973-10-17,0.385417
1973-10-18,0.385417
1973-10-19,0.416667
1973-10-22,0.40625
1973-10-23,0.40625
1973-10-24,0.416667
1973-10-25,0.40625
1973-10-26,0.40625
1973-10-29,0.40625
1973-10-30,0.40625
1973-10-31,0.40625
1973-11-01,0.395833
1973-11-02,0.385417
1973-11-05,0.385417
1973-11-06,0.385417
1973-11-07,0.354167
1973-11-08,0.34375
1973-11-09,0.354167
1973-11-12,0.34375
1973-11-13,0.34375
1973-11-14,0.34375
1973-11-15,0.333333
1973-11-16,0.34375
1973-11-19,0.322917
1973-11-20,0.3125
1973-11-21,0.3125
1973-11-23,0.322917
1973-11-26,0.3125
1973-11-27,0.302083
1973-11-28,0.28125
1973-11-29,0.28125
1973-11-30,0.28125
1973-12-03,0.28125
1973-12-04,0.28125
1973-12-05,0.28125
1973-12-06,0.28125
1973-12-07,0.28125
1973-12-10,0.291667
1973-12-11,0.291667
1973-12-12,0.291667
1973-12-13,0.28125
1973-12-14,0.28125
1973-12-17,0.28125
1973-12-18,0.270833
1973-12-19,0.270833
1973-12-20,0.270833
1973-12-21,0.28125
1973-12-24,0.270833
1973-12-26,0.276042
1973-12-27,0.28125
1973-12-28,0.286458
1973-12-31,0.28125
1974-01-02,0.28125
1974-01-03,0.302083
1974-01-04,0.317708
1974-01-07,0.328125
1974-01-08,0.328125
1974-01-09,0.338542
1974-01-10,0.375
1974-01-11,0.401042
1974-01-14,0.395833
1974-01-15,0.375
1974-01-16,0.375
1974-01-17,0.40625
1974-01-18,0.390625
1974-01-21,0.380208
1974-01-22,0.385417
1974-01-23,0.385417
1974-01-24,0.375
1974-01-25,0.375
1974-01-28,0.369792
1974-01-29,0.354167
1974-01-30,0.348958
1974-01-31,0.348958
1974-02-01,0.348958
1974-02-04,0.34375
1974-02-05,0.34375
1974-02-06,0.333333
1974-02-07,0.333333
1974-02-08,0.333333
1974-02-11,0.317708
1974-02-12,0.3125
