Date,I
2013-04-18,19.25
2013-04-19,20.25
2013-04-22,20.059998999999998
2013-04-23,20.6
2013-04-24,20.360001
2013-04-25,20.719998999999998
2013-04-26,20.440001000000002
2013-04-29,20.18
2013-04-30,20.15
2013-05-01,20.0
2013-05-02,20.200001
2013-05-03,19.75
2013-05-06,19.690001000000002
2013-05-07,20.01
2013-05-08,19.540001
2013-05-09,19.49
2013-05-10,20.66
2013-05-13,21.84
2013-05-14,23.290001
2013-05-15,23.49
2013-05-16,23.459999
2013-05-17,23.040001
2013-05-20,23.27
2013-05-21,24.42
2013-05-22,24.84
2013-05-23,24.4
2013-05-24,24.41
2013-05-28,24.190001000000002
2013-05-29,24.27
2013-05-30,24.559998999999998
2013-05-31,24.370001000000002
2013-06-03,23.25
2013-06-04,22.620001000000002
2013-06-05,22.93
2013-06-06,23.34
2013-06-07,22.969998999999998
2013-06-10,22.34
2013-06-11,21.940001000000002
2013-06-12,21.0
2013-06-13,21.0
2013-06-14,21.030001000000002
2013-06-17,21.02
2013-06-18,21.059998999999998
2013-06-19,21.08
2013-06-20,20.58
2013-06-21,20.299999
2013-06-24,20.360001
2013-06-25,20.4
2013-06-26,20.34
2013-06-27,20.01
2013-06-28,20.0
2013-07-01,19.85
2013-07-02,20.110001
2013-07-03,20.16
2013-07-05,20.84
2013-07-08,20.9
2013-07-09,21.700001
2013-07-10,21.690001000000002
2013-07-11,21.610001
2013-07-12,21.780001000000002
2013-07-15,21.440001000000002
2013-07-16,21.17
2013-07-17,21.48
2013-07-18,21.85
2013-07-19,22.73
2013-07-22,22.57
2013-07-23,22.17
2013-07-24,21.969998999999998
2013-07-25,21.299999
2013-07-26,21.68
2013-07-29,21.379998999999998
2013-07-30,21.59
2013-07-31,21.440001000000002
2013-08-01,22.5
2013-08-02,24.09
2013-08-05,24.27
2013-08-06,23.469998999999998
2013-08-07,23.860001
2013-08-08,23.780001000000002
2013-08-09,24.09
2013-08-12,24.5
2013-08-13,24.66
2013-08-14,24.16
2013-08-15,23.709999
2013-08-16,23.49
2013-08-19,22.68
2013-08-20,23.879998999999998
2013-08-21,24.299999
2013-08-22,23.93
2013-08-23,23.540001
2013-08-26,23.709999
2013-08-27,23.280001000000002
2013-08-28,22.959999
2013-08-29,22.629998999999998
2013-08-30,22.83
2013-09-03,23.190001000000002
2013-09-04,23.01
2013-09-05,23.0
2013-09-06,22.870001000000002
2013-09-09,23.059998999999998
2013-09-10,23.200001
2013-09-11,22.9
2013-09-12,23.27
2013-09-13,23.5
2013-09-16,24.309998999999998
2013-09-17,24.719998999999998
2013-09-18,25.15
2013-09-19,24.860001
2013-09-20,24.42
2013-09-23,24.75
2013-09-24,23.85
2013-09-25,24.25
2013-09-26,23.700001
2013-09-27,24.33
2013-09-30,24.0
2013-10-01,24.290001
2013-10-02,24.049999
2013-10-03,24.02
2013-10-04,23.98
2013-10-07,23.459999
2013-10-08,22.950001
2013-10-09,22.209999
2013-10-10,22.219998999999998
2013-10-11,22.15
2013-10-14,21.6
2013-10-15,21.469998999999998
2013-10-16,21.639999
2013-10-17,22.02
2013-10-18,22.43
2013-10-21,22.219998999999998
2013-10-22,22.700001
2013-10-23,22.969998999999998
2013-10-24,22.559998999999998
2013-10-25,22.49
2013-10-28,21.780001000000002
2013-10-29,20.959999
2013-10-30,20.6
2013-10-31,20.389999
2013-11-01,20.450001
2013-11-04,19.85
2013-11-05,19.629998999999998
2013-11-06,19.5
2013-11-07,19.09
2013-11-08,19.01
2013-11-11,19.01
2013-11-12,19.049999
2013-11-13,19.84
2013-11-14,20.0
2013-11-15,20.299999
2013-11-18,20.33
2013-11-19,20.08
2013-11-20,20.129998999999998
2013-11-21,20.360001
2013-11-22,21.32
2013-11-25,20.91
2013-11-26,21.07
2013-11-27,21.65
2013-11-29,21.629998999999998
2013-12-02,21.450001
2013-12-03,21.469998999999998
2013-12-04,21.540001
2013-12-05,21.540001
2013-12-06,21.59
2013-12-09,21.66
2013-12-10,21.58
2013-12-11,21.9
2013-12-12,21.469998999999998
2013-12-13,21.57
2013-12-16,21.42
2013-12-17,21.950001
2013-12-18,22.200001
2013-12-19,22.07
2013-12-20,21.84
2013-12-23,21.75
2013-12-24,22.030001000000002
2013-12-26,21.91
2013-12-27,21.84
2013-12-30,22.16
2013-12-31,22.540001
2014-01-02,22.65
2014-01-03,22.42
2014-01-06,22.0
2014-01-07,22.35
2014-01-08,22.049999
2014-01-09,22.110001
2014-01-10,21.99
2014-01-13,21.9
2014-01-14,21.93
2014-01-15,21.91
2014-01-16,21.99
2014-01-17,21.77
2014-01-21,21.73
2014-01-22,21.66
2014-01-23,21.5
2014-01-24,21.16
2014-01-27,20.4
2014-01-28,20.48
2014-01-29,19.73
2014-01-30,19.549999
2014-01-31,19.98
2014-02-03,19.48
2014-02-04,19.459999
2014-02-05,19.620001000000002
2014-02-06,21.040001
2014-02-07,21.299999
2014-02-10,21.309998999999998
2014-02-11,21.370001000000002
2014-02-12,21.780001000000002
2014-02-13,21.889999
2014-02-14,21.969998999999998
2014-02-18,21.91
2014-02-19,22.26
2014-02-20,21.26
2014-02-21,20.65
2014-02-24,20.139999
2014-02-25,19.74
2014-02-26,20.07
2014-02-27,19.940001000000002
2014-02-28,19.84
2014-03-03,19.559998999999998
2014-03-04,19.950001
2014-03-05,19.780001000000002
2014-03-06,19.83
2014-03-07,19.16
2014-03-10,19.25
2014-03-11,18.65
2014-03-12,18.9
2014-03-13,18.35
2014-03-14,18.629998999999998
2014-03-17,18.59
2014-03-18,18.360001
2014-03-19,17.959999
2014-03-20,17.68
2014-03-21,17.540001
2014-03-24,17.85
2014-03-25,18.379998999999998
2014-03-26,18.540001
2014-03-27,18.610001
2014-03-28,18.68
2014-03-31,18.719998999999998
2014-04-01,18.33
2014-04-02,18.299999
2014-04-03,18.389999
2014-04-04,17.83
2014-04-07,17.43
2014-04-08,17.6
2014-04-09,17.58
2014-04-10,17.389999
2014-04-11,17.379998999999998
2014-04-14,17.209999
2014-04-15,17.25
2014-04-16,17.25
2014-04-17,17.129998999999998
2014-04-21,17.6
2014-04-22,18.030001000000002
2014-04-23,18.15
2014-04-24,18.43
2014-04-25,18.290001
2014-04-28,17.93
2014-04-29,17.809998999999998
2014-04-30,18.18
2014-05-01,19.559998999999998
2014-05-02,18.74
2014-05-05,18.92
2014-05-06,19.360001
2014-05-07,19.58
2014-05-08,19.18
2014-05-09,19.360001
2014-05-12,19.139999
2014-05-13,19.139999
2014-05-14,18.950001
2014-05-15,18.860001
2014-05-16,19.27
2014-05-19,19.290001
2014-05-20,19.23
2014-05-21,19.27
2014-05-22,19.290001
2014-05-23,19.49
2014-05-27,19.469998999999998
2014-05-28,19.360001
2014-05-29,19.32
2014-05-30,19.389999
2014-06-02,18.82
2014-06-03,18.9
2014-06-04,19.0
2014-06-05,18.940001000000002
2014-06-06,19.049999
2014-06-09,18.91
2014-06-10,18.67
2014-06-11,18.469998999999998
2014-06-12,18.139999
2014-06-13,18.139999
2014-06-16,18.48
2014-06-17,18.32
2014-06-18,18.129998999999998
2014-06-19,18.370001000000002
2014-06-20,18.57
2014-06-23,18.57
2014-06-24,18.65
2014-06-25,18.799999
2014-06-26,19.059998999999998
2014-06-27,18.66
2014-06-30,18.84
2014-07-01,18.870001000000002
