Date,IPXL
2012-06-18,22.049999
2012-06-19,22.5
2012-06-20,22.639999
2012-06-21,22.65
2012-06-22,22.85
2012-06-25,20.200001
2012-06-26,20.67
2012-06-27,21.59
2012-06-28,21.49
2012-06-29,20.27
2012-07-02,20.120001000000002
2012-07-03,20.450001
2012-07-05,20.16
2012-07-06,20.25
2012-07-09,20.49
2012-07-10,19.870001000000002
2012-07-11,19.940001000000002
2012-07-12,19.83
2012-07-13,19.83
2012-07-16,20.51
2012-07-17,20.99
2012-07-18,20.440001000000002
2012-07-19,20.200001
2012-07-20,19.709999
2012-07-23,19.719998999999998
2012-07-24,19.67
2012-07-25,20.040001
2012-07-26,20.43
2012-07-27,20.77
2012-07-30,20.51
2012-07-31,22.219998999999998
2012-08-01,22.18
2012-08-02,22.639999
2012-08-03,23.18
2012-08-06,23.870001000000002
2012-08-07,23.889999
2012-08-08,23.549999
2012-08-09,23.57
2012-08-10,24.030001000000002
2012-08-13,23.98
2012-08-14,24.49
2012-08-15,24.030001000000002
2012-08-16,24.059998999999998
2012-08-17,24.16
2012-08-20,24.299999
2012-08-21,24.02
2012-08-22,23.969998999999998
2012-08-23,23.83
2012-08-24,23.879998999999998
2012-08-27,23.92
2012-08-28,23.950001
2012-08-29,23.83
2012-08-30,23.85
2012-08-31,23.67
2012-09-04,23.84
2012-09-05,24.83
2012-09-06,24.93
2012-09-07,24.389999
2012-09-10,24.049999
2012-09-11,24.360001
2012-09-12,24.549999
2012-09-13,24.18
2012-09-14,24.049999
2012-09-17,24.049999
2012-09-18,24.84
2012-09-19,25.799999
2012-09-20,25.98
2012-09-21,26.16
2012-09-24,26.639999
2012-09-25,26.59
2012-09-26,26.15
2012-09-27,25.879998999999998
2012-09-28,25.959999
2012-10-01,26.43
2012-10-02,27.02
2012-10-03,26.389999
2012-10-04,26.4
2012-10-05,26.68
2012-10-08,26.379998999999998
2012-10-09,26.209999
2012-10-10,26.139999
2012-10-11,26.049999
2012-10-12,26.35
2012-10-15,25.860001
2012-10-16,25.99
2012-10-17,26.1
2012-10-18,25.77
2012-10-19,24.98
2012-10-22,25.280001000000002
2012-10-23,25.35
2012-10-24,24.610001
2012-10-25,24.52
2012-10-26,24.34
2012-10-31,21.222
2012-11-01,21.01
2012-11-02,20.360001
2012-11-05,20.110001
2012-11-06,20.33
2012-11-07,20.280001000000002
2012-11-08,20.129998999999998
2012-11-09,20.219998999999998
2012-11-12,20.25
2012-11-13,19.84
2012-11-14,19.67
2012-11-15,19.799999
2012-11-16,19.9478
2012-11-19,20.120001000000002
2012-11-20,20.02
2012-11-21,20.43
2012-11-23,20.540001
