Date,JD
2014-05-22,20.9
2014-05-23,20.1
2014-05-27,22.969998999999998
2014-05-28,24.780001000000002
2014-05-29,25.4
2014-05-30,25.0
2014-06-02,24.6
2014-06-03,25.1
2014-06-04,24.540001
2014-06-05,25.780001000000002
2014-06-06,26.58
2014-06-09,28.43
2014-06-10,28.35
2014-06-11,29.0
2014-06-12,27.17
2014-06-13,27.790001
2014-06-16,26.889999
2014-06-17,27.018998999999997
2014-06-18,26.52
2014-06-19,25.83
2014-06-20,25.450001
2014-06-23,26.370001000000002
2014-06-24,27.040001
2014-06-25,27.07
2014-06-26,28.299999
2014-06-27,28.01
2014-06-30,28.51
2014-07-01,29.690001000000002
2014-07-02,28.959999
2014-07-03,27.790001
2014-07-07,27.629998999999998
2014-07-08,26.469998999999998
2014-07-09,26.360001
2014-07-10,27.700001
2014-07-11,27.040001
2014-07-14,28.040001
2014-07-15,28.209999
2014-07-16,29.110001
2014-07-17,27.559998999999998
2014-07-18,27.82
2014-07-21,28.540001
2014-07-22,28.73
2014-07-23,27.879998999999998
2014-07-24,29.049999
2014-07-25,29.030001000000002
2014-07-28,29.49
2014-07-29,29.620001000000002
2014-07-30,29.07
2014-07-31,28.58
2014-08-01,27.940001000000002
2014-08-04,27.790001
2014-08-05,27.73
2014-08-06,27.51
2014-08-07,27.48
2014-08-08,28.360001
2014-08-11,28.209999
2014-08-12,28.77
2014-08-13,30.469998999999998
2014-08-14,30.01
2014-08-15,29.58
2014-08-18,30.040001
2014-08-19,30.209999
2014-08-20,30.93
2014-08-21,30.82
2014-08-22,30.959999
2014-08-25,31.34
2014-08-26,32.009997999999996
2014-08-27,32.639998999999996
2014-08-28,31.440001000000002
2014-08-29,31.92
2014-09-02,31.07
2014-09-03,30.809998999999998
2014-09-04,30.26
2014-09-05,29.030001000000002
2014-09-08,29.129998999999998
2014-09-09,29.059998999999998
2014-09-10,28.35
2014-09-11,29.120001000000002
2014-09-12,29.25
2014-09-15,28.870001000000002
2014-09-16,27.799999
2014-09-17,28.1
2014-09-18,29.549999
2014-09-19,28.35
2014-09-22,26.969998999999998
2014-09-23,26.57
2014-09-24,27.18
2014-09-25,26.57
2014-09-26,26.93
2014-09-29,26.33
2014-09-30,25.82
2014-10-01,25.02
