Date,KMT
1973-02-21,1.6328129999999998
1973-02-22,1.5859379999999998
1973-02-23,1.5625
1973-02-26,1.5625
1973-02-27,1.5625
1973-02-28,1.5625
1973-03-01,1.546875
1973-03-02,1.515625
1973-03-05,1.53125
1973-03-06,1.546875
1973-03-07,1.5546879999999998
1973-03-08,1.5234379999999998
1973-03-09,1.5234379999999998
1973-03-12,1.515625
1973-03-13,1.5
1973-03-14,1.46875
1973-03-15,1.484375
1973-03-16,1.484375
1973-03-19,1.453125
1973-03-20,1.4375
1973-03-21,1.453125
1973-03-22,1.4375
1973-03-23,1.46875
1973-03-26,1.46875
1973-03-27,1.484375
1973-03-28,1.484375
1973-03-29,1.4921879999999998
1973-03-30,1.4765629999999998
1973-04-02,1.4765629999999998
1973-04-03,1.4765629999999998
1973-04-04,1.4765629999999998
1973-04-05,1.4765629999999998
1973-04-06,1.4453129999999998
1973-04-09,1.4609379999999998
1973-04-10,1.4921879999999998
1973-04-11,1.4765629999999998
1973-04-12,1.4921879999999998
1973-04-13,1.5
1973-04-16,1.5
1973-04-17,1.5
1973-04-18,1.5
1973-04-19,1.4921879999999998
1973-04-23,1.5
1973-04-24,1.46875
1973-04-25,1.5
1973-04-26,1.484375
1973-04-27,1.4921879999999998
1973-04-30,1.484375
1973-05-01,1.484375
1973-05-02,1.46875
1973-05-03,1.4765629999999998
1973-05-04,1.484375
1973-05-07,1.484375
1973-05-08,1.484375
1973-05-09,1.484375
1973-05-10,1.46875
1973-05-11,1.453125
1973-05-14,1.453125
1973-05-15,1.453125
1973-05-16,1.4375
1973-05-17,1.453125
1973-05-18,1.4296879999999998
1973-05-21,1.40625
1973-05-22,1.375
1973-05-23,1.359375
1973-05-24,1.375
1973-05-25,1.421875
1973-05-29,1.484375
1973-05-30,1.484375
1973-05-31,1.4765629999999998
1973-06-01,1.4765629999999998
1973-06-04,1.453125
1973-06-05,1.4296879999999998
1973-06-06,1.390625
1973-06-07,1.390625
1973-06-08,1.4375
1973-06-11,1.4375
1973-06-12,1.4375
