Date,LIND
2013-07-03,9.58
2013-07-05,9.85
2013-07-08,9.85
2013-07-09,10.1
2013-07-10,10.1
2013-07-11,10.1
2013-07-12,10.1
2013-07-15,9.9
2013-07-16,9.9
2013-07-17,9.9
2013-07-18,9.9
2013-07-19,9.72
2013-07-22,9.72
2013-07-23,9.9
2013-07-24,9.9
2013-07-25,9.62
2013-07-26,9.5
2013-07-29,9.5
2013-07-30,9.5
2013-07-31,9.66
2013-08-01,9.66
2013-08-02,9.66
2013-08-05,9.69
2013-08-06,9.69
2013-08-07,9.69
2013-08-08,9.69
2013-08-09,9.69
2013-08-12,9.69
2013-08-13,9.69
2013-08-14,9.79
2013-08-15,9.79
2013-08-16,9.79
2013-08-19,9.79
2013-08-20,9.79
2013-08-21,9.79
2013-08-22,9.84
2013-08-23,9.84
2013-08-26,9.76
2013-08-27,9.75
2013-08-28,9.74
2013-08-29,9.74
2013-08-30,9.79
2013-09-03,9.79
2013-09-04,9.79
2013-09-05,9.79
2013-09-06,9.79
2013-09-09,9.79
2013-09-10,9.7
2013-09-11,9.7
2013-09-12,9.7
2013-09-13,9.7
2013-09-16,9.7
2013-09-17,9.7
2013-09-18,9.7
2013-09-19,9.7
2013-09-20,9.7
2013-09-23,9.7
2013-09-24,9.7
2013-09-25,9.7
2013-09-26,9.7
2013-09-27,9.7
2013-09-30,9.7
2013-10-01,9.7
2013-10-02,9.7
2013-10-03,9.7
2013-10-04,9.7
2013-10-07,9.7
2013-10-08,9.7
2013-10-09,9.7
2013-10-10,9.61
2013-10-11,9.66
2013-10-14,9.7
2013-10-15,9.7
2013-10-16,9.7
2013-10-17,9.7
2013-10-18,9.7
2013-10-21,9.7
2013-10-22,9.67
2013-10-23,9.67
2013-10-24,9.67
2013-10-25,9.64
2013-10-28,9.64
2013-10-29,9.64
2013-10-30,9.64
2013-10-31,9.64
2013-11-01,9.64
2013-11-04,9.64
2013-11-05,9.64
2013-11-06,9.64
2013-11-07,9.64
2013-11-08,9.64
2013-11-11,9.64
2013-11-12,9.64
2013-11-13,9.64
2013-11-14,9.64
2013-11-15,9.64
2013-11-18,9.64
2013-11-19,9.64
2013-11-20,9.64
2013-11-21,9.64
2013-11-22,9.64
2013-11-25,9.64
2013-11-26,9.64
2013-11-27,9.64
2013-11-29,9.64
2013-12-02,9.64
2013-12-03,9.64
2013-12-04,9.64
2013-12-05,9.64
2013-12-06,9.64
2013-12-09,9.64
2013-12-10,9.75
2013-12-11,9.74
2013-12-12,9.74
2013-12-13,9.65
2013-12-16,9.65
2013-12-17,9.65
2013-12-18,9.65
2013-12-19,9.65
2013-12-20,9.65
2013-12-23,9.65
2013-12-24,9.65
2013-12-26,9.62
2013-12-27,9.62
2013-12-30,9.62
2013-12-31,9.62
2014-01-02,9.62
2014-01-03,9.62
2014-01-06,9.62
2014-01-07,9.62
2014-01-08,9.62
2014-01-09,9.62
2014-01-10,9.62
2014-01-13,9.62
2014-01-14,9.62
2014-01-15,9.7
2014-01-16,9.7
2014-01-17,9.7
2014-01-21,9.65
2014-01-22,9.69
2014-01-23,9.69
2014-01-24,9.69
2014-01-27,9.69
2014-01-28,9.7
2014-01-29,9.7
2014-01-30,9.7
2014-01-31,9.67
2014-02-03,9.69
2014-02-04,9.7
2014-02-05,9.69
2014-02-06,9.7
2014-02-07,9.7
2014-02-10,9.7
2014-02-11,9.7
2014-02-12,9.66
2014-02-13,9.7
2014-02-14,9.7
2014-02-18,9.7
2014-02-19,9.7
2014-02-20,9.7
2014-02-21,9.7
2014-02-24,9.7
2014-02-25,9.7
2014-02-26,9.7
2014-02-27,9.7
2014-02-28,9.79
2014-03-03,9.79
2014-03-04,9.8
2014-03-05,9.8
2014-03-06,9.8
2014-03-07,9.8
2014-03-10,9.8
2014-03-11,9.76
2014-03-12,9.77
2014-03-13,9.78
2014-03-14,9.78
2014-03-17,9.76
2014-03-18,9.77
2014-03-19,9.77
2014-03-20,9.77
2014-03-21,9.77
2014-03-24,9.77
2014-03-25,9.77
2014-03-26,9.84
2014-03-27,9.84
2014-03-28,9.82
2014-03-31,9.85
2014-04-01,9.86
2014-04-02,9.89
2014-04-03,9.82
2014-04-04,9.87
2014-04-07,9.88
2014-04-08,9.88
2014-04-09,9.89
2014-04-10,9.89
2014-04-11,9.89
2014-04-14,9.9
2014-04-15,9.93
2014-04-16,9.87
2014-04-17,9.86
2014-04-21,9.66
2014-04-22,9.85
2014-04-23,9.87
2014-04-24,9.88
2014-04-25,9.88
2014-04-28,9.87
2014-04-29,9.88
2014-04-30,9.88
2014-05-01,9.88
2014-05-02,9.88
2014-05-05,9.89
2014-05-06,9.89
2014-05-07,9.85
2014-05-08,9.93
2014-05-09,9.93
2014-05-12,9.84
2014-05-13,9.85
2014-05-14,9.88
2014-05-15,9.87
2014-05-16,9.92
2014-05-19,9.93
2014-05-20,9.94
2014-05-21,9.95
2014-05-22,9.95
2014-05-23,9.89
2014-05-27,9.95
2014-05-28,9.95
2014-05-29,9.95
2014-05-30,9.96
2014-06-02,10.19
2014-06-03,10.19
2014-06-04,10.39
2014-06-05,10.2
2014-06-06,10.2
2014-06-09,10.5
2014-06-10,10.5
2014-06-11,10.2
2014-06-12,10.2
2014-06-13,10.2
2014-06-16,9.92
2014-06-17,9.92
2014-06-18,9.94
2014-06-19,9.84
2014-06-20,9.9
2014-06-23,9.83
2014-06-24,9.79
2014-06-25,9.83
2014-06-26,9.82
2014-06-27,9.82
2014-06-30,9.82
2014-07-01,9.82
2014-07-02,9.82
2014-07-03,9.92
2014-07-07,9.92
2014-07-08,9.92
2014-07-09,9.92
2014-07-10,9.92
2014-07-11,9.92
2014-07-14,9.85
2014-07-15,9.91
2014-07-16,9.89
2014-07-17,9.92
2014-07-18,9.92
2014-07-21,9.92
2014-07-22,9.92
2014-07-23,9.92
2014-07-24,9.92
2014-07-25,9.83
2014-07-28,9.83
2014-07-29,9.83
2014-07-30,9.83
2014-07-31,9.84
2014-08-01,9.84
2014-08-04,9.84
2014-08-05,9.84
2014-08-06,9.88
2014-08-07,9.88
2014-08-08,9.83
2014-08-11,9.83
2014-08-12,9.83
2014-08-13,9.83
2014-08-14,9.83
2014-08-15,9.83
2014-08-18,9.83
2014-08-19,9.83
2014-08-20,9.12
2014-08-21,9.8
2014-08-22,9.07
2014-08-25,9.8
2014-08-26,9.82
2014-08-27,9.83
2014-08-28,9.83
2014-08-29,9.84
2014-09-02,9.82
2014-09-03,9.83
2014-09-04,9.83
2014-09-05,9.89
2014-09-08,9.89
2014-09-09,9.89
2014-09-10,9.89
2014-09-11,9.89
2014-09-12,9.9
2014-09-15,9.83
2014-09-16,9.83
2014-09-17,9.83
2014-09-18,9.83
2014-09-19,9.84
2014-09-22,9.81
2014-09-23,9.81
2014-09-24,9.75
2014-09-25,9.81
2014-09-26,9.73
2014-09-29,9.8
2014-09-30,9.81
2014-10-01,9.81
2014-10-02,9.81
2014-10-03,9.7
2014-10-06,9.7
2014-10-07,9.75
2014-10-08,9.81
2014-10-09,9.81
2014-10-10,9.7
2014-10-13,9.79
2014-10-14,9.75
2014-10-15,9.75
2014-10-16,9.7
2014-10-17,7.86
2014-10-20,9.8
2014-10-21,9.8
2014-10-22,9.75
2014-10-23,9.7
2014-10-24,9.7
2014-10-27,9.7
2014-10-28,9.7
2014-10-29,9.7
2014-10-30,9.7
2014-10-31,9.84
2014-11-03,9.84
2014-11-04,9.84
2014-11-05,9.79
2014-11-06,9.79
2014-11-07,9.79
2014-11-10,9.79
2014-11-11,9.79
2014-11-12,9.79
2014-11-13,9.79
2014-11-14,9.79
2014-11-17,9.79
2014-11-18,9.79
2014-11-19,9.79
2014-11-20,9.79
2014-11-21,9.79
2014-11-24,9.79
2014-11-25,9.79
2014-11-26,9.79
2014-11-28,9.79
2014-12-01,9.79
2014-12-02,9.79
2014-12-03,9.79
2014-12-04,9.79
2014-12-05,9.79
2014-12-08,9.79
2014-12-09,9.79
2014-12-10,9.79
2014-12-11,9.82
2014-12-12,9.8
2014-12-15,9.8
2014-12-16,9.8
2014-12-17,9.8
2014-12-18,9.8
2014-12-19,9.8
2014-12-22,9.8
2014-12-23,9.8
2014-12-24,9.75
2014-12-26,9.8
2014-12-29,9.8
2014-12-30,9.8
2014-12-31,9.88
2015-01-02,9.81
2015-01-05,9.81
2015-01-06,9.81
2015-01-07,9.81
2015-01-08,9.8
2015-01-09,9.8
2015-01-12,9.8
2015-01-13,9.85
2015-01-14,9.88
2015-01-15,9.83
2015-01-16,8.91
2015-01-20,9.84
2015-01-21,9.83
2015-01-22,9.83
2015-01-23,9.9
2015-01-26,9.83
2015-01-27,9.83
2015-01-28,9.83
2015-01-29,9.83
2015-01-30,9.94
2015-02-02,9.94
2015-02-03,9.94
2015-02-04,9.94
2015-02-05,9.83
2015-02-06,9.83
2015-02-09,9.83
2015-02-10,9.83
2015-02-11,9.94
2015-02-12,9.83
2015-02-13,9.83
2015-02-17,9.85
2015-02-18,9.88
2015-02-19,9.88
2015-02-20,9.88
2015-02-23,9.88
2015-02-24,9.88
2015-02-25,9.88
2015-02-26,9.88
2015-02-27,9.88
2015-03-02,9.88
2015-03-03,9.95
2015-03-04,9.95
2015-03-05,9.95
2015-03-06,9.87
2015-03-09,9.87
2015-03-10,9.95
2015-03-11,10.0
2015-03-12,10.0
2015-03-13,9.99
2015-03-16,9.93
2015-03-17,10.0
2015-03-18,9.98
2015-03-19,9.98
2015-03-20,9.98
2015-03-23,9.99
2015-03-24,9.99
2015-03-25,10.01
2015-03-26,10.1
2015-03-27,10.17
2015-03-30,10.12
2015-03-31,10.11
2015-04-01,10.3
2015-04-02,10.3
2015-04-06,10.25
2015-04-07,11.35
2015-04-08,11.59
2015-04-09,11.84
2015-04-10,11.92
2015-04-13,11.85
2015-04-14,11.78
2015-04-15,11.69
2015-04-16,11.59
2015-04-17,11.61
2015-04-20,11.61
2015-04-21,11.43
2015-04-22,11.31
2015-04-23,11.47
2015-04-24,11.38
2015-04-27,11.21
2015-04-28,11.03
2015-04-29,11.03
2015-04-30,11.09
2015-05-01,11.03
2015-05-04,11.0
2015-05-05,11.0
2015-05-06,10.98
2015-05-07,10.9
2015-05-08,10.82
2015-05-11,10.76
2015-05-12,10.57
2015-05-13,10.67
2015-05-14,10.74
2015-05-15,10.89
2015-05-18,11.0
2015-05-19,11.01
2015-05-20,10.93
2015-05-21,10.9
2015-05-22,10.85
2015-05-26,10.83
2015-05-27,10.76
2015-05-28,10.75
2015-05-29,10.72
2015-06-01,10.71
2015-06-02,10.69
2015-06-03,10.69
2015-06-04,10.7
2015-06-05,10.69
2015-06-08,10.5
2015-06-09,10.46
2015-06-10,10.65
2015-06-11,10.7
2015-06-12,10.62
2015-06-15,10.61
2015-06-16,10.5
2015-06-17,10.51
2015-06-18,10.44
2015-06-19,10.75
2015-06-22,10.83
2015-06-23,10.76
2015-06-24,10.77
2015-06-25,10.78
2015-06-26,10.67
2015-06-29,10.68
2015-06-30,10.55
2015-07-01,10.55
2015-07-02,10.51
2015-07-06,10.08
2015-07-07,10.42
2015-07-08,10.56
2015-07-09,10.75
2015-07-10,10.62
2015-07-13,10.51
2015-07-14,10.71
2015-07-15,10.55
2015-07-16,10.5
2015-07-17,10.62
2015-07-20,10.64
2015-07-21,10.6
2015-07-22,10.57
2015-07-23,10.4
2015-07-24,10.09
2015-07-27,9.95
2015-07-28,10.01
2015-07-29,9.94
2015-07-30,10.05
2015-07-31,10.45
2015-08-03,10.39
2015-08-04,10.35
2015-08-05,10.26
2015-08-06,10.16
2015-08-07,10.09
2015-08-10,10.08
2015-08-11,9.92
2015-08-12,9.81
2015-08-13,9.61
2015-08-14,9.6
2015-08-17,9.7
2015-08-18,9.54
2015-08-19,9.52
2015-08-20,9.39
2015-08-21,9.16
2015-08-24,9.03
2015-08-25,8.91
2015-08-26,9.19
2015-08-27,9.47
2015-08-28,9.54
2015-08-31,9.56
2015-09-01,9.61
2015-09-02,9.4
2015-09-03,9.41
2015-09-04,9.12
2015-09-08,9.5
2015-09-09,9.35
2015-09-10,9.43
2015-09-11,9.35
2015-09-14,9.3
2015-09-15,9.36
2015-09-16,9.28
2015-09-17,9.3
2015-09-18,9.4
2015-09-21,9.72
2015-09-22,9.59
2015-09-23,9.91
2015-09-24,9.93
2015-09-25,9.83
2015-09-28,9.49
2015-09-29,9.48
2015-09-30,9.77
2015-10-01,9.56
2015-10-02,9.75
2015-10-05,9.83
2015-10-06,9.84
2015-10-07,9.99
2015-10-08,10.15
2015-10-09,10.13
2015-10-12,10.08
2015-10-13,9.87
2015-10-14,9.91
2015-10-15,10.13
2015-10-16,10.15
2015-10-19,10.06
2015-10-20,10.22
2015-10-21,10.36
2015-10-22,10.38
2015-10-23,10.43
2015-10-26,10.09
2015-10-27,10.17
2015-10-28,10.48
2015-10-29,10.39
2015-10-30,10.6
2015-11-02,10.67
2015-11-03,10.59
2015-11-04,10.56
2015-11-05,10.5
2015-11-06,10.38
2015-11-09,10.75
2015-11-10,10.58
2015-11-11,10.8
2015-11-12,10.53
2015-11-13,10.73
2015-11-16,10.89
2015-11-17,10.77
2015-11-18,10.47
2015-11-19,10.32
2015-11-20,10.52
2015-11-23,10.87
2015-11-24,10.8
2015-11-25,10.88
2015-11-27,10.87
2015-11-30,11.03
2015-12-01,11.03
2015-12-02,11.16
2015-12-03,11.0
2015-12-04,11.04
2015-12-07,10.94
2015-12-08,10.89
2015-12-09,10.99
2015-12-10,11.02
2015-12-11,11.08
2015-12-14,10.75
2015-12-15,11.0
2015-12-16,11.04
2015-12-17,10.82
2015-12-18,10.68
2015-12-21,10.4
2015-12-22,10.4
2015-12-23,10.71
2015-12-24,10.88
2015-12-28,11.04
2015-12-29,11.15
2015-12-30,11.09
2015-12-31,11.11
2016-01-04,11.26
2016-01-05,11.24
2016-01-06,11.06
2016-01-07,10.73
2016-01-08,10.82
2016-01-11,10.92
2016-01-12,10.94
2016-01-13,10.63
2016-01-14,10.63
2016-01-15,10.36
2016-01-19,10.41
2016-01-20,10.43
2016-01-21,10.33
2016-01-22,10.58
2016-01-25,10.18
2016-01-26,10.48
2016-01-27,10.39
2016-01-28,10.02
2016-01-29,10.02
2016-02-01,10.32
2016-02-02,10.12
2016-02-03,10.09
2016-02-04,10.23
2016-02-05,9.88
2016-02-08,9.97
2016-02-09,9.8
2016-02-10,9.78
2016-02-11,9.63
2016-02-12,9.91
2016-02-16,10.12
2016-02-17,10.12
2016-02-18,10.19
2016-02-19,9.99
2016-02-22,9.71
2016-02-23,9.89
2016-02-24,9.8
2016-02-25,9.49
2016-02-26,9.47
2016-02-29,9.66
2016-03-01,9.9
2016-03-02,9.75
2016-03-03,9.95
2016-03-04,9.59
2016-03-07,9.66
2016-03-08,9.64
2016-03-09,9.74
2016-03-10,9.73
2016-03-11,10.35
2016-03-14,9.88
2016-03-15,9.81
2016-03-16,9.65
2016-03-17,9.84
2016-03-18,9.24
2016-03-21,10.04
2016-03-22,9.85
2016-03-23,9.9
2016-03-24,9.86
2016-03-28,9.85
2016-03-29,9.75
2016-03-30,9.83
2016-03-31,9.94
2016-04-01,9.76
2016-04-04,9.98
2016-04-05,9.91
2016-04-06,10.05
2016-04-07,9.98
2016-04-08,9.88
2016-04-11,9.96
2016-04-12,10.13
2016-04-13,10.22
2016-04-14,9.75
2016-04-15,9.9
2016-04-18,9.99
2016-04-19,9.87
2016-04-20,9.9
2016-04-21,9.8
2016-04-22,9.83
2016-04-25,10.03
2016-04-26,10.1
2016-04-27,9.91
2016-04-28,9.9
2016-04-29,10.0
2016-05-02,10.19
2016-05-03,10.03
2016-05-04,10.04
2016-05-05,10.08
2016-05-06,10.23
2016-05-09,10.1
2016-05-10,10.19
2016-05-11,10.06
2016-05-12,10.07
2016-05-13,10.22
2016-05-16,10.14
2016-05-17,9.99
2016-05-18,9.95
2016-05-19,9.83
2016-05-20,9.84
2016-05-23,9.79
2016-05-24,10.15
2016-05-25,10.07
2016-05-26,10.1
2016-05-27,10.06
2016-05-31,10.0
2016-06-01,10.0
2016-06-02,9.88
2016-06-03,9.8
2016-06-06,9.86
2016-06-07,9.85
2016-06-08,9.9
2016-06-09,9.75
2016-06-10,9.83
2016-06-13,9.05
2016-06-14,9.05
2016-06-15,9.06
2016-06-16,9.13
2016-06-17,9.13
2016-06-20,9.15
2016-06-21,8.97
2016-06-22,9.19
2016-06-23,9.39
2016-06-24,8.99
2016-06-27,8.77
2016-06-28,9.37
2016-06-29,9.44
2016-06-30,9.63
2016-07-01,9.74
2016-07-05,9.53
2016-07-06,9.73
2016-07-07,9.69
2016-07-08,9.85
2016-07-11,9.94
2016-07-12,10.0
2016-07-13,9.99
2016-07-14,9.98
2016-07-15,9.98
2016-07-18,9.94
2016-07-19,9.9
2016-07-20,9.86
2016-07-21,9.88
2016-07-22,9.9
2016-07-25,9.74
2016-07-26,9.78
2016-07-27,9.8
2016-07-28,9.81
2016-07-29,9.94
2016-08-01,9.92
2016-08-02,9.93
2016-08-03,9.84
2016-08-04,9.72
2016-08-05,9.77
2016-08-08,9.25
2016-08-09,9.28
2016-08-10,9.2
2016-08-11,9.2
2016-08-12,9.2
2016-08-15,9.01
2016-08-16,8.84
2016-08-17,8.68
2016-08-18,8.75
2016-08-19,8.85
2016-08-22,8.85
2016-08-23,8.97
2016-08-24,9.03
2016-08-25,9.0
2016-08-26,9.0
2016-08-29,9.18
2016-08-30,9.28
2016-08-31,9.39
2016-09-01,9.28
2016-09-02,9.48
2016-09-06,9.47
2016-09-07,9.47
2016-09-08,9.38
2016-09-09,9.21
2016-09-12,9.25
