Date,MEL
2008-11-06,59964.0
2008-11-07,
2008-11-10,
2008-11-11,
2008-11-12,
2008-11-13,
2008-11-14,
2008-11-17,
2008-11-18,
2008-11-19,
2008-11-20,
2008-11-21,61033.0
2008-11-24,61033.0
2008-11-25,
2008-11-26,61033.0
2008-11-28,
2008-12-01,
2008-12-02,
2008-12-03,
2008-12-04,
2008-12-05,61033.0
2008-12-08,
2008-12-09,
2008-12-10,
2008-12-11,61033.0
2008-12-12,
2008-12-15,
2008-12-16,
2008-12-17,61033.0
2008-12-18,61033.0
2008-12-19,
2008-12-22,
2008-12-23,61033.0
2008-12-24,61033.0
2008-12-26,61033.0
2008-12-29,
2008-12-30,
2008-12-31,61033.0
2009-01-02,
2009-01-05,
2009-01-06,
2009-01-07,61033.0
2009-01-08,
2009-01-09,
2009-01-12,
2009-01-13,
2009-01-14,
2009-01-15,
2009-01-16,
2009-01-20,
2009-01-21,61033.0
2009-01-22,61033.0
2009-01-23,61033.0
2009-01-26,
2009-01-27,
2009-01-28,
2009-01-29,
2009-01-30,
2009-02-02,
2009-02-03,
2009-02-04,
2009-02-05,
2009-02-06,
2009-02-09,
2009-02-10,61033.0
2009-02-11,
2009-02-12,
2009-02-13,
2009-02-17,
2009-02-18,
2009-02-19,
2009-02-20,
2009-02-23,
2009-02-24,61033.0
2009-02-25,61033.0
2009-02-26,
2009-02-27,
2009-03-02,
2009-03-03,
2009-03-04,
2009-03-05,
2009-03-06,
2009-03-09,
2009-03-10,
2009-03-11,
2009-03-12,
2009-03-13,
2009-03-16,
2009-03-17,61033.0
2009-03-18,
2009-03-19,
2009-03-20,61033.0
2009-03-23,61033.0
2009-03-24,
2009-03-25,
2009-03-26,61033.0
2009-03-27,
2009-03-30,
2009-03-31,
2009-04-01,61033.0
2009-04-02,
2009-04-03,61033.0
2009-04-06,
2009-04-07,61033.0
2009-04-08,
2009-04-09,
2009-04-13,
2009-04-14,
2009-04-15,61033.0
2009-04-16,
2009-04-17,
2009-04-20,
2009-04-21,
2009-04-22,
2009-04-23,
2009-04-24,
2009-04-27,61033.0
2009-04-28,
2009-04-29,
2009-04-30,
2009-05-01,
2009-05-04,
2009-05-05,
2009-05-06,61033.0
2009-05-07,
2009-05-08,
2009-05-11,
2009-05-12,
2009-05-13,
2009-05-14,
2009-05-15,
2009-05-18,61033.0
2009-05-19,
2009-05-20,
2009-05-21,
2009-05-22,
2009-05-26,
2009-05-27,
2009-05-28,61033.0
2009-05-29,
2009-06-01,61033.0
2009-06-02,
2009-06-03,
2009-06-04,
2009-06-05,
2009-06-08,
2009-06-09,
2009-06-10,
2009-06-11,
2009-06-12,
