Date,MGA
1984-10-05,3.375
1984-10-08,3.375
1984-10-09,3.34375
1984-10-10,3.28125
1984-10-11,3.34375
1984-10-12,3.375
1984-10-15,3.34375
1984-10-16,3.3125
1984-10-17,3.3125
1984-10-18,3.25
1984-10-19,3.21875
1984-10-22,3.1875
1984-10-23,3.1875
1984-10-24,3.25
1984-10-25,3.3125
1984-10-26,3.375
1984-10-29,3.375
1984-10-30,3.375
1984-10-31,3.3125
1984-11-01,3.34375
1984-11-02,3.375
1984-11-05,3.40625
1984-11-06,3.46875
1984-11-07,3.4375
1984-11-08,3.5
1984-11-09,3.5
1984-11-12,3.5
1984-11-13,3.5
1984-11-14,3.5
1984-11-15,3.46875
1984-11-16,3.46875
1984-11-19,3.46875
1984-11-20,3.625
1984-11-21,3.625
1984-11-23,3.65625
1984-11-26,3.625
1984-11-27,3.625
1984-11-28,3.59375
1984-11-29,3.5625
1984-11-30,3.53125
1984-12-03,3.5
1984-12-04,3.5
1984-12-05,3.5
1984-12-06,3.46875
1984-12-07,3.375
1984-12-10,3.34375
1984-12-11,3.3125
1984-12-12,3.34375
1984-12-13,3.3125
1984-12-14,3.34375
1984-12-17,3.34375
1984-12-18,3.40625
1984-12-19,3.375
1984-12-20,3.375
1984-12-21,3.375
1984-12-24,3.4375
1984-12-26,3.4375
1984-12-27,3.4375
1984-12-28,3.4375
1984-12-31,3.4375
1985-01-02,3.4375
1985-01-03,3.5
1985-01-04,3.46875
1985-01-07,3.46875
1985-01-08,3.46875
1985-01-09,3.46875
1985-01-10,3.5625
1985-01-11,3.65625
1985-01-14,3.6875
1985-01-15,3.78125
1985-01-16,3.875
1985-01-17,4.0625
1985-01-18,3.96875
1985-01-21,4.03125
1985-01-22,4.09375
1985-01-23,4.21875
1985-01-24,4.3125
1985-01-25,4.375
1985-01-28,4.375
1985-01-29,4.46875
1985-01-30,4.5
1985-01-31,4.375
1985-02-01,4.375
1985-02-04,4.375
1985-02-05,4.375
1985-02-06,4.5
1985-02-07,4.625
1985-02-08,4.6875
1985-02-11,4.6875
1985-02-12,4.6875
1985-02-13,4.6875
1985-02-14,4.65625
1985-02-15,4.59375
1985-02-19,4.65625
1985-02-20,4.71875
1985-02-21,4.59375
1985-02-22,4.5
1985-02-25,4.375
1985-02-26,4.34375
1985-02-27,4.375
1985-02-28,4.34375
1985-03-01,4.28125
1985-03-04,4.1875
1985-03-05,4.0
1985-03-06,3.75
1985-03-07,3.8125
1985-03-08,3.9375
1985-03-11,3.96875
1985-03-12,3.71875
1985-03-13,3.8125
1985-03-14,3.84375
1985-03-15,3.84375
1985-03-18,3.84375
1985-03-19,3.90625
1985-03-20,4.0625
1985-03-21,4.0
1985-03-22,4.0
1985-03-25,3.9375
1985-03-26,3.9375
1985-03-27,3.9375
1985-03-28,3.9375
1985-03-29,3.84375
1985-04-01,3.75
1985-04-02,3.71875
1985-04-03,3.6875
1985-04-04,3.59375
1985-04-08,3.59375
1985-04-09,3.46875
1985-04-10,3.59375
1985-04-11,3.65625
1985-04-12,3.625
1985-04-15,3.59375
1985-04-16,3.59375
1985-04-17,3.59375
1985-04-18,3.625
1985-04-19,3.625
1985-04-22,3.53125
1985-04-23,3.5
1985-04-24,3.5
1985-04-25,3.46875
1985-04-26,3.46875
1985-04-29,3.46875
1985-04-30,3.40625
1985-05-01,3.4375
1985-05-02,3.40625
1985-05-03,3.40625
1985-05-06,3.4375
1985-05-07,3.4375
1985-05-08,3.40625
1985-05-09,3.4375
1985-05-10,3.5
1985-05-13,3.53125
1985-05-14,3.53125
1985-05-15,3.5625
1985-05-16,3.5625
1985-05-17,3.53125
1985-05-20,3.59375
1985-05-21,3.5625
1985-05-22,3.53125
1985-05-23,3.5
1985-05-24,3.4375
1985-05-28,3.40625
1985-05-29,3.375
1985-05-30,3.375
1985-05-31,3.375
1985-06-03,3.34375
1985-06-04,3.34375
1985-06-05,3.40625
1985-06-06,3.4375
1985-06-07,3.5
1985-06-10,3.5
1985-06-11,3.5
1985-06-12,3.375
1985-06-13,3.3125
1985-06-14,3.3125
1985-06-17,3.28125
1985-06-18,3.25
1985-06-19,3.125
1985-06-20,3.125
1985-06-21,3.21875
1985-06-24,3.21875
1985-06-25,3.28125
1985-06-26,3.28125
1985-06-27,3.21875
1985-06-28,3.25
1985-07-01,3.25
1985-07-02,3.25
1985-07-03,3.25
1985-07-05,3.25
1985-07-08,3.25
1985-07-09,3.25
1985-07-10,3.375
1985-07-11,3.5
1985-07-12,3.78125
1985-07-15,3.875
1985-07-16,3.9375
1985-07-17,3.90625
1985-07-18,3.90625
1985-07-19,3.90625
1985-07-22,3.875
1985-07-23,3.90625
1985-07-24,3.90625
1985-07-25,3.96875
1985-07-26,4.03125
1985-07-29,4.03125
1985-07-30,3.90625
1985-07-31,3.96875
1985-08-01,3.96875
1985-08-02,4.0
1985-08-05,3.9375
1985-08-06,3.9375
1985-08-07,3.90625
1985-08-08,3.875
1985-08-09,3.875
1985-08-12,3.84375
1985-08-13,3.84375
1985-08-14,3.78125
1985-08-15,3.71875
1985-08-16,3.65625
1985-08-19,3.6875
1985-08-20,3.75
1985-08-21,3.75
1985-08-22,3.71875
1985-08-23,3.71875
1985-08-26,3.65625
1985-08-27,3.6875
1985-08-28,3.71875
1985-08-29,3.75
1985-08-30,3.75
1985-09-03,3.625
1985-09-04,3.625
1985-09-05,3.65625
1985-09-06,3.65625
1985-09-09,3.65625
1985-09-10,3.625
1985-09-11,3.625
1985-09-12,3.5625
1985-09-13,3.46875
1985-09-16,3.40625
