Date,MRK
1970-01-02,1.545139
1970-01-05,1.536458
1970-01-06,1.548611
1970-01-07,1.534722
1970-01-08,1.545139
1970-01-09,1.541667
1970-01-12,1.541667
1970-01-13,1.538194
1970-01-14,1.534722
1970-01-15,1.527778
1970-01-16,1.527778
1970-01-19,1.506944
1970-01-20,1.517361
1970-01-21,1.527778
1970-01-22,1.520833
1970-01-23,1.513889
1970-01-26,1.451389
1970-01-27,1.458333
1970-01-28,1.434028
1970-01-29,1.416667
1970-01-30,1.402778
1970-02-02,1.423611
1970-02-03,1.520833
1970-02-04,1.479167
1970-02-05,1.496528
1970-02-06,1.479167
1970-02-09,1.5
1970-02-10,1.493056
1970-02-11,1.5
1970-02-12,1.510417
1970-02-13,1.524306
1970-02-16,1.532986
1970-02-17,1.529514
1970-02-18,1.505208
1970-02-19,1.506944
1970-02-20,1.524306
1970-02-24,1.550347
1970-02-25,1.559028
1970-02-26,1.520833
1970-02-27,1.513889
1970-03-02,1.493056
1970-03-03,1.496528
1970-03-04,1.489583
1970-03-05,1.475694
1970-03-06,1.480903
1970-03-09,1.46875
1970-03-10,1.451389
1970-03-11,1.444444
1970-03-12,1.416667
1970-03-13,1.368056
1970-03-16,1.350694
1970-03-17,1.361111
1970-03-18,1.40625
1970-03-19,1.40625
1970-03-20,1.371528
1970-03-23,1.380208
1970-03-24,1.402778
1970-03-25,1.444444
1970-03-26,1.444444
1970-03-30,1.439236
1970-03-31,1.416667
1970-04-01,1.420139
1970-04-02,1.414931
1970-04-03,1.388889
1970-04-06,1.381944
1970-04-07,1.387153
1970-04-08,1.420139
1970-04-09,1.392361
1970-04-10,1.390625
1970-04-13,1.371528
1970-04-14,1.375
1970-04-15,1.381944
1970-04-16,1.361111
1970-04-17,1.340278
1970-04-20,1.347222
1970-04-21,1.340278
1970-04-22,1.326389
1970-04-23,1.286458
1970-04-24,1.296875
1970-04-27,1.305556
1970-04-28,1.295139
1970-04-29,1.319444
1970-04-30,1.309028
1970-05-01,1.307292
1970-05-04,1.28125
1970-05-05,1.276042
1970-05-06,1.277778
1970-05-07,1.277778
1970-05-08,1.270833
1970-05-11,1.272569
1970-05-12,1.274306
1970-05-13,1.260417
1970-05-14,1.248264
1970-05-15,1.262153
1970-05-18,1.260417
1970-05-19,1.237847
1970-05-20,1.208333
1970-05-21,1.159722
1970-05-22,1.15625
1970-05-25,1.147569
1970-05-26,1.09375
1970-05-27,1.138889
1970-05-28,1.170139
1970-05-29,1.166667
1970-06-01,1.190972
1970-06-02,1.208333
1970-06-03,1.227431
1970-06-04,1.208333
1970-06-05,1.203125
1970-06-08,1.222222
1970-06-09,1.236111
1970-06-10,1.227431
1970-06-11,1.199653
1970-06-12,1.199653
1970-06-15,1.217014
1970-06-16,1.255208
1970-06-17,1.258681
1970-06-18,1.274306
1970-06-19,1.282986
1970-06-22,1.284722
1970-06-23,1.227431
1970-06-24,1.220486
1970-06-25,1.220486
1970-06-26,1.201389
1970-06-29,1.190972
1970-06-30,1.210069
1970-07-01,1.222222
1970-07-02,1.208333
1970-07-06,1.192708
1970-07-07,1.201389
1970-07-08,1.211806
1970-07-09,1.223958
1970-07-10,1.234375
1970-07-13,1.236111
1970-07-14,1.236111
1970-07-15,1.239583
1970-07-16,1.25
1970-07-17,1.289931
1970-07-20,1.291667
1970-07-21,1.284722
1970-07-22,1.270833
1970-07-23,1.270833
1970-07-24,1.277778
1970-07-27,1.277778
1970-07-28,1.265625
1970-07-29,1.159722
1970-07-30,1.144097
1970-07-31,1.125
1970-08-03,1.114583
1970-08-04,1.157986
1970-08-05,1.15625
1970-08-06,1.152778
1970-08-07,1.125
1970-08-10,1.116319
1970-08-11,1.097222
1970-08-12,1.076389
1970-08-13,1.029514
1970-08-14,1.039931
1970-08-17,1.074653
