Date,MTZ
1973-02-21,13.555554999999998
1973-02-22,13.333332999999998
1973-02-23,12.5
1973-02-26,12.111111
1973-02-27,11.444445
1973-02-28,12.0
1973-03-01,11.888889
1973-03-02,12.0
1973-03-05,12.222222
1973-03-06,12.611111
1973-03-07,12.833333
1973-03-08,13.0
1973-03-09,13.222222
1973-03-12,13.166667000000002
1973-03-13,12.833333
1973-03-14,12.777778
1973-03-15,13.055555
1973-03-16,13.111111
1973-03-19,13.055555
1973-03-20,13.222222
1973-03-21,13.222222
1973-03-22,13.055555
1973-03-23,12.777778
1973-03-26,12.666667
1973-03-27,12.666667
1973-03-28,12.555555
1973-03-29,12.5
1973-03-30,11.722222
1973-04-02,11.0
1973-04-03,10.777778
1973-04-04,10.555555
1973-04-05,10.333333
1973-04-06,10.444445
1973-04-09,10.833333
1973-04-10,11.111111
1973-04-11,11.0
1973-04-12,10.777778
1973-04-13,10.777778
1973-04-16,10.888889
1973-04-17,10.888889
1973-04-18,10.944445
1973-04-19,11.0
1973-04-23,10.777778
1973-04-24,10.388889
1973-04-25,10.222222
1973-04-26,10.055555
1973-04-27,9.388889
1973-04-30,9.222222
1973-05-01,9.5
1973-05-02,10.055555
1973-05-03,10.833333
1973-05-04,11.444445
1973-05-07,11.777778
1973-05-08,11.555555
1973-05-09,11.055555
1973-05-10,10.777778
1973-05-11,10.388889
1973-05-14,9.777778
1973-05-15,10.0
1973-05-16,10.222222
1973-05-17,10.0
1973-05-18,9.555555
1973-05-21,9.777778
1973-05-22,10.111111
1973-05-23,10.333333
1973-05-24,11.222222
1973-05-25,11.222222
1973-05-29,11.277778
1973-05-30,10.888889
1973-05-31,10.722222
1973-06-01,10.611111
1973-06-04,10.0
1973-06-05,10.222222
1973-06-06,10.166667
1973-06-07,10.777778
1973-06-08,10.888889
1973-06-11,10.277778
1973-06-12,10.666667
1973-06-13,10.611111
1973-06-14,10.666667
1973-06-15,10.444445
1973-06-18,10.333333
1973-06-19,10.333333
1973-06-20,10.388889
1973-06-21,9.888889
1973-06-22,9.888889
1973-06-25,9.166667
1973-06-26,9.444445
1973-06-27,9.5
1973-06-28,9.555555
1973-06-29,9.444445
1973-07-02,9.277778
1973-07-03,9.055555
1973-07-05,9.111111
1973-07-06,9.166667
1973-07-09,9.222222
1973-07-10,9.333333
1973-07-11,9.388889
1973-07-12,10.055555
1973-07-13,10.0
1973-07-16,10.222222
1973-07-17,10.277778
1973-07-18,10.388889
1973-07-19,10.5
1973-07-20,10.666667
1973-07-23,10.444445
1973-07-24,10.555555
1973-07-25,10.555555
1973-07-26,10.333333
1973-07-27,10.333333
1973-07-30,10.277778
1973-07-31,10.333333
1973-08-01,10.055555
1973-08-02,10.055555
1973-08-03,10.611111
1973-08-06,10.888889
1973-08-07,11.055555
1973-08-08,10.722222
1973-08-09,10.666667
1973-08-10,10.555555
1973-08-13,10.444445
1973-08-14,10.111111
1973-08-15,10.222222
1973-08-16,10.222222
1973-08-17,10.444445
1973-08-20,10.444445
1973-08-21,10.555555
1973-08-22,10.555555
1973-08-23,10.888889
1973-08-24,11.0
1973-08-27,11.222222
1973-08-28,11.666667
1973-08-29,11.944445
1973-08-30,11.722222
1973-08-31,11.833333
1973-09-04,11.888889
1973-09-05,11.777778
1973-09-06,11.833333
1973-09-07,12.222222
1973-09-10,12.0
1973-09-11,12.0
1973-09-12,12.0
1973-09-13,12.333333
1973-09-14,12.555555
1973-09-17,12.333333
1973-09-18,12.833333
1973-09-19,13.277778
1973-09-20,13.5
1973-09-21,13.5
1973-09-24,13.5
1973-09-25,13.277778
1973-09-26,13.055555
1973-09-27,13.111111
1973-09-28,12.888889
1973-10-01,12.611111
1973-10-02,12.888889
1973-10-03,13.0
1973-10-04,11.944445
1973-10-05,12.166667
1973-10-08,12.277778
1973-10-09,12.166667
1973-10-10,12.166667
1973-10-11,12.111111
1973-10-12,12.055555
1973-10-15,12.333333
1973-10-16,12.444445
1973-10-17,12.611111
1973-10-18,12.888889
1973-10-19,13.222222
1973-10-22,13.222222
1973-10-23,13.333332999999998
1973-10-24,13.777778
1973-10-25,13.666667000000002
1973-10-26,13.888889
1973-10-29,13.611111
1973-10-30,13.444445000000002
1973-10-31,13.222222
1973-11-01,12.888889
1973-11-02,12.833333
1973-11-05,12.777778
1973-11-06,12.055555
1973-11-07,12.111111
1973-11-08,12.277778
1973-11-09,12.111111
1973-11-12,11.833333
1973-11-13,11.555555
1973-11-14,10.777778
1973-11-15,10.111111
1973-11-16,10.0
1973-11-19,9.333333
1973-11-20,8.888889
1973-11-21,9.222222
1973-11-23,9.277778
1973-11-26,8.777778
1973-11-27,8.833333
1973-11-28,9.111111
1973-11-29,9.277778
1973-11-30,9.333333
1973-12-03,8.944445
1973-12-04,8.722222
1973-12-05,8.444445
1973-12-06,9.333333
1973-12-07,10.055555
1973-12-10,10.611111
1973-12-11,10.0
1973-12-12,10.0
1973-12-13,10.055555
1973-12-14,10.166667
1973-12-17,10.111111
1973-12-18,10.555555
1973-12-19,10.333333
1973-12-20,10.333333
1973-12-21,10.222222
1973-12-24,10.388889
1973-12-26,10.611111
1973-12-27,10.777778
1973-12-28,10.722222
1973-12-31,10.777778
1974-01-02,10.722222
1974-01-03,10.444445
1974-01-04,9.888889
1974-01-07,9.5
1974-01-08,9.111111
1974-01-09,8.833333
1974-01-10,8.888889
1974-01-11,8.944445
1974-01-14,8.888889
1974-01-15,8.722222
1974-01-16,8.666667
1974-01-17,8.777778
1974-01-18,8.777778
1974-01-21,8.777778
1974-01-22,8.722222
1974-01-23,8.388889
1974-01-24,8.277778
1974-01-25,8.388889
1974-01-28,8.388889
1974-01-29,8.388889
1974-01-30,8.722222
1974-01-31,8.777778
1974-02-01,8.666667
1974-02-04,8.166667
1974-02-05,7.777778
1974-02-06,7.777778
1974-02-07,7.8333330000000005
1974-02-08,7.6666669999999995
1974-02-11,7.277778
1974-02-12,6.8333330000000005
1974-02-13,6.722222
1974-02-14,6.888889
1974-02-15,7.277778
1974-02-19,7.444445
1974-02-20,8.0
1974-02-21,8.277778
1974-02-22,8.444445
1974-02-25,8.5
1974-02-26,8.944445
1974-02-27,9.0
1974-02-28,8.944445
1974-03-01,8.888889
1974-03-04,8.888889
1974-03-05,9.111111
1974-03-06,9.222222
1974-03-07,9.222222
1974-03-08,9.833333
1974-03-11,9.944445
