Date,MURGF
2009-02-13,132.0
2009-02-17,126.5
2009-02-18,126.5
2009-02-19,126.5
2009-02-20,124.900002
2009-02-23,120.0
2009-02-24,118.25
2009-02-25,114.5
2009-02-26,126.75
2009-02-27,122.0
2009-03-02,118.25
2009-03-03,115.25
2009-03-04,114.25
2009-03-05,101.699997
2009-03-06,100.75
2009-03-09,100.25
2009-03-10,108.25
2009-03-11,108.25
2009-03-12,108.25
2009-03-13,108.25
2009-03-16,121.0
2009-03-17,119.800003
2009-03-18,125.0
2009-03-19,133.899994
2009-03-20,127.0
2009-03-23,132.770004
2009-03-24,126.25
2009-03-25,126.25
2009-03-26,128.800003
2009-03-27,125.25
2009-03-30,117.0
2009-03-31,121.25
2009-04-01,125.699997
2009-04-02,135.350006
2009-04-03,136.649994
2009-04-06,134.050003
2009-04-07,129.25
2009-04-08,131.75
2009-04-09,133.149994
2009-04-13,132.0
2009-04-14,129.0
2009-04-15,136.5
2009-04-16,133.0
2009-04-17,134.75
2009-04-20,128.75
2009-04-21,132.0
2009-04-22,138.0
2009-04-23,123.75
2009-04-24,122.559998
2009-04-27,120.5
2009-04-28,121.75
2009-04-29,129.5
2009-04-30,133.08999599999999
2009-05-01,133.08999599999999
2009-05-04,137.0
2009-05-05,133.75
2009-05-06,139.5
2009-05-07,138.0
2009-05-08,134.75
2009-05-11,132.25
2009-05-12,139.119995
2009-05-13,129.100006
2009-05-14,132.75
2009-05-15,131.75
2009-05-18,132.919998
2009-05-19,133.5
2009-05-20,131.25
2009-05-21,128.5
2009-05-22,128.0
2009-05-26,133.5
2009-05-27,132.0
2009-05-28,135.5
2009-05-29,137.75
2009-06-01,142.0
2009-06-02,138.25
2009-06-03,134.5
2009-06-04,137.5
2009-06-05,134.75
2009-06-08,133.0
2009-06-09,133.5
2009-06-10,132.5
2009-06-11,136.25
2009-06-12,133.25
2009-06-15,127.800003
2009-06-16,126.400002
2009-06-17,128.5
2009-06-18,130.5
2009-06-19,128.0
2009-06-22,126.5
2009-06-23,128.0
2009-06-24,129.75
2009-06-25,129.5
2009-06-26,130.0
2009-06-29,135.75
2009-06-30,137.0
2009-07-01,138.0
2009-07-02,133.0
2009-07-06,132.25
2009-07-07,133.5
2009-07-08,129.25
2009-07-09,131.550003
2009-07-10,129.75
2009-07-13,134.0
2009-07-14,133.75
2009-07-15,137.25
2009-07-16,139.25
2009-07-17,138.699997
2009-07-20,139.25
2009-07-21,137.399994
2009-07-22,139.25
2009-07-23,143.5
2009-07-24,143.0
2009-07-27,143.0
2009-07-28,143.0
2009-07-29,143.75
2009-07-30,147.0
2009-07-31,154.0
2009-08-03,150.25
2009-08-04,146.0
2009-08-05,144.25
2009-08-06,145.0
2009-08-07,143.25
2009-08-10,144.5
2009-08-11,143.0
2009-08-12,143.0
2009-08-13,143.0
2009-08-14,141.0
2009-08-17,138.350006
2009-08-18,139.75
2009-08-19,139.800003
2009-08-20,140.25
2009-08-21,145.0
2009-08-24,150.5
2009-08-25,150.75
2009-08-26,149.75
2009-08-27,148.25
2009-08-28,147.5
2009-08-31,148.100006
2009-09-01,143.600006
2009-09-02,147.5
2009-09-03,147.75
2009-09-04,147.0
2009-09-08,149.5
2009-09-09,150.0
2009-09-10,152.25
2009-09-11,149.5
2009-09-14,150.5
2009-09-15,151.0
2009-09-16,151.0
2009-09-17,151.5
2009-09-18,153.25
2009-09-21,152.5
2009-09-22,159.350006
2009-09-23,159.75
2009-09-24,157.5
2009-09-25,155.75
2009-09-28,155.75
2009-09-29,156.550003
2009-09-30,157.75
2009-10-01,159.25
2009-10-02,159.25
2009-10-05,160.5
2009-10-06,162.199997
2009-10-07,162.25
2009-10-08,164.25
2009-10-09,165.25
2009-10-12,165.25
2009-10-13,166.5
2009-10-14,166.5
2009-10-15,168.0
2009-10-16,164.550003
2009-10-19,168.0
2009-10-20,168.5
2009-10-21,171.949997
2009-10-22,167.399994
2009-10-23,165.25
2009-10-26,162.100006
2009-10-27,162.100006
2009-10-28,162.25
2009-10-29,162.25
2009-10-30,162.25
2009-11-02,155.75
2009-11-03,155.0
2009-11-04,158.5
2009-11-05,157.0
2009-11-06,154.25
2009-11-09,158.5
2009-11-10,158.25
2009-11-11,160.0
2009-11-12,160.0
2009-11-13,158.25
2009-11-16,159.300003
2009-11-17,158.399994
2009-11-18,157.75
2009-11-19,158.320007
2009-11-20,153.5
2009-11-23,157.100006
2009-11-24,156.550003
2009-11-25,160.21000700000002
2009-11-27,156.5
2009-11-30,156.0
2009-12-01,159.899994
2009-12-02,159.399994
2009-12-03,159.5
2009-12-04,156.5
2009-12-07,158.699997
2009-12-08,158.699997
2009-12-09,150.669998
2009-12-10,152.5
2009-12-11,152.550003
2009-12-14,154.0
2009-12-15,152.25
2009-12-16,154.75
2009-12-17,151.5
2009-12-18,151.5
2009-12-21,152.75
2009-12-22,157.0
2009-12-23,154.5
2009-12-24,154.5
2009-12-28,156.25
2009-12-29,155.75
2009-12-30,154.25
2009-12-31,153.5
2010-01-04,155.0
2010-01-05,155.25
2010-01-06,155.850006
2010-01-07,153.58999599999999
2010-01-08,155.220001
2010-01-11,155.220001
2010-01-12,158.699997
2010-01-13,158.699997
2010-01-14,158.699997
2010-01-15,158.699997
2010-01-19,157.0
2010-01-20,153.259995
2010-01-21,152.0
2010-01-22,154.25
2010-01-25,154.25
2010-01-26,153.5
2010-01-27,156.199997
2010-01-28,150.75
2010-01-29,148.5
2010-02-01,150.850006
2010-02-02,153.149994
2010-02-03,148.75
2010-02-04,143.699997
2010-02-05,143.699997
2010-02-08,145.75
2010-02-09,146.75
2010-02-10,146.5
2010-02-11,146.75
2010-02-12,146.100006
2010-02-16,149.5
2010-02-17,151.75
2010-02-18,150.83999599999999
2010-02-19,149.050003
2010-02-22,151.0
2010-02-23,152.240005
2010-02-24,152.619995
2010-02-25,151.25
2010-02-26,151.25
2010-03-01,155.800003
2010-03-02,155.75
2010-03-03,161.399994
2010-03-04,155.75
2010-03-05,157.25
2010-03-08,160.110001
2010-03-09,160.110001
2010-03-10,161.949997
2010-03-11,161.949997
2010-03-12,160.0
2010-03-15,157.75
2010-03-16,160.449997
2010-03-17,160.669998
2010-03-18,159.0
2010-03-19,157.279999
2010-03-22,157.699997
2010-03-23,159.300003
2010-03-24,159.300003
2010-03-25,157.399994
2010-03-26,158.600006
2010-03-29,158.600006
2010-03-30,160.550003
2010-03-31,162.100006
2010-04-01,163.5
2010-04-05,163.5
2010-04-06,163.550003
2010-04-07,163.550003
2010-04-08,161.399994
2010-04-09,164.100006
2010-04-12,165.649994
2010-04-13,165.300003
2010-04-14,167.800003
2010-04-15,167.800003
2010-04-16,165.25
2010-04-19,160.699997
2010-04-20,162.800003
2010-04-21,162.800003
2010-04-22,162.800003
2010-04-23,156.75
2010-04-26,159.360001
2010-04-27,159.360001
2010-04-28,149.600006
2010-04-29,143.449997
2010-04-30,143.5
2010-05-03,142.0
2010-05-04,136.809998
2010-05-05,132.5
2010-05-06,133.75
2010-05-07,126.5
2010-05-10,133.949997
2010-05-11,134.25
2010-05-12,136.25
2010-05-13,136.330002
2010-05-14,129.25
2010-05-17,129.25
2010-05-18,133.649994
2010-05-19,127.900002
2010-05-20,123.900002
2010-05-21,126.25
2010-05-24,126.550003
2010-05-25,124.650002
2010-05-26,122.739998
2010-05-27,129.649994
2010-05-28,126.75
2010-06-01,126.75
2010-06-02,125.5
2010-06-03,125.5
2010-06-04,125.5
2010-06-07,125.5
2010-06-08,118.599998
2010-06-09,123.300003
2010-06-10,122.57
2010-06-11,122.57
2010-06-14,122.57
2010-06-15,128.100006
2010-06-16,129.440002
2010-06-17,129.440002
2010-06-18,129.440002
2010-06-21,131.550003
2010-06-22,131.550003
2010-06-23,128.449997
2010-06-24,127.790001
2010-06-25,128.25
2010-06-28,128.25
2010-06-29,128.25
2010-06-30,127.0
2010-07-01,127.0
2010-07-02,128.929993
2010-07-06,129.0
2010-07-07,129.0
2010-07-08,129.0
2010-07-09,134.28999299999998
2010-07-12,134.28999299999998
2010-07-13,134.220001
2010-07-14,135.649994
2010-07-15,136.66000400000001
2010-07-16,136.66000400000001
2010-07-19,135.199997
2010-07-20,135.66000400000001
2010-07-21,133.899994
2010-07-22,135.800003
2010-07-23,135.800003
2010-07-26,137.75
2010-07-27,139.199997
2010-07-28,140.16000400000001
2010-07-29,138.429993
2010-07-30,138.429993
2010-08-02,138.429993
2010-08-03,143.0
2010-08-04,143.0
2010-08-05,143.0
2010-08-06,149.009995
2010-08-09,142.75
2010-08-10,140.899994
2010-08-11,140.899994
2010-08-12,140.899994
2010-08-13,140.899994
2010-08-16,134.66000400000001
2010-08-17,135.550003
2010-08-18,135.550003
2010-08-19,135.550003
2010-08-20,135.550003
2010-08-23,135.550003
2010-08-24,128.5
2010-08-25,128.5
2010-08-26,128.5
2010-08-27,127.910004
2010-08-30,127.0
2010-08-31,126.900002
2010-09-01,129.800003
2010-09-02,129.800003
2010-09-03,133.5
2010-09-07,129.130005
2010-09-08,129.130005
2010-09-09,130.699997
2010-09-10,132.139999
2010-09-13,133.25
2010-09-14,133.25
2010-09-15,137.100006
2010-09-16,137.100006
2010-09-17,131.850006
2010-09-20,131.850006
2010-09-21,131.850006
2010-09-22,131.850006
2010-09-23,131.850006
2010-09-24,131.850006
2010-09-27,131.850006
2010-09-28,131.850006
2010-09-29,139.350006
2010-09-30,138.389999
2010-10-01,138.389999
2010-10-04,138.389999
2010-10-05,138.389999
