Date,PD
2019-04-11,38.25
2019-04-12,39.5
2019-04-15,39.169998
2019-04-16,38.049999
2019-04-17,40.0
2019-04-18,39.150002
2019-04-22,39.389998999999996
2019-04-23,39.880001
2019-04-24,40.200001
2019-04-25,39.5
2019-04-26,43.200001
2019-04-29,46.5
2019-04-30,46.900002
2019-05-01,46.82
2019-05-02,45.740002000000004
2019-05-03,46.400002
2019-05-06,49.040001000000004
2019-05-07,49.040001000000004
2019-05-08,49.080002
2019-05-09,49.23
2019-05-10,51.82
2019-05-13,49.450001
2019-05-14,52.59
2019-05-15,53.450001
2019-05-16,55.639998999999996
2019-05-17,54.689999
2019-05-20,55.060001
2019-05-21,54.869999
2019-05-22,53.990002000000004
2019-05-23,51.98
2019-05-24,53.209998999999996
2019-05-28,52.48
2019-05-29,51.900002
2019-05-30,51.810001
2019-05-31,51.400002
2019-06-03,46.209998999999996
2019-06-04,44.66
2019-06-05,47.580002
2019-06-06,47.560001
2019-06-07,48.900002
2019-06-10,49.849998
2019-06-11,50.240002000000004
2019-06-12,55.310001
2019-06-13,54.099998
2019-06-14,57.369999
2019-06-17,55.27
2019-06-18,54.450001
2019-06-19,54.360001000000004
2019-06-20,53.790001000000004
2019-06-21,53.41
2019-06-24,49.279999
2019-06-25,47.52
2019-06-26,46.48
2019-06-27,47.779999
2019-06-28,47.049999
2019-07-01,46.080002
2019-07-02,46.259997999999996
2019-07-03,47.029999
2019-07-05,47.689999
2019-07-08,47.68
2019-07-09,49.700001
2019-07-10,50.52
2019-07-11,49.400002
2019-07-12,48.580002
2019-07-15,49.650002
2019-07-16,48.540001000000004
2019-07-17,47.689999
2019-07-18,44.91
2019-07-19,46.290001000000004
2019-07-22,46.650002
2019-07-23,44.150002
2019-07-24,44.939999
2019-07-25,43.5
2019-07-26,45.68
2019-07-29,44.049999
2019-07-30,44.959998999999996
2019-07-31,44.200001
2019-08-01,41.700001
2019-08-02,39.43
2019-08-05,37.610001000000004
2019-08-06,36.900002
2019-08-07,37.59
2019-08-08,40.07
2019-08-09,37.599998
2019-08-12,36.560001
2019-08-13,36.200001
2019-08-14,35.75
2019-08-15,33.75
2019-08-16,34.68
2019-08-19,35.419998
2019-08-20,34.5
2019-08-21,35.029999
2019-08-22,35.82
2019-08-23,34.860001000000004
2019-08-26,35.599998
2019-08-27,35.52
2019-08-28,35.950001
2019-08-29,38.41
2019-08-30,39.27
2019-09-03,37.57
2019-09-04,38.040001000000004
2019-09-05,36.599998
2019-09-06,32.470001
2019-09-09,28.25
2019-09-10,27.450001
2019-09-11,31.469998999999998
2019-09-12,31.35
2019-09-13,29.950001
2019-09-16,30.690001000000002
2019-09-17,30.629998999999998
2019-09-18,30.440001000000002
2019-09-19,29.280001000000002
2019-09-20,29.75
2019-09-23,31.780001000000002
2019-09-24,29.0
2019-09-25,28.15
2019-09-26,29.290001
2019-09-27,28.24
2019-09-30,28.25
2019-10-01,28.25
2019-10-02,27.25
2019-10-03,27.92
2019-10-04,27.700001
2019-10-07,26.74
2019-10-08,26.389999
2019-10-09,26.530001000000002
2019-10-10,26.0
2019-10-11,26.09
2019-10-14,26.450001
2019-10-15,27.43
2019-10-16,27.07
2019-10-17,26.51
2019-10-18,25.450001
2019-10-21,24.92
2019-10-22,24.280001000000002
2019-10-23,23.620001000000002
