Date,PGH
2012-06-18,7.86
2012-06-19,7.83
2012-06-20,7.7
2012-06-21,7.65
2012-06-22,7.65
2012-06-25,7.65
2012-06-26,7.65
2012-06-27,7.64
2012-06-28,7.64
2012-06-29,7.62
2012-07-02,7.62
2012-07-03,7.96
2012-07-05,7.81
2012-07-06,7.8
2012-07-09,7.7
2012-07-10,7.8
2012-07-11,7.95
2012-07-12,7.89
2012-07-13,7.87
2012-07-16,7.97
2012-07-17,7.97
2012-07-18,7.94
2012-07-19,7.9
2012-07-20,7.9
2012-07-23,7.68
2012-07-24,7.51
2012-07-25,7.51
2012-07-26,7.45
2012-07-27,7.4
2012-07-30,7.4
2012-07-31,7.4
2012-08-01,7.55
2012-08-02,7.47
2012-08-03,7.53
2012-08-06,7.53
2012-08-07,7.5
2012-08-08,7.5
2012-08-09,7.54
2012-08-10,7.65
2012-08-13,7.65
2012-08-14,7.84
2012-08-15,8.05
2012-08-16,8.15
2012-08-17,8.2
2012-08-20,8.2
2012-08-21,8.2
2012-08-22,8.26
2012-08-23,8.31
2012-08-24,8.35
2012-08-27,8.27
2012-08-28,8.17
2012-08-29,8.2
2012-08-30,8.2
2012-08-31,8.2
2012-09-04,8.18
2012-09-05,8.2
2012-09-06,8.21
2012-09-07,8.22
2012-09-10,8.18
2012-09-11,8.15
2012-09-12,8.1
2012-09-13,8.12
2012-09-14,8.0
2012-09-17,7.9
2012-09-18,7.76
2012-09-19,7.61
2012-09-20,7.65
2012-09-21,7.74
2012-09-24,7.74
2012-09-25,7.77
2012-09-26,7.7
2012-09-27,7.7
2012-09-28,7.8
2012-10-01,7.67
2012-10-02,7.51
2012-10-03,7.42
2012-10-04,7.4
2012-10-05,7.59
2012-10-08,7.55
2012-10-09,7.49
2012-10-10,7.39
2012-10-11,7.25
2012-10-12,7.3
2012-10-15,7.3
2012-10-16,7.37
2012-10-17,7.3
2012-10-18,7.22
2012-10-19,7.23
2012-10-22,7.24
2012-10-23,7.3
2012-10-24,7.38
2012-10-25,7.38
2012-10-26,7.38
2012-10-31,7.2
2012-11-01,7.17
2012-11-02,7.1
2012-11-05,7.23
2012-11-06,7.23
2012-11-07,7.2
2012-11-08,7.15
2012-11-09,7.15
2012-11-12,7.1
