Date,PHH
2005-01-19,23.700001
2005-01-20,22.790001
2005-01-21,23.200001
2005-01-24,23.0
2005-01-25,23.25
2005-01-26,22.9
2005-01-27,22.700001
2005-01-28,21.450001
2005-01-31,22.0
2005-02-01,21.9
2005-02-02,20.9
2005-02-03,20.34
2005-02-04,21.299999
2005-02-07,20.959999
2005-02-08,21.35
2005-02-09,22.299999
2005-02-10,21.799999
2005-02-11,22.08
2005-02-14,22.17
2005-02-15,22.1
2005-02-16,22.15
2005-02-17,22.0
2005-02-18,22.049999
2005-02-22,22.0
2005-02-23,21.530001000000002
2005-02-24,21.51
2005-02-25,21.280001000000002
2005-02-28,21.0
2005-03-01,21.120001000000002
2005-03-02,21.0
2005-03-03,21.0
2005-03-04,21.65
2005-03-07,22.280001000000002
2005-03-08,22.299999
2005-03-09,22.4
2005-03-10,22.610001
2005-03-11,22.35
2005-03-14,22.5
2005-03-15,22.24
2005-03-16,22.24
2005-03-17,21.68
2005-03-18,21.15
2005-03-21,21.540001
2005-03-22,21.549999
2005-03-23,21.049999
2005-03-24,21.15
2005-03-28,21.110001
2005-03-29,21.16
2005-03-30,21.68
2005-03-31,21.870001000000002
2005-04-01,21.700001
2005-04-04,21.67
2005-04-05,21.82
2005-04-06,22.0
2005-04-07,22.0
2005-04-08,22.1
2005-04-11,22.200001
2005-04-12,22.35
2005-04-13,22.200001
2005-04-14,22.110001
2005-04-15,21.65
2005-04-18,21.35
2005-04-19,21.57
2005-04-20,21.610001
2005-04-21,22.040001
2005-04-22,21.9
2005-04-25,21.84
2005-04-26,22.35
2005-04-27,22.51
2005-04-28,22.299999
2005-04-29,22.35
2005-05-02,22.75
2005-05-03,22.43
2005-05-04,22.65
2005-05-05,23.0
2005-05-06,23.299999
2005-05-09,24.1
2005-05-10,23.85
2005-05-11,25.059998999999998
2005-05-12,25.0
2005-05-13,23.99
2005-05-16,23.950001
2005-05-17,24.0
2005-05-18,24.190001000000002
2005-05-19,23.98
2005-05-20,24.780001000000002
2005-05-23,24.52
2005-05-24,24.459999
2005-05-25,23.85
2005-05-26,23.99
2005-05-27,23.950001
2005-05-31,23.99
2005-06-01,23.799999
2005-06-02,23.76
2005-06-03,23.709999
2005-06-06,24.299999
2005-06-07,24.139999
2005-06-08,24.32
2005-06-09,24.66
2005-06-10,24.950001
2005-06-13,25.02
2005-06-14,25.950001
2005-06-15,25.870001000000002
2005-06-16,25.610001
2005-06-17,25.76
2005-06-20,25.709999
2005-06-21,25.5
2005-06-22,25.049999
2005-06-23,25.15
2005-06-24,25.040001
2005-06-27,25.1
2005-06-28,25.57
2005-06-29,25.700001
2005-06-30,25.719998999999998
2005-07-01,25.940001000000002
2005-07-05,25.950001
2005-07-06,25.879998999999998
2005-07-07,25.780001000000002
2005-07-08,26.52
2005-07-11,26.790001
2005-07-12,26.540001
2005-07-13,26.49
