Date,PLCE
1997-09-19,15.75
1997-09-22,15.625
1997-09-23,15.625
1997-09-24,15.375
1997-09-25,15.5625
1997-09-26,15.375
1997-09-29,14.125
1997-09-30,14.5
1997-10-01,14.0
1997-10-02,14.0
1997-10-03,14.25
1997-10-06,14.125
1997-10-07,14.0625
1997-10-08,14.25
1997-10-09,14.125
1997-10-10,13.75
1997-10-13,13.375
1997-10-14,7.53125
1997-10-15,7.0
1997-10-16,6.625
1997-10-17,6.375
1997-10-20,6.5
1997-10-21,6.625
1997-10-22,6.4375
1997-10-23,6.1875
1997-10-24,6.375
1997-10-27,5.125
1997-10-28,5.625
1997-10-29,5.5625
1997-10-30,6.1875
1997-10-31,6.0
1997-11-03,6.125
1997-11-04,5.9375
1997-11-05,6.0
1997-11-06,6.625
1997-11-07,6.5
1997-11-10,6.0
1997-11-11,6.125
1997-11-12,5.8125
1997-11-13,5.75
1997-11-14,5.625
1997-11-17,5.6875
1997-11-18,5.625
1997-11-19,5.5
1997-11-20,5.5
1997-11-21,5.25
1997-11-24,4.9375
1997-11-25,4.6875
1997-11-26,4.75
1997-11-28,5.0
1997-12-01,4.9375
1997-12-02,4.8125
1997-12-03,4.84375
1997-12-04,4.9375
1997-12-05,5.1875
1997-12-08,5.625
1997-12-09,5.5
1997-12-10,5.125
1997-12-11,4.9375
1997-12-12,4.9375
1997-12-15,4.9375
1997-12-16,4.875
1997-12-17,4.8125
1997-12-18,4.5
1997-12-19,4.4375
1997-12-22,4.8125
1997-12-23,4.6875
1997-12-24,4.6875
1997-12-26,4.75
1997-12-29,4.6875
1997-12-30,4.75
1997-12-31,5.125
1998-01-02,5.0625
1998-01-05,5.375
1998-01-06,5.625
1998-01-07,5.75
1998-01-08,6.125
1998-01-09,6.375
1998-01-12,6.375
1998-01-13,6.0
1998-01-14,6.21875
1998-01-15,6.25
1998-01-16,6.21875
1998-01-20,6.5
1998-01-21,6.875
1998-01-22,7.375
1998-01-23,7.4375
1998-01-26,7.25
1998-01-27,7.0625
1998-01-28,7.3125
1998-01-29,7.25
1998-01-30,7.3125
1998-02-02,7.5625
1998-02-03,7.5625
1998-02-04,8.125
1998-02-05,7.75
1998-02-06,7.5
1998-02-09,7.625
1998-02-10,7.6875
1998-02-11,7.5625
1998-02-12,7.625
1998-02-13,7.5625
1998-02-17,7.625
1998-02-18,7.5
1998-02-19,7.125
1998-02-20,7.125
1998-02-23,7.25
1998-02-24,7.25
1998-02-25,7.125
1998-02-26,7.25
1998-02-27,7.1875
1998-03-02,7.5
1998-03-03,7.125
1998-03-04,7.25
1998-03-05,7.25
1998-03-06,7.4375
1998-03-09,7.5
1998-03-10,8.0625
1998-03-11,8.0
1998-03-12,7.5
1998-03-13,8.0
1998-03-16,8.875
1998-03-17,8.1875
1998-03-18,8.4375
1998-03-19,8.25
1998-03-20,8.25
1998-03-23,8.3125
1998-03-24,8.375
1998-03-25,8.5
1998-03-26,8.5
1998-03-27,8.625
1998-03-30,9.0625
1998-03-31,9.0
1998-04-01,8.875
1998-04-02,9.0
1998-04-03,8.75
1998-04-06,8.5625
1998-04-07,8.125
1998-04-08,8.34375
1998-04-09,8.5625
1998-04-13,8.1875
1998-04-14,8.375
1998-04-15,8.625
1998-04-16,8.5
1998-04-17,8.8125
1998-04-20,9.0
1998-04-21,9.0
1998-04-22,8.875
1998-04-23,9.0
1998-04-24,9.25
1998-04-27,8.75
1998-04-28,8.75
1998-04-29,9.125
1998-04-30,9.625
1998-05-01,10.125
1998-05-04,10.125
1998-05-05,10.0625
1998-05-06,10.375
1998-05-07,9.9375
1998-05-08,9.9375
1998-05-11,10.0
1998-05-12,10.0
1998-05-13,9.875
1998-05-14,9.8125
1998-05-15,10.0
1998-05-18,10.125
1998-05-19,10.25
1998-05-20,10.5625
1998-05-21,10.9375
1998-05-22,10.625
1998-05-26,10.75
1998-05-27,10.75
1998-05-28,11.125
1998-05-29,11.375
1998-06-01,11.0
1998-06-02,11.125
1998-06-03,10.8125
1998-06-04,10.6875
1998-06-05,10.6875
1998-06-08,10.1875
1998-06-09,10.375
1998-06-10,10.625
1998-06-11,10.75
1998-06-12,11.0
1998-06-15,10.9375
1998-06-16,11.0625
1998-06-17,10.6875
1998-06-18,10.9375
1998-06-19,11.1875
1998-06-22,11.0625
1998-06-23,10.875
1998-06-24,10.625
1998-06-25,10.3125
1998-06-26,10.0
1998-06-29,10.0
1998-06-30,9.8125
1998-07-01,10.25
1998-07-02,10.5
1998-07-06,10.4375
1998-07-07,10.625
1998-07-08,10.875
1998-07-09,10.875
1998-07-10,11.0
1998-07-13,10.875
1998-07-14,10.625
1998-07-15,10.5
1998-07-16,10.5625
1998-07-17,10.8125
1998-07-20,10.5
1998-07-21,10.625
1998-07-22,10.25
1998-07-23,9.625
1998-07-24,9.625
1998-07-27,9.4375
1998-07-28,9.1875
1998-07-29,9.1875
1998-07-30,10.0
1998-07-31,10.0
1998-08-03,10.21875
1998-08-04,10.375
1998-08-05,10.0625
1998-08-06,10.375
1998-08-07,10.5
1998-08-10,10.25
1998-08-11,9.8125
1998-08-12,9.8125
1998-08-13,9.5
1998-08-14,9.875
1998-08-17,9.875
1998-08-18,10.125
1998-08-19,10.109375
1998-08-20,10.125
1998-08-21,10.0625
1998-08-24,9.875
1998-08-25,9.875
1998-08-26,9.875
1998-08-27,9.25
1998-08-28,8.625
1998-08-31,8.0625
1998-09-01,8.5
1998-09-02,8.625
1998-09-03,8.375
1998-09-04,8.5
1998-09-08,9.375
1998-09-09,9.25
1998-09-10,9.296875
1998-09-11,10.125
1998-09-14,10.0625
1998-09-15,10.125
1998-09-16,10.3125
1998-09-17,10.25
1998-09-18,10.25
1998-09-21,10.25
1998-09-22,10.875
1998-09-23,10.75
1998-09-24,10.75
1998-09-25,10.375
1998-09-28,10.375
1998-09-29,10.28125
1998-09-30,10.0
1998-10-01,9.875
1998-10-02,10.25
1998-10-05,9.75
1998-10-06,9.5
1998-10-07,9.5
1998-10-08,9.125
1998-10-09,9.25
1998-10-12,9.625
1998-10-13,9.5
1998-10-14,9.5
1998-10-15,9.4375
1998-10-16,9.75
1998-10-19,9.75
1998-10-20,10.0
1998-10-21,9.75
1998-10-22,9.6875
1998-10-23,9.8125
1998-10-26,9.875
1998-10-27,9.75
1998-10-28,10.0
1998-10-29,10.0
1998-10-30,10.375
1998-11-02,10.9375
1998-11-03,12.0
1998-11-04,12.375
1998-11-05,13.4375
1998-11-06,13.625
1998-11-09,13.375
1998-11-10,13.3125
1998-11-11,14.5
1998-11-12,14.375
1998-11-13,14.25
1998-11-16,14.375
1998-11-17,14.0
1998-11-18,14.125
1998-11-19,13.9375
1998-11-20,14.0
1998-11-23,13.75
1998-11-24,13.875
1998-11-25,15.25
1998-11-27,17.0
1998-11-30,18.5
1998-12-01,18.5
1998-12-02,18.25
1998-12-03,18.625
1998-12-04,18.5
1998-12-07,19.5
1998-12-08,20.75
1998-12-09,22.375
1998-12-10,22.625
1998-12-11,24.125
1998-12-14,22.25
1998-12-15,24.75
1998-12-16,24.125
1998-12-17,23.125
1998-12-18,23.0
1998-12-21,23.125
1998-12-22,23.25
1998-12-23,23.25
1998-12-24,23.3125
1998-12-28,24.375
1998-12-29,24.75
1998-12-30,24.0
1998-12-31,25.125
1999-01-04,26.375
1999-01-05,26.25
1999-01-06,26.875
1999-01-07,26.5
1999-01-08,26.75
1999-01-11,27.375
1999-01-12,27.75
1999-01-13,27.5
1999-01-14,27.0
1999-01-15,26.25
1999-01-19,27.125
1999-01-20,27.0625
1999-01-21,26.25
1999-01-22,24.625
1999-01-25,25.875
1999-01-26,28.0
1999-01-27,28.75
1999-01-28,28.0
1999-01-29,28.375
1999-02-01,31.125
1999-02-02,32.0
1999-02-03,32.125
1999-02-04,32.8125
1999-02-05,30.75
1999-02-08,31.25
1999-02-09,28.8125
1999-02-10,30.875
1999-02-11,30.9375
1999-02-12,29.125
1999-02-16,29.5
1999-02-17,28.5
1999-02-18,29.625
1999-02-19,31.5
1999-02-22,33.0
1999-02-23,33.25
1999-02-24,33.25
1999-02-25,28.25
1999-02-26,28.75
1999-03-01,28.5
1999-03-02,25.8125
1999-03-03,27.5
1999-03-04,27.625
1999-03-05,27.125
1999-03-08,27.375
1999-03-09,27.75
1999-03-10,29.0625
1999-03-11,28.6875
1999-03-12,28.0
1999-03-15,25.375
1999-03-16,24.4375
1999-03-17,23.5625
1999-03-18,25.0625
1999-03-19,25.0
1999-03-22,24.5
1999-03-23,24.5
1999-03-24,25.4375
1999-03-25,26.125
1999-03-26,26.3125
1999-03-29,26.3125
1999-03-30,28.3125
1999-03-31,26.9375
1999-04-01,27.625
1999-04-05,28.25
1999-04-06,29.375
1999-04-07,27.5
1999-04-08,27.375
1999-04-09,28.0
1999-04-12,29.0
1999-04-13,29.125
1999-04-14,31.125
1999-04-15,31.25
1999-04-16,34.125
1999-04-19,36.25
1999-04-20,37.0
1999-04-21,37.125
1999-04-22,37.875
1999-04-23,39.0
1999-04-26,39.875
1999-04-27,38.625
1999-04-28,37.25
1999-04-29,36.0
1999-04-30,36.25
1999-05-03,39.75
1999-05-04,39.375
1999-05-05,39.5
1999-05-06,44.0
1999-05-07,46.0
1999-05-10,47.0625
1999-05-11,43.5
1999-05-12,48.625
1999-05-13,47.125
1999-05-14,46.125
1999-05-17,46.625
1999-05-18,44.125
1999-05-19,41.9375
1999-05-20,41.75
1999-05-21,42.125
1999-05-24,38.8125
1999-05-25,36.25
1999-05-26,37.375
1999-05-27,35.625
1999-05-28,38.9375
1999-06-01,38.0
1999-06-02,39.9375
1999-06-03,38.125
1999-06-04,40.0
1999-06-07,42.9375
1999-06-08,42.875
1999-06-09,43.5
1999-06-10,42.0
1999-06-11,42.25
1999-06-14,42.78125
1999-06-15,41.0
1999-06-16,40.125
1999-06-17,39.75
1999-06-18,41.5
1999-06-21,43.1875
1999-06-22,43.0
1999-06-23,42.75
1999-06-24,40.5625
1999-06-25,39.625
1999-06-28,39.0
1999-06-29,39.5
1999-06-30,40.5
1999-07-01,41.5
1999-07-02,41.4375
1999-07-06,40.3125
1999-07-07,39.25
1999-07-08,41.0625
1999-07-09,44.9375
1999-07-12,49.75
1999-07-13,49.5
1999-07-14,51.625
1999-07-15,52.5625
1999-07-16,51.9375
1999-07-19,49.9375
1999-07-20,47.3125
1999-07-21,47.75
1999-07-22,46.875
1999-07-23,44.75
1999-07-26,42.8125
1999-07-27,40.375
1999-07-28,41.75
1999-07-29,39.375
1999-07-30,39.75
1999-08-02,41.125
1999-08-03,41.5625
1999-08-04,41.9375
1999-08-05,40.8125
1999-08-06,38.3125
1999-08-09,36.75
1999-08-10,35.5
1999-08-11,37.75
1999-08-12,39.0
1999-08-13,39.0625
1999-08-16,40.375
1999-08-17,38.125
1999-08-18,36.125
1999-08-19,34.875
1999-08-20,34.125
1999-08-23,39.0625
