Date,PTEN
1993-11-02,0.921875
1993-11-03,0.890625
1993-11-04,0.84375
1993-11-05,0.875
1993-11-08,0.84375
1993-11-09,0.890625
1993-11-10,0.890625
1993-11-11,0.859375
1993-11-12,0.90625
1993-11-15,0.84375
1993-11-16,0.84375
1993-11-17,0.84375
1993-11-18,0.84375
1993-11-19,0.84375
1993-11-22,0.90625
1993-11-23,0.84375
1993-11-24,0.84375
1993-11-26,0.84375
1993-11-29,0.84375
1993-11-30,0.84375
1993-12-01,0.898438
1993-12-02,0.84375
1993-12-03,0.84375
1993-12-06,0.84375
1993-12-07,0.875
1993-12-08,0.90625
1993-12-09,0.90625
1993-12-10,0.84375
1993-12-13,0.84375
1993-12-14,0.84375
1993-12-15,0.84375
1993-12-16,0.84375
1993-12-17,0.84375
1993-12-20,0.875
1993-12-21,0.828125
1993-12-22,0.828125
1993-12-23,0.828125
1993-12-27,0.828125
1993-12-28,0.8125
1993-12-29,0.8125
1993-12-30,0.859375
1993-12-31,0.859375
1994-01-03,0.828125
1994-01-04,0.875
1994-01-05,0.875
1994-01-06,0.875
1994-01-07,0.875
1994-01-10,0.859375
1994-01-11,0.875
1994-01-12,0.859375
1994-01-13,0.859375
1994-01-14,0.84375
1994-01-17,0.84375
1994-01-18,0.84375
1994-01-19,0.859375
1994-01-20,0.90625
1994-01-21,0.84375
1994-01-24,0.84375
1994-01-25,0.84375
1994-01-26,0.90625
1994-01-27,0.90625
1994-01-28,0.84375
1994-01-31,0.84375
1994-02-01,0.90625
1994-02-02,0.890625
1994-02-03,0.84375
1994-02-04,0.890625
1994-02-07,0.84375
1994-02-08,0.84375
1994-02-09,0.84375
1994-02-10,0.84375
1994-02-11,0.84375
1994-02-14,0.84375
1994-02-15,0.84375
1994-02-16,0.78125
1994-02-17,0.78125
1994-02-18,0.796875
1994-02-22,0.8125
1994-02-23,0.75
1994-02-24,0.796875
1994-02-25,0.84375
1994-02-28,0.84375
1994-03-01,0.890625
