Date,PVG
2011-03-03,12.76
2011-03-04,13.6
2011-03-07,13.38
2011-03-08,13.28
2011-03-09,12.6
2011-03-10,11.77
2011-03-11,12.7
2011-03-14,12.32
2011-03-15,11.14
2011-03-16,10.85
2011-03-17,10.9
2011-03-18,11.27
2011-03-21,11.64
2011-03-22,12.23
2011-03-23,11.61
2011-03-24,11.5
2011-03-25,11.46
2011-03-28,11.48
2011-03-29,10.49
2011-03-30,10.3
2011-03-31,10.25
2011-04-01,10.33
2011-04-04,10.48
2011-04-05,10.48
2011-04-06,10.45
2011-04-07,10.42
2011-04-08,10.84
2011-04-11,10.34
2011-04-12,10.19
2011-04-13,10.19
2011-04-14,10.37
2011-04-15,10.39
2011-04-18,9.99
2011-04-19,10.15
2011-04-20,10.19
2011-04-21,10.29
2011-04-25,10.03
2011-04-26,9.9
2011-04-27,9.99
2011-04-28,10.27
2011-04-29,10.36
2011-05-02,10.06
2011-05-03,9.4
2011-05-04,9.2
2011-05-05,8.77
2011-05-06,9.16
2011-05-09,9.43
2011-05-10,9.44
2011-05-11,9.12
2011-05-12,9.3
2011-05-13,9.39
2011-05-16,9.26
2011-05-17,9.0
2011-05-18,9.49
2011-05-19,9.37
2011-05-20,9.27
2011-05-23,9.27
2011-05-24,9.46
2011-05-25,9.81
2011-05-26,9.7
2011-05-27,9.83
2011-05-31,9.93
2011-06-01,9.68
2011-06-02,8.85
2011-06-03,9.5
2011-06-06,9.6
2011-06-07,9.62
2011-06-08,9.74
2011-06-09,9.86
2011-06-10,9.48
2011-06-13,9.12
2011-06-14,9.9
2011-06-15,9.56
2011-06-16,9.41
2011-06-17,9.68
2011-06-20,9.57
2011-06-21,9.64
2011-06-22,9.78
2011-06-23,9.4
2011-06-24,9.3
2011-06-27,9.17
2011-06-28,9.37
2011-06-29,9.49
2011-06-30,9.49
2011-07-01,9.49
2011-07-05,9.58
2011-07-06,9.66
2011-07-07,10.17
2011-07-08,10.33
2011-07-11,10.27
2011-07-12,10.4
2011-07-13,11.1
2011-07-14,11.17
2011-07-15,11.4
2011-07-18,11.55
2011-07-19,11.04
2011-07-20,11.31
2011-07-21,11.26
2011-07-22,11.3
2011-07-25,11.3
2011-07-26,11.43
2011-07-27,11.39
2011-07-28,10.99
2011-07-29,10.68
2011-08-01,10.68
2011-08-02,10.9
2011-08-03,11.05
2011-08-04,9.63
2011-08-05,9.5
2011-08-08,9.34
2011-08-09,9.8
2011-08-10,9.69
2011-08-11,9.74
2011-08-12,9.76
