Date,REGI
2012-01-19,10.1
2012-01-20,9.73
2012-01-23,9.49
2012-01-24,9.85
2012-01-25,9.82
2012-01-26,9.81
2012-01-27,9.8
2012-01-30,9.15
2012-01-31,9.12
2012-02-01,9.15
2012-02-02,9.24
2012-02-03,9.24
2012-02-06,9.28
2012-02-07,9.32
2012-02-08,9.24
2012-02-09,9.3
2012-02-10,9.26
2012-02-13,9.42
2012-02-14,9.46
2012-02-15,9.52
2012-02-16,9.58
2012-02-17,9.5
2012-02-21,9.24
2012-02-22,9.24
2012-02-23,9.77
2012-02-24,9.82
2012-02-27,9.77
2012-02-28,9.61
2012-02-29,9.57
2012-03-01,9.54
2012-03-02,9.71
2012-03-05,9.7
2012-03-06,9.57
2012-03-07,9.9
2012-03-08,9.75
2012-03-09,9.39
2012-03-12,9.94
2012-03-13,10.0
2012-03-14,9.9
2012-03-15,10.5
2012-03-16,10.35
2012-03-19,10.18
2012-03-20,10.13
2012-03-21,9.92
2012-03-22,10.14
2012-03-23,10.25
2012-03-26,10.21
2012-03-27,10.09
2012-03-28,10.06
2012-03-29,10.06
2012-03-30,10.36
2012-04-02,10.26
2012-04-03,10.27
2012-04-04,10.01
2012-04-05,9.98
2012-04-09,9.33
2012-04-10,9.49
2012-04-11,9.64
2012-04-12,9.9
2012-04-13,9.44
2012-04-16,9.52
2012-04-17,9.66
2012-04-18,9.17
2012-04-19,9.19
2012-04-20,9.26
2012-04-23,9.01
2012-04-24,8.97
2012-04-25,8.9
2012-04-26,8.97
2012-04-27,9.12
2012-04-30,9.07
2012-05-01,9.01
2012-05-02,8.96
2012-05-03,9.08
2012-05-04,8.76
2012-05-07,8.66
2012-05-08,8.43
2012-05-09,8.43
2012-05-10,8.07
2012-05-11,7.82
2012-05-14,7.31
2012-05-15,7.89
2012-05-16,7.89
2012-05-17,7.13
2012-05-18,7.04
2012-05-21,6.76
2012-05-22,6.6
2012-05-23,6.69
2012-05-24,7.08
2012-05-25,6.98
2012-05-29,6.91
2012-05-30,6.82
2012-05-31,6.94
2012-06-01,6.58
2012-06-04,6.8
2012-06-05,6.98
2012-06-06,7.24
2012-06-07,7.03
2012-06-08,7.04
2012-06-11,6.81
2012-06-12,6.69
2012-06-13,6.83
2012-06-14,7.13
2012-06-15,7.05
2012-06-18,7.17
2012-06-19,7.38
2012-06-20,7.35
2012-06-21,6.93
2012-06-22,7.02
2012-06-25,6.48
2012-06-26,6.67
2012-06-27,6.33
