Date,RFP
2010-12-10,21.75
2010-12-13,21.75
2010-12-14,21.75
2010-12-15,21.799999
2010-12-16,21.75
2010-12-17,22.200001
2010-12-20,22.950001
2010-12-21,23.799999
2010-12-22,23.75
2010-12-23,23.85
2010-12-27,23.530001000000002
2010-12-28,23.48
2010-12-29,23.559998999999998
2010-12-30,23.459999
2010-12-31,23.67
2011-01-03,23.450001
2011-01-04,23.290001
2011-01-05,23.440001000000002
2011-01-06,23.85
2011-01-07,24.0
2011-01-10,24.07
2011-01-11,24.6
2011-01-12,25.5
2011-01-13,25.690001000000002
2011-01-14,25.35
2011-01-18,26.65
2011-01-19,26.76
2011-01-20,26.440001000000002
2011-01-21,27.4
2011-01-24,28.9
2011-01-25,28.99
2011-01-26,29.27
2011-01-27,28.76
2011-01-28,27.68
2011-01-31,27.02
2011-02-01,26.83
2011-02-02,26.799999
2011-02-03,26.549999
2011-02-04,27.370001000000002
2011-02-07,28.290001
2011-02-08,28.57
2011-02-09,29.209999
2011-02-10,29.0
2011-02-11,29.49
2011-02-14,30.0
2011-02-15,29.200001
2011-02-16,29.459999
2011-02-17,29.49
2011-02-18,29.530001000000002
2011-02-22,28.059998999999998
2011-02-23,27.23
2011-02-24,27.790001
2011-02-25,27.959999
2011-02-28,27.99
2011-03-01,27.08
2011-03-02,27.719998999999998
2011-03-03,28.43
2011-03-04,28.32
2011-03-07,28.389999
2011-03-08,28.639999
2011-03-09,28.23
2011-03-10,26.83
2011-03-11,27.120001000000002
2011-03-14,27.120001000000002
2011-03-15,26.9
2011-03-16,26.040001
2011-03-17,25.889999
2011-03-18,26.610001
2011-03-21,27.190001000000002
2011-03-22,27.030001000000002
2011-03-23,27.0
2011-03-24,26.959999
2011-03-25,27.049999
2011-03-28,26.9
2011-03-29,27.0
2011-03-30,27.049999
2011-03-31,26.870001000000002
2011-04-01,26.959999
2011-04-04,26.99
2011-04-05,27.02
2011-04-06,27.59
2011-04-07,27.5
2011-04-08,27.040001
2011-04-11,26.620001000000002
2011-04-12,25.83
2011-04-13,26.049999
2011-04-14,26.08
2011-04-15,25.940001000000002
2011-04-18,25.58
2011-04-19,25.68
2011-04-20,26.0
2011-04-21,25.99
2011-04-25,25.65
2011-04-26,25.66
2011-04-27,26.290001
2011-04-28,27.07
2011-04-29,26.719998999999998
2011-05-02,26.76
2011-05-03,26.459999
2011-05-04,26.139999
2011-05-05,26.129998999999998
2011-05-06,26.290001
2011-05-09,26.57
2011-05-10,26.9
2011-05-11,26.48
2011-05-12,25.879998999999998
2011-05-13,25.75
2011-05-16,26.200001
2011-05-17,24.6
2011-05-18,24.48
2011-05-19,24.83
2011-05-20,24.809998999999998
2011-05-23,23.25
2011-05-24,24.15
2011-05-25,23.6
2011-05-26,23.9
2011-05-27,24.32
2011-05-31,24.799999
2011-06-01,23.99
2011-06-02,23.82
2011-06-03,23.68
2011-06-06,23.530001000000002
2011-06-07,23.610001
2011-06-08,23.299999
2011-06-09,23.41
2011-06-10,22.629998999999998
2011-06-13,22.549999
2011-06-14,22.799999
2011-06-15,21.799999
2011-06-16,21.389999
2011-06-17,21.4
2011-06-20,21.799999
2011-06-21,22.0
2011-06-22,22.09
2011-06-23,21.879998999999998
2011-06-24,21.76
2011-06-27,21.9
2011-06-28,20.41
2011-06-29,20.040001
2011-06-30,20.299999
2011-07-01,20.530001000000002
2011-07-05,20.540001
2011-07-06,20.52
2011-07-07,21.02
2011-07-08,21.0
2011-07-11,20.209999
2011-07-12,19.780001000000002
2011-07-13,19.93
2011-07-14,19.59
2011-07-15,19.74
2011-07-18,19.32
2011-07-19,19.530001000000002
2011-07-20,19.18
2011-07-21,19.280001000000002
2011-07-22,19.41
2011-07-25,19.23
2011-07-26,19.5
2011-07-27,18.780001000000002
2011-07-28,18.59
2011-07-29,18.280001000000002
2011-08-01,17.860001
2011-08-02,17.43
2011-08-03,17.690001000000002
2011-08-04,16.709999
2011-08-05,16.68
2011-08-08,15.72
2011-08-09,15.82
2011-08-10,15.6
2011-08-11,16.280001000000002
2011-08-12,16.48
2011-08-15,17.01
2011-08-16,16.75
2011-08-17,17.01
2011-08-18,16.389999
2011-08-19,16.09
2011-08-22,15.91
2011-08-23,16.09
2011-08-24,16.030001000000002
2011-08-25,15.91
2011-08-26,16.040001
2011-08-29,17.01
2011-08-30,17.129998999999998
2011-08-31,16.99
2011-09-01,16.110001
2011-09-02,15.62
2011-09-06,15.43
2011-09-07,16.24
2011-09-08,15.98
2011-09-09,15.9
2011-09-12,15.95
2011-09-13,16.17
2011-09-14,16.34
2011-09-15,16.379998999999998
2011-09-16,16.030001000000002
2011-09-19,15.94
2011-09-20,15.76
2011-09-21,15.28
2011-09-22,15.02
2011-09-23,15.05
2011-09-26,15.46
2011-09-27,16.030001000000002
2011-09-28,15.67
2011-09-29,15.09
2011-09-30,15.0
2011-10-03,14.06
2011-10-04,14.2
2011-10-05,14.95
2011-10-06,15.6
2011-10-07,15.3
2011-10-10,15.92
2011-10-11,15.92
2011-10-12,16.120001000000002
2011-10-13,16.01
2011-10-14,15.83
2011-10-17,15.36
2011-10-18,15.5
2011-10-19,15.22
2011-10-20,15.25
2011-10-21,15.12
2011-10-24,16.549999
2011-10-25,16.200001
2011-10-26,16.08
2011-10-27,16.9
2011-10-28,17.01
2011-10-31,17.0
2011-11-01,16.299999
2011-11-02,16.290001
2011-11-03,16.51
2011-11-04,16.049999
2011-11-07,15.88
2011-11-08,16.120001000000002
2011-11-09,15.4
2011-11-10,15.9
2011-11-11,15.94
2011-11-14,15.61
2011-11-15,15.5
2011-11-16,15.41
2011-11-17,15.5
2011-11-18,16.5
2011-11-21,16.049999
2011-11-22,15.92
2011-11-23,15.12
2011-11-25,14.97
2011-11-28,15.29
2011-11-29,14.7
2011-11-30,15.03
2011-12-01,14.86
2011-12-02,14.95
2011-12-05,15.19
2011-12-06,15.21
2011-12-07,15.28
2011-12-08,15.1
2011-12-09,15.08
2011-12-12,14.8
2011-12-13,14.72
2011-12-14,14.68
2011-12-15,14.78
2011-12-16,14.72
2011-12-19,14.45
2011-12-20,14.97
2011-12-21,14.3
2011-12-22,14.65
2011-12-23,14.69
2011-12-27,14.7
2011-12-28,14.53
2011-12-29,14.52
2011-12-30,14.55
2012-01-03,15.01
2012-01-04,15.06
2012-01-05,14.96
2012-01-06,15.36
2012-01-09,15.1
2012-01-10,15.2
2012-01-11,15.21
2012-01-12,15.39
2012-01-13,15.03
2012-01-17,15.16
2012-01-18,15.01
2012-01-19,14.96
2012-01-20,14.91
2012-01-23,14.95
2012-01-24,14.75
2012-01-25,14.51
2012-01-26,14.31
2012-01-27,14.25
2012-01-30,14.3
2012-01-31,14.49
2012-02-01,14.77
2012-02-02,15.32
2012-02-03,15.88
2012-02-06,15.92
2012-02-07,15.94
2012-02-08,15.99
2012-02-09,15.17
2012-02-10,15.28
2012-02-13,15.35
2012-02-14,15.14
2012-02-15,14.99
2012-02-16,15.26
2012-02-17,15.49
2012-02-21,15.5
2012-02-22,15.45
2012-02-23,15.43
2012-02-24,15.22
2012-02-27,15.17
2012-02-28,15.35
2012-02-29,15.3
2012-03-01,15.37
2012-03-02,15.14
2012-03-05,15.13
2012-03-06,14.61
2012-03-07,14.66
2012-03-08,14.61
2012-03-09,14.91
2012-03-12,15.08
2012-03-13,15.62
2012-03-14,15.3
2012-03-15,15.43
2012-03-16,15.44
2012-03-19,15.36
2012-03-20,15.28
2012-03-21,15.14
2012-03-22,14.8
2012-03-23,15.09
2012-03-26,14.88
2012-03-27,14.68
2012-03-28,14.51
2012-03-29,14.5
2012-03-30,14.28
2012-04-02,14.23
2012-04-03,13.97
2012-04-04,13.85
2012-04-05,13.87
2012-04-09,13.6
2012-04-10,13.41
2012-04-11,13.44
2012-04-12,13.47
2012-04-13,13.43
2012-04-16,13.38
2012-04-17,13.31
2012-04-18,13.06
2012-04-19,13.06
2012-04-20,13.08
2012-04-23,13.05
2012-04-24,13.09
2012-04-25,13.48
2012-04-26,13.52
2012-04-27,13.29
2012-04-30,13.25
2012-05-01,12.62
2012-05-02,12.09
2012-05-03,12.51
2012-05-04,12.43
2012-05-07,12.41
2012-05-08,12.1
2012-05-09,11.52
2012-05-10,11.37
2012-05-11,11.35
2012-05-14,11.0
2012-05-15,10.75
2012-05-16,10.61
2012-05-17,10.26
2012-05-18,10.33
2012-05-21,10.51
2012-05-22,10.57
2012-05-23,11.83
2012-05-24,11.81
2012-05-25,11.48
2012-05-29,11.88
2012-05-30,11.47
2012-05-31,11.31
2012-06-01,11.47
2012-06-04,11.54
2012-06-05,11.5
2012-06-06,11.36
2012-06-07,11.29
2012-06-08,11.5
2012-06-11,11.46
2012-06-12,11.5
2012-06-13,11.28
2012-06-14,11.64
2012-06-15,11.69
2012-06-18,11.52
2012-06-19,11.68
2012-06-20,11.47
2012-06-21,11.54
2012-06-22,11.56
2012-06-25,10.59
2012-06-26,10.61
2012-06-27,11.35
2012-06-28,11.46
2012-06-29,11.58
2012-07-02,11.66
2012-07-03,12.45
2012-07-05,12.65
2012-07-06,12.77
2012-07-09,12.35
2012-07-10,12.11
2012-07-11,12.35
2012-07-12,12.19
2012-07-13,12.39
2012-07-16,11.68
2012-07-17,11.71
2012-07-18,11.1
2012-07-19,10.68
2012-07-20,10.52
2012-07-23,10.08
2012-07-24,9.59
2012-07-25,9.48
2012-07-26,9.4
2012-07-27,9.48
2012-07-30,9.19
2012-07-31,9.18
2012-08-01,10.67
2012-08-02,11.04
2012-08-03,11.43
2012-08-06,11.98
2012-08-07,12.18
2012-08-08,12.34
2012-08-09,12.34
2012-08-10,12.57
2012-08-13,12.69
2012-08-14,12.59
2012-08-15,12.6
2012-08-16,12.67
2012-08-17,12.67
2012-08-20,12.49
2012-08-21,12.49
2012-08-22,12.49
2012-08-23,12.13
2012-08-24,12.06
2012-08-27,12.29
2012-08-28,12.82
2012-08-29,12.5
2012-08-30,12.48
2012-08-31,12.57
2012-09-04,12.49
2012-09-05,12.48
2012-09-06,12.64
2012-09-07,12.65
2012-09-10,12.77
2012-09-11,13.39
2012-09-12,13.66
2012-09-13,14.26
2012-09-14,14.75
2012-09-17,14.08
2012-09-18,14.05
2012-09-19,14.08
2012-09-20,14.08
2012-09-21,14.05
2012-09-24,13.6
2012-09-25,13.49
2012-09-26,13.35
2012-09-27,13.46
2012-09-28,13.0
2012-10-01,12.95
2012-10-02,12.61
2012-10-03,12.5
2012-10-04,12.83
2012-10-05,12.97
2012-10-08,12.75
2012-10-09,12.49
2012-10-10,12.53
2012-10-11,12.64
2012-10-12,12.52
2012-10-15,12.32
2012-10-16,12.63
2012-10-17,12.91
2012-10-18,12.96
2012-10-19,12.88
2012-10-22,12.71
2012-10-23,12.49
2012-10-24,12.06
2012-10-25,12.46
2012-10-26,12.24
2012-10-31,12.2
2012-11-01,12.57
2012-11-02,12.01
2012-11-05,11.78
2012-11-06,11.8
2012-11-07,11.28
2012-11-08,10.91
2012-11-09,10.92
2012-11-12,10.78
2012-11-13,10.64
2012-11-14,10.5
2012-11-15,10.65
2012-11-16,10.84
2012-11-19,11.22
2012-11-20,11.23
2012-11-21,11.21
2012-11-23,11.32
2012-11-26,11.58
2012-11-27,11.3
2012-11-28,11.55
2012-11-29,11.76
2012-11-30,11.71
2012-12-03,11.86
2012-12-04,11.89
2012-12-05,11.98
2012-12-06,12.11
2012-12-07,12.07
2012-12-10,12.03
2012-12-11,12.05
2012-12-12,12.17
2012-12-13,12.01
2012-12-14,12.04
2012-12-17,12.39
2012-12-18,12.92
2012-12-19,12.95
2012-12-20,13.18
2012-12-21,13.56
2012-12-24,13.29
2012-12-26,13.15
2012-12-27,13.28
2012-12-28,12.97
2012-12-31,13.24
2013-01-02,13.92
2013-01-03,13.92
2013-01-04,14.04
2013-01-07,13.8
2013-01-08,13.75
2013-01-09,13.89
2013-01-10,13.62
2013-01-11,13.55
2013-01-14,13.43
2013-01-15,13.68
2013-01-16,13.56
2013-01-17,13.87
2013-01-18,14.0
2013-01-22,13.8
2013-01-23,13.96
2013-01-24,14.47
2013-01-25,14.07
2013-01-28,14.07
2013-01-29,13.73
2013-01-30,13.37
2013-01-31,13.64
2013-02-01,13.64
2013-02-04,13.3
2013-02-05,13.65
2013-02-06,13.54
2013-02-07,13.31
2013-02-08,13.57
2013-02-11,13.4
2013-02-12,13.81
2013-02-13,13.31
2013-02-14,13.42
2013-02-15,14.01
2013-02-19,14.3
2013-02-20,13.7
2013-02-21,13.52
2013-02-22,13.95
2013-02-25,13.26
2013-02-26,13.35
2013-02-27,13.66
2013-02-28,13.8
2013-03-01,13.95
2013-03-04,13.7
2013-03-05,13.79
2013-03-06,14.02
2013-03-07,14.03
2013-03-08,14.05
2013-03-11,14.0
2013-03-12,14.12
2013-03-13,14.21
2013-03-14,14.71
2013-03-15,15.18
2013-03-18,14.93
2013-03-19,15.5
2013-03-20,16.219998999999998
2013-03-21,16.98
2013-03-22,16.790001
2013-03-25,17.040001
2013-03-26,17.02
2013-03-27,16.75
2013-03-28,16.18
2013-04-01,16.09
2013-04-02,15.97
2013-04-03,15.46
2013-04-04,15.36
2013-04-05,15.07
2013-04-08,14.89
2013-04-09,15.04
2013-04-10,15.68
2013-04-11,15.52
2013-04-12,15.19
2013-04-15,14.22
2013-04-16,14.76
2013-04-17,14.37
2013-04-18,14.28
2013-04-19,14.04
2013-04-22,14.18
2013-04-23,14.43
2013-04-24,14.53
2013-04-25,14.45
2013-04-26,14.33
2013-04-29,14.52
2013-04-30,14.63
2013-05-01,14.0
2013-05-02,14.2
2013-05-03,15.24
2013-05-06,15.69
2013-05-07,15.88
2013-05-08,16.120001000000002
2013-05-09,16.040001
2013-05-10,16.32
2013-05-13,16.07
2013-05-14,16.17
2013-05-15,16.290001
2013-05-16,16.139999
2013-05-17,16.17
2013-05-20,16.49
2013-05-21,16.48
2013-05-22,16.1
2013-05-23,15.86
2013-05-24,15.61
2013-05-28,15.88
2013-05-29,15.48
2013-05-30,15.26
2013-05-31,15.22
2013-06-03,15.49
2013-06-04,14.91
2013-06-05,14.42
2013-06-06,14.76
2013-06-07,14.43
2013-06-10,14.51
2013-06-11,14.37
2013-06-12,14.34
2013-06-13,14.58
2013-06-14,14.36
2013-06-17,13.83
2013-06-18,14.0
2013-06-19,13.88
2013-06-20,12.77
2013-06-21,12.78
2013-06-24,12.7
2013-06-25,13.05
2013-06-26,12.88
2013-06-27,13.19
2013-06-28,13.17
2013-07-01,13.71
2013-07-02,13.63
2013-07-03,13.57
2013-07-05,13.95
2013-07-08,13.75
2013-07-09,14.22
2013-07-10,13.89
2013-07-11,14.18
2013-07-12,14.72
2013-07-15,14.75
2013-07-16,14.98
2013-07-17,15.18
2013-07-18,15.18
2013-07-19,15.28
2013-07-22,15.6
2013-07-23,15.63
2013-07-24,15.48
2013-07-25,15.75
2013-07-26,15.31
2013-07-29,15.06
2013-07-30,14.81
2013-07-31,15.26
2013-08-01,14.13
2013-08-02,13.48
2013-08-05,13.4
2013-08-06,13.18
2013-08-07,13.4
2013-08-08,13.38
2013-08-09,13.39
2013-08-12,13.44
2013-08-13,13.22
2013-08-14,13.37
2013-08-15,13.04
2013-08-16,13.0
2013-08-19,13.03
2013-08-20,12.92
2013-08-21,12.81
2013-08-22,12.68
2013-08-23,12.8
2013-08-26,12.9
2013-08-27,12.49
2013-08-28,12.5
2013-08-29,12.71
2013-08-30,12.61
2013-09-03,12.88
2013-09-04,12.86
2013-09-05,13.09
2013-09-06,13.41
2013-09-09,13.59
2013-09-10,13.7
2013-09-11,14.03
2013-09-12,13.74
2013-09-13,13.95
2013-09-16,14.26
2013-09-17,13.78
2013-09-18,14.1
2013-09-19,13.65
2013-09-20,13.8
2013-09-23,13.76
2013-09-24,13.64
2013-09-25,13.32
2013-09-26,13.39
2013-09-27,13.45
2013-09-30,13.22
2013-10-01,13.5
2013-10-02,12.95
2013-10-03,12.72
2013-10-04,12.72
2013-10-07,12.81
2013-10-08,12.37
2013-10-09,12.74
2013-10-10,13.03
2013-10-11,13.66
2013-10-14,13.8
2013-10-15,13.28
2013-10-16,13.5
2013-10-17,14.19
2013-10-18,14.46
2013-10-21,14.26
2013-10-22,14.69
2013-10-23,14.52
2013-10-24,14.54
2013-10-25,14.8
2013-10-28,15.0
2013-10-29,14.65
2013-10-30,14.01
2013-10-31,15.99
2013-11-01,16.200001
2013-11-04,16.01
2013-11-05,15.45
2013-11-06,14.97
2013-11-07,14.69
2013-11-08,14.75
2013-11-11,14.66
2013-11-12,14.65
2013-11-13,14.9
2013-11-14,14.51
2013-11-15,14.75
2013-11-18,14.4
2013-11-19,14.57
2013-11-20,14.66
2013-11-21,15.02
2013-11-22,15.42
2013-11-25,15.53
2013-11-26,15.85
2013-11-27,16.139999
2013-11-29,16.200001
2013-12-02,16.190001000000002
2013-12-03,15.59
2013-12-04,15.33
2013-12-05,15.22
2013-12-06,15.17
2013-12-09,15.28
2013-12-10,14.74
2013-12-11,14.35
2013-12-12,14.29
2013-12-13,14.66
2013-12-16,14.86
2013-12-17,14.86
2013-12-18,15.2
2013-12-19,15.15
2013-12-20,15.25
2013-12-23,15.59
2013-12-24,15.63
2013-12-26,15.72
2013-12-27,15.84
2013-12-30,16.09
2013-12-31,16.02
2014-01-02,16.379998999999998
2014-01-03,16.549999
2014-01-06,17.08
2014-01-07,17.809998999999998
2014-01-08,17.99
2014-01-09,18.23
2014-01-10,17.67
2014-01-13,17.09
2014-01-14,17.23
2014-01-15,17.34
2014-01-16,17.690001000000002
2014-01-17,17.719998999999998
2014-01-21,17.77
2014-01-22,18.6
2014-01-23,18.68
2014-01-24,18.33
2014-01-27,18.639999
2014-01-28,18.93
2014-01-29,19.15
2014-01-30,19.25
2014-01-31,19.299999
2014-02-03,19.0
2014-02-04,19.190001000000002
2014-02-05,19.0
2014-02-06,18.950001
2014-02-07,19.469998999999998
2014-02-10,19.219998999999998
2014-02-11,19.4
2014-02-12,19.52
2014-02-13,20.129998999999998
2014-02-14,19.780001000000002
2014-02-18,20.540001
2014-02-19,20.32
2014-02-20,20.74
2014-02-21,21.450001
2014-02-24,21.42
2014-02-25,21.08
2014-02-26,21.15
2014-02-27,20.940001000000002
2014-02-28,20.49
2014-03-03,20.120001000000002
2014-03-04,20.870001000000002
2014-03-05,20.57
2014-03-06,20.459999
2014-03-07,20.73
2014-03-10,20.1
2014-03-11,19.49
2014-03-12,19.370001000000002
2014-03-13,18.969998999999998
2014-03-14,19.34
2014-03-17,19.219998999999998
2014-03-18,19.65
2014-03-19,19.15
2014-03-20,19.120001000000002
2014-03-21,19.1
2014-03-24,18.549999
2014-03-25,19.35
2014-03-26,18.32
2014-03-27,18.33
2014-03-28,18.780001000000002
2014-03-31,20.09
2014-04-01,20.07
2014-04-02,19.9
2014-04-03,19.629998999999998
2014-04-04,19.48
2014-04-07,19.030001000000002
2014-04-08,19.01
2014-04-09,18.809998999999998
2014-04-10,18.51
2014-04-11,17.66
2014-04-14,17.370001000000002
2014-04-15,16.82
2014-04-16,17.08
2014-04-17,17.469998999999998
2014-04-21,17.35
2014-04-22,17.67
2014-04-23,17.74
2014-04-24,17.940001000000002
2014-04-25,17.629998999999998
2014-04-28,17.5
2014-04-29,17.530001000000002
2014-04-30,17.84
2014-05-01,16.59
2014-05-02,16.370001000000002
2014-05-05,15.94
2014-05-06,15.74
2014-05-07,15.59
2014-05-08,15.67
2014-05-09,15.82
2014-05-12,16.41
2014-05-13,16.219998999999998
2014-05-14,15.73
2014-05-15,15.16
2014-05-16,15.21
2014-05-19,15.67
2014-05-20,15.25
2014-05-21,15.11
2014-05-22,15.0
2014-05-23,15.26
2014-05-27,15.13
2014-05-28,14.91
2014-05-29,15.17
2014-05-30,14.97
2014-06-02,15.17
2014-06-03,15.23
2014-06-04,15.01
2014-06-05,15.59
2014-06-06,15.72
2014-06-09,16.17
2014-06-10,15.83
2014-06-11,15.44
2014-06-12,15.2
2014-06-13,15.2
2014-06-16,15.32
2014-06-17,15.64
2014-06-18,15.64
2014-06-19,15.6
2014-06-20,16.34
2014-06-23,16.870001000000002
2014-06-24,16.379998999999998
2014-06-25,16.4
2014-06-26,16.620001000000002
2014-06-27,16.889999
2014-06-30,16.780001000000002
2014-07-01,16.76
2014-07-02,16.74
2014-07-03,17.08
2014-07-07,16.700001
2014-07-08,16.549999
2014-07-09,16.58
2014-07-10,16.5
2014-07-11,16.530001000000002
2014-07-14,16.83
2014-07-15,16.690001000000002
2014-07-16,16.799999
2014-07-17,16.559998999999998
2014-07-18,16.799999
2014-07-21,16.059998999999998
2014-07-22,16.129998999999998
2014-07-23,16.219998999999998
2014-07-24,16.809998999999998
2014-07-25,16.43
2014-07-28,16.32
2014-07-29,16.07
2014-07-30,16.24
2014-07-31,15.39
2014-08-01,15.53
2014-08-04,16.440001000000002
2014-08-05,16.09
2014-08-06,16.85
2014-08-07,16.219998999999998
2014-08-08,16.559998999999998
2014-08-11,16.58
2014-08-12,16.620001000000002
2014-08-13,16.790001
2014-08-14,16.889999
2014-08-15,16.969998999999998
2014-08-18,17.16
2014-08-19,17.450001
2014-08-20,17.110001
2014-08-21,17.4
2014-08-22,17.280001000000002
2014-08-25,17.41
2014-08-26,17.73
2014-08-27,17.57
2014-08-28,17.32
2014-08-29,17.190001000000002
2014-09-02,17.450001
2014-09-03,17.65
2014-09-04,17.49
2014-09-05,17.360001
2014-09-08,17.51
2014-09-09,17.4
2014-09-10,17.26
2014-09-11,17.6
2014-09-12,17.459999
2014-09-15,17.41
2014-09-16,17.6
2014-09-17,17.58
2014-09-18,17.98
2014-09-19,17.51
2014-09-22,17.48
2014-09-23,16.99
2014-09-24,16.870001000000002
2014-09-25,16.34
2014-09-26,16.51
2014-09-29,16.200001
2014-09-30,15.64
2014-10-01,15.4
2014-10-02,15.88
2014-10-03,16.129998999999998
2014-10-06,16.07
2014-10-07,15.7
2014-10-08,16.049999
2014-10-09,15.73
2014-10-10,15.45
2014-10-13,15.54
2014-10-14,15.91
2014-10-15,16.639999
2014-10-16,17.139999
2014-10-17,16.92
2014-10-20,17.52
2014-10-21,17.85
2014-10-22,17.209999
2014-10-23,17.950001
2014-10-24,17.75
2014-10-27,17.51
2014-10-28,18.440001000000002
2014-10-29,17.91
2014-10-30,17.969998999999998
2014-10-31,18.559998999999998
2014-11-03,18.85
2014-11-04,19.200001
2014-11-05,18.66
2014-11-06,18.84
2014-11-07,18.83
2014-11-10,18.83
2014-11-11,18.719998999999998
2014-11-12,18.870001000000002
2014-11-13,18.620001000000002
2014-11-14,18.58
2014-11-17,18.190001000000002
2014-11-18,18.190001000000002
2014-11-19,17.950001
2014-11-20,18.34
2014-11-21,17.940001000000002
2014-11-24,18.139999
2014-11-25,18.290001
2014-11-26,17.08
2014-11-28,16.75
2014-12-01,16.139999
2014-12-02,16.26
2014-12-03,16.809998999999998
2014-12-04,16.59
2014-12-05,16.98
2014-12-08,17.110001
2014-12-09,17.59
2014-12-10,17.25
2014-12-11,17.059998999999998
2014-12-12,16.57
2014-12-15,16.030001000000002
2014-12-16,16.540001
2014-12-17,17.709999
2014-12-18,17.99
2014-12-19,18.120001000000002
2014-12-22,18.1
2014-12-23,18.200001
2014-12-24,17.969998999999998
2014-12-26,18.200001
2014-12-29,17.879998999999998
2014-12-30,17.950001
2014-12-31,17.610001
2015-01-02,17.51
2015-01-05,17.17
2015-01-06,16.34
2015-01-07,16.51
2015-01-08,16.42
2015-01-09,16.219998999999998
2015-01-12,16.469998999999998
2015-01-13,16.27
2015-01-14,16.49
2015-01-15,15.65
2015-01-16,15.85
2015-01-20,15.69
2015-01-21,16.25
2015-01-22,16.59
2015-01-23,16.620001000000002
2015-01-26,16.9
2015-01-27,16.65
2015-01-28,16.68
2015-01-29,17.110001
2015-01-30,17.0
2015-02-02,16.73
2015-02-03,17.01
2015-02-04,17.049999
2015-02-05,17.790001
2015-02-06,18.280001000000002
2015-02-09,17.91
2015-02-10,18.209999
2015-02-11,18.18
2015-02-12,18.629998999999998
2015-02-13,19.030001000000002
2015-02-17,18.83
2015-02-18,19.030001000000002
2015-02-19,19.0
2015-02-20,18.870001000000002
2015-02-23,18.65
2015-02-24,18.700001
2015-02-25,18.709999
2015-02-26,18.700001
2015-02-27,18.24
2015-03-02,18.68
2015-03-03,18.26
2015-03-04,17.91
2015-03-05,17.57
2015-03-06,17.5
2015-03-09,17.459999
2015-03-10,16.58
2015-03-11,16.4
2015-03-12,16.379998999999998
2015-03-13,16.469998999999998
2015-03-16,16.469998999999998
2015-03-17,16.68
2015-03-18,16.889999
2015-03-19,16.49
2015-03-20,16.389999
2015-03-23,16.540001
2015-03-24,16.719998999999998
