Date,RRR
2016-04-27,18.700001
2016-04-28,18.73
2016-04-29,18.639999
2016-05-02,18.870001000000002
2016-05-03,18.959999
2016-05-04,18.780001000000002
2016-05-05,18.799999
2016-05-06,18.870001000000002
2016-05-09,18.9
2016-05-10,18.99
2016-05-11,19.23
2016-05-12,19.5
2016-05-13,19.17
2016-05-16,19.540001
2016-05-17,19.4
2016-05-18,19.440001000000002
2016-05-19,19.309998999999998
2016-05-20,19.32
2016-05-23,19.370001000000002
2016-05-24,19.58
2016-05-25,19.74
2016-05-26,19.84
2016-05-27,20.110001
2016-05-31,20.389999
2016-06-01,20.16
2016-06-02,20.49
2016-06-03,20.459999
2016-06-06,20.5
2016-06-07,20.85
2016-06-08,21.18
2016-06-09,21.690001000000002
2016-06-10,21.719998999999998
2016-06-13,22.01
2016-06-14,22.09
2016-06-15,22.52
2016-06-16,22.41
2016-06-17,22.049999
2016-06-20,22.450001
2016-06-21,22.83
2016-06-22,22.700001
2016-06-23,22.5
2016-06-24,21.379998999999998
2016-06-27,20.950001
2016-06-28,21.059998999999998
2016-06-29,21.16
2016-06-30,21.98
2016-07-01,22.049999
2016-07-05,21.77
2016-07-06,22.15
2016-07-07,22.16
2016-07-08,22.27
2016-07-11,22.27
2016-07-12,22.51
2016-07-13,22.42
2016-07-14,22.34
2016-07-15,22.41
2016-07-18,22.530001000000002
2016-07-19,22.51
2016-07-20,22.48
2016-07-21,22.049999
2016-07-22,22.09
2016-07-25,22.110001
2016-07-26,22.690001000000002
2016-07-27,23.139999
2016-07-28,22.9
2016-07-29,23.01
2016-08-01,22.65
2016-08-02,22.969998999999998
2016-08-03,23.200001
2016-08-04,22.629998999999998
2016-08-05,22.75
2016-08-08,22.93
2016-08-09,22.74
2016-08-10,22.209999
2016-08-11,22.34
2016-08-12,22.030001000000002
2016-08-15,21.91
2016-08-16,23.049999
2016-08-17,22.889999
2016-08-18,22.92
2016-08-19,22.809998999999998
2016-08-22,22.84
2016-08-23,22.68
2016-08-24,22.209999
2016-08-25,22.23
2016-08-26,22.23
2016-08-29,22.15
2016-08-30,22.309998999999998
2016-08-31,22.540001
2016-09-01,22.84
2016-09-02,22.370001000000002
2016-09-06,22.309998999999998
2016-09-07,22.209999
2016-09-08,21.98
2016-09-09,21.440001000000002
2016-09-12,21.549999
2016-09-13,20.799999
2016-09-14,21.049999
2016-09-15,21.309998999999998
2016-09-16,21.49
2016-09-19,21.879998999999998
2016-09-20,21.83
2016-09-21,21.98
2016-09-22,22.719998999999998
2016-09-23,23.07
2016-09-26,23.129998999999998
2016-09-27,22.889999
2016-09-28,22.99
2016-09-29,22.879998999999998
2016-09-30,23.59
2016-10-03,23.049999
2016-10-04,22.92
2016-10-05,23.41
2016-10-06,23.309998999999998
2016-10-07,23.07
2016-10-10,23.290001
2016-10-11,22.959999
2016-10-12,22.75
2016-10-13,22.5
2016-10-14,22.41
2016-10-17,22.24
2016-10-18,22.01
2016-10-19,22.040001
2016-10-20,22.4
2016-10-21,22.52
2016-10-24,22.67
2016-10-25,22.5
2016-10-26,22.43
2016-10-27,22.120001000000002
2016-10-28,22.35
2016-10-31,21.9
2016-11-01,22.209999
2016-11-02,21.870001000000002
2016-11-03,21.33
2016-11-04,21.66
2016-11-07,22.32
2016-11-08,22.200001
2016-11-09,22.559998999999998
2016-11-10,22.049999
2016-11-11,22.25
2016-11-14,21.690001000000002
2016-11-15,22.02
2016-11-16,22.24
2016-11-17,22.25
2016-11-18,22.77
2016-11-21,22.73
2016-11-22,23.139999
2016-11-23,23.16
