Date,SMCI
2007-03-29,8.76
2007-03-30,8.99
2007-04-02,10.38
2007-04-03,10.58
2007-04-04,10.16
2007-04-05,9.8
2007-04-09,10.0
2007-04-10,9.8
2007-04-11,9.54
2007-04-12,9.85
2007-04-13,9.74
2007-04-16,10.15
2007-04-17,10.25
2007-04-18,10.37
2007-04-19,9.89
2007-04-20,9.86
2007-04-23,9.85
2007-04-24,9.83
2007-04-25,10.35
2007-04-26,10.19
2007-04-27,10.2
2007-04-30,10.41
2007-05-01,10.49
2007-05-02,10.4
2007-05-03,10.43
2007-05-04,10.58
2007-05-07,10.57
2007-05-08,10.5
2007-05-09,11.24
2007-05-10,10.15
2007-05-11,10.4
2007-05-14,10.43
2007-05-15,10.24
2007-05-16,10.1
2007-05-17,10.02
2007-05-18,10.02
2007-05-21,10.04
2007-05-22,10.04
2007-05-23,10.0
2007-05-24,9.99
2007-05-25,10.04
2007-05-29,10.03
2007-05-30,10.03
2007-05-31,10.06
2007-06-01,10.04
2007-06-04,10.56
2007-06-05,11.43
2007-06-06,11.2
2007-06-07,11.15
2007-06-08,10.65
2007-06-11,10.51
2007-06-12,10.73
2007-06-13,10.66
2007-06-14,10.76
2007-06-15,10.74
2007-06-18,10.75
2007-06-19,10.88
2007-06-20,10.97
2007-06-21,10.99
2007-06-22,10.53
2007-06-25,10.47
2007-06-26,10.24
2007-06-27,10.41
2007-06-28,10.08
2007-06-29,10.01
2007-07-02,10.04
2007-07-03,10.43
2007-07-05,10.27
2007-07-06,10.18
2007-07-09,10.21
2007-07-10,10.0
2007-07-11,10.0
2007-07-12,9.91
2007-07-13,9.41
2007-07-16,9.79
2007-07-17,9.85
2007-07-18,9.9
2007-07-19,9.99
2007-07-20,9.96
2007-07-23,10.0
2007-07-24,10.0
2007-07-25,10.03
2007-07-26,9.72
2007-07-27,9.34
2007-07-30,8.89
2007-07-31,8.95
2007-08-01,9.15
2007-08-02,9.17
2007-08-03,8.9
2007-08-06,8.64
2007-08-07,8.61
2007-08-08,8.75
2007-08-09,9.0
2007-08-10,8.75
2007-08-13,8.72
2007-08-14,8.74
2007-08-15,8.7
2007-08-16,8.4
2007-08-17,8.54
2007-08-20,8.55
2007-08-21,8.48
2007-08-22,8.41
2007-08-23,8.37
2007-08-24,8.37
2007-08-27,8.39
2007-08-28,8.38
2007-08-29,8.4
2007-08-30,8.35
2007-08-31,8.34
2007-09-04,8.38
2007-09-05,8.33
2007-09-06,8.37
2007-09-07,8.49
2007-09-10,8.73
2007-09-11,9.18
2007-09-12,9.35
2007-09-13,9.21
2007-09-14,9.22
2007-09-17,9.05
2007-09-18,9.49
2007-09-19,9.88
2007-09-20,9.93
2007-09-21,9.84
2007-09-24,9.58
2007-09-25,9.75
2007-09-26,10.01
2007-09-27,9.84
2007-09-28,9.76
2007-10-01,9.79
2007-10-02,9.88
2007-10-03,10.08
2007-10-04,9.7
2007-10-05,9.85
2007-10-08,10.03
2007-10-09,9.93
2007-10-10,10.0
2007-10-11,9.89
2007-10-12,9.97
2007-10-15,9.86
2007-10-16,9.98
2007-10-17,9.93
2007-10-18,9.99
2007-10-19,9.76
2007-10-22,9.68
2007-10-23,9.85
2007-10-24,9.84
2007-10-25,9.8
2007-10-26,10.03
2007-10-29,10.1
2007-10-30,9.91
2007-10-31,10.05
2007-11-01,9.32
2007-11-02,9.51
2007-11-05,8.77
2007-11-06,8.99
2007-11-07,8.95
2007-11-08,8.44
2007-11-09,8.4
2007-11-12,8.32
2007-11-13,8.94
2007-11-14,8.98
2007-11-15,8.75
2007-11-16,9.18
2007-11-19,9.26
2007-11-20,9.29
2007-11-21,8.91
2007-11-23,8.75
2007-11-26,8.86
2007-11-27,8.9
2007-11-28,8.91
2007-11-29,8.7
2007-11-30,8.26
2007-12-03,8.43
2007-12-04,8.48
2007-12-05,8.56
2007-12-06,8.95
2007-12-07,8.85
2007-12-10,8.81
2007-12-11,8.47
2007-12-12,8.46
2007-12-13,8.51
2007-12-14,8.4
2007-12-17,8.28
2007-12-18,8.27
2007-12-19,8.33
2007-12-20,8.45
2007-12-21,8.52
2007-12-24,8.59
2007-12-26,8.6
2007-12-27,8.39
2007-12-28,8.13
2007-12-31,7.67
2008-01-02,8.43
2008-01-03,8.97
2008-01-04,8.68
2008-01-07,9.07
2008-01-08,9.06
2008-01-09,9.05
2008-01-10,9.05
2008-01-11,8.81
2008-01-14,8.6
2008-01-15,8.48
2008-01-16,8.8
2008-01-17,8.21
2008-01-18,8.25
2008-01-22,8.26
2008-01-23,8.26
2008-01-24,8.09
2008-01-25,8.26
2008-01-28,8.47
2008-01-29,8.33
2008-01-30,8.3
2008-01-31,9.52
2008-02-01,9.58
2008-02-04,9.03
2008-02-05,8.83
2008-02-06,8.95
2008-02-07,8.99
2008-02-08,8.83
2008-02-11,9.05
2008-02-12,9.02
2008-02-13,8.99
2008-02-14,9.03
2008-02-15,8.93
2008-02-19,8.95
2008-02-20,8.95
2008-02-21,8.98
2008-02-22,8.98
2008-02-25,8.94
2008-02-26,8.98
2008-02-27,8.98
2008-02-28,8.92
2008-02-29,8.98
2008-03-03,9.11
2008-03-04,9.27
2008-03-05,9.49
2008-03-06,9.46
2008-03-07,9.3
2008-03-10,8.84
2008-03-11,9.22
2008-03-12,8.88
2008-03-13,9.15
2008-03-14,8.95
2008-03-17,8.9
2008-03-18,8.78
2008-03-19,8.81
2008-03-20,8.86
2008-03-24,8.8
2008-03-25,8.89
2008-03-26,8.59
2008-03-27,8.49
