Date,SNA
1973-02-21,9.0
1973-02-22,8.916667
1973-02-23,8.416667
1973-02-26,8.375
1973-02-27,8.166667
1973-02-28,8.541667
1973-03-01,8.625
1973-03-02,8.875
1973-03-05,8.791667
1973-03-06,8.708333
1973-03-07,8.875
1973-03-08,8.916667
1973-03-09,8.875
1973-03-12,8.833333
1973-03-13,8.833333
1973-03-14,8.875
1973-03-15,8.916667
1973-03-16,9.0
1973-03-19,8.916667
1973-03-20,8.916667
1973-03-21,8.833333
1973-03-22,8.583333
1973-03-23,8.625
1973-03-26,8.541667
1973-03-27,8.625
1973-03-28,8.791667
1973-03-29,9.0
1973-03-30,9.0
1973-04-02,8.833333
1973-04-03,8.958333
1973-04-04,9.0
1973-04-05,8.916667
1973-04-06,9.083333
1973-04-09,9.125
1973-04-10,9.208333
1973-04-11,9.375
1973-04-12,9.333333
1973-04-13,9.666667
1973-04-16,9.875
1973-04-17,9.583333
1973-04-18,9.5
1973-04-19,9.583333
1973-04-23,9.458333
1973-04-24,8.916667
1973-04-25,8.75
1973-04-26,8.666667
1973-04-27,8.25
1973-04-30,8.416667
1973-05-01,8.708333
1973-05-02,8.916667
1973-05-03,9.083333
1973-05-04,9.041667
1973-05-07,8.833333
1973-05-08,8.833333
1973-05-09,9.0
1973-05-10,9.0
1973-05-11,8.875
1973-05-14,8.5
1973-05-15,8.75
1973-05-16,8.75
1973-05-17,8.708333
1973-05-18,8.708333
1973-05-21,8.708333
1973-05-22,8.666667
1973-05-23,8.625
1973-05-24,8.583333
1973-05-25,8.666667
1973-05-29,8.541667
1973-05-30,8.5
1973-05-31,8.5
1973-06-01,8.458333
1973-06-04,8.083333
1973-06-05,8.333333
1973-06-06,8.458333
1973-06-07,8.666667
1973-06-08,9.083333
1973-06-11,9.0
1973-06-12,9.083333
1973-06-13,8.958333
1973-06-14,8.958333
1973-06-15,8.833333
1973-06-18,8.625
1973-06-19,8.75
1973-06-20,8.916667
1973-06-21,9.041667
1973-06-22,9.25
1973-06-25,9.041667
1973-06-26,9.291667
1973-06-27,9.333333
1973-06-28,9.333333
1973-06-29,9.25
1973-07-02,9.0
1973-07-03,8.875
1973-07-05,8.958333
1973-07-06,8.833333
1973-07-09,8.916667
1973-07-10,9.125
1973-07-11,9.416667
1973-07-12,9.458333
1973-07-13,9.416667
1973-07-16,9.416667
1973-07-17,9.5
1973-07-18,9.708333
1973-07-19,9.791667
1973-07-20,9.833333
1973-07-23,9.708333
1973-07-24,9.708333
1973-07-25,9.625
1973-07-26,9.416667
1973-07-27,9.291667
1973-07-30,9.125
1973-07-31,9.041667
1973-08-01,8.958333
1973-08-02,9.0
1973-08-03,9.166667
1973-08-06,9.5
1973-08-07,9.583333
1973-08-08,9.541667
1973-08-09,9.708333
1973-08-10,9.666667
1973-08-13,9.458333
1973-08-14,9.416667
1973-08-15,9.208333
1973-08-16,9.291667
1973-08-17,9.416667
1973-08-20,9.416667
1973-08-21,9.333333
1973-08-22,9.333333
1973-08-23,9.333333
1973-08-24,9.333333
1973-08-27,9.75
1973-08-28,9.75
1973-08-29,9.708333
1973-08-30,9.666667
1973-08-31,9.791667
1973-09-04,9.75
1973-09-05,9.708333
1973-09-06,9.625
1973-09-07,9.666667
1973-09-10,9.666667
1973-09-11,9.583333
1973-09-12,9.5
1973-09-13,9.625
1973-09-14,9.666667
1973-09-17,9.625
1973-09-18,9.583333
1973-09-19,9.708333
1973-09-20,10.0
1973-09-21,10.583333
1973-09-24,10.541667
1973-09-25,10.333333
1973-09-26,10.458333
1973-09-27,10.416667
1973-09-28,10.375
1973-10-01,10.166667
1973-10-02,10.166667
1973-10-03,10.166667
1973-10-04,9.875
1973-10-05,10.0
1973-10-08,10.0
1973-10-09,10.0
1973-10-10,9.833333
1973-10-11,10.083333
1973-10-12,10.416667
1973-10-15,10.125
1973-10-16,10.208333
1973-10-17,10.166667
1973-10-18,10.083333
1973-10-19,10.166667
1973-10-22,10.125
1973-10-23,10.0
1973-10-24,9.958333
1973-10-25,10.0
1973-10-26,9.958333
1973-10-29,9.791667
1973-10-30,9.791667
1973-10-31,9.75
1973-11-01,9.75
1973-11-02,9.666667
1973-11-05,9.583333
1973-11-06,9.333333
1973-11-07,9.333333
1973-11-08,9.458333
1973-11-09,9.333333
1973-11-12,9.208333
1973-11-13,9.0
1973-11-14,8.875
1973-11-15,8.916667
1973-11-16,9.083333
1973-11-19,9.0
1973-11-20,8.958333
1973-11-21,9.166667
1973-11-23,9.125
1973-11-26,8.416667
1973-11-27,7.5833330000000005
1973-11-28,7.5
1973-11-29,7.3333330000000005
1973-11-30,7.0833330000000005
1973-12-03,6.2083330000000005
1973-12-04,6.5
1973-12-05,6.7083330000000005
1973-12-06,7.1666669999999995
1973-12-07,7.5
1973-12-10,7.9166669999999995
1973-12-11,7.625
1973-12-12,7.5
1973-12-13,7.4166669999999995
1973-12-14,7.9166669999999995
1973-12-17,7.9166669999999995
1973-12-18,8.0
1973-12-19,7.5833330000000005
1973-12-20,7.4166669999999995
1973-12-21,7.5
1973-12-24,7.375
1973-12-26,7.5
1973-12-27,7.5
1973-12-28,7.5416669999999995
1973-12-31,7.8333330000000005
1974-01-02,7.875
1974-01-03,7.7083330000000005
1974-01-04,7.5833330000000005
1974-01-07,7.2083330000000005
1974-01-08,6.8333330000000005
1974-01-09,6.8333330000000005
1974-01-10,6.5416669999999995
1974-01-11,6.6666669999999995
1974-01-14,6.625
1974-01-15,6.4166669999999995
1974-01-16,6.5
1974-01-17,6.8333330000000005
1974-01-18,6.9583330000000005
1974-01-21,7.0833330000000005
1974-01-22,7.25
1974-01-23,7.1666669999999995
1974-01-24,7.1666669999999995
1974-01-25,7.2916669999999995
1974-01-28,7.2083330000000005
1974-01-29,7.1666669999999995
1974-01-30,7.1666669999999995
1974-01-31,7.2083330000000005
1974-02-01,7.2083330000000005
1974-02-04,7.0
1974-02-05,7.0
1974-02-06,7.0
1974-02-07,7.0
1974-02-08,6.7916669999999995
1974-02-11,6.375
1974-02-12,6.4583330000000005
1974-02-13,6.375
1974-02-14,6.4166669999999995
1974-02-15,6.7083330000000005
1974-02-19,6.75
1974-02-20,6.875
1974-02-21,7.0
1974-02-22,6.7916669999999995
1974-02-25,6.4166669999999995
1974-02-26,6.4583330000000005
1974-02-27,6.625
1974-02-28,6.875
1974-03-01,6.6666669999999995
1974-03-04,6.5833330000000005
1974-03-05,6.875
1974-03-06,6.9166669999999995
1974-03-07,6.9166669999999995
1974-03-08,7.125
1974-03-11,7.3333330000000005
1974-03-12,7.2083330000000005
1974-03-13,7.125
1974-03-14,7.0
1974-03-15,7.0833330000000005
1974-03-18,6.9166669999999995
1974-03-19,6.6666669999999995
1974-03-20,6.6666669999999995
1974-03-21,6.5
1974-03-22,6.5416669999999995
1974-03-25,6.2916669999999995
1974-03-26,6.2083330000000005
1974-03-27,6.125
1974-03-28,6.0833330000000005
1974-03-29,6.0
1974-04-01,6.0416669999999995
1974-04-02,5.9583330000000005
1974-04-03,5.8333330000000005
1974-04-04,5.75
1974-04-05,5.7916669999999995
1974-04-08,5.7916669999999995
1974-04-09,5.9583330000000005
1974-04-10,6.0833330000000005
1974-04-11,6.1666669999999995
1974-04-15,6.25
1974-04-16,6.5
1974-04-17,6.5416669999999995
1974-04-18,6.625
1974-04-19,6.5
1974-04-22,6.5416669999999995
1974-04-23,6.3333330000000005
1974-04-24,6.0
1974-04-25,5.7916669999999995
1974-04-26,5.6666669999999995
1974-04-29,5.5833330000000005
1974-04-30,5.7916669999999995
1974-05-01,6.0416669999999995
1974-05-02,5.9583330000000005
1974-05-03,6.0416669999999995
1974-05-06,6.125
1974-05-07,6.25
1974-05-08,6.2916669999999995
1974-05-09,6.375
1974-05-10,6.5
1974-05-13,6.625
1974-05-14,6.375
1974-05-15,6.4583330000000005
1974-05-16,6.4583330000000005
1974-05-17,6.0
1974-05-20,5.8333330000000005
1974-05-21,5.7916669999999995
1974-05-22,5.75
1974-05-23,5.8333330000000005
1974-05-24,6.0416669999999995
1974-05-28,6.0416669999999995
1974-05-29,5.8333330000000005
1974-05-30,5.9166669999999995
1974-05-31,5.8333330000000005
1974-06-03,5.6666669999999995
1974-06-04,5.625
1974-06-05,5.6666669999999995
1974-06-06,5.9166669999999995
1974-06-07,5.8333330000000005
1974-06-10,6.0
1974-06-11,6.0
1974-06-12,5.875
1974-06-13,5.8333330000000005
1974-06-14,5.9583330000000005
1974-06-17,5.9166669999999995
1974-06-18,5.9166669999999995
1974-06-19,6.2083330000000005
1974-06-20,6.1666669999999995
1974-06-21,6.3333330000000005
1974-06-24,6.2916669999999995
1974-06-25,6.3333330000000005
1974-06-26,5.9583330000000005
1974-06-27,5.8333330000000005
1974-06-28,5.8333330000000005
1974-07-01,5.9583330000000005
1974-07-02,5.75
1974-07-03,5.7083330000000005
1974-07-05,5.7083330000000005
1974-07-08,5.4166669999999995
1974-07-09,5.5833330000000005
1974-07-10,5.5833330000000005
1974-07-11,5.6666669999999995
1974-07-12,5.625
1974-07-15,5.5833330000000005
1974-07-16,5.3333330000000005
1974-07-17,5.375
1974-07-18,4.9583330000000005
1974-07-19,5.0833330000000005
1974-07-22,4.9166669999999995
1974-07-23,5.25
1974-07-24,5.4166669999999995
1974-07-25,5.375
1974-07-26,5.375
1974-07-29,5.4166669999999995
1974-07-30,5.5
1974-07-31,5.4166669999999995
1974-08-01,5.5
1974-08-02,5.5
1974-08-05,5.375
1974-08-06,5.3333330000000005
1974-08-07,5.2083330000000005
1974-08-08,4.875
1974-08-09,5.0
1974-08-12,4.9583330000000005
1974-08-13,4.7916669999999995
1974-08-14,4.375
1974-08-15,4.1666669999999995
1974-08-16,4.2083330000000005
1974-08-19,4.0833330000000005
1974-08-20,4.125
1974-08-21,4.0833330000000005
1974-08-22,4.2083330000000005
1974-08-23,4.3333330000000005
1974-08-26,4.6666669999999995
1974-08-27,4.8333330000000005
1974-08-28,4.7916669999999995
1974-08-29,4.7083330000000005
1974-08-30,4.9583330000000005
1974-09-03,4.7916669999999995
1974-09-04,4.4583330000000005
1974-09-05,4.5833330000000005
1974-09-06,4.7083330000000005
1974-09-09,4.4583330000000005
1974-09-10,4.5416669999999995
1974-09-11,4.625
1974-09-12,4.625
1974-09-13,4.5833330000000005
1974-09-16,4.4583330000000005
1974-09-17,4.5416669999999995
1974-09-18,4.5
1974-09-19,4.4166669999999995
1974-09-20,4.3333330000000005
1974-09-23,4.3333330000000005
1974-09-24,4.2916669999999995
1974-09-25,4.375
1974-09-26,4.3333330000000005
1974-09-27,4.375
1974-09-30,4.125
1974-10-01,4.125
1974-10-02,4.125
1974-10-03,4.1666669999999995
1974-10-04,4.2083330000000005
1974-10-07,4.1666669999999995
1974-10-08,3.75
1974-10-09,3.958333
1974-10-10,4.0416669999999995
1974-10-11,4.125
1974-10-14,4.25
1974-10-15,4.3333330000000005
1974-10-16,4.3333330000000005
1974-10-17,4.7083330000000005
1974-10-18,4.875
1974-10-21,4.875
1974-10-22,5.1666669999999995
1974-10-23,5.0416669999999995
1974-10-24,5.0833330000000005
1974-10-25,5.0833330000000005
1974-10-28,4.5416669999999995
1974-10-29,3.666667
1974-10-30,4.0
1974-10-31,4.25
1974-11-01,4.0
1974-11-04,4.0
1974-11-05,4.3333330000000005
1974-11-06,4.4583330000000005
1974-11-07,4.5
1974-11-08,4.2916669999999995
1974-11-11,4.2083330000000005
1974-11-12,4.125
1974-11-13,4.2083330000000005
1974-11-14,4.2083330000000005
1974-11-15,4.2083330000000005
1974-11-18,4.0
1974-11-19,4.0
1974-11-20,4.0833330000000005
1974-11-21,4.1666669999999995
1974-11-22,4.125
1974-11-25,4.0833330000000005
1974-11-26,4.0416669999999995
1974-11-27,3.833333
1974-11-29,3.833333
1974-12-02,3.833333
1974-12-03,3.75
1974-12-04,3.75
1974-12-05,3.583333
1974-12-06,3.458333
1974-12-09,3.416667
1974-12-10,3.458333
1974-12-11,3.458333
1974-12-12,3.333333
1974-12-13,3.5
1974-12-16,3.625
1974-12-17,3.666667
1974-12-18,3.666667
1974-12-19,3.458333
1974-12-20,3.208333
1974-12-23,3.166667
1974-12-24,3.333333
1974-12-26,3.333333
1974-12-27,3.333333
1974-12-30,3.5
1974-12-31,3.5
1975-01-02,3.458333
1975-01-03,3.666667
1975-01-06,3.625
1975-01-07,3.625
1975-01-08,3.625
1975-01-09,3.625
1975-01-10,3.833333
1975-01-13,3.833333
1975-01-14,3.875
1975-01-15,4.25
1975-01-16,4.25
1975-01-17,4.1666669999999995
1975-01-20,4.125
1975-01-21,3.958333
1975-01-22,4.0
1975-01-23,4.0
1975-01-24,3.958333
1975-01-27,4.4166669999999995
1975-01-28,4.3333330000000005
1975-01-29,4.4583330000000005
1975-01-30,4.4166669999999995
1975-01-31,4.7916669999999995
1975-02-03,4.9166669999999995
1975-02-04,4.875
1975-02-05,5.0416669999999995
1975-02-06,5.125
1975-02-07,5.1666669999999995
1975-02-10,5.125
1975-02-11,5.0833330000000005
1975-02-12,5.2083330000000005
1975-02-13,5.2916669999999995
1975-02-14,5.625
1975-02-18,5.6666669999999995
1975-02-19,5.625
1975-02-20,5.4583330000000005
1975-02-21,5.375
1975-02-24,5.2916669999999995
1975-02-25,5.25
1975-02-26,5.2916669999999995
1975-02-27,5.4166669999999995
1975-02-28,5.375
1975-03-03,5.375
1975-03-04,5.25
1975-03-05,5.25
1975-03-06,5.2916669999999995
1975-03-07,5.2916669999999995
1975-03-10,5.5
1975-03-11,5.5
1975-03-12,5.5
1975-03-13,5.5833330000000005
1975-03-14,5.8333330000000005
1975-03-17,5.75
1975-03-18,5.75
1975-03-19,5.7916669999999995
1975-03-20,5.7916669999999995
1975-03-21,5.7916669999999995
1975-03-24,5.875
1975-03-25,6.2083330000000005
1975-03-26,6.25
1975-03-27,6.0833330000000005
1975-03-31,5.7083330000000005
1975-04-01,5.7083330000000005
