Date,SNI
2012-06-18,57.040001000000004
2012-06-19,56.720001
2012-06-20,56.82
2012-06-21,55.52
2012-06-22,56.16
2012-06-25,55.310001
2012-06-26,55.650002
2012-06-27,56.0
2012-06-28,56.09
2012-06-29,56.860001000000004
2012-07-02,57.529999
2012-07-03,57.16
2012-07-05,56.650002
2012-07-06,55.98
2012-07-09,55.07
2012-07-10,54.139998999999996
2012-07-11,53.349998
2012-07-12,52.880001
2012-07-13,54.959998999999996
2012-07-16,53.560001
2012-07-17,54.509997999999996
2012-07-18,54.299999
2012-07-19,54.299999
2012-07-20,53.84
2012-07-23,53.389998999999996
2012-07-24,52.91
2012-07-25,53.02
2012-07-26,53.59
2012-07-27,54.790001000000004
2012-07-30,54.98
2012-07-31,53.849998
2012-08-01,53.73
2012-08-02,56.169998
2012-08-03,57.459998999999996
2012-08-06,58.099998
2012-08-07,58.59
2012-08-08,58.779999
2012-08-09,59.43
2012-08-10,59.939999
2012-08-13,60.869999
2012-08-14,59.310001
2012-08-15,59.130001
2012-08-16,58.599998
2012-08-17,58.650002
2012-08-20,58.369999
2012-08-21,58.400002
2012-08-22,58.630001
2012-08-23,58.799999
2012-08-24,59.619999
2012-08-27,58.919998
2012-08-28,59.48
2012-08-29,59.240002000000004
2012-08-30,58.560001
2012-08-31,59.099998
2012-09-04,60.34
2012-09-05,60.119999
2012-09-06,60.66
2012-09-07,60.09
2012-09-10,60.009997999999996
2012-09-11,61.380001
2012-09-12,61.52
2012-09-13,61.560001
2012-09-14,62.330002
2012-09-17,62.040001000000004
2012-09-18,61.16
2012-09-19,61.66
2012-09-20,61.84
2012-09-21,61.619999
2012-09-24,61.490002000000004
2012-09-25,61.23
2012-09-26,60.189999
2012-09-27,61.25
2012-09-28,61.23
2012-10-01,62.540001000000004
2012-10-02,62.32
2012-10-03,62.810001
2012-10-04,63.360001000000004
2012-10-05,63.509997999999996
2012-10-08,63.299999
2012-10-09,63.27
2012-10-10,63.110001000000004
2012-10-11,63.099998
2012-10-12,62.52
2012-10-15,63.07
2012-10-16,63.0
2012-10-17,62.560001
2012-10-18,62.759997999999996
2012-10-19,63.189999
2012-10-22,63.720001
2012-10-23,62.349998
2012-10-24,62.630001
2012-10-25,62.200001
2012-10-26,61.150002
2012-10-31,60.720001
2012-11-01,62.52
2012-11-02,60.48
2012-11-05,60.450001
2012-11-06,60.07
2012-11-07,59.709998999999996
2012-11-08,59.84
2012-11-09,60.099998
2012-11-12,59.959998999999996
2012-11-13,59.959998999999996
2012-11-14,59.299999
2012-11-15,58.950001
2012-11-16,59.049999
2012-11-19,60.150002
2012-11-20,59.93
2012-11-21,59.59
2012-11-23,60.400002
2012-11-26,59.77
2012-11-27,59.66
2012-11-28,59.720001
2012-11-29,59.220001
2012-11-30,59.040001000000004
2012-12-03,59.040001000000004
2012-12-04,59.220001
2012-12-05,57.700001
2012-12-06,56.5
2012-12-07,56.830002
2012-12-10,57.779999
2012-12-11,58.990002000000004
2012-12-12,58.310001
2012-12-13,57.84
2012-12-14,58.040001000000004
2012-12-17,58.549999
2012-12-18,59.200001
2012-12-19,58.970001
2012-12-20,58.860001000000004
2012-12-21,57.740002000000004
2012-12-24,57.52
