Date,STRP
2013-07-24,5.9
2013-07-25,6.15
2013-07-26,6.15
2013-07-29,6.4
2013-07-30,6.4
2013-07-31,6.4
2013-08-01,5.67
2013-08-02,5.51
2013-08-05,5.0
2013-08-06,4.85
2013-08-07,5.2
2013-08-08,5.11
2013-08-09,4.63
2013-08-12,5.12
2013-08-13,5.04
2013-08-14,5.07
2013-08-15,5.0
2013-08-16,4.98
2013-08-19,5.11
2013-08-20,5.27
2013-08-21,5.27
2013-08-22,5.31
2013-08-23,5.34
2013-08-26,5.31
2013-08-27,5.13
2013-08-28,5.16
2013-08-29,5.23
2013-08-30,5.14
2013-09-03,5.11
2013-09-04,5.11
2013-09-05,5.09
2013-09-06,5.1
2013-09-09,5.17
2013-09-10,5.11
2013-09-11,5.11
2013-09-12,5.16
2013-09-13,5.15
2013-09-16,5.38
2013-09-17,5.38
2013-09-18,5.38
2013-09-19,5.39
2013-09-20,5.35
2013-09-23,5.31
2013-09-24,5.29
2013-09-25,5.28
2013-09-26,5.27
2013-09-27,5.26
2013-09-30,5.26
2013-10-01,5.58
2013-10-02,5.96
2013-10-03,5.95
2013-10-04,6.1
2013-10-07,6.1
2013-10-08,5.82
2013-10-09,5.68
2013-10-10,5.57
2013-10-11,5.75
2013-10-14,5.68
2013-10-15,5.91
2013-10-16,6.06
2013-10-17,6.18
2013-10-18,6.15
2013-10-21,6.2
2013-10-22,6.09
2013-10-23,6.0
2013-10-24,6.0
2013-10-25,5.96
2013-10-28,5.82
2013-10-29,5.8
2013-10-30,5.67
2013-10-31,5.46
2013-11-01,5.49
2013-11-04,5.59
2013-11-05,5.52
2013-11-06,5.8
2013-11-07,5.67
2013-11-08,5.67
2013-11-11,5.68
2013-11-12,5.45
2013-11-13,5.5
2013-11-14,5.58
2013-11-15,5.7
2013-11-18,5.87
2013-11-19,5.85
2013-11-20,5.91
2013-11-21,6.16
2013-11-22,6.43
2013-11-25,6.47
2013-11-26,6.46
2013-11-27,6.99
2013-11-29,7.9
2013-12-02,7.87
2013-12-03,8.13
2013-12-04,8.55
2013-12-05,8.5
2013-12-06,8.5
2013-12-09,7.71
2013-12-10,7.9
2013-12-11,7.49
2013-12-12,7.26
