Date,STZ
1992-03-17,1.541667
1992-03-18,1.604167
1992-03-19,1.635417
1992-03-20,1.65625
1992-03-23,1.666667
1992-03-24,1.708333
1992-03-25,1.71875
1992-03-26,1.708333
1992-03-27,1.697917
1992-03-30,1.6875
1992-03-31,1.6875
1992-04-01,1.6875
1992-04-02,1.677083
1992-04-03,1.666667
1992-04-06,1.666667
1992-04-07,1.666667
1992-04-08,1.614583
1992-04-09,1.677083
1992-04-10,1.6875
1992-04-13,1.854167
1992-04-14,1.895833
1992-04-15,1.875
1992-04-16,1.822917
1992-04-20,1.729167
1992-04-21,1.78125
1992-04-22,1.791667
1992-04-23,1.802083
1992-04-24,1.84375
1992-04-27,1.822917
1992-04-28,1.822917
1992-04-29,1.833333
1992-04-30,1.895833
1992-05-01,1.947917
1992-05-04,1.947917
1992-05-05,1.947917
1992-05-06,2.020833
1992-05-07,2.020833
1992-05-08,2.020833
1992-05-11,2.0
1992-05-12,2.010417
1992-05-13,1.979167
1992-05-14,2.020833
1992-05-15,2.010417
1992-05-18,2.010417
1992-05-19,2.0
1992-05-20,2.010417
1992-05-21,2.010417
1992-05-22,2.010417
1992-05-26,1.989583
1992-05-27,1.979167
1992-05-28,1.895833
1992-05-29,1.9375
1992-06-01,1.9375
1992-06-02,1.9375
1992-06-03,1.979167
1992-06-04,2.0
1992-06-05,2.0
1992-06-08,2.020833
1992-06-09,1.979167
1992-06-10,2.0
1992-06-11,2.010417
1992-06-12,2.0
1992-06-15,1.979167
1992-06-16,1.979167
1992-06-17,1.9375
1992-06-18,1.833333
1992-06-19,1.854167
1992-06-22,1.833333
1992-06-23,1.8125
1992-06-24,1.75
1992-06-25,1.729167
1992-06-26,1.729167
1992-06-29,1.833333
1992-06-30,1.833333
1992-07-01,1.791667
1992-07-02,1.78125
1992-07-06,1.729167
1992-07-07,1.708333
1992-07-08,1.729167
1992-07-09,1.71875
1992-07-10,1.708333
1992-07-13,1.708333
1992-07-14,1.697917
1992-07-15,1.697917
1992-07-16,1.708333
1992-07-17,1.6875
1992-07-20,1.729167
1992-07-21,1.828125
1992-07-22,1.796875
1992-07-23,1.8125
1992-07-24,1.78125
1992-07-27,1.78125
1992-07-28,1.78125
1992-07-29,1.8125
1992-07-30,1.78125
1992-07-31,1.8125
1992-08-03,1.8125
1992-08-04,1.8125
1992-08-05,1.875
1992-08-06,1.84375
1992-08-07,1.828125
1992-08-10,1.8125
1992-08-11,1.71875
1992-08-12,1.71875
1992-08-13,1.71875
1992-08-14,1.75
1992-08-17,1.6875
1992-08-18,1.71875
1992-08-19,1.71875
1992-08-20,1.71875
1992-08-21,1.6875
1992-08-24,1.6875
1992-08-25,1.71875
1992-08-26,1.65625
1992-08-27,1.65625
1992-08-28,1.6875
1992-08-31,1.6875
1992-09-01,1.65625
1992-09-02,1.625
1992-09-03,1.625
1992-09-04,1.625
1992-09-08,1.625
1992-09-09,1.625
1992-09-10,1.71875
1992-09-11,1.671875
1992-09-14,1.71875
1992-09-15,1.71875
1992-09-16,1.65625
1992-09-17,1.65625
1992-09-18,1.609375
