Date,TECD
1986-04-23,1.875
1986-04-24,2.041667
1986-04-25,1.958333
1986-04-28,1.875
1986-04-29,1.833333
1986-04-30,1.833333
1986-05-01,1.833333
1986-05-02,1.833333
1986-05-05,1.833333
1986-05-06,1.833333
1986-05-07,1.916667
1986-05-08,1.916667
1986-05-09,1.875
1986-05-12,1.791667
1986-05-13,1.75
1986-05-14,1.708333
1986-05-15,1.708333
1986-05-16,1.6875
1986-05-19,1.729167
1986-05-20,1.75
1986-05-21,1.729167
1986-05-22,1.75
1986-05-23,1.729167
1986-05-27,1.729167
1986-05-28,1.729167
1986-05-29,1.729167
1986-05-30,1.729167
1986-06-02,1.666667
1986-06-03,1.666667
1986-06-04,1.6875
1986-06-05,1.6875
1986-06-06,1.666667
1986-06-09,1.541667
1986-06-10,1.458333
1986-06-11,1.416667
1986-06-12,1.583333
1986-06-13,1.645833
1986-06-16,1.604167
1986-06-17,1.604167
1986-06-18,1.583333
1986-06-19,1.5
1986-06-20,1.5
1986-06-23,1.5
1986-06-24,1.479167
1986-06-25,1.395833
1986-06-26,1.4375
1986-06-27,1.4375
1986-06-30,1.4375
1986-07-01,1.4375
1986-07-02,1.416667
1986-07-03,1.4375
1986-07-07,1.479167
1986-07-08,1.4375
1986-07-09,1.416667
1986-07-10,1.416667
1986-07-11,1.416667
1986-07-14,1.395833
1986-07-15,1.354167
1986-07-16,1.375
1986-07-17,1.354167
1986-07-18,1.333333
1986-07-21,1.395833
1986-07-22,1.395833
1986-07-23,1.354167
1986-07-24,1.375
1986-07-25,1.333333
1986-07-28,1.3125
1986-07-29,1.354167
1986-07-30,1.3125
1986-07-31,1.3125
1986-08-01,1.354167
1986-08-04,1.354167
1986-08-05,1.354167
1986-08-06,1.375
1986-08-07,1.416667
1986-08-08,1.416667
1986-08-11,1.354167
1986-08-12,1.395833
1986-08-13,1.395833
1986-08-14,1.395833
1986-08-15,1.416667
1986-08-18,1.375
1986-08-19,1.375
1986-08-20,1.375
1986-08-21,1.395833
1986-08-22,1.395833
1986-08-25,1.375
1986-08-26,1.375
1986-08-27,1.4375
1986-08-28,1.395833
1986-08-29,1.4375
1986-09-02,1.416667
1986-09-03,1.395833
1986-09-04,1.395833
1986-09-05,1.395833
1986-09-08,1.395833
1986-09-09,1.395833
1986-09-10,1.395833
1986-09-11,1.395833
1986-09-12,1.4375
1986-09-15,1.375
1986-09-16,1.25
1986-09-17,1.208333
1986-09-18,1.229167
1986-09-19,1.291667
1986-09-22,1.333333
1986-09-23,1.354167
1986-09-24,1.416667
1986-09-25,1.354167
1986-09-26,1.333333
1986-09-29,1.333333
1986-09-30,1.395833
1986-10-01,1.395833
1986-10-02,1.395833
1986-10-03,1.333333
1986-10-06,1.395833
1986-10-07,1.395833
1986-10-08,1.333333
1986-10-09,1.333333
1986-10-10,1.333333
1986-10-13,1.333333
1986-10-14,1.333333
1986-10-15,1.375
1986-10-16,1.354167
1986-10-17,1.354167
1986-10-20,1.375
1986-10-21,1.333333
1986-10-22,1.333333
1986-10-23,1.333333
1986-10-24,1.333333
1986-10-27,1.354167
1986-10-28,1.416667
1986-10-29,1.354167
1986-10-30,1.354167
1986-10-31,1.416667
1986-11-03,1.395833
1986-11-04,1.4375
1986-11-05,1.4375
1986-11-06,1.458333
1986-11-07,1.583333
1986-11-10,1.5625
1986-11-11,1.604167
1986-11-12,1.583333
1986-11-13,1.625
1986-11-14,1.708333
1986-11-17,1.708333
1986-11-18,1.666667
1986-11-19,1.729167
1986-11-20,1.6875
1986-11-21,1.6875
1986-11-24,1.75
1986-11-25,1.708333
1986-11-26,1.666667
1986-11-28,1.666667
1986-12-01,1.645833
1986-12-02,1.666667
1986-12-03,1.6875
1986-12-04,1.6875
1986-12-05,1.666667
1986-12-08,1.6875
1986-12-09,1.770833
1986-12-10,1.75
1986-12-11,1.729167
1986-12-12,1.729167
1986-12-15,1.708333
1986-12-16,1.6875
1986-12-17,1.708333
1986-12-18,1.666667
1986-12-19,1.666667
1986-12-22,1.666667
1986-12-23,1.645833
1986-12-24,1.625
1986-12-26,1.625
1986-12-29,1.645833
1986-12-30,1.6875
1986-12-31,1.666667
1987-01-02,1.666667
1987-01-05,1.645833
1987-01-06,1.6875
1987-01-07,1.75
1987-01-08,1.833333
1987-01-09,2.041667
1987-01-12,2.1875
1987-01-13,2.145833
1987-01-14,2.25
1987-01-15,2.354167
1987-01-16,2.4375
1987-01-19,2.520833
1987-01-20,2.4375
1987-01-21,2.416667
1987-01-22,2.395833
1987-01-23,2.458333
1987-01-26,2.416667
1987-01-27,2.520833
1987-01-28,2.5
1987-01-29,2.458333
1987-01-30,2.479167
1987-02-02,2.625
1987-02-03,2.791667
1987-02-04,2.916667
1987-02-05,3.125
1987-02-06,3.0
1987-02-09,3.125
1987-02-10,3.125
1987-02-11,3.208333
1987-02-12,3.041667
1987-02-13,3.208333
1987-02-17,3.291667
1987-02-18,3.333333
1987-02-19,3.333333
1987-02-20,3.333333
1987-02-23,3.416667
1987-02-24,3.458333
1987-02-25,3.458333
1987-02-26,3.375
1987-02-27,3.333333
1987-03-02,3.416667
1987-03-03,3.5
1987-03-04,3.583333
1987-03-05,3.541667
1987-03-06,3.625
1987-03-09,3.583333
1987-03-10,3.583333
1987-03-11,3.541667
1987-03-12,3.416667
1987-03-13,3.375
1987-03-16,3.5
1987-03-17,3.458333
1987-03-18,3.5
1987-03-19,3.416667
1987-03-20,3.5
1987-03-23,3.416667
1987-03-24,3.416667
1987-03-25,3.458333
1987-03-26,3.458333
1987-03-27,3.5
1987-03-30,3.291667
1987-03-31,3.25
1987-04-01,3.166667
1987-04-02,3.166667
1987-04-03,3.25
1987-04-06,3.25
1987-04-07,3.208333
1987-04-08,3.375
1987-04-09,3.5
1987-04-10,3.583333
1987-04-13,3.666667
1987-04-14,3.458333
1987-04-15,3.541667
1987-04-16,3.666667
1987-04-20,3.708333
1987-04-21,3.708333
1987-04-22,3.625
1987-04-23,3.666667
1987-04-24,3.583333
1987-04-27,3.541667
1987-04-28,3.666667
1987-04-29,3.833333
1987-04-30,4.1666669999999995
1987-05-01,4.0
1987-05-04,4.0
1987-05-05,4.0
1987-05-06,4.0
1987-05-07,4.0
1987-05-08,3.9375
1987-05-11,4.0
1987-05-12,3.875
1987-05-13,3.75
1987-05-14,3.8125
1987-05-15,4.1875
1987-05-18,4.3125
1987-05-19,4.25
1987-05-20,4.125
1987-05-21,4.1875
1987-05-22,4.1875
1987-05-26,4.125
1987-05-27,4.0625
1987-05-28,4.0
1987-05-29,4.0
1987-06-01,4.0
1987-06-02,3.875
1987-06-03,3.9375
1987-06-04,3.875
1987-06-05,3.875
1987-06-08,3.625
1987-06-09,3.5
1987-06-10,3.5
1987-06-11,3.4375
1987-06-12,3.3125
1987-06-15,3.375
1987-06-16,3.4375
1987-06-17,3.375
1987-06-18,3.34375
1987-06-19,3.40625
1987-06-22,3.3125
1987-06-23,3.0625
1987-06-24,2.9375
1987-06-25,2.84375
1987-06-26,2.84375
1987-06-29,2.875
1987-06-30,2.78125
1987-07-01,2.8125
1987-07-02,2.75
1987-07-06,2.75
1987-07-07,2.6875
1987-07-08,2.75
1987-07-09,2.75
1987-07-10,2.625
1987-07-13,2.625
1987-07-14,2.75
1987-07-15,2.75
1987-07-16,3.09375
1987-07-17,3.15625
1987-07-20,3.09375
1987-07-21,3.125
1987-07-22,3.0
1987-07-23,2.875
1987-07-24,3.0
1987-07-27,3.0
1987-07-28,2.875
1987-07-29,2.875
1987-07-30,3.125
1987-07-31,3.3125
1987-08-03,3.125
1987-08-04,3.1875
1987-08-05,3.3125
1987-08-06,3.3125
1987-08-07,3.3125
1987-08-10,3.4375
1987-08-11,3.5
1987-08-12,3.5
1987-08-13,3.5
1987-08-14,3.5
1987-08-17,3.375
1987-08-18,3.4375
1987-08-19,3.25
1987-08-20,3.375
1987-08-21,3.25
1987-08-24,3.25
1987-08-25,3.375
1987-08-26,3.375
1987-08-27,3.375
1987-08-28,3.375
1987-08-31,3.375
1987-09-01,3.4375
1987-09-02,3.4375
1987-09-03,3.375
1987-09-04,3.4375
1987-09-08,3.375
1987-09-09,3.25
1987-09-10,3.375
1987-09-11,3.4375
1987-09-14,3.5
1987-09-15,3.5
1987-09-16,3.5
1987-09-17,3.5
1987-09-18,3.4375
1987-09-21,3.4375
1987-09-22,3.5
1987-09-23,3.5
1987-09-24,3.4375
1987-09-25,3.3125
1987-09-28,3.375
1987-09-29,3.375
1987-09-30,3.375
1987-10-01,3.5
1987-10-02,3.375
1987-10-05,3.5625
1987-10-06,3.6875
1987-10-07,4.0
1987-10-08,3.9375
1987-10-09,3.8125
1987-10-12,3.8125
1987-10-13,3.9375
1987-10-14,3.6875
1987-10-15,3.4375
1987-10-16,3.25
1987-10-19,2.5
1987-10-20,2.375
