Date,TPX
2003-12-18,15.5
2003-12-19,15.25
2003-12-22,15.36
2003-12-23,15.24
2003-12-24,14.9
2003-12-26,14.74
2003-12-29,14.75
2003-12-30,15.09
2003-12-31,15.5
2004-01-02,15.75
2004-01-05,16.15
2004-01-06,16.540001
2004-01-07,16.620001000000002
2004-01-08,16.75
2004-01-09,16.879998999999998
2004-01-12,17.4
2004-01-13,17.76
2004-01-14,17.629998999999998
2004-01-15,17.9
2004-01-16,17.35
2004-01-20,16.200001
2004-01-21,16.0
2004-01-22,16.379998999999998
2004-01-23,17.07
2004-01-26,17.32
2004-01-27,17.25
2004-01-28,17.0
2004-01-29,16.34
2004-01-30,16.200001
2004-02-02,17.09
2004-02-03,17.0
2004-02-04,17.35
2004-02-05,16.83
2004-02-06,17.07
2004-02-09,17.17
2004-02-10,17.0
2004-02-11,17.0
2004-02-12,17.1
2004-02-13,16.6
2004-02-17,16.5
2004-02-18,16.440001000000002
2004-02-19,16.25
2004-02-20,16.25
2004-02-23,16.450001
2004-02-24,16.139999
2004-02-25,15.86
2004-02-26,16.299999
2004-02-27,16.6
2004-03-01,16.59
2004-03-02,16.639999
2004-03-03,16.790001
2004-03-04,16.709999
2004-03-05,16.66
2004-03-08,16.6
2004-03-09,16.42
2004-03-10,16.389999
2004-03-11,15.3
2004-03-12,15.35
2004-03-15,15.48
2004-03-16,15.4
2004-03-17,15.58
2004-03-18,15.7
2004-03-19,15.55
2004-03-22,15.8
2004-03-23,15.93
2004-03-24,16.200001
2004-03-25,16.1
2004-03-26,15.99
2004-03-29,15.95
2004-03-30,15.91
2004-03-31,15.64
2004-04-01,15.41
2004-04-02,15.25
2004-04-05,15.18
2004-04-06,15.15
2004-04-07,15.12
2004-04-08,15.05
2004-04-12,15.22
2004-04-13,15.2
2004-04-14,14.75
2004-04-15,14.78
2004-04-16,14.54
2004-04-19,14.76
2004-04-20,16.0
2004-04-21,16.1
2004-04-22,16.950001
2004-04-23,16.040001
2004-04-26,15.74
2004-04-27,15.17
2004-04-28,15.0
2004-04-29,15.5
2004-04-30,15.61
2004-05-03,16.309998999999998
2004-05-04,16.139999
2004-05-05,16.799999
