Date,VICI
2018-01-02,20.1
2018-01-03,20.16
2018-01-04,20.200001
2018-01-05,20.200001
2018-01-08,20.200001
2018-01-09,20.209999
2018-01-10,20.0
2018-01-11,20.0
2018-01-12,19.99
2018-01-16,21.5
2018-01-17,21.280001000000002
2018-01-18,21.0
2018-01-19,20.75
2018-01-22,22.99
2018-01-23,21.0
2018-01-24,21.0
2018-01-25,20.93
2018-01-26,21.1
2018-01-29,21.1
2018-01-30,21.049999
2018-01-31,22.0
2018-02-01,20.889999
2018-02-02,21.01
2018-02-05,20.610001
2018-02-06,20.5
2018-02-07,20.76
2018-02-08,20.0
2018-02-09,19.91
2018-02-12,19.58
2018-02-13,19.700001
2018-02-14,19.65
2018-02-15,19.85
2018-02-16,19.99
2018-02-20,20.0
2018-02-21,19.67
2018-02-22,19.84
2018-02-23,19.82
2018-02-26,19.700001
2018-02-27,19.459999
2018-02-28,19.549999
2018-03-01,19.49
2018-03-02,19.4
2018-03-05,19.469998999999998
2018-03-06,19.610001
2018-03-07,19.610001
2018-03-08,19.290001
2018-03-09,19.6
2018-03-12,19.389999
2018-03-13,19.6
2018-03-14,19.629998999999998
2018-03-15,19.42
2018-03-16,19.42
2018-03-19,19.23
2018-03-20,19.030001000000002
2018-03-21,18.969998999999998
2018-03-22,18.799999
2018-03-23,18.469998999999998
2018-03-26,18.66
2018-03-27,18.48
2018-03-28,18.27
2018-03-29,18.32
2018-04-02,18.290001
2018-04-03,18.27
2018-04-04,18.129998999999998
2018-04-05,18.18
2018-04-06,18.280001000000002
2018-04-09,18.139999
2018-04-10,18.16
2018-04-11,18.17
2018-04-12,18.17
2018-04-13,18.200001
2018-04-16,18.23
2018-04-17,18.27
2018-04-18,18.379998999999998
2018-04-19,18.23
2018-04-20,18.18
2018-04-23,18.09
2018-04-24,18.040001
2018-04-25,18.040001
2018-04-26,18.01
2018-04-27,18.049999
2018-04-30,18.18
2018-05-01,18.209999
2018-05-02,17.870001000000002
2018-05-03,17.85
2018-05-04,18.02
2018-05-07,18.16
2018-05-08,18.41
2018-05-09,18.889999
2018-05-10,19.120001000000002
2018-05-11,19.0
2018-05-14,19.299999
2018-05-15,19.35
2018-05-16,19.65
2018-05-17,19.700001
2018-05-18,19.559998999999998
2018-05-21,19.76
2018-05-22,19.75
2018-05-23,19.9
2018-05-24,19.85
2018-05-25,19.860001
2018-05-29,19.940001000000002
2018-05-30,19.950001
2018-05-31,19.370001000000002
2018-06-01,19.879998999999998
2018-06-04,20.370001000000002
2018-06-05,20.110001
2018-06-06,19.98
2018-06-07,20.01
2018-06-08,20.440001000000002
2018-06-11,20.530001000000002
2018-06-12,20.6
2018-06-13,20.6
2018-06-14,20.530001000000002
2018-06-15,20.52
2018-06-18,20.6
2018-06-19,20.65
2018-06-20,20.940001000000002
2018-06-21,20.969998999999998
2018-06-22,20.98
2018-06-25,20.84
2018-06-26,20.790001
2018-06-27,20.48
2018-06-28,20.469998999999998
2018-06-29,20.639999
2018-07-02,20.700001
2018-07-03,20.860001
2018-07-05,20.99
2018-07-06,21.1
2018-07-09,21.110001
2018-07-10,21.139999
2018-07-11,20.959999
2018-07-12,20.940001000000002
2018-07-13,21.17
2018-07-16,21.17
2018-07-17,20.950001
2018-07-18,20.74
2018-07-19,20.77
2018-07-20,20.73
2018-07-23,20.6
2018-07-24,20.48
2018-07-25,20.559998999999998
2018-07-26,20.5
2018-07-27,20.32
2018-07-30,20.41
2018-07-31,20.35
2018-08-01,20.0
2018-08-02,19.65
2018-08-03,19.540001
2018-08-06,19.75
2018-08-07,19.860001
2018-08-08,20.27
2018-08-09,20.120001000000002
2018-08-10,20.15
2018-08-13,20.08
2018-08-14,20.1
2018-08-15,20.41
2018-08-16,20.67
2018-08-17,20.67
2018-08-20,20.459999
2018-08-21,20.67
2018-08-22,20.530001000000002
2018-08-23,20.690001000000002
2018-08-24,20.700001
2018-08-27,20.809998999999998
2018-08-28,20.93
2018-08-29,20.9
2018-08-30,20.639999
2018-08-31,20.91
2018-09-04,20.93
2018-09-05,20.9
2018-09-06,20.809998999999998
2018-09-07,20.84
2018-09-10,21.01
2018-09-11,20.969998999999998
2018-09-12,20.969998999999998
2018-09-13,21.110001
2018-09-14,21.27
2018-09-17,21.52
2018-09-18,21.6
2018-09-19,21.49
2018-09-20,21.42
2018-09-21,21.43
2018-09-24,21.27
2018-09-25,21.299999
2018-09-26,21.09
2018-09-27,21.15
2018-09-28,21.620001000000002
2018-10-01,21.24
2018-10-02,21.52
2018-10-03,21.299999
2018-10-04,21.190001000000002
2018-10-05,20.969998999999998
2018-10-08,21.370001000000002
2018-10-09,21.5
2018-10-10,21.209999
2018-10-11,20.629998999999998
2018-10-12,20.639999
2018-10-15,20.879998999999998
2018-10-16,21.09
2018-10-17,21.450001
2018-10-18,21.5
2018-10-19,21.639999
2018-10-22,21.26
2018-10-23,21.35
2018-10-24,21.52
2018-10-25,21.98
2018-10-26,21.799999
2018-10-29,21.549999
2018-10-30,21.51
2018-10-31,21.59
2018-11-01,21.82
2018-11-02,21.43
2018-11-05,21.52
2018-11-06,21.799999
2018-11-07,22.129998999999998
2018-11-08,21.75
2018-11-09,21.700001
2018-11-12,21.51
2018-11-13,21.469998999999998
2018-11-14,21.440001000000002
2018-11-15,21.129998999999998
2018-11-16,21.299999
2018-11-19,21.42
2018-11-20,21.23
2018-11-21,21.42
2018-11-23,21.65
2018-11-26,21.879998999999998
2018-11-27,22.08
2018-11-28,22.040001
2018-11-29,22.07
2018-11-30,21.77
