Date,WCC
1999-05-12,20.0
1999-05-13,21.0625
1999-05-14,20.125
1999-05-17,20.0
1999-05-18,19.625
1999-05-19,19.5625
1999-05-20,19.875
1999-05-21,20.0
1999-05-24,20.25
1999-05-25,20.0
1999-05-26,19.375
1999-05-27,18.9375
1999-05-28,19.8125
1999-06-01,19.5
1999-06-02,19.3125
1999-06-03,19.375
1999-06-04,19.3125
1999-06-07,19.5
1999-06-08,19.953125
1999-06-09,19.9375
1999-06-10,19.625
1999-06-11,19.625
1999-06-14,18.375
1999-06-15,17.875
1999-06-16,17.75
1999-06-17,18.0
1999-06-18,17.625
1999-06-21,17.6875
1999-06-22,18.125
1999-06-23,18.0625
1999-06-24,17.625
1999-06-25,17.75
1999-06-28,18.0
1999-06-29,18.125
1999-06-30,20.5
1999-07-01,19.5625
1999-07-02,20.0
1999-07-06,22.1875
1999-07-07,21.6875
1999-07-08,21.9375
1999-07-09,22.875
1999-07-12,22.625
1999-07-13,22.5
1999-07-14,21.625
1999-07-15,20.875
1999-07-16,21.125
1999-07-19,20.875
1999-07-20,20.125
1999-07-21,18.25
1999-07-22,18.375
1999-07-23,18.3125
1999-07-26,18.0625
1999-07-27,18.0625
1999-07-28,18.0
1999-07-29,17.8125
1999-07-30,18.0
1999-08-02,17.9375
1999-08-03,17.75
1999-08-04,16.875
1999-08-05,16.875
1999-08-06,17.25
1999-08-09,16.875
1999-08-10,16.875
1999-08-11,17.5
1999-08-12,17.25
1999-08-13,17.375
1999-08-16,17.375
1999-08-17,17.125
1999-08-18,17.0
1999-08-19,16.8125
1999-08-20,16.875
1999-08-23,15.875
1999-08-24,15.5
1999-08-25,15.375
1999-08-26,15.25
1999-08-27,15.25
1999-08-30,15.0
1999-08-31,12.625
1999-09-01,14.3125
1999-09-02,14.5
1999-09-03,14.75
1999-09-07,15.8125
1999-09-08,15.8125
1999-09-09,16.5
1999-09-10,17.25
1999-09-13,16.875
1999-09-14,15.875
1999-09-15,16.5625
1999-09-16,16.625
1999-09-17,16.75
1999-09-20,16.8125
1999-09-21,16.9375
1999-09-22,16.75
1999-09-23,15.8125
1999-09-24,15.0
1999-09-27,14.5625
1999-09-28,13.875
1999-09-29,14.0
1999-09-30,14.125
1999-10-01,14.0
1999-10-04,13.75
1999-10-05,14.3125
1999-10-06,14.4375
1999-10-07,14.25
1999-10-08,14.25
1999-10-11,14.0
1999-10-12,13.875
1999-10-13,14.0
1999-10-14,13.5625
1999-10-15,13.6875
1999-10-18,13.75
1999-10-19,13.25
1999-10-20,12.0
1999-10-21,11.25
1999-10-22,11.375
1999-10-25,11.0
1999-10-26,7.0
1999-10-27,6.625
1999-10-28,7.0
1999-10-29,7.875
1999-11-01,8.125
1999-11-02,7.9375
1999-11-03,7.9375
1999-11-04,7.6875
1999-11-05,7.875
1999-11-08,7.5625
1999-11-09,6.9375
1999-11-10,7.375
1999-11-11,7.1875
1999-11-12,7.5
1999-11-15,7.6875
1999-11-16,7.8125
1999-11-17,8.0
1999-11-18,7.4375
1999-11-19,7.4375
1999-11-22,7.25
1999-11-23,6.9375
1999-11-24,6.9375
1999-11-26,6.5625
1999-11-29,6.5625
1999-11-30,6.375
1999-12-01,6.625
1999-12-02,6.375
1999-12-03,7.3125
1999-12-06,7.5
1999-12-07,7.5
1999-12-08,7.1875
1999-12-09,6.875
1999-12-10,6.6875
1999-12-13,6.625
1999-12-14,6.5625
1999-12-15,6.625
1999-12-16,7.1875
1999-12-17,7.0
1999-12-20,7.1875
1999-12-21,7.25
1999-12-22,7.3125
1999-12-23,7.4375
1999-12-27,7.5625
1999-12-28,7.8125
1999-12-29,8.1875
1999-12-30,8.25
1999-12-31,8.875
2000-01-03,8.75
2000-01-04,8.5
2000-01-05,8.5
2000-01-06,8.5
2000-01-07,8.25
2000-01-10,8.5
2000-01-11,8.25
2000-01-12,8.3125
2000-01-13,8.375
2000-01-14,8.4375
2000-01-18,8.5625
2000-01-19,8.6875
2000-01-20,8.9375
2000-01-21,8.875
2000-01-24,8.6875
2000-01-25,8.5625
2000-01-26,8.625
2000-01-27,8.6875
2000-01-28,8.6875
2000-01-31,8.375
2000-02-01,8.3125
2000-02-02,8.1875
2000-02-03,8.1875
2000-02-04,8.0
2000-02-07,7.875
2000-02-08,7.9375
2000-02-09,8.0625
2000-02-10,8.0
2000-02-11,7.9375
2000-02-14,7.75
2000-02-15,7.375
2000-02-16,7.5625
2000-02-17,7.5
2000-02-18,7.625
2000-02-22,7.875
2000-02-23,8.0625
2000-02-24,8.375
2000-02-25,8.0625
2000-02-28,7.875
2000-02-29,8.3125
2000-03-01,8.75
2000-03-02,8.375
2000-03-03,8.4375
2000-03-06,8.25
2000-03-07,8.1875
2000-03-08,8.1875
2000-03-09,8.25
2000-03-10,8.0
2000-03-13,7.9375
2000-03-14,7.9375
2000-03-15,7.875
2000-03-16,8.125
2000-03-17,7.875
2000-03-20,8.0
2000-03-21,7.875
2000-03-22,7.9375
2000-03-23,7.8125
2000-03-24,7.875
2000-03-27,7.9375
2000-03-28,7.75
2000-03-29,7.5
2000-03-30,7.5
2000-03-31,7.75
2000-04-03,8.0
2000-04-04,8.0625
2000-04-05,8.0625
2000-04-06,8.125
2000-04-07,8.0
2000-04-10,7.875
2000-04-11,8.0
2000-04-12,8.0
2000-04-13,8.1875
2000-04-14,8.1875
2000-04-17,8.0
2000-04-18,8.125
2000-04-19,7.9375
2000-04-20,8.0
2000-04-24,8.125
2000-04-25,8.125
2000-04-26,8.1875
2000-04-27,8.25
2000-04-28,9.25
2000-05-01,10.1875
2000-05-02,9.875
2000-05-03,10.0
2000-05-04,10.25
2000-05-05,10.375
2000-05-08,10.0
2000-05-09,10.1875
2000-05-10,9.75
2000-05-11,9.875
2000-05-12,9.8125
2000-05-15,10.1875
2000-05-16,9.875
2000-05-17,9.9375
2000-05-18,9.875
2000-05-19,9.625
2000-05-22,9.9375
2000-05-23,9.75
2000-05-24,9.875
2000-05-25,9.5
2000-05-26,9.5625
2000-05-30,9.75
2000-05-31,9.6875
2000-06-01,9.5625
2000-06-02,9.375
2000-06-05,9.0625
2000-06-06,9.4375
2000-06-07,9.625
2000-06-08,10.25
2000-06-09,10.3125
2000-06-12,10.0
2000-06-13,10.125
2000-06-14,10.0625
2000-06-15,10.6875
2000-06-16,10.375
2000-06-19,10.0
2000-06-20,10.0625
2000-06-21,10.0
2000-06-22,10.1875
2000-06-23,10.0
2000-06-26,9.875
2000-06-27,9.5625
2000-06-28,9.5625
2000-06-29,9.5625
2000-06-30,9.578125
2000-07-03,9.625
2000-07-05,9.875
2000-07-06,9.9375
2000-07-07,9.9375
2000-07-10,9.8125
2000-07-11,9.75
2000-07-12,9.8125
2000-07-13,10.0
2000-07-14,10.125
2000-07-17,9.875
2000-07-18,10.0625
2000-07-19,10.0
2000-07-20,10.0625
2000-07-21,9.875
