Date,WEC
1980-03-17,2.208333
1980-03-18,2.236111
1980-03-19,2.277778
1980-03-20,2.333333
1980-03-21,2.361111
1980-03-24,2.277778
1980-03-25,2.25
1980-03-26,2.277778
1980-03-27,2.263889
1980-03-28,2.25
1980-03-31,2.263889
1980-04-01,2.333333
1980-04-02,2.430556
1980-04-03,2.541667
1980-04-07,2.527778
1980-04-08,2.541667
1980-04-09,2.611111
1980-04-10,2.680556
1980-04-11,2.666667
1980-04-14,2.666667
1980-04-15,2.583333
1980-04-16,2.722222
1980-04-17,2.722222
1980-04-18,2.708333
1980-04-21,2.666667
1980-04-22,2.680556
1980-04-23,2.694444
1980-04-24,2.666667
1980-04-25,2.680556
1980-04-28,2.694444
1980-04-29,2.708333
1980-04-30,2.722222
1980-05-01,2.722222
1980-05-02,2.638889
1980-05-05,2.652778
1980-05-06,2.708333
1980-05-07,2.763889
1980-05-08,2.708333
1980-05-09,2.708333
1980-05-12,2.694444
1980-05-13,2.652778
1980-05-14,2.666667
1980-05-15,2.666667
1980-05-16,2.652778
1980-05-19,2.652778
1980-05-20,2.694444
1980-05-21,2.680556
1980-05-22,2.694444
1980-05-23,2.722222
1980-05-27,2.708333
1980-05-28,2.722222
1980-05-29,2.75
1980-05-30,2.777778
1980-06-02,2.763889
1980-06-03,2.75
1980-06-04,2.763889
1980-06-05,2.791667
1980-06-06,2.805556
1980-06-09,2.805556
1980-06-10,2.777778
1980-06-11,2.819444
1980-06-12,2.833333
1980-06-13,2.861111
1980-06-16,2.861111
1980-06-17,2.888889
1980-06-18,2.916667
1980-06-19,2.902778
1980-06-20,2.902778
1980-06-23,2.902778
1980-06-24,2.888889
1980-06-25,2.888889
1980-06-26,2.888889
1980-06-27,2.888889
1980-06-30,2.833333
1980-07-01,2.833333
1980-07-02,2.791667
1980-07-03,2.791667
1980-07-07,2.777778
1980-07-08,2.805556
1980-07-09,2.805556
1980-07-10,2.805556
1980-07-11,2.777778
1980-07-14,2.805556
1980-07-15,2.777778
1980-07-16,2.805556
1980-07-17,2.791667
1980-07-18,2.805556
1980-07-21,2.833333
1980-07-22,2.791667
1980-07-23,2.791667
1980-07-24,2.791667
1980-07-25,2.819444
1980-07-28,2.805556
1980-07-29,2.805556
1980-07-30,2.777778
1980-07-31,2.708333
1980-08-01,2.694444
1980-08-04,2.638889
1980-08-05,2.611111
1980-08-06,2.597222
1980-08-07,2.583333
1980-08-08,2.569444
1980-08-11,2.569444
1980-08-12,2.583333
1980-08-13,2.597222
1980-08-14,2.611111
1980-08-15,2.611111
1980-08-18,2.583333
1980-08-19,2.583333
1980-08-20,2.597222
1980-08-21,2.611111
1980-08-22,2.694444
1980-08-25,2.708333
1980-08-26,2.75
1980-08-27,2.708333
1980-08-28,2.694444
1980-08-29,2.680556
1980-09-02,2.680556
1980-09-03,2.652778
1980-09-04,2.666667
1980-09-05,2.625
1980-09-08,2.611111
1980-09-09,2.638889
1980-09-10,2.625
1980-09-11,2.638889
1980-09-12,2.611111
1980-09-15,2.583333
1980-09-16,2.527778
1980-09-17,2.583333
1980-09-18,2.555556
1980-09-19,2.597222
1980-09-22,2.555556
1980-09-23,2.555556
1980-09-24,2.583333
1980-09-25,2.569444
1980-09-26,2.583333
1980-09-29,2.569444
1980-09-30,2.569444
1980-10-01,2.583333
1980-10-02,2.597222
1980-10-03,2.597222
1980-10-06,2.597222
1980-10-07,2.611111
1980-10-08,2.597222
1980-10-09,2.583333
1980-10-10,2.583333
1980-10-13,2.583333
1980-10-14,2.597222
1980-10-15,2.597222
1980-10-16,2.569444
1980-10-17,2.555556
1980-10-20,2.541667
1980-10-21,2.527778
1980-10-22,2.541667
1980-10-23,2.527778
1980-10-24,2.527778
1980-10-27,2.5
1980-10-28,2.527778
1980-10-29,2.513889
1980-10-30,2.5
1980-10-31,2.513889
1980-11-03,2.388889
1980-11-05,2.402778
1980-11-06,2.333333
1980-11-07,2.333333
1980-11-10,2.333333
1980-11-11,2.333333
1980-11-12,2.416667
1980-11-13,2.388889
1980-11-14,2.388889
1980-11-17,2.333333
1980-11-18,2.416667
1980-11-19,2.361111
1980-11-20,2.375
1980-11-21,2.347222
1980-11-24,2.361111
1980-11-25,2.347222
1980-11-26,2.375
1980-11-28,2.388889
1980-12-01,2.347222
1980-12-02,2.305556
1980-12-03,2.305556
1980-12-04,2.277778
1980-12-05,2.25
1980-12-08,2.194444
1980-12-09,2.277778
1980-12-10,2.236111
1980-12-11,2.25
1980-12-12,2.25
1980-12-15,2.194444
1980-12-16,2.194444
1980-12-17,2.291667
1980-12-18,2.444444
1980-12-19,2.5
1980-12-22,2.527778
1980-12-23,2.583333
1980-12-24,2.569444
1980-12-26,2.527778
1980-12-29,2.513889
1980-12-30,2.486111
1980-12-31,2.472222
1981-01-02,2.458333
1981-01-05,2.597222
1981-01-06,2.583333
1981-01-07,2.5
1981-01-08,2.513889
1981-01-09,2.527778
1981-01-12,2.541667
1981-01-13,2.527778
1981-01-14,2.555556
1981-01-15,2.569444
1981-01-16,2.583333
1981-01-19,2.583333
1981-01-20,2.597222
1981-01-21,2.555556
1981-01-22,2.527778
1981-01-23,2.555556
1981-01-26,2.513889
1981-01-27,2.472222
1981-01-28,2.416667
1981-01-29,2.458333
1981-01-30,2.444444
1981-02-02,2.430556
1981-02-03,2.319444
1981-02-04,2.333333
1981-02-05,2.347222
1981-02-06,2.347222
1981-02-09,2.305556
1981-02-10,2.305556
1981-02-11,2.305556
1981-02-12,2.305556
1981-02-13,2.263889
1981-02-17,2.277778
1981-02-18,2.277778
1981-02-19,2.263889
1981-02-20,2.277778
1981-02-23,2.263889
1981-02-24,2.319444
1981-02-25,2.347222
1981-02-26,2.333333
1981-02-27,2.361111
1981-03-02,2.291667
1981-03-03,2.277778
1981-03-04,2.263889
1981-03-05,2.291667
1981-03-06,2.305556
1981-03-09,2.319444
1981-03-10,2.347222
1981-03-11,2.388889
1981-03-12,2.388889
1981-03-13,2.430556
1981-03-16,2.458333
1981-03-17,2.5
1981-03-18,2.472222
1981-03-19,2.486111
1981-03-20,2.486111
1981-03-23,2.472222
1981-03-24,2.444444
1981-03-25,2.472222
1981-03-26,2.5
1981-03-27,2.472222
1981-03-30,2.472222
1981-03-31,2.527778
1981-04-01,2.527778
1981-04-02,2.513889
1981-04-03,2.527778
1981-04-06,2.513889
1981-04-07,2.527778
1981-04-08,2.527778
1981-04-09,2.486111
1981-04-10,2.5
1981-04-13,2.416667
1981-04-14,2.416667
1981-04-15,2.444444
1981-04-16,2.513889
1981-04-20,2.5
1981-04-21,2.527778
1981-04-22,2.513889
1981-04-23,2.541667
1981-04-24,2.555556
1981-04-27,2.583333
1981-04-28,2.569444
1981-04-29,2.555556
1981-04-30,2.555556
1981-05-01,2.5
1981-05-04,2.472222
1981-05-05,2.416667
1981-05-06,2.416667
1981-05-07,2.444444
1981-05-08,2.458333
1981-05-11,2.416667
1981-05-12,2.444444
1981-05-13,2.444444
1981-05-14,2.5
1981-05-15,2.541667
1981-05-18,2.541667
1981-05-19,2.513889
1981-05-20,2.513889
1981-05-21,2.527778
1981-05-22,2.555556
1981-05-26,2.625
1981-05-27,2.625
1981-05-28,2.638889
1981-05-29,2.638889
1981-06-01,2.625
1981-06-02,2.638889
1981-06-03,2.625
1981-06-04,2.652778
1981-06-05,2.666667
1981-06-08,2.722222
1981-06-09,2.763889
1981-06-10,2.847222
1981-06-11,2.847222
1981-06-12,2.875
1981-06-15,2.888889
1981-06-16,2.833333
1981-06-17,2.861111
1981-06-18,2.805556
1981-06-19,2.791667
1981-06-22,2.861111
1981-06-23,2.861111
1981-06-24,2.861111
1981-06-25,2.861111
1981-06-26,2.875
1981-06-29,2.861111
1981-06-30,2.777778
1981-07-01,2.75
1981-07-02,2.736111
1981-07-06,2.708333
1981-07-07,2.666667
1981-07-08,2.652778
1981-07-09,2.708333
1981-07-10,2.75
1981-07-13,2.777778
1981-07-14,2.777778
1981-07-15,2.777778
1981-07-16,2.791667
1981-07-17,2.777778
1981-07-20,2.763889
1981-07-21,2.75
1981-07-22,2.75
1981-07-23,2.763889
1981-07-24,2.763889
1981-07-27,2.791667
1981-07-28,2.833333
1981-07-29,2.861111
1981-07-30,2.861111
1981-07-31,2.875
1981-08-03,2.944444
1981-08-04,2.861111
1981-08-05,2.916667
1981-08-06,2.902778
1981-08-07,2.902778
1981-08-10,2.916667
1981-08-11,3.027778
1981-08-12,2.972222
1981-08-13,2.958333
1981-08-14,2.944444
1981-08-17,2.888889
1981-08-18,2.875
1981-08-19,2.875
1981-08-20,2.888889
1981-08-21,2.888889
1981-08-24,2.805556
1981-08-25,2.777778
1981-08-26,2.777778
1981-08-27,2.833333
1981-08-28,2.847222
1981-08-31,2.847222
1981-09-01,2.805556
1981-09-02,2.777778
1981-09-03,2.763889
1981-09-04,2.75
1981-09-08,2.722222
1981-09-09,2.75
1981-09-10,2.791667
1981-09-11,2.833333
1981-09-14,2.777778
1981-09-15,2.777778
1981-09-16,2.777778
1981-09-17,2.763889
1981-09-18,2.75
1981-09-21,2.819444
1981-09-22,2.791667
1981-09-23,2.736111
1981-09-24,2.791667
1981-09-25,2.777778
1981-09-28,2.791667
1981-09-29,2.805556
1981-09-30,2.819444
1981-10-01,2.791667
1981-10-02,2.805556
1981-10-05,2.805556
1981-10-06,2.805556
1981-10-07,2.833333
1981-10-08,2.916667
1981-10-09,2.916667
1981-10-12,2.944444
1981-10-13,2.930556
1981-10-14,2.888889
1981-10-15,2.916667
1981-10-16,2.888889
1981-10-19,2.888889
1981-10-20,2.888889
1981-10-21,2.875
1981-10-22,2.888889
1981-10-23,2.861111
1981-10-26,2.861111
1981-10-27,2.861111
1981-10-28,2.875
1981-10-29,2.916667
1981-10-30,2.944444
1981-11-02,2.916667
1981-11-03,2.944444
1981-11-04,2.972222
1981-11-05,3.041667
1981-11-06,3.055556
1981-11-09,3.166667
1981-11-10,3.152778
1981-11-11,3.125
1981-11-12,3.194444
1981-11-13,3.138889
1981-11-16,3.125
1981-11-17,3.166667
1981-11-18,3.166667
1981-11-19,3.138889
1981-11-20,3.138889
1981-11-23,3.138889
1981-11-24,3.125
1981-11-25,3.097222
1981-11-27,3.041667
1981-11-30,3.055556
1981-12-01,3.013889
1981-12-02,2.986111
1981-12-03,3.013889
1981-12-04,3.055556
1981-12-07,3.013889
1981-12-08,3.027778
1981-12-09,3.041667
1981-12-10,3.0
1981-12-11,2.972222
1981-12-14,2.958333
1981-12-15,2.958333
1981-12-16,2.986111
1981-12-17,2.986111
1981-12-18,2.986111
1981-12-21,3.041667
1981-12-22,3.055556
1981-12-23,3.027778
1981-12-24,3.013889
1981-12-28,3.013889
1981-12-29,2.986111
1981-12-30,3.027778
1981-12-31,3.027778
1982-01-04,3.041667
1982-01-05,3.027778
1982-01-06,3.027778
1982-01-07,2.958333
1982-01-08,2.972222
1982-01-11,2.944444
1982-01-12,2.958333
1982-01-13,2.944444
1982-01-14,2.930556
1982-01-15,2.930556
1982-01-18,2.930556
1982-01-19,2.944444
1982-01-20,2.930556
1982-01-21,2.986111
1982-01-22,3.0
1982-01-25,3.111111
1982-01-26,3.083333
1982-01-27,3.055556
1982-01-28,3.083333
1982-01-29,3.111111
1982-02-01,3.111111
1982-02-02,3.013889
1982-02-03,3.069444
1982-02-04,3.111111
1982-02-05,3.152778
1982-02-08,3.138889
1982-02-09,3.138889
1982-02-10,3.194444
1982-02-11,3.194444
1982-02-12,3.180556
1982-02-16,3.208333
1982-02-17,3.194444
1982-02-18,3.194444
1982-02-19,3.194444
1982-02-22,3.222222
1982-02-23,3.222222
1982-02-24,3.291667
1982-02-25,3.3055559999999997
1982-02-26,3.3055559999999997
1982-03-01,3.3055559999999997
1982-03-02,3.291667
1982-03-03,3.291667
1982-03-04,3.3055559999999997
1982-03-05,3.375
1982-03-08,3.388889
1982-03-09,3.402778
1982-03-10,3.4305559999999997
1982-03-11,3.375
1982-03-12,3.347222
1982-03-15,3.361111
1982-03-16,3.375
1982-03-17,3.388889
1982-03-18,3.388889
1982-03-19,3.416667
1982-03-22,3.4305559999999997
1982-03-23,3.4444440000000003
1982-03-24,3.4444440000000003
1982-03-25,3.416667
1982-03-26,3.402778
1982-03-29,3.402778
1982-03-30,3.402778
1982-03-31,3.361111
1982-04-01,3.361111
1982-04-02,3.361111
1982-04-05,3.361111
1982-04-06,3.347222
1982-04-07,3.333333
1982-04-08,3.333333
1982-04-12,3.333333
1982-04-13,3.347222
1982-04-14,3.3194440000000003
1982-04-15,3.333333
1982-04-16,3.347222
1982-04-19,3.361111
1982-04-20,3.416667
1982-04-21,3.458333
1982-04-22,3.5555559999999997
1982-04-23,3.583333
1982-04-26,3.583333
1982-04-27,3.583333
1982-04-28,3.597222
1982-04-29,3.527778
1982-04-30,3.541667
1982-05-03,3.513889
1982-05-04,3.416667
1982-05-05,3.472222
1982-05-06,3.513889
1982-05-07,3.5694440000000003
1982-05-10,3.5555559999999997
1982-05-11,3.5694440000000003
1982-05-12,3.541667
1982-05-13,3.513889
1982-05-14,3.5
1982-05-17,3.5
1982-05-18,3.5
1982-05-19,3.527778
1982-05-20,3.527778
1982-05-21,3.527778
1982-05-24,3.527778
1982-05-25,3.5694440000000003
1982-05-26,3.5555559999999997
1982-05-27,3.541667
1982-05-28,3.513889
1982-06-01,3.513889
1982-06-02,3.486111
1982-06-03,3.458333
1982-06-04,3.4444440000000003
1982-06-07,3.4305559999999997
1982-06-08,3.4305559999999997
1982-06-09,3.458333
1982-06-10,3.458333
1982-06-11,3.472222
1982-06-14,3.4305559999999997
1982-06-15,3.416667
1982-06-16,3.4444440000000003
1982-06-17,3.472222
1982-06-18,3.472222
1982-06-21,3.472222
1982-06-22,3.472222
1982-06-23,3.4444440000000003
1982-06-24,3.388889
1982-06-25,3.416667
1982-06-28,3.416667
1982-06-29,3.4305559999999997
1982-06-30,3.4305559999999997
1982-07-01,3.4444440000000003
1982-07-02,3.416667
1982-07-06,3.513889
1982-07-07,3.513889
1982-07-08,3.513889
1982-07-09,3.541667
1982-07-12,3.527778
1982-07-13,3.513889
1982-07-14,3.527778
1982-07-15,3.513889
1982-07-16,3.541667
1982-07-19,3.5555559999999997
1982-07-20,3.541667
1982-07-21,3.541667
1982-07-22,3.5694440000000003
1982-07-23,3.5555559999999997
1982-07-26,3.583333
1982-07-27,3.527778
1982-07-28,3.5625
1982-07-29,3.541667
1982-07-30,3.520833
1982-08-02,3.520833
1982-08-03,3.4375
1982-08-04,3.4375
1982-08-05,3.395833
1982-08-06,3.375
1982-08-09,3.354167
1982-08-10,3.395833
1982-08-11,3.458333
1982-08-12,3.541667
1982-08-13,3.708333
1982-08-16,3.75
1982-08-17,3.958333
1982-08-18,4.0833330000000005
1982-08-19,4.0
1982-08-20,4.0416669999999995
1982-08-23,3.958333
1982-08-24,3.916667
1982-08-25,3.9375
1982-08-26,3.895833
1982-08-27,3.833333
