,AAN,ACIW,AGCO,AGP,ALGT,AM-OLD,AMBA,APOL,ARRS,ARW,ATGE,ATW,AVT,BHI,BIG,BJS,BW,BWXT,CAKE,CC-OLD,CFFN,CHB,CHRS,CISN,CNC,COG,CRI,CUB,CXG,DAN,DPTHL,FHB,FI,FII,FL,FLE,GNTX,GPK,HMHC,HMN,HP,IDCC,ISBC,MATX,MCY,MKSI,MTN,NBL,NFX,NOV,OSK,PDE,PTEN,R,RCII,RDC,ROSE,ROST,RS,RSH,SAIC,SAVE,SIG,SM,TEN,THO,THS,TRN,TWI,VAL,VECO,VG,VMI,VNOM,VSTO,WDC,XEC,ZLC
2020 Q1,3.19,4.76,2.66,,,,3.31,,,2.81,,,,,,,,,,,,,,,8.37,,2.83,,,4.33,,,,,,,,6.68,,,,10.79,6.43,,,1.83,2.32,7.31,,,3.34,,,,,,,,,,6.34,,,,,,5.43,,,,,7.9,,1.99,,5.58,,
2019 Q4,4.93,3.34,,,9.32,,2.28,,,3.61,,,,,,,,,4.57,,4.18,,,,5.03,,4.22,,,4.85,,4.18,,,,,,4.32,,,,8.87,6.8,,,2.35,2.75,9.54,,,,,,,,,,,,,2.41,,,,,,,,,,,,1.96,,,4.8,,
2019 Q3,5.16,,2.29,,7.9,,3.58,,,4.73,,,3.19,,,,,,4.84,,5.44,,,2.96,,,3.47,,,5.15,,3.96,,,,,,4.86,,,,8.43,6.57,,,3.58,2.57,8.51,,,,,,1.92,,,,,,,,,,,,,,,,,,,,,,3.72,,
2019 Q2,3.94,,3.4,,6.86,,3.35,,,,,,4.01,,,,,,2.99,,5.09,,,,,,3.19,,,5.07,,3.49,2.76,,,,,3.42,,,,7.2,5.79,,,4.49,,5.04,,,,,,3.35,,,,,,,,,,,,,,,,,,,3.34,,,5.26,7.86,
2019 Q1,3.25,,4.34,,5.48,,3.64,,,,,,6.55,,,,,,,,4.84,,,,,,2.28,,,3.38,,3.12,5.06,,,,,3.41,,,,5.63,4.96,,,2.93,,4.45,,,,,4.89,2.25,,,,,,,,,,3.85,,,,,,,,,,,,7.9,7.18,
2018 Q4,3.89,,5.64,,6.78,,3.37,,,1.84,,,7.08,,,,,,,,5.02,,,2.04,,,2.33,,,,,1.92,4.77,,,,,3.22,,,,6.95,4.52,,,,,6.26,,,,,5.74,,,4.42,,,,,,,,6.73,,,,,,,,,,,,7.52,7.1,
2018 Q3,3.13,,4.73,,7.72,,,,7.2,1.44,,,6.3,,,,,,,,3.69,,,1.92,,,,,,3.5,,,4.07,,,,3.37,5.29,,,,7.01,,,,,,6.5,,,,,5.5,,,3.77,,,,,,1.98,,6.33,,,,,,,,,,,,8.05,8.49,
2018 Q2,4.61,,3.26,,7.18,,,,7.05,,,,7.23,,,,,,,,3.47,,,2.08,,,,,,,,,,,,,2.14,3.93,,,,7.9,,0.85,,,,5.45,,,,,3.8,,,5.6,,,,,,4.45,,8.51,3.46,,,,,,2.81,,,,,7.42,8.61,
2018 Q1,5.17,,1.89,,6.78,,,,6.98,2.49,,,6.75,,,,,,,,2.9,,,,,,,,,,,,1.99,,,,,,2.41,,2.79,6.95,,,,,,6.94,,,,,3.8,,,4.89,,,,,,2.8,,6.73,3.04,,,,,,3.05,,,,,8.06,7.05,
2017 Q4,3.86,,1.95,,6.36,,,,5.79,3.58,,,7.23,,,,,,,,1.45,,,,,,,1.84,,,,,,,,,,,4.51,,3.69,6.99,,,,,,8.41,,,,,6.6,,,5.83,,,,,,4.24,,6.76,2.01,,,,,,2.45,,,,,7.3,9.18,
