,A,ABT,ADI,AER,AES,AET,AGN,AIG,ALXN,AMAT,ANTM,AON,APOL,AR,BAC,BAX,BG,BHI,BP,BRK.A,BRK.B,BRL,BSX,C,CAH,CB,CBS,CFG,CI,CIT,CMCSA,COF,COP,CPN,CS,CSCO,CTXS,CVS,CVX,DAL,DD-OLD,DIS,DTV,DUK,DVN,EBAY,ELAN,EP,EQT,ETN,EXC,FDC,FLEX,FLR,FWONA,GE,GENZ,GHC,GM,GNW,GOLD,GOOGL,GT,HES,HMC,HPE,HSP,IGT,INTU,IP,IPG,IVZ,KEYS,KMB,KO,LBTYK,LEN,LIFE,LOW,LUV,LYB,LYO,MDLZ,MET,MMC,MRK,MRO,MS,MSFT,NEM,NLOK,NVS,NXPI,OI,ORCL,OXY,PFE,PG,PGR,PNR,PRGO,PXD,QCOM,RDS.A,RLGY,RS,RSG,SABR,SCHW,SE-OLD,SIVB,SLB,SNY,ST,STT,SUN,SYY,TDC,TMO,TOT,TWX,TXN,UN,UNH,UNM,USB,V,VLO,VOD,VZ,WBA,WFT,WM,WMT,YHOO
2020 Q1,,,,,,,,,,,,,,,,,,,,,4.59,,,,,,,,,,4.18,,,,,2.56,,,2.81,,,,,,,,3.02,,,,,,,,,,,,,,,2.77,,,,,,,,,,,,,,,3.28,,,,,,3.51,,,4.49,,4.26,2.68,,,,,,4.17,,3.76,,,,4.37,,,,,,,,,,3.08,,,3.54,,,,,2.75,,,,,3.1,,,,,,2.57,,,,3.19,
2019 Q4,,,,,,,,3.45,,,,,,,2.95,,,,,,3.96,,,3.87,,,,,,,2.69,4.26,,,,,,,2.65,3.3,,,,,,,,,,3.05,,,,,,,,,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,,4.22,,,,,3.03,,2.71,,,,,,3.49,,,,,,,3.37,,,3.01,,,3.38,,,,,,3.62,,,,3.2,,,,,,,,,,,
2019 Q3,,,,,,,,3.62,2.78,3.61,,,,,,,,,,,4.37,,,3.63,,,2.99,,,,3.78,4.36,,,,,,,,3.66,,,,,,,,,,3.22,,,,,,,,,2.81,,,,,,,,,,,,,,,,,,3.61,,,,,,,,,3.01,,3.63,,,,,3.69,,,,,,,,3.26,,,,,,,3.25,,,,,,3.21,,,,,2.66,2.94,,,,,,,,,,,,,,,
2019 Q2,,,,,,,3.11,4.32,3.47,3.2,,,,,2.98,,,,,,4.18,,,4.55,,,3.45,,,,3.31,3.82,,,,,,,,3.37,,,,,,,,,,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,,,,,,,,,2.8,,2.98,,,,,3.09,,,,2.71,,,,,,,,,,,3.45,,,,,,2.94,,,,,,3.21,,,,,,,,,,,,,,,
2019 Q1,,,,,,,2.99,3.64,3.0,2.79,,,,,4.2,,,,,,4.06,,,4.25,,,3.32,,,,3.31,3.58,,,,,,,,3.2,,,,,,,,,,3.1,,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,,,3.73,,,3.02,,,,,,,,2.65,,,,,,,,,,,3.24,,,,,,,,,,,2.89,3.39,,,,,,,,,,,,,,,
2018 Q4,,,,,,,3.01,,,,,3.07,,,3.58,,,,,,4.23,,,3.42,,3.38,,,,,3.11,3.23,,,,,,,,3.24,,,,,,,,,,2.92,2.76,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,,2.84,5.37,,,2.87,,,,,,,,3.05,,,,,,,,,,,3.62,,,,,,,,,,,,3.21,,,,,,,,,,,,,,3.3,
2018 Q3,,,,,,,,3.72,2.77,,,,,,3.72,,,,,,3.55,,,4.37,,3.43,2.82,,,,,3.33,,,,,,,,,,,,,,,,,2.96,2.8,,3.74,,,,,,,,,,,2.77,,,,,,,2.89,,,,,,,,,,,,,,,,4.38,,,2.99,,,,,,,,4.11,,,,,,,,,,,3.55,,,,,,,,,,,2.83,3.49,,,,,,,,,,,,,,3.17,
2018 Q2,,,,,,,,3.09,,,,2.82,,3.73,3.6,,,,,,3.13,,,4.12,,3.29,3.35,,,,,3.26,,,,,,,,,,,,,,,,,2.95,,2.76,4.15,,,,,,,,,,2.8,,,,,,,,3.1,,,,,,,,,,,,,,2.67,,4.62,,,,,,,,,,,3.42,,,,,,,,,,,3.29,,,,,,,,,,,,3.13,,,,,,,,,,,,,,2.72,
2018 Q1,,,,,,,,3.15,,,,2.86,,3.74,3.8,,,,3.09,,3.19,,,3.92,,3.17,2.89,,,,,3.37,,,,,,,,2.9,,,,,,,,,,,,3.36,,,,,,,,,,,,,,,,,,3.15,,,,,,,,,,,,,,2.78,,4.11,,,2.76,,,,,,2.9,,3.32,,,,,,,,,,,2.84,,,,,,,,,,,,3.38,,,,,,,,,,,,,,,
2017 Q4,,,,,,,,,,,,,,3.14,4.48,,,,,,2.86,,,4.05,,3.03,,,,,,3.67,,,,,,,,2.78,,,,,,,,,,,,3.29,3.27,2.88,,,,,,,,,,,,,,,,3.48,,,,,,,,,,,,,,,,3.12,,,,,,,,,2.82,3.08,3.18,,,2.86,,,,,,,,,,,,,,,,,,,2.76,3.25,,,,,,,,,2.97,,,,,2.86,
2017 Q3,,,2.76,,,,2.73,,,,,2.73,,3.2,4.14,,,,,,3.03,,,4.26,,,,,,,,3.23,,,,,,,,,,,,,,,,,,,,3.68,3.12,,,,,,,,,,,,,,,,,3.3,,,2.96,,,,,,,,,,,,,3.44,,,2.64,,,,,,2.98,3.19,3.03,,,,,,,,,,,,,,,,,,,,,,3.28,3.51,,,,,,,,,,,,,,2.81,
2017 Q2,,,3.0,,,,3.31,,,,,,,3.31,3.54,,,,,,2.86,,,3.83,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,3.8,2.92,,,2.79,,,,,,,,,,,,,,3.11,,,2.83,,,,,,,,,,,,,3.28,,,3.05,,,,,,2.86,3.29,,,,,,,,,,,,,,,,,,,,,,,3.09,3.33,,,,,,,,,,,2.89,,,2.79,
2017 Q1,,,,,,,2.92,,,,,2.83,,2.87,3.16,,,,,,2.82,,,3.43,,,,,,,,3.33,,,,,,,,,,,,,,,,,,,,3.25,,,,3.09,,,,,,,,,,3.22,,,,2.8,,,,,,3.15,,,,,,,,,,3.57,,,3.17,,,,,,3.52,3.33,3.05,,,,,,,,,,,,,,,,,,,,,,,2.85,,,,,,,,,3.01,,2.8,,,,
2016 Q4,,,,,,,,,,2.79,,2.76,,,3.62,,,,,,2.87,,,3.6,,,,,,,,3.31,,2.7,,,,,,,,,,,,,,,,,,3.09,2.83,,,3.21,,,,,,,,,,3.06,,,,,,,2.7,,,2.98,,,,,,,,,,3.43,,,,,,,,,3.15,3.18,,,,,3.01,,,,,,,,,,,,,,,,,,,2.71,,,,,,,,,2.67,,2.75,,,,
2016 Q3,,,,,,,,,,,,2.91,,,3.39,,,,3.28,,,,,3.38,,,2.94,,,2.99,,3.36,,,,,,,,,,,,,,,,,,,2.77,2.75,2.8,,,3.14,,,,,,,,,,2.84,,,,,,,,,,3.2,,,,,,,,,,3.8,,,2.75,,,,,,3.04,,2.87,,,,,,,,,,,,,,,,,,,,,,2.79,3.31,,,,,,,,,,,2.8,,,,
2016 Q2,,,2.61,,,,,,,2.61,,,,,2.63,,,,2.89,,2.7,,,2.82,,,,,,2.67,3.02,2.61,,2.67,,,,,,,,,,,,,,,,,2.67,,,,,2.69,,,,,,,,,,2.82,,,,2.97,,,,,,2.64,,,,,,,,,,3.56,,,,,,,,,3.21,,2.78,,,,,,,,,,,,,,,,,,,,,,2.69,3.38,,,,,,,,,,,,,,,
2016 Q1,,,2.93,,,,,,,2.78,,,,,2.68,,,,,,,,,2.71,,,3.06,,,2.92,2.76,3.09,,,,,,,,,,,,,,,,,,,2.75,,3.19,,,,,,,,,2.72,,,,,,,,3.22,,2.8,2.74,,,2.84,,,,,,,,,,3.55,,,3.38,,,,,,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,2.73,,,,,,,,,,,,,
2015 Q4,3.0,,,2.86,,,,,,3.18,,3.14,,,3.09,,,,2.86,,,,,3.26,,,2.88,2.98,,3.37,2.92,3.0,,,,,,,,,,,,,,,,,2.86,,,,2.88,,,,,,,,,,,,,,,,,,,2.91,,,,,,,,,,,,,,3.25,,,3.3,,,,,,3.25,,,,,,,,,,,,,,,,,,2.91,,,,,,3.52,,,,,,,,,,,,,,,,
2015 Q3,,,,,,,,3.19,,2.83,,3.39,,,3.25,,,,2.81,,,,,3.23,,,,3.03,,3.51,3.03,3.11,,,,,,,,,,,,,,,,,,,,,2.79,,,3.13,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,3.13,,,,,,,,,3.32,,,,,,,,,,2.9,,,,,,,,3.11,,,,,,3.37,,,3.31,,,,,,,2.83,,,,,,
2015 Q2,,,,,,,,3.03,,2.88,,2.88,,,3.25,,,,2.97,,,,,3.13,,,,2.65,,3.24,2.65,3.22,,,,,,,,,,,,,,,,,,,,,2.71,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,3.34,,,,,,,,,3.22,,,,,,,,,,2.96,,,,,,,,2.98,,,,,,3.1,,2.76,2.74,,,,,,,3.06,,,,,,
2015 Q1,,,,,3.44,,,3.09,,2.78,,3.07,,,3.04,,,,3.07,,,,,3.05,,,2.8,2.8,,2.91,,3.02,,,,,,,,,,,,,,,,,,,,,2.74,,,3.21,,,,,,,,,,,,,,2.8,,2.93,,,,,,,,,,,,,,,,,2.81,,,,,,2.99,,,,,,,,,,,,,,,,,,2.97,,,,,,3.2,,,,,,,,,,2.82,,,,,,
2014 Q4,,,,,3.18,,,2.92,,2.59,2.66,3.1,,,3.06,,,,,,,,,2.86,,,,2.59,,2.85,2.73,,,,,,,,,,,,,,,,,,,,,,,,,2.94,,,,,,,,,,,2.53,,,2.92,,,,,,,,,,,,,,,,,,,2.53,,,2.77,,,3.13,,,2.6,,,,,,,2.64,,,,,,,,,,,,,,2.99,,,,,,,,,,2.65,,,,,,
2014 Q3,2.84,,,,2.83,,,2.77,,,2.59,2.91,,,3.36,,,,2.75,,,,,3.36,,,,,,2.78,2.59,,,,,,,,,,,,,,,,,,,,,,,,,2.99,,,,,,,,,,,,,,2.62,,2.64,,,,,,,,,,,,,,,,,,,,2.77,,,,,,2.95,,,,,3.1,,,2.61,,,,,,,2.98,,,,,,3.17,,,,,,,,,,2.59,,,,,,
2014 Q2,2.54,,,,3.07,,,2.86,,,2.61,2.65,,,2.79,,,,2.93,,,,,2.8,,,,,,2.66,2.64,,,,,,,,,,,,,,,,,,,,,,,,,2.69,,,,,,,,2.89,,,,,,,,2.58,,,,,,,2.6,,,,,,,,,,2.83,,,,,2.53,,,,,,,,,2.84,,,,,,,,,,2.82,,,,,,2.53,,,,,,,,,,,,,2.52,,,
2014 Q1,,,,,2.61,,,2.54,,,,,,,2.85,,,,2.87,,,,,2.46,,,,,,2.42,2.46,2.5,,,,,,2.57,,,2.49,,,,,,,,,,,,,,,2.86,,,,,,,,2.61,,,,,,,,2.35,,,,,,,,,,,,,,,,,2.39,,,,,,,,,2.58,,,,,3.04,,,,,,,,,2.38,2.8,,,,,2.55,,,,,,,,,,,,,,2.55,,,
2013 Q4,2.51,,,,2.46,,,2.55,,,,,,,2.67,,,,2.61,,,,,,,,,,,2.5,,2.56,,,,,2.53,2.54,,,2.5,,2.57,,,,,,,,,,,,,2.47,,,,,,2.62,,2.37,,,,,,,,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96,,,,,,,,,,,,,,,,2.69,,,2.51,,,,,,,2.52,,,2.35,,,
2013 Q3,2.52,,,,,,,2.73,,2.47,,,,,2.65,,,,2.53,,,,,,2.53,,,,,2.63,,2.58,,,,,,2.57,,,2.52,,2.49,,,,,,,,,,,,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,,,,,,,2.46,,,,,,,,,,,2.77,,,,,,,,,2.83,,,,,,,2.84,,,2.64,,,,,,,2.53,,,2.61,,,
