"Date","AAN","ACIW","AGCO","AGP","ALGT","AM","AMBA","ARRS","ARW","ATGE","ATW","AVT","BHI","BIG","BW","CAKE","CC","CFFN","CHRS","CISN","CNC","COG","CRI","CUB","DAN","FHB","FI","FII","FL","FLE","GNTX","GPK","HMHC","HMN","HP","IDCC","ISBC","MATX","MCY","MKSI","MTN","NBL","NFX","NOV","OSK","PTEN","R","RCII","ROSE","ROST","RS","RSH","SAIC","SAVE","SIG","SM","TEN","THO","THS","TRN","TWI","VAL","VECO","VG","VMI","VNOM","VSTO","WDC","XEC"
2006-10-01,0,0,0,0,0,2.63,0,0,4.66,0,0,10.79,0,3.59,0,0,0,0,5.93,0,0,0,0,0,0,0,0,0,4.05,2.87,0,0,0,0,0,0,0,0,1.91,0,0,0,0,3.89,0,6.76,0,3.02,6.51,4.1,0,0,0,0,0,0,0,2.51,0,6.87,0,9.14,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,2.63,0,0,4.66,0,0,10.79,0,3.59,0,0,0,0,5.93,0,0,0,0,0,0,0,0,0,4.05,2.87,0,0,0,0,0,0,0,0,1.91,0,0,0,0,3.89,0,6.76,0,3.02,6.51,4.1,0,0,0,0,0,0,0,2.51,0,6.87,0,9.14,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,2.63,0,0,4.66,0,0,10.79,0,3.59,0,0,0,0,5.93,0,0,0,0,0,0,0,0,0,4.05,2.87,0,0,0,0,0,0,0,0,1.91,0,0,0,0,3.89,0,6.76,0,3.02,6.51,4.1,0,0,0,0,0,0,0,2.51,0,6.87,0,9.14,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,2.4,0,0,5.22,0,0,13.25,0,0,0,0,0,0,5.32,0,0,0,0,0,0,0,0,0,4.62,2.69,0,0,0,0,0,0,0,0,2.97,0,0,0,0,4.63,0,6.54,0,2.69,6.72,3.75,0,2.86,0,0,0,0,0,2.11,0,7.67,0,9.31,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,2.4,0,0,5.22,0,0,13.25,0,0,0,0,0,0,5.32,0,0,0,0,0,0,0,0,0,4.62,2.69,0,0,0,0,0,0,0,0,2.97,0,0,0,0,4.63,0,6.54,0,2.69,6.72,3.75,0,2.86,0,0,0,0,0,2.11,0,7.67,0,9.31,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,2.4,0,0,5.22,0,0,13.25,0,0,0,0,0,0,5.32,0,0,0,0,0,0,0,0,0,4.62,2.69,0,0,0,0,0,0,0,0,2.97,0,0,0,0,4.63,0,6.54,0,2.69,6.72,3.75,0,2.86,0,0,0,0,0,2.11,0,7.67,0,9.31,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,2.89,0,0,5.26,0,0,9.07,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,4.23,3.04,0,0,0,0,0,0,0,0,3.05,0,0,0,0,5.56,0,7.55,0,2.49,6.96,3.32,0,2.68,0,0,0,0,0,2.39,0,7.72,0,10.32,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,2.89,0,0,5.26,0,0,9.07,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,4.23,3.04,0,0,0,0,0,0,0,0,3.05,0,0,0,0,5.56,0,7.55,0,2.49,6.96,3.32,0,2.68,0,0,0,0,0,2.39,0,7.72,0,10.32,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,2.89,0,0,5.26,0,0,9.07,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,4.23,3.04,0,0,0,0,0,0,0,0,3.05,0,0,0,0,5.56,0,7.55,0,2.49,6.96,3.32,0,2.68,0,0,0,0,0,2.39,0,7.72,0,10.32,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,3.11,0,0,6.7,0,0,10.51,0,0,0,0,2.56,0,4.43,0,0,0,0,0,0,0,0,0,3.61,3.31,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,7.5,0,1.99,6.83,3.19,0,1.93,0,0,0,0,0,2.74,0,7.67,0,10.94,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,3.11,0,0,6.7,0,0,10.51,0,0,0,0,2.56,0,4.43,0,0,0,0,0,0,0,0,0,3.61,3.31,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,7.5,0,1.99,6.83,3.19,0,1.93,0,0,0,0,0,2.74,0,7.67,0,10.94,0,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,3.11,0,0,6.7,0,0,10.51,0,0,0,0,2.56,0,4.43,0,0,0,0,0,0,0,0,0,3.61,3.31,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,7.5,0,1.99,6.83,3.19,0,1.93,0,0,0,0,0,2.74,0,7.67,0,10.94,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,2.56,0,0,6.64,0,1.73,9.88,0,0,0,0,1.83,0,3.64,0,0,0,0,0,0,0,0,0,3.73,2.48,0,0,0,0,0,0,0,0,3.41,0,0,0,0,0,0,6.95,0,1.7,7.92,3.41,0,1.69,0,0,3.55,0,0,0,0,6.08,0,12.46,0,0,0,0,0,0,0
