"Date","AABA","AAPL","ACM","ADNT","ADP","AER","AET","AGN","AGNC","AGR","AHL","AMAT","AMP","ANTM","ATUS","AYE","BBY","BDX","BHF","BK","BOL","BP","BSC","BSX","CAH","CBI","CBS","CC","CCR","CEIX","CF","CFG","CI","CIT","CNDT","CNX","COMM","CONN","COV","CPN","CPRI","CSC","CVEO","CVH","CVS","DAN","DBI","DDS","DELL","DFS","DLPH","DOW","DOX","DST","EIG","EMC","FOXA","FWONA","GM","GNW","GRBK","GTS","HAR","HCA","HES","HGV","HII","HLX","HPE","HUM","IAC","ICO","KAR","KBR","KEYS","KGC","LBTYA","LBTYK","LM","LRCX","LTM","LYB","M","MDC","MERC","MIM","MON","MRVL","MSFT","MU","MYL","NBSE","NCR","NEW","NOV","NVR","OI","OIS","ON","PCX","PFE","PLCE","PRGO","PTEN","RAD","RAH","RE","RSYS","S","SAI","SATS","SCT","SDRL","SGMS","SHW","SPR","STX","TDC","TGP","TGT","TPX","TRH","TRV","TSCO","TSG","TTWO","TWTR","TWX","TX","UHAL","UNH","VAL","VMED","VOYA","VR","WBA","WFR","WPX","WU","XRX","YELP"
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,0,16.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0.75,0,2.04,0,0,0,0,0,0,0,0,0,13.02,1,8.7,0,0,13.7,0,0,0,0,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,2.08,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,1.95,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,16.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0.75,0,2.04,0,0,0,0,0,0,0,0,0,13.02,1,8.7,0,0,13.7,0,0,0,0,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,2.08,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,1.95,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,16.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0.75,0,2.04,0,0,0,0,0,0,0,0,0,13.02,1,8.7,0,0,13.7,0,0,0,0,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,2.08,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,1.95,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,15.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79,0,0,0,0,4.77,0,0,0,0,0,0,0,13.87,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,11.29,0.29,9.38,0,0,13.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,15.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79,0,0,0,0,4.77,0,0,0,0,0,0,0,13.87,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,11.29,0.29,9.38,0,0,13.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,15.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79,0,0,0,0,4.77,0,0,0,0,0,0,0,13.87,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,11.29,0.29,9.38,0,0,13.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,14.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0,0,4.26,0,0,0,0,0,0,0,15.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88,0,7.14,0,0,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,14.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0,0,4.26,0,0,0,0,0,0,0,15.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88,0,7.14,0,0,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,14.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0,0,4.26,0,0,0,0,0,0,0,15.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88,0,7.14,0,0,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,11.78,0,0,0,0,0,0,0,0.79,0,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09,0,5.53,0,0,10.72,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,5.68,0,0,0,0,0,0,0,0,0,7.61,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0
