"Date","ABT","BRK","BTI","BUD","CFRHF","CMCSA","DEO","GHC","GOOG","HAS","HKHHF","HRL","JCDXF","JPM","MA","MKL","MLHR","MLM","MO","NSRGY","PDRDF","PG","PM","SNI","UN","V","WFC","XOM"
2008-10-01,1.07,21.38,0,0,0,0,1.42,3.96,0,1.85,0,0.65,0,0,0.41,0.99,0.61,9.48,5.78,0,0,0,14.24,3.36,4.46,0,9.41,1.09
2008-11-01,1.07,21.38,0,0,0,0,1.42,3.96,0,1.85,0,0.65,0,0,0.41,0.99,0.61,9.48,5.78,0,0,0,14.24,3.36,4.46,0,9.41,1.09
2008-12-01,1.07,21.38,0,0,0,0,1.42,3.96,0,1.85,0,0.65,0,0,0.41,0.99,0.61,9.48,5.78,0,0,0,14.24,3.36,4.46,0,9.41,1.09
2009-01-01,0.91,23.66,0,0,0,0,1.36,4.22,0,1.88,0,0.79,0,0,0.6,1.1,0.59,9.21,7.43,0,0,0,14.36,4.04,4.3,0,6.03,1.15
2009-02-01,0.91,23.66,0,0,0,0,1.36,4.22,0,1.88,0,0.79,0,0,0.6,1.1,0.59,9.21,7.43,0,0,0,14.36,4.04,4.3,0,6.03,1.15
2009-03-01,0.91,23.66,0,0,0,0,1.36,4.22,0,1.88,0,0.79,0,0,0.6,1.1,0.59,9.21,7.43,0,0,0,14.36,4.04,4.3,0,6.03,1.15
2009-04-01,1.26,21.46,0,0,0,0,1.5,3.57,0,1.51,0,0.73,0,0,0.74,0.84,0.73,7.97,6.7,0,0,0.76,16.09,4.18,4.89,0,8.92,0.79
2009-05-01,1.26,21.46,0,0,0,0,1.5,3.57,0,1.51,0,0.73,0,0,0.74,0.84,0.73,7.97,6.7,0,0,0.76,16.09,4.18,4.89,0,8.92,0.79
2009-06-01,1.26,21.46,0,0,0,0,1.5,3.57,0,1.51,0,0.73,0,0,0.74,0.84,0.73,7.97,6.7,0,0,0.76,16.09,4.18,4.89,0,8.92,0.79
2009-07-01,1.45,21,0,0,0,0,1.46,4.54,0,1.51,0,0.61,0,0,0.85,0.72,0.7,8.07,5.9,0,0,0.81,15.51,4.87,5.1,0,9.01,0.59
2009-08-01,1.45,21,0,0,0,0,1.46,4.54,0,1.51,0,0.61,0,0,0.85,0.72,0.7,8.07,5.9,0,0,0.81,15.51,4.87,5.1,0,9.01,0.59
2009-09-01,1.45,21,0,0,0,0,1.46,4.54,0,1.51,0,0.61,0,0,0.85,0.72,0.7,8.07,5.9,0,0,0.81,15.51,4.87,5.1,0,9.01,0.59
2009-10-01,0.99,20.95,0,0,0,0,1.68,4.12,0,1.7,0,0.64,0,0,1.14,0.69,0.62,7.65,6.54,0,0,0.83,15.58,5.33,6.08,0,7.49,0.66
2009-11-01,0.99,20.95,0,0,0,0,1.68,4.12,0,1.7,0,0.64,0,0,1.14,0.69,0.62,7.65,6.54,0,0,0.83,15.58,5.33,6.08,0,7.49,0.66
2009-12-01,0.99,20.95,0,0,0,0,1.68,4.12,0,1.7,0,0.64,0,0,1.14,0.69,0.62,7.65,6.54,0,0,0.83,15.58,5.33,6.08,0,7.49,0.66
2010-01-01,1,22.89,0,0,0,0,1.43,3.65,0,1.76,0,0.59,0,0,1.14,0.63,0.6,6.25,6.31,0,0,0.73,16.43,4.95,6.08,0,8.18,0.58
2010-02-01,1,22.89,0,0,0,0,1.43,3.65,0,1.76,0,0.59,0,0,1.14,0.63,0.6,6.25,6.31,0,0,0.73,16.43,4.95,6.08,0,8.18,0.58
2010-03-01,1,22.89,0,0,0,0,1.43,3.65,0,1.76,0,0.59,0,0,1.14,0.63,0.6,6.25,6.31,0,0,0.73,16.43,4.95,6.08,0,8.18,0.58
2010-04-01,0.95,24.07,0,1.41,0,0,1.42,3.1,0,1.98,0,0.55,0,0,3.04,0.6,0.65,6.02,6.12,0,0,0.63,16.02,4.13,6.51,0,6.57,0
2010-05-01,0.95,24.07,0,1.41,0,0,1.42,3.1,0,1.98,0,0.55,0,0,3.04,0.6,0.65,6.02,6.12,0,0,0.63,16.02,4.13,6.51,0,6.57,0
2010-06-01,0.95,24.07,0,1.41,0,0,1.42,3.1,0,1.98,0,0.55,0,0,3.04,0.6,0.65,6.02,6.12,0,0,0.63,16.02,4.13,6.51,0,6.57,0
2010-07-01,0.94,22.49,0,3.55,0,0,1.38,2.26,0,1.8,0,0.52,0,0,4.77,0,0.56,4.7,6.63,0,0,0.52,17.71,3.64,6.68,0,6.54,0.51
2010-08-01,0.94,22.49,0,3.55,0,0,1.38,2.26,0,1.8,0,0.52,0,0,4.77,0,0.56,4.7,6.63,0,0,0.52,17.71,3.64,6.68,0,6.54,0.51
2010-09-01,0.94,22.49,0,3.55,0,0,1.38,2.26,0,1.8,0,0.52,0,0,4.77,0,0.56,4.7,6.63,0,0,0.52,17.71,3.64,6.68,0,6.54,0.51
2010-10-01,0.79,20.19,0,4.76,0,0,1.33,2.26,0,1.69,0,0,0,0,5.1,0.42,0.57,5.28,6.32,0,0,0.48,17.32,3.29,7.07,0,7.8,0.54
2010-11-01,0.79,20.19,0,4.76,0,0,1.33,2.26,0,1.69,0,0,0,0,5.1,0.42,0.57,5.28,6.32,0,0,0.48,17.32,3.29,7.07,0,7.8,0.54
2010-12-01,0.79,20.19,0,4.76,0,0,1.33,2.26,0,1.69,0,0,0,0,5.1,0.42,0.57,5.28,6.32,0,0,0.48,17.32,3.29,7.07,0,7.8,0.54
2011-01-01,0,11.37,3.25,2.96,6.85,0,3.12,1.15,0,0,6.63,0,0,0,3.48,0,0,2.76,3.62,11.27,5.04,0,10.52,1.74,3.89,0,4.36,0
2011-02-01,0,11.37,3.25,2.96,6.85,0,3.12,1.15,0,0,6.63,0,0,0,3.48,0,0,2.76,3.62,11.27,5.04,0,10.52,1.74,3.89,0,4.36,0
2011-03-01,0,11.37,3.25,2.96,6.85,0,3.12,1.15,0,0,6.63,0,0,0,3.48,0,0,2.76,3.62,11.27,5.04,0,10.52,1.74,3.89,0,4.36,0
2011-04-01,0,10.33,3.4,3.14,7.35,0,3.2,0.99,0,0,6.78,0,0,0,4.24,0,0,2.34,3.53,11.66,5.27,0,10.25,1.5,4.03,0,4.28,0
2011-05-01,0,10.33,3.4,3.14,7.35,0,3.2,0.99,0,0,6.78,0,0,0,4.24,0,0,2.34,3.53,11.66,5.27,0,10.25,1.5,4.03,0,4.28,0
2011-06-01,0,10.33,3.4,3.14,7.35,0,3.2,0.99,0,0,6.78,0,0,0,4.24,0,0,2.34,3.53,11.66,5.27,0,10.25,1.5,4.03,0,4.28,0
2011-07-01,0,10.9,3.74,3.41,5.89,0,3.34,0.86,0,0,5.95,0,0,0,5.04,0,0,2.09,4.01,11.58,5,0,10.78,1.27,4.4,0,4.4,0
2011-08-01,0,10.9,3.74,3.41,5.89,0,3.34,0.86,0,0,5.95,0,0,0,5.04,0,0,2.09,4.01,11.58,5,0,10.78,1.27,4.4,0,4.4,0
2011-09-01,0,10.9,3.74,3.41,5.89,0,3.34,0.86,0,0,5.95,0,0,0,5.04,0,0,2.09,4.01,11.58,5,0,10.78,1.27,4.4,0,4.4,0
