"Date","AA","ABBV","ADI","ADM","AIG","AXP","BAC","BK","BMY","C","CB","CBS","CCL","CMCSA","COF","COP","COV","CSCO","CVS","CVX","DD","DELL","DG","DIS","DVN","EBAY","EMR","ETN","FDX","GE","GILD","GLW","GOOG","GPS","GS","HOLX","HPQ","INTC","JCI","JNJ","JPM","MCD","MEDI","MER","MET","MMM","MS","MSFT","OXY","PEP","PFE","PG","QCOM","RTX","SBL","SCHW","SLB","SPGI","STT","TDW","TEL","TEVA","TMO","TWX","VIAC","VLO","VOD","VSH","WBA","WFC","WMT","WU","ZBH"
2006-10-01,0,0,0,0,3.67,0,0,3.07,0,3.58,0,0,0,0,0,0,0,0,0,3.46,0,0,3.94,0,0,0,0,0,0,3.63,0,0,0,3.32,0,0,0,0,0,0,0,0,3.67,0,0,0,3.28,3.6,0,0,3.08,0,0,0,3.9,0,0,0,0,0,0,3.26,0,4.07,0,0,0,3.54,0,0,3.62,0,0
2006-11-01,0,0,0,0,3.67,0,0,3.07,0,3.58,0,0,0,0,0,0,0,0,0,3.46,0,0,3.94,0,0,0,0,0,0,3.63,0,0,0,3.32,0,0,0,0,0,0,0,0,3.67,0,0,0,3.28,3.6,0,0,3.08,0,0,0,3.9,0,0,0,0,0,0,3.26,0,4.07,0,0,0,3.54,0,0,3.62,0,0
2006-12-01,0,0,0,0,3.67,0,0,3.07,0,3.58,0,0,0,0,0,0,0,0,0,3.46,0,0,3.94,0,0,0,0,0,0,3.63,0,0,0,3.32,0,0,0,0,0,0,0,0,3.67,0,0,0,3.28,3.6,0,0,3.08,0,0,0,3.9,0,0,0,0,0,0,3.26,0,4.07,0,0,0,3.54,0,0,3.62,0,0
2007-01-01,0,0,0,0,3.73,0,3.41,0,0,3.66,0,0,0,0,0,3.42,0,0,0,3.62,0,0,3.63,0,0,0,0,0,0,3.98,0,0,0,3.21,0,0,0,0,0,0,0,0,4.89,0,0,3.36,3.3,3.74,0,0,3.41,0,0,0,0,0,0,0,0,0,0,3.89,0,3.84,0,0,0,3.09,0,0,3.83,0,0
2007-02-01,0,0,0,0,3.73,0,3.41,0,0,3.66,0,0,0,0,0,3.42,0,0,0,3.62,0,0,3.63,0,0,0,0,0,0,3.98,0,0,0,3.21,0,0,0,0,0,0,0,0,4.89,0,0,3.36,3.3,3.74,0,0,3.41,0,0,0,0,0,0,0,0,0,0,3.89,0,3.84,0,0,0,3.09,0,0,3.83,0,0
2007-03-01,0,0,0,0,3.73,0,3.41,0,0,3.66,0,0,0,0,0,3.42,0,0,0,3.62,0,0,3.63,0,0,0,0,0,0,3.98,0,0,0,3.21,0,0,0,0,0,0,0,0,4.89,0,0,3.36,3.3,3.74,0,0,3.41,0,0,0,0,0,0,0,0,0,0,3.89,0,3.84,0,0,0,3.09,0,0,3.83,0,0
2007-04-01,0,0,0,0,3.74,0,3.4,0,0,3.45,0,0,0,0,0,3.52,0,3.7,0,3.4,0,0,3.1,0,0,0,0,0,0,3.55,0,0,0,3.25,0,0,0,3.09,0,0,0,0,0,0,0,3.23,0,3.4,0,0,3.36,0,0,0,0,0,0,0,0,0,0,3.61,0,3.82,0,0,0,0,0,0,3.69,3.64,0
2007-05-01,0,0,0,0,3.74,0,3.4,0,0,3.45,0,0,0,0,0,3.52,0,3.7,0,3.4,0,0,3.1,0,0,0,0,0,0,3.55,0,0,0,3.25,0,0,0,3.09,0,0,0,0,0,0,0,3.23,0,3.4,0,0,3.36,0,0,0,0,0,0,0,0,0,0,3.61,0,3.82,0,0,0,0,0,0,3.69,3.64,0
2007-06-01,0,0,0,0,3.74,0,3.4,0,0,3.45,0,0,0,0,0,3.52,0,3.7,0,3.4,0,0,3.1,0,0,0,0,0,0,3.55,0,0,0,3.25,0,0,0,3.09,0,0,0,0,0,0,0,3.23,0,3.4,0,0,3.36,0,0,0,0,0,0,0,0,0,0,3.61,0,3.82,0,0,0,0,0,0,3.69,3.64,0
2007-07-01,0,0,0,0,3.93,0,3.69,0,0,3.81,0,0,0,0,0,4.12,3.93,0,0,3.84,0,0,0,0,0,0,0,0,0,3.32,0,0,0,3.1,0,0,0,3.26,0,0,0,0,0,3.45,0,0,3.51,3.7,0,0,3.31,0,0,0,0,0,0,0,0,0,0,3.36,0,3.63,0,0,0,0,0,0,3.73,4.2,0
