"Date","AAPL","ABBV","ADNT","AES","AET","AFL","AGN","AIG","ALB","ALXN","AMGN","AMH","AMP","AMZN","ANET","APA","AXP","AZO","BAC","BB","BIIB","BLK","BMY","BP","BUD","C","CA","CAG","CFC","CL","CNX","COF","COP","CPN","CSCO","CTSH","CVS","CVX","DAL","DVN","EA","EBAY","EMC","EQH","ESRX","EXC","EXPE","F","FB","FITB","FMCC","GE","GILD","GNW","GOOGL","GS","GSK","HAL","HD","HPQ","IAC","IBM","ICE","INTC","JCI","JNJ","JPM","KMI","LOW","LYB","MCD","MDLZ","MDT","MER","MET","MRK","MRVL","MSFT","MYL","NEM","NLY","NXPI","NYX","ORCL","PAGP","PEP","PFE","PG","PHM","PM","PNC","PSX","PXD","QCOM","QRVO","RGLD","RIG","RLGY","RTX","S","SHLDQ","SRCL","STT","SYF","TDC","TEVA","TGT","TWX","TXN","UAL","UHS","UNH","WFC"
2006-10-01,0,0,0,5.24,3.37,0,0,0,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,2.82,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,4.44,0,0,0,2.32,0,2.97,0,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01,3.97,0,0,0,0,0,0,2.52,0,0,0,4.65,0
2006-11-01,0,0,0,5.24,3.37,0,0,0,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,2.82,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,4.44,0,0,0,2.32,0,2.97,0,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01,3.97,0,0,0,0,0,0,2.52,0,0,0,4.65,0
2006-12-01,0,0,0,5.24,3.37,0,0,0,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,2.82,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,4.44,0,0,0,2.32,0,2.97,0,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01,3.97,0,0,0,0,0,0,2.52,0,0,0,4.65,0
2007-01-01,0,0,0,5.28,3.54,0,0,2.38,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,2.69,0,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0,0,0,0,3.13,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07,4.41,0,0,0,0,0,0,2.36,0,0,0,4.75,0
2007-02-01,0,0,0,5.28,3.54,0,0,2.38,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,2.69,0,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0,0,0,0,3.13,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07,4.41,0,0,0,0,0,0,2.36,0,0,0,4.75,0
2007-03-01,0,0,0,5.28,3.54,0,0,2.38,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,2.69,0,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0,0,0,0,3.13,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07,4.41,0,0,0,0,0,0,2.36,0,0,0,4.75,0
2007-04-01,0,0,0,5.22,3.89,0,0,2.41,0,0,0,0,0,7.34,0,0,0,0,0,0,0,0,0,0,0,2.62,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2.81,0,0,0,0,2.73,0,0,0,0,0,0,0,5.08,0,0,0,2.29,0,2.79,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23,4.03,0,0,0,0,0,0,2.45,0,0,0,4.46,0
2007-05-01,0,0,0,5.22,3.89,0,0,2.41,0,0,0,0,0,7.34,0,0,0,0,0,0,0,0,0,0,0,2.62,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2.81,0,0,0,0,2.73,0,0,0,0,0,0,0,5.08,0,0,0,2.29,0,2.79,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23,4.03,0,0,0,0,0,0,2.45,0,0,0,4.46,0
2007-06-01,0,0,0,5.22,3.89,0,0,2.41,0,0,0,0,0,7.34,0,0,0,0,0,0,0,0,0,0,0,2.62,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2.81,0,0,0,0,2.73,0,0,0,0,0,0,0,5.08,0,0,0,2.29,0,2.79,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23,4.03,0,0,0,0,0,0,2.45,0,0,0,4.46,0
2007-07-01,0,0,0,5.03,4.23,0,0,2.47,0,0,0,0,0,8.87,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,2.88,0,0,0,0,2.71,0,0,4.77,0,0,0,0,2.2,2.4,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89,3.2,0,0,0,0,0,0,2.26,0,0,0,4.26,0
