Date,AAN
1982-11-04,1.012346
1982-11-05,1.024691
1982-11-08,1.037037
1982-11-09,1.037037
1982-11-10,1.074074
1982-11-11,1.061728
1982-11-12,1.0864200000000002
1982-11-15,1.061728
1982-11-16,1.037037
1982-11-17,1.024691
1982-11-18,1.037037
1982-11-19,1.049383
1982-11-22,0.975309
1982-11-23,0.975309
1982-11-24,0.975309
1982-11-26,0.975309
1982-11-29,0.9629629999999999
1982-11-30,0.975309
1982-12-01,1.024691
1982-12-02,1.024691
1982-12-03,1.024691
1982-12-06,1.024691
1982-12-07,1.024691
1982-12-08,1.037037
1982-12-09,1.037037
1982-12-10,1.024691
1982-12-13,1.0
1982-12-14,0.975309
1982-12-15,0.9382719999999999
1982-12-16,0.950617
1982-12-17,0.950617
1982-12-20,0.950617
1982-12-21,0.9382719999999999
1982-12-22,0.9382719999999999
1982-12-23,0.9382719999999999
1982-12-27,0.9382719999999999
1982-12-28,0.9382719999999999
1982-12-29,0.950617
1982-12-30,0.950617
1982-12-31,0.950617
1983-01-03,0.950617
1983-01-04,0.9629629999999999
1983-01-05,0.975309
1983-01-06,0.987654
1983-01-07,1.012346
1983-01-10,1.037037
1983-01-11,1.049383
1983-01-12,1.049383
1983-01-13,1.049383
1983-01-14,1.049383
1983-01-17,1.037037
1983-01-18,1.049383
1983-01-19,1.037037
1983-01-20,1.037037
1983-01-21,1.049383
1983-01-24,1.024691
1983-01-25,1.012346
1983-01-26,1.012346
1983-01-27,1.037037
1983-01-28,1.037037
1983-01-31,1.037037
1983-02-01,1.037037
1983-02-02,1.037037
1983-02-03,1.037037
1983-02-04,1.024691
1983-02-07,1.012346
1983-02-08,1.0
1983-02-09,0.987654
1983-02-10,0.987654
1983-02-11,0.987654
1983-02-14,0.987654
1983-02-15,0.987654
1983-02-16,0.987654
1983-02-17,0.987654
1983-02-18,0.987654
1983-02-22,1.0
1983-02-23,1.0
1983-02-24,1.0
1983-02-25,1.024691
1983-02-28,1.037037
1983-03-01,1.037037
1983-03-02,1.037037
1983-03-03,1.061728
1983-03-04,1.074074
1983-03-07,1.0864200000000002
1983-03-08,1.098765
1983-03-09,1.098765
1983-03-10,1.098765
1983-03-11,1.098765
1983-03-14,1.111111
1983-03-15,1.111111
1983-03-16,1.123457
1983-03-17,1.1358030000000001
1983-03-18,1.1358030000000001
1983-03-21,1.1358030000000001
1983-03-22,1.1358030000000001
1983-03-23,1.1358030000000001
1983-03-24,1.1728399999999999
1983-03-25,1.1728399999999999
1983-03-28,1.185185
1983-03-29,1.222222
1983-03-30,1.333333
1983-03-31,1.37037
1983-04-04,1.37037
1983-04-05,1.37037
1983-04-06,1.37037
1983-04-07,1.37037
1983-04-08,1.37037
1983-04-11,1.37037
1983-04-12,1.358025
1983-04-13,1.358025
1983-04-14,1.345679
1983-04-15,1.333333
1983-04-18,1.333333
1983-04-19,1.333333
1983-04-20,1.3209879999999998
1983-04-21,1.333333
1983-04-22,1.333333
1983-04-25,1.333333
1983-04-26,1.345679
1983-04-27,1.37037
