Date,ACF
2008-06-27,15.0
2008-06-30,17.0
2008-07-01,17.0
2008-07-02,17.0
2008-07-03,17.0
2008-07-07,12.5
2008-07-08,11.5
2008-07-09,10.0
2008-07-10,10.0
2008-07-11,10.0
2008-07-14,9.0
2008-07-15,9.0
2008-07-16,9.0
2008-07-17,9.0
2008-07-18,9.0
2008-07-21,9.0
2008-07-22,9.0
2008-07-23,9.0
2008-07-24,9.0
2008-07-25,9.0
2008-07-28,9.0
2008-07-29,9.0
2008-07-30,9.0
2008-07-31,9.0
2008-08-01,9.0
2008-08-04,9.0
2008-08-05,9.0
2008-08-06,9.0
2008-08-07,9.0
2008-08-08,9.0
2008-08-11,9.0
2008-08-12,9.0
2008-08-13,7.5
2008-08-14,7.5
2008-08-15,7.5
2008-08-18,7.5
2008-08-19,7.5
2008-08-20,7.5
2008-08-21,7.5
2008-08-22,7.5
2008-08-25,7.5
2008-08-26,7.5
2008-08-27,7.5
2008-08-28,7.5
2008-08-29,7.5
2008-09-02,7.5
2008-09-03,7.5
2008-09-04,7.5
2008-09-05,7.5
2008-09-08,7.5
2008-09-09,7.5
2008-09-10,7.5
2008-09-11,7.5
2008-09-12,7.5
2008-09-15,7.5
2008-09-16,7.5
2008-09-17,7.5
2008-09-18,7.5
2008-09-19,7.5
2008-09-22,7.5
2008-09-23,7.5
2008-09-24,7.5
2008-09-25,7.5
2008-09-26,7.5
2008-09-29,7.5
2008-09-30,7.5
2008-10-01,7.5
2008-10-02,7.5
2008-10-03,7.5
2008-10-06,7.5
2008-10-07,7.5
2008-10-08,7.5
2008-10-09,7.5
2008-10-10,7.5
2008-10-13,7.5
2008-10-14,7.5
2008-10-15,7.5
2008-10-16,7.5
2008-10-17,7.5
2008-10-20,7.5
2008-10-21,7.5
2008-10-22,7.5
2008-10-23,7.5
2008-10-24,5.0
2008-10-27,5.0
2008-10-28,5.0
2008-10-29,5.0
2008-10-30,5.0
2008-10-31,5.0
2008-11-03,5.0
2008-11-04,5.0
2008-11-05,5.0
2008-11-06,5.0
2008-11-07,5.0
2008-11-10,5.0
2008-11-11,5.0
2008-11-12,5.0
2008-11-13,5.0
2008-11-14,3.5
2008-11-17,3.5
2008-11-18,3.5
2008-11-19,3.5
2008-11-20,3.5
2008-11-21,3.5
2008-11-24,3.5
2008-11-25,3.5
2008-11-26,3.5
2008-11-28,3.5
2008-12-01,3.5
2008-12-02,3.5
2008-12-03,3.5
2008-12-04,3.5
2008-12-05,3.5
2008-12-08,3.5
2008-12-09,3.5
2008-12-10,3.5
2008-12-11,3.5
2008-12-12,3.5
2008-12-15,3.5
2008-12-16,3.5
2008-12-17,3.5
2008-12-18,3.5
2008-12-19,3.5
2008-12-22,3.5
2008-12-23,3.5
2008-12-24,3.5
2008-12-26,
2008-12-29,3.5
2008-12-30,3.5
2008-12-31,7.5
2009-01-02,7.5
2009-01-05,7.5
2009-01-06,7.5
2009-01-07,7.5
2009-01-08,7.5
2009-01-09,7.5
2009-01-12,7.5
2009-01-13,7.5
2009-01-14,7.5
2009-01-15,7.5
2009-01-16,7.5
2009-01-20,7.5
2009-01-21,7.5
2009-01-22,7.5
2009-01-23,7.5
2009-01-26,
2009-01-27,7.5
2009-01-28,7.5
2009-01-29,7.5
2009-01-30,7.5
2009-02-02,7.5
2009-02-03,7.5
2009-02-04,7.5
2009-02-05,7.5
2009-02-06,7.5
2009-02-09,7.5
2009-02-10,7.5
2009-02-11,7.5
2009-02-12,7.5
2009-02-13,7.5
2009-02-17,7.5
2009-02-18,7.5
2009-02-19,7.5
2009-02-20,7.5
2009-02-23,7.5
2009-02-24,7.5
2009-02-25,7.5
2009-02-26,7.5
2009-02-27,7.5
2009-03-02,7.5
2009-03-03,7.5
2009-03-04,7.5
2009-03-05,7.5
2009-03-06,7.5
2009-03-09,7.0
2009-03-10,7.0
2009-03-11,7.0
