Date,AMX
2001-02-12,3.8671879999999996
2001-02-13,3.6328129999999996
2001-02-14,3.3828129999999996
2001-02-15,3.3359379999999996
2001-02-16,3.348958
2001-02-20,3.276042
2001-02-21,3.166667
2001-02-22,3.132813
2001-02-23,3.041667
2001-02-26,3.0338540000000003
2001-02-27,3.0338540000000003
2001-02-28,2.984375
2001-03-01,2.916667
2001-03-02,2.859375
2001-03-05,2.9036459999999997
2001-03-06,2.9192709999999997
2001-03-07,2.9505209999999997
2001-03-08,2.9869790000000003
2001-03-09,2.9244790000000003
2001-03-12,2.833333
2001-03-13,2.7942709999999997
2001-03-14,2.6588540000000003
2001-03-15,2.6380209999999997
2001-03-16,2.7161459999999997
2001-03-19,2.84375
2001-03-20,2.713542
2001-03-21,2.682292
2001-03-22,2.5026040000000003
2001-03-23,2.492188
2001-03-26,2.460938
2001-03-27,2.479167
2001-03-28,2.4375
2001-03-29,2.348958
2001-03-30,2.442708
2001-04-02,2.4505209999999997
2001-04-03,2.395833
2001-04-04,2.367188
2001-04-05,2.515625
2001-04-06,2.5494790000000003
2001-04-09,2.576667
2001-04-10,2.695
2001-04-11,2.7366669999999997
2001-04-12,2.73
2001-04-16,2.7366669999999997
2001-04-17,2.751667
2001-04-18,2.808333
2001-04-19,2.808333
2001-04-20,2.641667
2001-04-23,2.708333
2001-04-24,2.7416669999999996
2001-04-25,2.7833330000000003
2001-04-26,2.9266669999999997
2001-04-27,2.9916669999999996
2001-04-30,3.066667
2001-05-01,3.125
2001-05-02,3.251667
2001-05-03,3.285
2001-05-04,3.2583330000000004
2001-05-07,3.3
2001-05-08,3.2183330000000003
2001-05-09,3.2583330000000004
2001-05-10,3.333333
2001-05-11,3.316667
2001-05-14,3.293333
2001-05-15,3.265
2001-05-16,3.325
2001-05-17,3.4
2001-05-18,3.558333
2001-05-21,3.643333
2001-05-22,3.691667
2001-05-23,3.7166669999999997
2001-05-24,3.5933330000000003
2001-05-25,3.55
2001-05-29,3.483333
2001-05-30,3.4
2001-05-31,3.398333
2001-06-01,3.4
2001-06-04,3.441667
2001-06-05,3.483333
2001-06-06,3.7166669999999997
2001-06-07,3.683333
2001-06-08,3.6383330000000003
2001-06-11,3.5916669999999997
2001-06-12,3.5916669999999997
2001-06-13,3.608333
2001-06-14,3.583333
2001-06-15,3.548333
2001-06-18,3.4
2001-06-19,3.3
2001-06-20,3.316667
2001-06-21,3.358333
2001-06-22,3.338333
2001-06-25,3.375
2001-06-26,3.396667
2001-06-27,3.421667
2001-06-28,3.456667
2001-06-29,3.476667
2001-07-02,3.6
2001-07-03,3.608333
2001-07-05,3.5
2001-07-06,3.41
2001-07-09,3.418333
2001-07-10,3.425
2001-07-11,3.338333
2001-07-12,3.233333
2001-07-13,3.18
2001-07-16,3.155
2001-07-17,3.141667
2001-07-18,3.086667
2001-07-19,3.1166669999999996
2001-07-20,3.1333330000000004
2001-07-23,3.168333
2001-07-24,3.141667
2001-07-25,3.163333
2001-07-26,3.231667
2001-07-27,3.235
2001-07-30,3.29
2001-07-31,3.29
2001-08-01,3.285
2001-08-02,3.3833330000000004
2001-08-03,3.396667
2001-08-06,3.335
2001-08-07,3.336667
2001-08-08,3.328333
2001-08-09,3.2816669999999997
2001-08-10,3.316667
2001-08-13,3.3
2001-08-14,3.316667
2001-08-15,3.201667
2001-08-16,3.015
2001-08-17,2.916667
2001-08-20,2.925
2001-08-21,2.95
2001-08-22,2.951667
2001-08-23,2.93
2001-08-24,3.021667
2001-08-27,3.03
2001-08-28,2.938333
2001-08-29,2.916667
2001-08-30,2.826667
2001-08-31,2.806667
2001-09-04,2.691667
2001-09-05,2.5
2001-09-06,2.376667
2001-09-07,2.375
2001-09-10,2.3666669999999996
2001-09-17,2.066667
2001-09-18,2.048333
2001-09-19,2.081667
2001-09-20,2.09
2001-09-21,2.165
2001-09-24,2.356667
2001-09-25,2.308333
2001-09-26,2.266667
2001-09-27,2.371667
2001-09-28,2.4716669999999996
2001-10-01,2.483333
2001-10-02,2.501667
2001-10-03,2.455
2001-10-04,2.463333
2001-10-05,2.3833330000000004
2001-10-08,2.335
2001-10-09,2.45
2001-10-10,2.541667
2001-10-11,2.576667
2001-10-12,2.55
2001-10-15,2.425
2001-10-16,2.423333
2001-10-17,2.396667
2001-10-18,2.355
2001-10-19,2.3616669999999997
2001-10-22,2.358333
2001-10-23,2.375
2001-10-24,2.54
2001-10-25,2.5333330000000003
2001-10-26,2.496667
2001-10-29,2.425
2001-10-30,2.421667
2001-10-31,2.5
2001-11-01,2.5333330000000003
2001-11-02,2.5333330000000003
2001-11-05,2.585
2001-11-06,2.586667
2001-11-07,2.576667
2001-11-08,2.566667
