Date,ANFGF
2010-01-05,16.4
2010-01-06,16.4
2010-01-07,16.4
2010-01-08,16.4
2010-01-11,16.4
2010-01-12,16.4
2010-01-13,16.4
2010-01-14,17.0
2010-01-15,17.0
2010-01-19,17.0
2010-01-20,17.0
2010-01-21,15.7
2010-01-22,15.7
2010-01-25,15.7
2010-01-26,15.25
2010-01-27,15.25
2010-01-28,15.25
2010-01-29,14.2
2010-02-01,14.2
2010-02-02,14.2
2010-02-03,14.4
2010-02-04,14.4
2010-02-05,14.4
2010-02-08,14.4
2010-02-09,13.8
2010-02-10,13.8
2010-02-11,13.8
2010-02-12,13.8
2010-02-16,13.8
2010-02-17,13.8
2010-02-18,13.8
2010-02-19,13.8
2010-02-22,13.8
2010-02-23,13.8
2010-02-24,13.8
2010-02-25,13.8
2010-02-26,13.8
2010-03-01,13.8
2010-03-02,13.8
2010-03-03,13.8
2010-03-04,14.2
2010-03-05,14.2
2010-03-08,15.25
2010-03-09,15.25
2010-03-10,15.25
2010-03-11,15.25
2010-03-12,15.25
2010-03-15,15.25
2010-03-16,15.25
2010-03-17,15.25
2010-03-18,15.25
2010-03-19,15.25
2010-03-22,15.25
2010-03-23,15.1
2010-03-24,15.1
2010-03-25,15.1
2010-03-26,15.1
2010-03-29,15.55
2010-03-30,15.55
2010-03-31,15.55
2010-04-01,15.55
2010-04-05,16.35
2010-04-06,16.35
2010-04-07,16.049999
2010-04-08,16.049999
2010-04-09,16.030001000000002
2010-04-12,16.030001000000002
2010-04-13,16.030001000000002
2010-04-14,16.030001000000002
2010-04-15,16.030001000000002
2010-04-16,16.030001000000002
2010-04-19,16.030001000000002
2010-04-20,16.030001000000002
2010-04-21,16.030001000000002
2010-04-22,16.030001000000002
2010-04-23,16.030001000000002
2010-04-26,16.030001000000002
2010-04-27,15.48
2010-04-28,15.48
2010-04-29,15.48
2010-04-30,15.48
2010-05-03,15.48
2010-05-04,14.2
2010-05-05,14.2
2010-05-06,14.2
2010-05-07,14.2
2010-05-10,14.2
2010-05-11,14.2
2010-05-12,14.14
2010-05-13,14.14
2010-05-14,13.3
2010-05-17,13.3
2010-05-18,13.3
2010-05-19,12.33
2010-05-20,11.35
2010-05-21,11.35
2010-05-24,11.35
2010-05-25,11.65
2010-05-26,11.65
2010-05-27,11.65
2010-05-28,11.65
2010-06-01,11.65
2010-06-02,11.65
2010-06-03,11.65
2010-06-04,11.65
2010-06-07,11.65
2010-06-08,11.65
2010-06-09,11.65
2010-06-10,11.65
2010-06-11,11.65
2010-06-14,11.65
2010-06-15,11.65
2010-06-16,11.65
2010-06-17,11.65
2010-06-18,11.65
2010-06-21,11.65
2010-06-22,11.65
2010-06-23,11.65
2010-06-24,12.5
2010-06-25,12.5
2010-06-28,12.5
2010-06-29,12.5
2010-06-30,12.5
2010-07-01,12.5
2010-07-02,12.5
2010-07-06,12.2
2010-07-07,12.2
2010-07-08,12.2
2010-07-09,12.2
2010-07-12,12.2
2010-07-13,12.2
2010-07-14,13.7
2010-07-15,13.7
2010-07-16,13.5
2010-07-19,13.5
2010-07-20,13.5
2010-07-21,13.5
2010-07-22,13.5
2010-07-23,15.95
2010-07-26,15.95
2010-07-27,15.95
2010-07-28,15.95
2010-07-29,15.5
2010-07-30,15.6
2010-08-02,16.5
2010-08-03,16.5
2010-08-04,15.95
2010-08-05,15.95
2010-08-06,15.95
2010-08-09,16.5
2010-08-10,16.5
2010-08-11,14.85
2010-08-12,15.35
2010-08-13,15.35
2010-08-16,15.35
2010-08-17,15.35
2010-08-18,16.1
2010-08-19,16.1
2010-08-20,16.1
2010-08-23,16.1
2010-08-24,16.1
2010-08-25,16.1
