Date,AT
2009-12-03,10.92
2009-12-04,10.99
2009-12-07,10.7
2009-12-08,9.89
2009-12-09,9.91
2009-12-10,9.88
2009-12-11,9.83
2009-12-14,9.75
2009-12-15,9.75
2009-12-16,9.94
2009-12-17,9.91
2009-12-18,10.24
2009-12-21,10.42
2009-12-22,10.64
2009-12-23,10.85
2009-12-24,10.93
2009-12-28,10.93
2009-12-29,10.95
2009-12-30,10.86
2009-12-31,10.95
2010-01-04,11.22
2010-01-05,11.2
2010-01-06,11.34
2010-01-07,11.48
2010-01-08,11.67
2010-01-11,11.66
2010-01-12,11.55
2010-01-13,11.59
2010-01-14,11.68
2010-01-15,11.66
2010-01-19,11.95
2010-01-20,11.73
2010-01-21,11.54
2010-01-22,11.59
2010-01-25,11.67
2010-01-26,11.62
2010-01-27,11.41
2010-01-28,11.19
2010-01-29,11.29
2010-02-01,11.47
2010-02-02,11.37
2010-02-03,11.39
2010-02-04,11.09
2010-02-05,11.22
2010-02-08,11.27
2010-02-09,11.19
2010-02-10,11.01
2010-02-11,11.21
2010-02-12,11.18
2010-02-16,11.5
2010-02-17,11.56
2010-02-18,11.56
2010-02-19,11.73
2010-02-22,11.93
2010-02-23,12.03
2010-02-24,12.05
2010-02-25,11.91
2010-02-26,12.05
2010-03-01,11.94
2010-03-02,12.07
2010-03-03,12.14
2010-03-04,12.3
2010-03-05,12.41
2010-03-08,12.6
2010-03-09,12.91
2010-03-10,12.86
2010-03-11,12.97
2010-03-12,13.37
2010-03-15,13.44
2010-03-16,12.84
2010-03-17,12.79
2010-03-18,13.04
2010-03-19,13.39
2010-03-22,12.66
2010-03-23,12.42
2010-03-24,12.77
2010-03-25,12.71
2010-03-26,12.42
2010-03-29,12.4
2010-03-30,12.47
2010-03-31,12.02
2010-04-01,11.63
2010-04-05,11.54
2010-04-06,11.84
2010-04-07,11.8
2010-04-08,11.78
2010-04-09,11.82
2010-04-12,12.06
2010-04-13,12.24
2010-04-14,12.28
2010-04-15,12.11
2010-04-16,12.08
2010-04-19,12.35
2010-04-20,12.63
2010-04-21,12.62
2010-04-22,12.73
2010-04-23,12.82
2010-04-26,12.86
2010-04-27,12.41
2010-04-28,12.5
2010-04-29,12.59
2010-04-30,12.5
2010-05-03,12.53
2010-05-04,12.11
2010-05-05,11.82
2010-05-06,11.3
2010-05-07,11.35
2010-05-10,11.72
2010-05-11,11.96
2010-05-12,12.33
2010-05-13,12.32
2010-05-14,12.12
2010-05-17,12.0
2010-05-18,11.75
2010-05-19,11.36
2010-05-20,10.86
2010-05-21,10.79
2010-05-24,11.01
2010-05-25,10.92
2010-05-26,11.66
2010-05-27,12.08
2010-05-28,11.95
2010-06-01,11.75
2010-06-02,11.8
2010-06-03,11.9
2010-06-04,11.65
2010-06-07,11.58
2010-06-08,11.75
2010-06-09,11.7
2010-06-10,11.9
2010-06-11,11.9
2010-06-14,11.92
2010-06-15,12.27
2010-06-16,12.18
2010-06-17,12.2
2010-06-18,12.39
2010-06-21,12.38
2010-06-22,12.4
2010-06-23,12.13
2010-06-24,12.11
2010-06-25,12.35
2010-06-28,12.16
2010-06-29,11.69
2010-06-30,11.6
2010-07-01,11.54
2010-07-02,11.55
2010-07-06,11.66
2010-07-07,11.98
2010-07-08,11.99
2010-07-09,12.04
2010-07-12,12.2
2010-07-13,12.3
2010-07-14,12.27
2010-07-15,12.14
2010-07-16,12.02
2010-07-19,12.21
2010-07-20,12.43
2010-07-21,12.38
2010-07-22,12.18
2010-07-23,12.48
2010-07-26,12.62
2010-07-27,12.79
2010-07-28,12.49
2010-07-29,12.43
2010-07-30,12.93
2010-08-02,13.21
2010-08-03,13.03
2010-08-04,13.0
2010-08-05,13.03
2010-08-06,13.0
2010-08-09,12.85
2010-08-10,12.84
2010-08-11,12.62
2010-08-12,12.69
2010-08-13,13.09
2010-08-16,13.11
2010-08-17,13.2
2010-08-18,13.13
2010-08-19,13.02
2010-08-20,12.94
2010-08-23,12.95
2010-08-24,12.86
2010-08-25,12.74
2010-08-26,12.79
2010-08-27,12.67
2010-08-30,12.53
2010-08-31,12.5
2010-09-01,12.81
2010-09-02,12.91
2010-09-03,13.0
2010-09-07,13.0
2010-09-08,13.11
2010-09-09,13.19
2010-09-10,13.26
2010-09-13,13.32
2010-09-14,13.27
2010-09-15,13.37
2010-09-16,13.32
